id,created_at,text
1260792554385141800,Thu May 14 04:42:24 +0000 2020,RT @ManimalElite: TAY WAS A BADDDDDD MAN!
1260754036388585500,Thu May 14 02:09:20 +0000 2020,I'm LIVE. #caffeinetv https://t.co/nm3jizkHQA
1260733312059900000,Thu May 14 00:46:59 +0000 2020,I'm LIVE. #caffeinetv https://t.co/Jc5DAxSw34
1260289821689307100,Tue May 12 19:24:43 +0000 2020,RT @MSUEaglesMBB: After leading the Eagles to their 1st OVC Tournament Championship in 25 years, Faried was selected to the All-Tournament…
1260060876024852500,Tue May 12 04:14:58 +0000 2020,RT @MSUEaglesMBB: Check out some of Faried’s highlights against non-conference opponents during his sophomore campaign! 🦅🏀 #ManimalMonday h…
1260060859801301000,Tue May 12 04:14:54 +0000 2020,RT @MSUEaglesMBB: OVC TOURNAMENT CHAMPS! 🏆 More highlights of sophomore Faried during the OVC Tournament. In 3 wins over EKU, UT-Martin, &amp;…
1260060847256133600,Tue May 12 04:14:51 +0000 2020,RT @MSUEaglesMBB: ‼️Poster Alert‼️ Here are additional hightlights from Faried’s sophomore year versus conference foes! 🦅🏀 #ManimalMonday h…
1260058542880391200,Tue May 12 04:05:42 +0000 2020,RT @MSUEaglesMBB: Our 2nd installment of #ManimalMonday starts at beginning of the ‘08-‘09 season. Sophomore @KennethFaried35 pours in care…
1259632010038874000,Sun May 10 23:50:48 +0000 2020,I'm LIVE. #caffeinetv https://t.co/SHlqNsRl12
1259607983501095000,Sun May 10 22:15:20 +0000 2020,I'm LIVE. #caffeinetv https://t.co/QD9NL2o33B
1259578085407699000,Sun May 10 20:16:32 +0000 2020,HAPPY MOTHERS DAY MY QUEEN &amp; THANK YOU FOR THE BLESSINGS THAT KEEP ON GIVING! @ayystar007 “I LOVE TO MY SOUL &amp; NO O… https://t.co/8ApoX9RCOl
1259264031023489000,Sat May 09 23:28:35 +0000 2020,RT @isthismike_p: 2 Ws on stream with Snoopy and the homie @KennethFaried35 !   https://t.co/HRSPVGNMk7 https://t.co/McYAsMZSsl
1259250855431114800,Sat May 09 22:36:14 +0000 2020,I'm LIVE. #caffeinetv https://t.co/7ozoFwZhQq
1258941644386132000,Sat May 09 02:07:32 +0000 2020,I'm LIVE. #caffeinetv https://t.co/TFnMIje3Ie
1258639688304218000,Fri May 08 06:07:40 +0000 2020,I'm LIVE. #caffeinetv https://t.co/voGf3pziYd
1258525152079306800,Thu May 07 22:32:33 +0000 2020,I'm LIVE. #caffeinetv https://t.co/XbS1PDHJIP
1258160735269474300,Wed May 06 22:24:29 +0000 2020,I'm LIVE. #caffeinetv https://t.co/ooL7VnaOoH
1258135579235176400,Wed May 06 20:44:31 +0000 2020,Last week streaming with @stonemountain64 &amp; @theaculite who might pop up this week 🤔? Check me out on @caffeine, se… https://t.co/iRk3fOEK22
1257836284120141800,Wed May 06 00:55:14 +0000 2020,RT @walk_35: @TravGraf_Rivals This is beautiful! Thanks for the tip Trav! And shouts to my boy @KennethFaried35 for locking him up on #Team…
1257836168223133700,Wed May 06 00:54:46 +0000 2020,RT @ManimalElite: @XavierMBB will conduct a phone call today with 2022 6’7 @easternhoops1 @thegentlegaint #Manimal2022 https://t.co/Y1wswwI…
1257801596076847000,Tue May 05 22:37:23 +0000 2020,Watch @​iamMikeP now with me on Caffeine! #caffeinetv  @isthismike_p https://t.co/RpqWkIWLSx
1257511432456822800,Tue May 05 03:24:23 +0000 2020,RT @ManimalElite: Big facts! Thank you so much for all you do for @ManimalElite !!  WE GOING TO ANOTHER LEVEL!!
1257509303302320000,Tue May 05 03:15:55 +0000 2020,RT @Dame_Lillard: Consistency is boring.
1257469248676528000,Tue May 05 00:36:46 +0000 2020,RT @MSUEaglesMBB: Some of @KennethFaried35’s freshman accolades: 🔹OVC All-Newcomer Team 🔹10.5ppg &amp; 8rpg 🔹7 double doubles 🔹Ranked 69th nati…
1257469131848208400,Tue May 05 00:36:18 +0000 2020,RT @MSUEaglesMBB: The Eagles played 5 different teams from the state of Kentucky during the ‘07-‘08 season. Freshman Faried averaged nearly…
1257469046351466500,Tue May 05 00:35:57 +0000 2020,RT @MSUEaglesMBB: Check out some of Faried’s highlights vs. Louisville during his freshman year! 1️⃣1️⃣ points 5️⃣ rebounds 5️⃣/7️⃣ from th…
1257469026105585700,Tue May 05 00:35:53 +0000 2020,RT @MSUEaglesMBB: More freshman Faried highlights! This time vs. Tennessee-Martin. 1️⃣4️⃣ points 9️⃣ rebounds 7️⃣/9️⃣ from the field 🦅🏀 #Ma…
1257445059806584800,Mon May 04 23:00:39 +0000 2020,RT @MSUEaglesMBB: The Manimal started early in his career when it came to double doubles &amp; 20 point games. In just his 5th collegiate game,…
1257445037601886200,Mon May 04 23:00:33 +0000 2020,RT @MSUEaglesMBB: Faried is native of Newark, NJ and a graduate of @TechnologyHS (‘07). In his 2nd career game in an Eagle uniform, he earn…
1257444516048646100,Mon May 04 22:58:29 +0000 2020,RT @walk_35: Yo @KennethFaried35 you see this bruh? 👀
1257444464894922800,Mon May 04 22:58:17 +0000 2020,I LOVE IT THANK YOU! https://t.co/hGxkJMM3dI
1257444062573068300,Mon May 04 22:56:41 +0000 2020,RT @moreheadmbbmgrs: Spring cleaning leads to some interesting finds. We came across @KennethFaried35’s @Jumpman23 jersey he wore in the 20…
1257138915238006800,Mon May 04 02:44:08 +0000 2020,RT @ManimalElite: #mOreheadSt #jerseyswap #notcommitted @Dashawn1_ #MoreheadstOffer @FDHSBoysHoops https://t.co/77iME2umEK
1257106450653917200,Mon May 04 00:35:08 +0000 2020,I'm LIVE: "[17+] ManimalUnleash COD w/ URLMikeP, Snoopy &amp; Sixten". #caffeinetv https://t.co/TMNJwiwAOZ
1257067273992339500,Sun May 03 21:59:27 +0000 2020,I'm LIVE. #caffeinetv https://t.co/CmjgghiKlq
1256697193274077200,Sat May 02 21:28:53 +0000 2020,RT @ManimalElite: @RooDaKid25 #Manimal2021 https://t.co/t30p6b8b6X
1256696854340722700,Sat May 02 21:27:33 +0000 2020,RT @gregoliver2424: @ManimalElite @YeahZay2 @Dashawn1_ @KooperJacobi @thegentlegaint @suppaspalding @turner_buttry @KennethFaried35 I know…
1256467777168134100,Sat May 02 06:17:16 +0000 2020,Watch @​BaronJ67 now with me on Caffeine! #caffeinetv  @baronj67 https://t.co/jyaU7EmiXb
1256356633480843300,Fri May 01 22:55:38 +0000 2020,RT @ManimalElite: Congrats to a young man who has been in our program since a freshmen and someone who has worked his tail off to get to wh…
1256356616925925400,Fri May 01 22:55:34 +0000 2020,RT @ManimalElite: Division (1) offers @ManimalElite : 2021 - @YeahZay2 (4), @Dashawn1_ (1), @KooperJacobi (9) - 2022 @thegentlegaint (1) ,…
1256356549502500900,Fri May 01 22:55:18 +0000 2020,RT @Dashawn1_: After a great talk with @CoachPSpradlin I’m truly blessed to say I’ve received my first Division 1 offer from Morehead state…
1256356441138491400,Fri May 01 22:54:52 +0000 2020,RT @ManimalElite: #Manimal2021 🔥🔥🔥 Hard Playing Kids! Love this group! GUYS WILL COMPETE!! @KennethFaried35
1255950275384275000,Thu Apr 30 20:00:54 +0000 2020,RT @ManimalElite: All @ManimalElite HS players you should be getting a “zoom” link tonight for a meeting. Contact your particular coach to…
1255648241376354300,Thu Apr 30 00:00:44 +0000 2020,RT @StoneMountain64: 2 EPIC streams and some great games with @KennethFaried35 and the squad today. Liking the new update on Warzone so far.
1255619181992505300,Wed Apr 29 22:05:15 +0000 2020,I'm LIVE. #caffeinetv https://t.co/OkG7AlAAtd
1255605797024743400,Wed Apr 29 21:12:04 +0000 2020,RT @ManimalElite: Players: no room for error when it’s time to start playing, get with a program where you know the college scouts will be…
1255358697741660200,Wed Apr 29 04:50:11 +0000 2020,Love all the kids especially those we started with they showed the world what it means to be called a MANIMAL! https://t.co/QfMNv2Fdhs
1255358313685975000,Wed Apr 29 04:48:40 +0000 2020,RT @ManimalElite: #AAUThrowback Mason Faulkner @coachmazo @TylerSharpe_15 @ThePAyersShow25 @beezkneez03 @jaredfarris_ @Whelan_10 @colken32…
1255271910604189700,Tue Apr 28 23:05:19 +0000 2020,I'm LIVE. #caffeinetv https://t.co/ALxBLm8443
1254572141875351600,Mon Apr 27 00:44:42 +0000 2020,I'm LIVE. #caffeinetv https://t.co/D6j5bdZ07v
1254567376332263400,Mon Apr 27 00:25:45 +0000 2020,I'm LIVE. #caffeinetv https://t.co/U5LKd1IDdW
1254567116490956800,Mon Apr 27 00:24:43 +0000 2020,I'm LIVE. #caffeinetv https://t.co/CMUfPXPVXd
1254535447667069000,Sun Apr 26 22:18:53 +0000 2020,I'm LIVE. #caffeinetv https://t.co/Yg5gAgsa5R
1254531352583643100,Sun Apr 26 22:02:37 +0000 2020,This content is 17+ &amp; you can catch it every Wednesday &amp; Sunday 3-6PM PST on @caffeine ! I apologize to the kids in… https://t.co/gePp5IpgNl
1254159213799944200,Sat Apr 25 21:23:52 +0000 2020,Making dreams come true @ManimalElite https://t.co/5GCeS4vIXZ
1254159028365652000,Sat Apr 25 21:23:08 +0000 2020,RT @ManimalElite: @ManimalElite 2020 everyone has committed!!! JOB WELL DONE MEN!  @KennethFaried35 🤝
1254158968328302600,Sat Apr 25 21:22:53 +0000 2020,The things that make me smile &amp; know I’m doing something to change the world even if it’s a little! https://t.co/cf6hpHllHW
1254158750413238300,Sat Apr 25 21:22:01 +0000 2020,RT @ManimalElite: Congrats to Class of 2022 5’11 PG - BOWLING GREEN HS- @turner_buttry - this is his first offer and with his work ethic I…
1253782554580140000,Fri Apr 24 20:27:09 +0000 2020,I'm LIVE. #caffeinetv https://t.co/JbLhDnLTXl
1253774737614016500,Fri Apr 24 19:56:06 +0000 2020,#RamadanMubarak @ Los Angeles, California https://t.co/s4xwMhluWG
