id,created_at,text
1260266736764416000,Tue May 12 17:52:59 +0000 2020,RT @Refugees: This nurse and her team of refugee healthcare workers are saving lives during the COVID-19 pandemic. #NursesWeek https://t.co…
1259945541313560600,Mon May 11 20:36:40 +0000 2020,RT @antonioguterres: I've been very moved to learn of the work our @UNVolunteers are carrying out worldwide in response to the #COVID19 pan…
1259873309350482000,Mon May 11 15:49:38 +0000 2020,@RedHourBen I’m so sorry. Your Dad was the sweetest most original love to be around. We were all so lucky to get to… https://t.co/dOv5ERcQ3S
1259553154057687000,Sun May 10 18:37:27 +0000 2020,Rahmo is such an inspiration 💙 💙💙💙💙💙💙💙💙💙#MothersDay https://t.co/8Fss3qDNVr
1259552899996106800,Sun May 10 18:36:27 +0000 2020,RT @SheldrickTrust: Happy #MothersDay! Today we're celebrating the matriarchs that provide the nurturing, guidance, wisdom, love &amp; protecti…
1259210309887160300,Sat May 09 19:55:07 +0000 2020,RT @SheldrickTrust: Say thank you to your mom, or the maternal figure in your life, by gifting them an elephant adoption this #MothersDay.…
1258950243044880400,Sat May 09 02:41:42 +0000 2020,RT @FOXLaborofLove: These two have a lot to talk about. @KristinDavis hosts #LaborofLove, a new series premiering May 21 at 9/8c! https://t…
1258946104269222000,Sat May 09 02:25:16 +0000 2020,@chrissyteigen you do NOT need to explain yourself! You are authentic in every way , we all know that and love you… https://t.co/Q1Mt4rjoWe
1258943484179837000,Sat May 09 02:14:51 +0000 2020,RT @yashar: Gerber's new baby Magnolia is the first adopted spokesbaby in the company's history  https://t.co/I9lS2ZW9VQ
1258790302787104800,Fri May 08 16:06:10 +0000 2020,RT @jwfusco: Bio-Luminescence from Malibu, California! Check out more here - https://t.co/TPE4me20TW #malibu #bioluminescence #redtide #sig…
1258788817873432600,Fri May 08 16:00:16 +0000 2020,RT @YungKundalini: For the past 2 weeks Southern California has been experiencing one of the most *beautiful* displays of nature! “red tide…
1257791103274586000,Tue May 05 21:55:42 +0000 2020,@thebradshawboys 😂
1257791008420454400,Tue May 05 21:55:19 +0000 2020,@rialucia82 @thebradshawboys Lost my voice doing that scene !
1257789980727931000,Tue May 05 21:51:14 +0000 2020,@thebradshawboys Thank you! This was difficult for me 😳
1257762794742530000,Tue May 05 20:03:13 +0000 2020,RT @SheldrickTrust: Elephant calves are dependent on their mothers’ milk for the first few years of life, making the provision of specialis…
1257716158821630000,Tue May 05 16:57:54 +0000 2020,Let’s help my friend @WhitneyforMT be the Governor of Montana ! https://t.co/R0uxJPmBi5 https://t.co/CrBCEEvBTu
1257695159451443200,Tue May 05 15:34:27 +0000 2020,Women are Montana’s trailblazers.  The state that sent the first woman ever to Congress, now has a chance to put it… https://t.co/4i3yRHn1tU
1257678996256374800,Tue May 05 14:30:13 +0000 2020,Ubuntu! 💙 https://t.co/cwYCRxnex7
1257678216518447000,Tue May 05 14:27:08 +0000 2020,A global health crisis demands a global response, and it starts with us.  Join me in protecting refugee families, w… https://t.co/nqHYBC3g4J
1257491601670074400,Tue May 05 02:05:35 +0000 2020,RT @SheldrickTrust: Walk among giants! It’s crowded down at the Ithumba mud bath &amp; we’ve taken you along so you can mingle among the orphan…
1257340738922258400,Mon May 04 16:06:07 +0000 2020,RT @SheldrickTrust: RT if pictures of baby #elephants make your Mondays brighter?  Our Orphans Project offers a second chance to wild anima…
