id,created_at,text
1259607670476214300,Sun May 10 22:14:05 +0000 2020,@Outcast226 Lol
1259607421951058000,Sun May 10 22:13:06 +0000 2020,😂🤗 Thank you. Have a blessed evening David. You are awesome! Very funny and sweet tweet 😄🙌🏼 https://t.co/vDUygbWrtf
1259575135436226600,Sun May 10 20:04:48 +0000 2020,RT @evavarro: Save &amp; Be Safe 🛍️ Get 20-30% Off site wide. No codes required. We're also including a FREE Face Mask with each order! Style +…
1259575039445385200,Sun May 10 20:04:25 +0000 2020,My favorite designer @evavarro #MadeInTheUSA 🇺🇸 https://t.co/rNBFWQUcJ4
1259553225071526000,Sun May 10 18:37:44 +0000 2020,#MothersDay2020 #Grateful 💞🌷 https://t.co/hwim4aamih
1259542929393291300,Sun May 10 17:56:50 +0000 2020,Is this parody? If not, it’s beyond annoying. https://t.co/0getjV5aTl
1259538031989702700,Sun May 10 17:37:22 +0000 2020,@spiritworldfilm @Twitter @yesnicksearcy Omg!
1259537709305135000,Sun May 10 17:36:05 +0000 2020,@GynnFlynnhero Love and hugs to you 💞🙏🏼
1259537273873367000,Sun May 10 17:34:21 +0000 2020,Whoa, that’s old! https://t.co/sj13Kaj5UG
1259535417893888000,Sun May 10 17:26:59 +0000 2020,@badassbarry Thank you Bad Ass Barry 😎
1259525101583847400,Sun May 10 16:45:59 +0000 2020,This is cruel, a vicious disrespect. Please stop. https://t.co/mvicV0zC17
1259506167501525000,Sun May 10 15:30:45 +0000 2020,RT @realDonaldTrump: https://t.co/iIaEP3Kxek
1259504897436930000,Sun May 10 15:25:42 +0000 2020,@RealDeanCain Omg my heart, this is terrifying!
1259503779864621000,Sun May 10 15:21:16 +0000 2020,@JaniceDean Happy Mother’s Day! 🌷
1259503189004628000,Sun May 10 15:18:55 +0000 2020,Happy Mother’s Day to ALL you Kick Ass Mama’s! 🌷 https://t.co/FYvokNn4O5
1259346902732157000,Sun May 10 04:57:53 +0000 2020,@JaniceDean Congrats girl! ❤️❤️❤️ https://t.co/ArPB5fMKgx
1259336876344868900,Sun May 10 04:18:03 +0000 2020,Amazing film omg! We loved it! Everyone in it was  just amazing! The director made it everything!!! #TearsOfJoy #PureLove 🥰🎓🏈
1259298373330522000,Sun May 10 01:45:03 +0000 2020,Watching #TheBlindSide with my son tonight. We both just cried watching the trailer. #Family 🥰
1259250233600598000,Sat May 09 22:33:46 +0000 2020,Omg that’s the funniest shit I’ve ever seen! 🤣🙌🏼 https://t.co/Z4qcuPQK4V
1259206499697557500,Sat May 09 19:39:59 +0000 2020,RT @BookCameo: #GIVEAWAY! Just because you can’t hug Mom, doesn’t mean you can’t make her smile 😃 ⁠ How to enter:⁠ ⁠✩ Follow @bookcameo + l…
1259154756293087200,Sat May 09 16:14:22 +0000 2020,I absolutely LOVE this shirt! I ordered one last night @NineLineApparel 🇺🇸 If y’all want one you can use my code SL… https://t.co/yxY7P7zesk
1258934083968807000,Sat May 09 01:37:30 +0000 2020,RT @SenTedCruz: Thank you to Shelley Luther and the team at Salon a la Mode for giving me my first haircut in 3 months &amp; more importantly f…
1258932207877599200,Sat May 09 01:30:02 +0000 2020,RT @iheartmindy: Mail-in ballots for the Republican primary are here....even though they’re not supposed to be. Here’s what you can do to b…
1258747703166730200,Fri May 08 13:16:53 +0000 2020,RT @scrowder: One death toll you won’t see covered by mainstream media: abortion kills ~900,000 a year in the U.S.  That’s more than all ho…
1258746666716463000,Fri May 08 13:12:46 +0000 2020,RT @RealJamesWoods: Has anyone mentioned to these clowns that this is a violation of the First Amendnent?
1258745018149412900,Fri May 08 13:06:13 +0000 2020,RT @RealJamesWoods: Science explains everything in the universe but the dog. The dog, my friends, is proof that God exists...
1258744953586450400,Fri May 08 13:05:57 +0000 2020,@RealJamesWoods I am so glad to see you back on Twitter my pal. 🤗
1258740130858311700,Fri May 08 12:46:48 +0000 2020,Absolutely! And God Bless You ❤️🙏🏼 Happy Mother’s Day and Father’s Day 🤗 https://t.co/O1JckIAnt7
1258615016535851000,Fri May 08 04:29:38 +0000 2020,Let’s support each other through this Mother’s Day weekend. 💞
1258613355344007200,Fri May 08 04:23:02 +0000 2020,@HutfilzSuzette Love to you ❤️
1258613093162238000,Fri May 08 04:21:59 +0000 2020,@sherriguernsey Love to you Sherri ❤️
1258612897011335200,Fri May 08 04:21:13 +0000 2020,@swalis Hugs to you❤️
1258612759807365000,Fri May 08 04:20:40 +0000 2020,@TaraHerren1 ❤️❤️❤️❤️
1258612625107226600,Fri May 08 04:20:08 +0000 2020,@DrTACheramie Love Mama ❤️ hugs to you xo
1258612209262964700,Fri May 08 04:18:29 +0000 2020,@kelli43410474 Love to you ❤️
1258612028513693700,Fri May 08 04:17:46 +0000 2020,@ventmedic72 Love to you ❤️
1258611851706933200,Fri May 08 04:17:03 +0000 2020,@stilldreemn God bless you and your family ❤️
1258611532742774800,Fri May 08 04:15:47 +0000 2020,@Mousewrangler2 Love to you ❤️
1258611268845535200,Fri May 08 04:14:45 +0000 2020,@LibCelebs I will pray for your family.
1258610760407822300,Fri May 08 04:12:43 +0000 2020,@Geno_Fonz @that We love you ❤️
1258587737545822200,Fri May 08 02:41:14 +0000 2020,For all you confused folks out there that think #MothersDay is only once a year, you are sorely wrong. MothersDay i… https://t.co/21ut0PmSlu
1258404440429789200,Thu May 07 14:32:53 +0000 2020,Very Cool. My son’s school is having a car parade in front of their school. All our teachers will be there so the k… https://t.co/jHRxRsiaAr
1258248680907423700,Thu May 07 04:13:57 +0000 2020,RT @BrandonStraka: Remember: all the people telling you that after already being out of work for months, you can’t go back to work for 30,…
1258241705624711200,Thu May 07 03:46:14 +0000 2020,RT @KurtSchingoethe: All men are not created equal sometimes it takes a special somebody to step up and drive the ship we have him you can'…
1258240115329114000,Thu May 07 03:39:55 +0000 2020,RT @RandallCRP216: Wow. Kind of poorly worded maybe. Seems to imply kids were sort of a consolation prize for not doing more professionally…
1258240083427238000,Thu May 07 03:39:47 +0000 2020,RT @RandallCRP216: You know, @SpeakerPelosi, it is disgraceful the hypocrisy of your public statement on @JoeBiden. You don’t get to say yo…
