id,created_at,text
1252416389152833500,Tue Apr 21 01:58:30 +0000 2020,Cannot wait for this! https://t.co/il6DVwcBID
1243782826815664000,Sat Mar 28 06:11:48 +0000 2020,@yeslaurenevans @WhisperingAngel You’re the best! Miss you!!!! Xxxooo
1241875300599791600,Sun Mar 22 23:51:59 +0000 2020,RT @leanneaguilera: I took this picture on a much-needed hike today.  Hope it brings you a little bit of peace. https://t.co/2aMKF2N6oX
1241819220930785300,Sun Mar 22 20:09:08 +0000 2020,RT @chefjoseandres: In good times &amp; bad, a hot plate of food is vital nourishment for body &amp; soul. Let’s put the restaurant industry’s 15mi…
1239082765628215300,Sun Mar 15 06:55:27 +0000 2020,RT @josephlongo_: Jennifer Lopez as hand sanitizers A Thread💚 https://t.co/Q2UVsSjKZy
1238366521149153300,Fri Mar 13 07:29:21 +0000 2020,RT @JLo: Spicing things up for #WOD ✨ @NBCWorldofDance #CinnamonSpice https://t.co/wSYCqvUc2t
1235827180191355000,Fri Mar 06 07:18:54 +0000 2020,My favorite @whiteclaw flavor is #Mango. What's yours? #WhiteClawFlavors
1234940408586621000,Tue Mar 03 20:35:12 +0000 2020,#NewProfilePic https://t.co/TdQ99EWchg
1234850065576943600,Tue Mar 03 14:36:12 +0000 2020,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/PgCWxK0e56
1234718568131907600,Tue Mar 03 05:53:41 +0000 2020,Some people wait a lifetime ... for a m-OH-ment like this! #Oprahs2020VisionTour @Oprah https://t.co/x1Vnc058Rz
1213907491701981200,Sun Jan 05 19:37:53 +0000 2020,@ged @KristenEwing Congrats @KristenEwing !!!!
1212220166714482700,Wed Jan 01 03:53:04 +0000 2020,RT @JLo: 2019…what a blessing. Thank you all for your endless love &amp; support this year ❤️❤️❤️ It has meant EVERYTHING to me. Let's keep pus…
1205598613176340500,Fri Dec 13 21:21:22 +0000 2019,@KristenEwing @JLo Thank you so much!! Love you more!!
1205371522241585200,Fri Dec 13 06:19:00 +0000 2019,@Elkins 🙌🙌🙌🙌
1205371459343765500,Fri Dec 13 06:18:45 +0000 2019,@AllieBurrow @Elkins Haha!
1205298526638358500,Fri Dec 13 01:28:56 +0000 2019,@AllieBurrow You know it! I will miss you too!
1205298348636299300,Fri Dec 13 01:28:14 +0000 2019,@JarettSays @JLo Thanks!!
1205298319737548800,Fri Dec 13 01:28:07 +0000 2019,@else @JLo TYSM!!!
1205298276401987600,Fri Dec 13 01:27:57 +0000 2019,@AndySwift @JLo Thanks my friend, hope all is well!
1205298239672504300,Fri Dec 13 01:27:48 +0000 2019,@AllieBurrow You're my fave!
1205298221557239800,Fri Dec 13 01:27:44 +0000 2019,RT @AllieBurrow: Could NOT be prouder of this guy right here! @Ladelsanto you're going to KILL it!!!!!! 👏🏼💙👏🏼💙 https://t.co/hABKLpG1P5
1205298079550718000,Fri Dec 13 01:27:10 +0000 2019,@Elkins You're the very best. Thank you for your continued love and support!
1205298024286548000,Fri Dec 13 01:26:57 +0000 2019,RT @Elkins: Jennifer Lopez Entertainment Taps STX’s Larry Del Santo As President Of Digital https://t.co/ghIuPQsNJY @Ladelsanto is the very…
1205298006444036000,Fri Dec 13 01:26:52 +0000 2019,RT @shaymitchnyc: @Ladelsanto @JLo LARRRRRY!!! I am so proud of you!! Holy shit. This is huge. Congratulations!!!! ❤️❤️❤️
1205297988140064800,Fri Dec 13 01:26:48 +0000 2019,@daliaganz #LariaForever!!!
1205297916388135000,Fri Dec 13 01:26:31 +0000 2019,RT @daliaganz: So proud and excited for @Ladelsanto! https://t.co/FqmeHLuRaI
1205297887191548000,Fri Dec 13 01:26:24 +0000 2019,@duffy3000 LOVE YOU!!!
1205297875577520000,Fri Dec 13 01:26:21 +0000 2019,RT @duffy3000: beyond proud of my twin!! @Ladelsanto https://t.co/yASxx5hifG
1205297845814751200,Fri Dec 13 01:26:14 +0000 2019,RT @amandapham: 💥💥💥💥💥💥💥 https://t.co/Jw3cdTSsEB
1205297831621226500,Fri Dec 13 01:26:11 +0000 2019,@TiffanyArnett TY Tiff!! XX
1205297806090485800,Fri Dec 13 01:26:04 +0000 2019,@mypizzaparty 😍😍😍😍
1205297758661312500,Fri Dec 13 01:25:53 +0000 2019,RT @TiffanyArnett: So proud of you @Ladelsanto! https://t.co/WBADqojlZr
1205297750612430800,Fri Dec 13 01:25:51 +0000 2019,RT @mypizzaparty: FYI @Ladelsanto is the best of the best. 😍💖👏👏👏👏👏👏👏 https://t.co/u4QrVHZB8L
1205238264082251800,Thu Dec 12 21:29:29 +0000 2019,@charley_koontz @JLo Thank you my friend! Hope all is well!
1205238232041975800,Thu Dec 12 21:29:21 +0000 2019,RT @charley_koontz: Daaaaang!! Go @Ladelsanto !! So great to see High School peeps soar to such great heights! Good choice @JLo ! https://t…
