id,created_at,text
1259819825469304800,Mon May 11 12:17:07 +0000 2020,RT @davelackie: Love Dior? I'm giving away the amazing NEW Dior Addict Stellar Gloss in "Mirrored" and "Shock" on Twitter. It's a balm/glos…
1259819132125667300,Mon May 11 12:14:22 +0000 2020,RT @NyxCosmetics: 🌸 #GIVEAWAY 🌸 Happy Mother’s Day! We want to send a little something extra to all the super moms out there! 🌟 Here’s how…
1259819122453631000,Mon May 11 12:14:19 +0000 2020,@NyxCosmetics My mom glows because she's the kindest, most caring person and the hardest worker I know! 💖 #sweepstakes
1259806151111303200,Mon May 11 11:22:47 +0000 2020,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a Kool-Aid Man Pop! https://t.co/zettwc5tqe https://t.co/ApDCJvUV3Q
1259610895304593400,Sun May 10 22:26:54 +0000 2020,RT @PawOriginal: Happy #MothersDay! Share a photo of your fur baby in the replies below for a chance to win a $150 https://t.co/QOK8HAcwRi…
1259610878816784400,Sun May 10 22:26:50 +0000 2020,@PawOriginal Gizmo 💙 https://t.co/yfE0nQxJjB
1259601537908736000,Sun May 10 21:49:43 +0000 2020,I just entered the Mother's Day Giveaway to win a year’s worth of @CAULIPOWER, and a @thehavenly full interior desi… https://t.co/8G4eqEKrol
1259598416071528400,Sun May 10 21:37:19 +0000 2020,RT @budlight: 🚨 GIVEAWAY ALERT 🚨 RT and FOLLOW Bud Light for a chance to win this cozy Bud Light sweatshirt. Or buy it here: https://t.co/Z…
1259598251084468200,Sun May 10 21:36:39 +0000 2020,RT @VRSPets: Happy Mother's Day from the team at VRS! Snap a cute picture of your pet today and tag us at #VRSpets for a chance to win some…
1259598237859807200,Sun May 10 21:36:36 +0000 2020,@VRSPets Gizmo 💙 #VRSpets https://t.co/ptrOPTi211
1259595330498289700,Sun May 10 21:25:03 +0000 2020,@absorbineJr @LuckyCat7
1259595311355437000,Sun May 10 21:24:59 +0000 2020,@absorbineJr @KouponKat
1259595205885517800,Sun May 10 21:24:33 +0000 2020,RT @absorbineJr: No one knows pain like a mother. Let’s celebrate all the resilient mothers out there with a pain-relieving giveaway!  Rule…
1259594813709705200,Sun May 10 21:23:00 +0000 2020,@kannchy @LuckyCat7
1259594784114606000,Sun May 10 21:22:53 +0000 2020,@kannchy @KouponKat
1259594766913802200,Sun May 10 21:22:49 +0000 2020,@kannchy @Snickerdoo2
1259594749234864000,Sun May 10 21:22:45 +0000 2020,RT @kannchy: 32oz giveaway!  Win the color of your choice from my collection:)  To enter: -follow me @kannchy -rt this post/tag a friend (n…
1259468149059133400,Sun May 10 12:59:41 +0000 2020,RT @JuicyJuiceUSA: You always trust your gut, after all who knows your kids better than you? Share your advice for other moms with #MomsKno…
1259468135649939500,Sun May 10 12:59:37 +0000 2020,@JuicyJuiceUSA Always let them be creative! Allow them to wear a mismatching outfit if that's what they want or mak… https://t.co/rMYKON1HBG
1258973183564267500,Sat May 09 04:12:52 +0000 2020,Enter the #MelonMania Sweepstakes daily @farmstarliving to WIN $500 + #watermelon swag from @OfficialMelon1!  https://t.co/cRPnHr6V4D
1258970152634384400,Sat May 09 04:00:49 +0000 2020,RT @MorpheBrushes: #GIVEAWAY ⁣ #Morphebabe, are you ready to WIN all of @Jaclynhill's goodies?! ⁣⁣⁣ 2⃣ WILL WIN everything in this photo. ⁣…
1258970109038780400,Sat May 09 04:00:39 +0000 2020,@MorpheBrushes @Jaclynhill @LuckyCat7
1258970088432173000,Sat May 09 04:00:34 +0000 2020,@MorpheBrushes @Jaclynhill @brown_spearslab
1258970055649484800,Sat May 09 04:00:26 +0000 2020,@MorpheBrushes @Jaclynhill @KouponKat
