id,created_at,text
1259733213741641700,Mon May 11 06:32:57 +0000 2020,Aaj Kal ke bacche itni cheezon ke bawajood nahi maante. Mera sbse bda dream tha ke gharwale ek baar Doy saabun dilwa dein!
1258995786014048300,Sat May 09 05:42:41 +0000 2020,♥️ https://t.co/4Wc9UpRaSb
1258798033459953700,Fri May 08 16:36:53 +0000 2020,Aaj Duggal saab Ramanujan hain! https://t.co/b7oThmTfhs
1258741153635217400,Fri May 08 12:50:51 +0000 2020,Dosto! Jaldi hi pesh kar rha hun. For regular updates, acha lgega agar insta follow krloge. Same hi handle hai, wah… https://t.co/fNcgedJTn4
1258341621684473900,Thu May 07 10:23:16 +0000 2020,What one task you thought was boring but now enjoying the most because of lockdown. For me, bartan maanjhna is the shiz bross
1258270603326427100,Thu May 07 05:41:04 +0000 2020,@arjun007gadhvi Thankyou so much !
1258101208897785900,Wed May 06 18:27:57 +0000 2020,@akdwaaz Thankyou so much :)
1258033968462483500,Wed May 06 14:00:45 +0000 2020,Elon musk ne apne bacche ka naam captcha rakha hai!
1257944014814240800,Wed May 06 08:03:19 +0000 2020,@bluntdeep If you know Punjabi, you will pronounce it right doesn't matter the spelling paaji/bhaaji. And if u are… https://t.co/ro3kDAyUhT
1257943694755258400,Wed May 06 08:02:02 +0000 2020,@bluntdeep I hope it's last time I have to explain. ਭਾਜੀ is a Punjabi word where ਭ is an alphabet available only in… https://t.co/RqTBGH4Ghl
1257689525536592000,Tue May 05 15:12:04 +0000 2020,Word! https://t.co/qFuz6dazjk
1257678012818096000,Tue May 05 14:26:19 +0000 2020,Yeh lockdown ke ilawa main mostly cheezein planning se hi krta hun. Chahe Goa ka trip ho ya aane wale shows. Abhi t… https://t.co/orClv0mCY8
1257673204199493600,Tue May 05 14:07:12 +0000 2020,@loudspeaker_off Wahan par ek bhi COVID case nahi hai 😄
1257653492014968800,Tue May 05 12:48:53 +0000 2020,For those asking, PM cares fund ka paisa kahan ja rha hai. https://t.co/4SxCZovAci
1257648494644539400,Tue May 05 12:29:01 +0000 2020,Yeh aakhri 2 mahine itne lambe the ke February ki baat bhi "Once upon a time" lgake sunani pd rhi hai.
1257629088912674800,Tue May 05 11:11:55 +0000 2020,RT @shreemiverma: Bois locker room is straight up sexual harassment. If you're even thinking about defending it you're complicit in every f…
1257618314055938000,Tue May 05 10:29:06 +0000 2020,Genuine question after the disgusting Boys Locker Room Incident: How can parents be aware in general ke unke bacche… https://t.co/KEH6Ef1HYM
1257546611363926000,Tue May 05 05:44:10 +0000 2020,Parda Jo Uth Gaya To Bhed Khul Jayega! https://t.co/Wu3wGB6jHf
1257284768409976800,Mon May 04 12:23:42 +0000 2020,Mohabbat thi isliye jaane diya, Zid hoti toh dono corona krwa ke bethe hote.
1257224798473580500,Mon May 04 08:25:24 +0000 2020,Aaj market mein 3 logon ne puch liya ke Bhai Saab woh white XUV aapki khadi hai? Bas din bna bna sa lag rha hai
1257193203662565400,Mon May 04 06:19:51 +0000 2020,😂😂😂 https://t.co/c9TvJFX1c0
1256926214176084000,Sun May 03 12:38:56 +0000 2020,@rjt84097762 @KnottyCommander Tum itni koshish mat kro samajhne ki. Mushkil hoga :) ek cheez specially bnai thi isi… https://t.co/pjJo5WP8lF
1256847341719629800,Sun May 03 07:25:32 +0000 2020,RT @RichaChadha: #WorldPressFreedomDay https://t.co/YEIUAH8uuU
1256656611923247000,Sat May 02 18:47:38 +0000 2020,RT @asgarhid: Doctors : we need more PPE kits   government:👇 https://t.co/bmn1CWVszS
1256514149334605800,Sat May 02 09:21:32 +0000 2020,@rjt84097762 @KnottyCommander Hahaha isi liye toh comic bna the ke anjaan logon ko tippani deta phiru one to one. Y… https://t.co/Lwnk2kffM8
1256201760366043100,Fri May 01 12:40:13 +0000 2020,You feel Kya ghatiya baat boli hai, then you read everything in bio, u feel haan expected tha! https://t.co/L3eTjtKehp
1256092018205323300,Fri May 01 05:24:08 +0000 2020,😄😂🙌😊♥️🤗 kitna Khush aadmi hun main https://t.co/tKjtYHh0eW
1255790096525209600,Thu Apr 30 09:24:25 +0000 2020,Mjedar heart to heart conversation with @rupen_paul Agar podcast sunna pasand hai toh check it out here… https://t.co/JgPexkgQuR
1255773409633374200,Thu Apr 30 08:18:06 +0000 2020,Meri body dekh ke hi pta chal gya hoga ke mujhe gym jana pasand hai nhi, but there is a gym story that i shared in… https://t.co/nt06Rb76HX
1255750259914965000,Thu Apr 30 06:46:07 +0000 2020,Some pretty heart to heart conversation. Listen to the podcast if you are into podcasts. It's 1 hr 22 mins because… https://t.co/igDmnn1UxC
1255189509907427300,Tue Apr 28 17:37:54 +0000 2020,Main kahin tukdo pe jee rha hunnnnnn https://t.co/aHNuuHrZDq
1254659547656007700,Mon Apr 27 06:32:01 +0000 2020,RT @Punit_Pania: No Audit, Only Bhakti ✋ https://t.co/ivYeuen9vi
1254419970571845600,Sun Apr 26 14:40:01 +0000 2020,Aaj Kal itna time hai ke main yeh bhi sochta hun Baki Kya soch rhe honge. Feat. @clickmadness @malikgarv special ap… https://t.co/dE5vHXqGOr
1254266306146099200,Sun Apr 26 04:29:25 +0000 2020,Bullet vs Sports bike.Choice Meri shuru se hi clear thi iss maamle mein.Aur bohat mze aye performing on this gorgeo… https://t.co/hAE2pQYUXi
1253681636568375300,Fri Apr 24 13:46:09 +0000 2020,@Rajbir_Warraich Bohat hi vdiya! 15-16 saal tak baad di audience ready kro Meri :)
1253678947163934700,Fri Apr 24 13:35:27 +0000 2020,@Rajbir_Warraich Thankyou so much. And Tehzeeb naam rakheya? Nva ik dam
1253263952471081000,Thu Apr 23 10:06:25 +0000 2020,Main arnab pe hone wale attacks support nhi krta but they don't surprise me either... https://t.co/PjdIj6O6Qq
1252966433790873600,Wed Apr 22 14:24:11 +0000 2020,RT @baxiabhishek: This is perfect commentary about online outrage by @LifeOfPaaji.   https://t.co/5yzISVZLOu
1252966424160669700,Wed Apr 22 14:24:09 +0000 2020,@baxiabhishek Thankyou so much :)
1252638720441880600,Tue Apr 21 16:41:58 +0000 2020,Ludo king mein haarne ke baad poora board ultaane ka option hi nahi hai, huh!
1252486632747475000,Tue Apr 21 06:37:37 +0000 2020,@Sanjay2213 Boht dhanyawaad :)
1252486544939790300,Tue Apr 21 06:37:17 +0000 2020,@OneRahul_Sharma Thankyou so much :)
1252296999833043000,Mon Apr 20 18:04:05 +0000 2020,@MdMahboobAnsari Shukriya bohat :)
1252280035102396400,Mon Apr 20 16:56:41 +0000 2020,Back to back good words flowing in. Checkout the video if you haven't yet. Kal se zyada promote nhi krenge :) Jahan… https://t.co/aZGjTFi22W
1252248034320285700,Mon Apr 20 14:49:31 +0000 2020,@the_preet_sidhu @AMISHDEVGAN Hahhaah B&amp;D
1252246959731032000,Mon Apr 20 14:45:15 +0000 2020,Iss duniya ka aadha sukoon toh ussi din kahin kho gya tha, Jab tareef ke "2 shabd" aur shikwe "long post alert'" ho gya tha.  ~J
1252226971439788000,Mon Apr 20 13:25:49 +0000 2020,RT @TheSumeetGill: Ever since he came up with the Baghban set video, this man has been my favourite. Mainu bahut mazaa aaya ehnu dekh ke su…
1252226962078093300,Mon Apr 20 13:25:47 +0000 2020,@TheSumeetGill Thanks so much veere :)
1252199645314519000,Mon Apr 20 11:37:14 +0000 2020,@TegtaAdarsh Boht dhanyawaad :)
