id,created_at,text
1259832685683519500,Mon May 11 13:08:13 +0000 2020,[1094] Wine Bottle Lock Opened With Red Bull Can https://t.co/ZHgolKCnrd
1259272884872241200,Sun May 10 00:03:46 +0000 2020,@xcava86x Link?
1259272600217411600,Sun May 10 00:02:38 +0000 2020,@davidchannon The price difference is large, but not in relation to the overall cost of a $75 bike lock.
1259272187283996700,Sun May 10 00:01:00 +0000 2020,@Aspie4L Just one comes to mind... a steering wheel lock. I accidentally broke it open during testing. I bought ano… https://t.co/BPqrwPZBcM
1259270173485404200,Sat May 09 23:53:00 +0000 2020,@HeyJep 😂😂👍
1259270064244699100,Sat May 09 23:52:34 +0000 2020,Where’s my under door tool shoe? I’ve been waiting for about a year! ☹️ https://t.co/CeuAJm5v2x
1259269306946289700,Sat May 09 23:49:33 +0000 2020,@kjames_2001 Every once in a while... they’re usually good for a laugh. My new favorite is a company that said my v… https://t.co/7MEkaGGoaR
1259268467892633600,Sat May 09 23:46:13 +0000 2020,@lockpickingmath @arfbtwn Guilty.
1259268150006288400,Sat May 09 23:44:57 +0000 2020,@lockpickingmath Perhaps... it’s about time to bring back some novel brute force attacks.
1259107977295995000,Sat May 09 13:08:29 +0000 2020,[1093] “Lobster Lock” Opened With Red Bull Can https://t.co/PIeNfNy8Ga
1258882425989615600,Fri May 08 22:12:13 +0000 2020,@ethereum2 @TrimontiumTrust Old ones... 🤷🏻‍♂️
1258879248581955600,Fri May 08 21:59:36 +0000 2020,@M0KPH @dontlook @TOOOLChicago Then try using the corner/tip of the shim. Look for a notch instead of a flat. There must be something.
1258749507887607800,Fri May 08 13:24:03 +0000 2020,[1092] Opened With a Red Bull Can: Yale Key Lockbox (Model Y500) https://t.co/JCWwCPaEFy
1258583779897217000,Fri May 08 02:25:31 +0000 2020,@jcsturgeon @Pawywolf Of course you could.
1258583375553626000,Fri May 08 02:23:54 +0000 2020,@Portersstuff Nope... at least none of their original stuff. They sell lots of stuff from other companies that I’ve used.
1258566683385610200,Fri May 08 01:17:35 +0000 2020,@TheNerdJay @Pawywolf High skill raking attack? 🤷🏻‍♂️😋
1258566533506269200,Fri May 08 01:16:59 +0000 2020,@karateslap Yup... I’m very familiar with the subject matter. 👍
1258531260135125000,Thu May 07 22:56:49 +0000 2020,@ascrublife @M0KPH A tweet isn’t exactly the place for listing the 30 things I would try... it’s the place for a co… https://t.co/UvfveVxO5M
1258511929502396400,Thu May 07 21:40:00 +0000 2020,@dishpitadam He is? I’ve not heard that before. 🤷🏻‍♂️
1258510069118824400,Thu May 07 21:32:37 +0000 2020,@vexx32 @SparrowsTools It’s clearly the wrong product.
1258509473728983000,Thu May 07 21:30:15 +0000 2020,@M0KPH Never played with one. 🤷🏻‍♂️
1258509029749350400,Thu May 07 21:28:29 +0000 2020,@BMbuster2 I recommend hidden cameras (where legal 🤷🏻‍♂️).
1258508767815037000,Thu May 07 21:27:26 +0000 2020,@kerr_cow__ Did you see my comment?
1258508626370547700,Thu May 07 21:26:53 +0000 2020,@tark1911 Doesn’t look too impressive, but hard to say until I play with it.
1258508320224104400,Thu May 07 21:25:40 +0000 2020,@lucas22 No... two videos is more than enough.
1258508163705270300,Thu May 07 21:25:02 +0000 2020,@_Spacegeek @thelocklab Good luck with it!
1258507979852136400,Thu May 07 21:24:19 +0000 2020,@CallumR28645459 Like every other folding bike lock. They’re very common.
1258507764621439000,Thu May 07 21:23:27 +0000 2020,@Pawywolf Photoshop.
1258507687634989000,Thu May 07 21:23:09 +0000 2020,@TomGhanini Yup, I saw. Pretty cool. 👍
1258507588737446000,Thu May 07 21:22:45 +0000 2020,Getting a shout out from the biggest independent YouTuber in the world was a nice surprise... Thanks PewDiePie! 👍… https://t.co/e79F1CHPSe
1258024769540292600,Wed May 06 13:24:12 +0000 2020,[1091] A Sadly Ordinary Copy: Kryptonite’s “Gripper” Combination Lock Bypassed https://t.co/0ybGHfbJML
1257875786029305900,Wed May 06 03:32:12 +0000 2020,@RaytingTW @muncaster_david @RealSexyCyborg @SwiftOnSecurity You figured it out... My name is Werner Brandes. 😋
1257875387561980000,Wed May 06 03:30:37 +0000 2020,Apparently, @SparrowsTools has competition for a low cost disc detainer tool. 🤷🏻‍♂️ https://t.co/tTvryVRxqB
1257798502714880000,Tue May 05 22:25:06 +0000 2020,@ZipFNM Yes
1257797966032777200,Tue May 05 22:22:58 +0000 2020,@Kevin2600 The mechanism is actually pretty clever... it’s a shame the lock body stinks.
1257587698732236800,Tue May 05 08:27:26 +0000 2020,@deviantollam @Altethir Thanks, but I’m good. These dire times are “forcing” me to try some unopened bottles that h… https://t.co/Ct9mr98HtT
1257584470602940400,Tue May 05 08:14:37 +0000 2020,@deviantollam @Altethir I’m out. ☹️ But currently working on some Ardbeg Corryvreckan, another peaty elixir that’s… https://t.co/b0KN3kMcuz
1257578332327227400,Tue May 05 07:50:13 +0000 2020,@lockpickingmath @a8n_pub Yup... most likely the same garbage.
1257576381933912000,Tue May 05 07:42:28 +0000 2020,@deviantollam @Altethir Agreed. 👍
1257576149452034000,Tue May 05 07:41:33 +0000 2020,@codingneko I’ve never played with one and don’t know what the mechanism is, so I can’t really speculate.
1257575141753737200,Tue May 05 07:37:33 +0000 2020,@Matt_Smith_Hux @ZlocksCa @Squelchtone @thelocklab That’s a far cry from the beautiful work you do now!
1257574735346634800,Tue May 05 07:35:56 +0000 2020,@Cyclopunk When you can open any bike lock on the rack, it becomes your neighbor’s problem. 😋 And I’d stop storing… https://t.co/zCF5JkWQ8i
1257574011510370300,Tue May 05 07:33:03 +0000 2020,@hon1nbo I only have one... but there must be that maybe.
1257573834116432000,Tue May 05 07:32:21 +0000 2020,@locksport_ok 😂 nope...if it’s was small enough, it would probably work.
1257573622354501600,Tue May 05 07:31:30 +0000 2020,@virelli I’ll consider it.
1257573390019375000,Tue May 05 07:30:35 +0000 2020,@ZipFNM @thelocklab Link? Picture?
1257304491147198500,Mon May 04 13:42:04 +0000 2020,@HighlandArrow Yes. Most wafer locks are since the keyways are cast, not broached.
