id,created_at,text
1259923143327723500,Mon May 11 19:07:40 +0000 2020,RT @RedHourBen: Thanks so much for the incredible outpouring of love and appreciation for Jerry. I know how much it would mean to him. And…
1258986237236596700,Sat May 09 05:04:44 +0000 2020,RT @UNHCRUSA: 😷 These refugee women have made more than 6,000 masks for the Rochester, New York community.  via @13WHAM  https://t.co/wLSxH…
1257725370473885700,Tue May 05 17:34:30 +0000 2020,RT @Refugees: 🚨LIVE NOW: ⬇️ https://t.co/XLRvOUM0Oa  UNHCR Goodwill Ambassador @RedHourBen is joined by @UNRefugeeAgency to discuss how we…
1256287429390151700,Fri May 01 18:20:38 +0000 2020,R̶e̶f̶u̶g̶e̶e̶s̶ ̶a̶r̶e̶ ̶a̶ ̶b̶u̶r̶d̶e̶n̶.̶ R̶e̶f̶u̶g̶e̶e̶s̶ ̶a̶r̶e̶ ̶w̶e̶l̶c̶o̶m̶e̶.̶ Refugees are essential.  Du… https://t.co/UHVWbHGGAP
1256217547164311600,Fri May 01 13:42:57 +0000 2020,RT @Refugees: What are your #FilmsOfHope?  Reply with your top 5 and we'll retweet some of our favorites!  Need inspiration? Check out this…
1255977683483320300,Thu Apr 30 21:49:49 +0000 2020,RT @FilippoGrandi: @unicefchief @justinvanfleet @SarahBrownUK @lizgrant360 @FeliciaKnaul @marfrenk @AfsanBhadelia @cameliailie @LuluMM @Hau…
1255240718882406400,Tue Apr 28 21:01:23 +0000 2020,RT @Refugees: Thanks to the refugees responding to the #coronavirus outbreak.  Thanks to health workers on the frontlines.  A special thank…
1255226762885292000,Tue Apr 28 20:05:55 +0000 2020,RT @Refugees: Just going to leave this here. #NationalSuperheroDay https://t.co/IwKfpImAD3
1255213013172445200,Tue Apr 28 19:11:17 +0000 2020,RT @FilippoGrandi: Thank you to our committed UNHCR Goodwill Ambassadors and high profile supporters around the world - including former re…
1253370873530237000,Thu Apr 23 17:11:17 +0000 2020,RT @dimplevjk: eeeeek 🙌 SO bloody delighted that our UNHCR x @TwitterForGood campaign #KnitForRefugees has won Best Twitter Partnership at…
1251450843792113700,Sat Apr 18 10:01:46 +0000 2020,RT @Refugees: There's a lot of uncertainty these days thanks to #coronavirus.  That includes when you're looking for something new to watch…
1251164155840811000,Fri Apr 17 15:02:34 +0000 2020,RT @IMDb: #CateBlanchett shares a special list of films that inspire hope in an effort to help support those without a place to call home a…
1250906719322083300,Thu Apr 16 21:59:37 +0000 2020,RT @BuffaloBills: From Buffalo to downstate, right now we’re one team.   We’re in this together. #WeAreNewYork https://t.co/jbz88NGWL1
1250461644108501000,Wed Apr 15 16:31:03 +0000 2020,RT @Refugees: Refugees spread love. Refugees spread hope. Refugees spread skills.  When the pandemic is over, they’ll still be helping the…
1249041644713914400,Sat Apr 11 18:28:28 +0000 2020,RT @Refugees: Anaís isn't just a hero. She's a superhero.  When she left Venezuela, she was selling food in Colombia to make ends meet.  No…
1249041553844289500,Sat Apr 11 18:28:07 +0000 2020,RT @UN: Refugees and displaced people are among the most vulnerable to the spread of #COVID19.  @Refugees is supporting prevention measures…
1248256659077640200,Thu Apr 09 14:29:13 +0000 2020,RT @Refugees: When it comes to coronavirus... why should you care about refugees? 🤔 https://t.co/x9yjcfZCvx
1247874439905247200,Wed Apr 08 13:10:25 +0000 2020,RT @DominiqueHyde: Please join me tomorrow on TikTok Live. https://t.co/vFbN10HZeM
1247868243626397700,Wed Apr 08 12:45:48 +0000 2020,RT @MelissaFleming: “I remember people telling me that, because I was a refugee, I shouldn’t dream to go to university and instead focus on…
1247632547636564000,Tue Apr 07 21:09:13 +0000 2020,RT @ACNURamericas: Hoy es el #DíaMundialDeLaSalud y queremos dar las gracias a todos los profesionales de la salud que enfrentan #COVID19.…
1247544158081908700,Tue Apr 07 15:18:00 +0000 2020,To the amazing healthcare workers working from New York City to refugee camps, and everywhere in between, – thank y… https://t.co/B2MYsmL579
1247519948949401600,Tue Apr 07 13:41:48 +0000 2020,RT @Refugees: To the nurses To the doctors To the medics To the pharmacists To the EMTs To the medical assistants To the caregivers To the…
1247298891986415600,Mon Apr 06 23:03:24 +0000 2020,Things 2019 @Lorey never thought he'd say.  "Today I sobbed watching @johnkrasinski talk about ordinary people maki… https://t.co/mjOHOeOPCe
1246546563536691200,Sat Apr 04 21:13:55 +0000 2020,RT @scoop_reardon: We’re looking for a digital guru with an eye for detail, a passion for photography 📸 and video 🎥, and an urge to support…
1246529109200638000,Sat Apr 04 20:04:33 +0000 2020,💤 13 hours of sleep. 🚴‍♂️ @onepeloton ride. 🧘‍♂️ meditation. 🌱 gardening.  Protecting physical health and come at t… https://t.co/NNjS0ofOkV
1246119636317462500,Fri Apr 03 16:57:27 +0000 2020,RT @Refugees: A simple bar of soap can help save lives. 🧼 https://t.co/LHTehHOTPD
1245828731798786000,Thu Apr 02 21:41:30 +0000 2020,Just trying to watch Tiger King. #QuarantineLife  [🔊 Volume up.] https://t.co/be4bHuzk0P
1245816818910011400,Thu Apr 02 20:54:10 +0000 2020,RT @MelissaFleming: Over 1 million people from all over the world are standing with @UN Chief @AntonioGuterres to support his call to "put…
1245758433988620300,Thu Apr 02 17:02:10 +0000 2020,RT @NYGovCuomo: We need supplies.   We need your help.  If you can manufacture PPE I implore you to do so. NYS will pay a premium.  Email C…
1245750469361836000,Thu Apr 02 16:30:31 +0000 2020,RT @JAGhedini: Everywhere communities are supporting each other to fight the spread of the #coronavirus In many places, #refugees are suppo…
1245432473334567000,Wed Apr 01 19:26:55 +0000 2020,Brooklyn has gone full Yeti.  Unless you're going to the grocery store (like this dude) – stay home. https://t.co/ndCWqKf6rj
1245050742022590500,Tue Mar 31 18:10:03 +0000 2020,3 @shortyawards nominations. 3 finalists. 🤞  Even as the world turns upside down, I'm so proud of the content the… https://t.co/FqhHxjbDGT
1244368907441496000,Sun Mar 29 21:00:41 +0000 2020,RT @FilippoGrandi: In Sudan, as all over the world, humanitarian workers continue to serve people in need while ensuring that they also pro…
1244357820620963800,Sun Mar 29 20:16:38 +0000 2020,RT @PAbeywardena: I have never felt more proud to be the Commissioner for International Affairs.   NYC is the epicenter of Covid-19 so we a…
1244094625792561200,Sun Mar 29 02:50:47 +0000 2020,A coronavirus reminder:   You can be kind and compassionate and safe. All at once. https://t.co/lhMPeHejgb
1244010825901318100,Sat Mar 28 21:17:48 +0000 2020,RT @jnbeuze: I am not going to lie.  Setting up a #coronavirus program while running our regular humanitarian response for 270K refugees &amp;…
1243235830413566000,Thu Mar 26 17:58:14 +0000 2020,Quarantine texts from a concerned father and the gradual erosion of a normally adequate mental state. #StayAtHome… https://t.co/0nAwK596BR
1242903538541437000,Wed Mar 25 19:57:50 +0000 2020,RT @Alancumming: Please, please , please...
1242862963058507800,Wed Mar 25 17:16:36 +0000 2020,I don't typically make a habit of posting funding appeals, but this is different.  I see anxiety and fear in New Yo… https://t.co/y4kxJLwShm
1242862961284337700,Wed Mar 25 17:16:35 +0000 2020,I live in New York City. We have water, and hospitals, and some of the most sophisticated health programs in the wo… https://t.co/9j6n4kPf7l
1242817727464722400,Wed Mar 25 14:16:51 +0000 2020,LIVE NOW: @UN agencies issue an urgent humanitarian appeal to help protect the most vulnerable from the #COVID19 ou… https://t.co/2kaIqMdE6O
1242620305325133800,Wed Mar 25 01:12:22 +0000 2020,RT @UN: I'm profoundly grateful for the heroic efforts of all health workers on the front lines of the global fight against the #coronaviru…
1242568023438917600,Tue Mar 24 21:44:37 +0000 2020,RT @KellyTClements: We play a part in preventing spread of #COVID19 &amp; protecting the most vulnerable, including #refugees - those forced to…
1242473581545734100,Tue Mar 24 15:29:20 +0000 2020,@MylaeleNEGGA @UN The feeling is 💯 mutual.
1242466385067991000,Tue Mar 24 15:00:44 +0000 2020,Heartened by the craziest videocon I've been on since #covid19.  From protecting the most vulnerable, to info for n… https://t.co/lE446N7dwZ
1242247260177666000,Tue Mar 24 00:30:01 +0000 2020,RT @CoachJSherlock: 2020 FHS Football Schedule!!! #seasonoforange #orangecrush https://t.co/Kfs5kmDwkl
1242158930018603000,Mon Mar 23 18:39:01 +0000 2020,RT @antonioguterres: Today I am calling for an immediate global ceasefire in all corners of the world.  It is time to put armed conflict on…
1242144836628742100,Mon Mar 23 17:43:01 +0000 2020,RT @HamillHimself: You know how there's all those places where people are?  Don't be there. https://t.co/Cxf0ON3Fxf
1242128744594186200,Mon Mar 23 16:39:05 +0000 2020,RT @MelissaFleming: Today I am calling for an immediate global ceasefire in all corners of the world.   It is time to put armed conflict on…
1242128110801346600,Mon Mar 23 16:36:33 +0000 2020,BREAKING: @UN Secretary-General @antonioguterres calls for global ceasefire amidst global #COVID19 Pandemic.  "The… https://t.co/SV3NBQqyv1
1242119177462255600,Mon Mar 23 16:01:04 +0000 2020,#NationalPuppyDay couldn't have come at a better time.  Whenever #coronavirus has me a bit down in NYC, I just have… https://t.co/3b2XoQwSuF
