id,created_at,text
1259905593726234600,Mon May 11 17:57:56 +0000 2020,@cogman_bryan @RileyMcAtee @MaraReinstein Pairs wonderfully with a Clone Wars binge and an HP read!
1259902573001101300,Mon May 11 17:45:55 +0000 2020,It's Survivor Week at The Ringer! Head to the spy shack of your choosing and curl up with some coconuts and some ar… https://t.co/wpBRm56ptQ
1259178310631743500,Sat May 09 17:47:58 +0000 2020,@cogman_bryan https://t.co/Q1tgxQZxa5
1258943138300743700,Sat May 09 02:13:28 +0000 2020,I know Anakin, @netw3rk. Your vision is flawed...   But the final four episodes of #TheCloneWars were anything but.… https://t.co/9CwjLQfTwy
1258884722261815300,Fri May 08 22:21:21 +0000 2020,@StetsonCEdwards @netw3rk @binge_mode How wonderful! Congratulations, Chase! 🎓
1258831211125850000,Fri May 08 18:48:43 +0000 2020,RT @KevinOConnorNBA: Publicly, the NBA has been vague about its plans to restart after suspending the season in March.   Privately, however…
1258830388018819000,Fri May 08 18:45:27 +0000 2020,Two of my favorite human beings talking about one of my favorite shows 🍴 https://t.co/JhDuv6fAgZ
1258820329234788400,Fri May 08 18:05:28 +0000 2020,RT @_Matt_James_: Thought it would be appropriate to do a collab on the art for @doxellis’s three part series on the Air Jordan 1 so the gr…
1258813752318681000,Fri May 08 17:39:20 +0000 2020,@RileyMcAtee @jordanshelton24 Agreed!
1258578325968060400,Fri May 08 02:03:50 +0000 2020,@world_iswide @TheCloneWars 💞
1258435980312207400,Thu May 07 16:38:12 +0000 2020,⚾️⚾️⚾️⚾️⚾️🤎O'S!🖤⚾️⚾️⚾️⚾️⚾️ https://t.co/ikGGCaQEqV
1258434722004258800,Thu May 07 16:33:12 +0000 2020,RT @CespedesBBQ: 🚨BBQ NEWS🚨  Very excited to announce we're joining the @ringer podcast network. First episode coming next week, can't wait…
1258129375230214100,Wed May 06 20:19:52 +0000 2020,What do AJ1s and tulips have in common?👟🌷 Another fun one from @doxellis:    https://t.co/Rkhgk7xSHX
1257867283214430200,Wed May 06 02:58:25 +0000 2020,@TysonApostol 🥥🙏
1257865539973640200,Wed May 06 02:51:29 +0000 2020,RT @TysonApostol: Spoiler alert... I'm a favorite. https://t.co/PKP6JdfEjg
1257837797827739600,Wed May 06 01:01:15 +0000 2020,"Harry—yer an at-home listening experience!!!"   This is so dope. ⚡️📚⚡️📚⚡️📚⚡️  Are your glasses held up? Are your v… https://t.co/pQpKPiEilB
1257495850449690600,Tue May 05 02:22:28 +0000 2020,@Rachel__Nichols @binge_mode @netw3rk 😭💝 Thank you, Rachel!
1257482350973214700,Tue May 05 01:28:50 +0000 2020,RT @PulitzerPrizes: Congratulations to @baltimoresun. #Pulitzer https://t.co/EnpseCDp5o
1257374108502950000,Mon May 04 18:18:43 +0000 2020,RT @doxellis: Looked at the history of the Air Jordan 1, how retros went from afterthought to the most important thing in sneakers, and why…
1257372753432379400,Mon May 04 18:13:19 +0000 2020,RT @ringer: Have you ever wanted to know how #Billions gets made?  Cocreators @DavidLevien and @briankoppelman take you behind the scenes o…
1257102594146570200,Mon May 04 00:19:48 +0000 2020,Opened a package that we thought contained face coverings. Instead discovered two Baby Yoda dolls that my husband a… https://t.co/fxlkBA1A9X
1256988393394720800,Sun May 03 16:46:01 +0000 2020,Happy Billions Day to you and yours! https://t.co/I1PuwCvMoA
1256650744066760700,Sat May 02 18:24:19 +0000 2020,On a new @Binge_Mode: Ask the Underscore, @netw3rk and I discuss the thrilling #CloneWars final arc, build our Fell… https://t.co/qnwNVRT5kB
1256335104411984000,Fri May 01 21:30:05 +0000 2020,Sunday is a global holiday: @SHO_Billions premiere day! @SeanFennessey and I hopped on TV Concierge to refresh each… https://t.co/LXbGI7lTUV
1256333823643545600,Fri May 01 21:24:59 +0000 2020,Bananas Backpack 2.0 time:    https://t.co/T5DvLMNEL5
1256332634453536800,Fri May 01 21:20:16 +0000 2020,🤎🖤 https://t.co/0hTxHlL9JX
1255937803990364200,Thu Apr 30 19:11:21 +0000 2020,Can I name 50? https://t.co/681RjFTeZH
1255573087770140700,Wed Apr 29 19:02:06 +0000 2020,RT @binge_mode: Binge Heads, it's time for another #AskTheUnderscore with @netw3rk and @MalloryRubin! Comment on this tweet to pose your qu…
1255164940559638500,Tue Apr 28 16:00:16 +0000 2020,@ShanMcD12 @netw3rk Truly marvelous!!!
1254829893793181700,Mon Apr 27 17:48:54 +0000 2020,🏈 Best draft!   🏈 Worst draft!  🏈 Most shocking slide! 🏈 Best Zoom presence!  🏈 And much more NFL draft superlative… https://t.co/0ZKBdqkIZ6
1254816563087073300,Mon Apr 27 16:55:56 +0000 2020,RT @BillSimmons: We launched a new podcast exclusively for @spotify: TV CONCIERGE.  Mini-pods about specific streaming shows. Should u watc…
1253899289383678000,Sat Apr 25 04:11:01 +0000 2020,A little while ago, @netw3rk recommended a story he thought I'd love. He told me it featured a talking cat, a treeh… https://t.co/lZHMjozk7l
1253891124856369200,Sat Apr 25 03:38:34 +0000 2020,At this rate, Goodell will be making the final pick of the night from bed, in tasteful pajamas, with a draft card i… https://t.co/VyKHYuCPOr
1253878090175897600,Sat Apr 25 02:46:47 +0000 2020,@KirkSeriousFace @netw3rk @binge_mode You'll love it!
1253864230467465200,Sat Apr 25 01:51:42 +0000 2020,@minakimes 😏
1253857792118550500,Sat Apr 25 01:26:07 +0000 2020,Do you guys think the Packers like Fromm or Eason better here?
1253855438379970600,Sat Apr 25 01:16:46 +0000 2020,WHERE THE FUCK IS THE DOG???
1253850066973896700,Sat Apr 25 00:55:26 +0000 2020,😊😊😊😊😊😊😊😊 https://t.co/bg8nuEsRya
1253848739195654100,Sat Apr 25 00:50:09 +0000 2020,Gimme Dobbins
1253834936261329000,Fri Apr 24 23:55:18 +0000 2020,Does Tom Brady have to pivot to cats now? https://t.co/g1ArykrueZ
1253789344415879200,Fri Apr 24 20:54:08 +0000 2020,RT @bykevinclark: "Boar on the floor! It's a game. It's fun." https://t.co/kcbBbexyXh
1253722017838162000,Fri Apr 24 16:26:36 +0000 2020,The Jordan Love shocker! Kliff Kingsbury's quarantine pad! My Patrick Queen glee! 🗣️TUA! And many more Round 1 NFL… https://t.co/hj5kfDrV0R
1253570672246141000,Fri Apr 24 06:25:13 +0000 2020,@jazayerli It's kind of you to try to briefly trick me into forgetting that you just won the Super Bowl
1253570425251967000,Fri Apr 24 06:24:14 +0000 2020,Can't wait to add Queen to my growing @minakimes watercolor collection! 😈 https://t.co/GffpvwLh8w
1253570042345582600,Fri Apr 24 06:22:42 +0000 2020,@minakimes 💜🖤
1253569400898089000,Fri Apr 24 06:20:10 +0000 2020,@RileyMcAtee 😈
1253529661226643500,Fri Apr 24 03:42:15 +0000 2020,YES!!!!!!!! LET'S FUCKING GO!!!!!!!! https://t.co/nCRNFSvtSB
1253522693321658400,Fri Apr 24 03:14:34 +0000 2020,I need Patrick Queen to be a Raven. Please.
1253500443067445200,Fri Apr 24 01:46:09 +0000 2020,I BADLY wanted the Ravens to trade up for Henry Ruggs. I'm despondent. However, Henry Ruggs, who's wearing a bathro… https://t.co/bkjJHT6ZaL
1253493649087713300,Fri Apr 24 01:19:09 +0000 2020,Holy shit. Not sure if I'm more awed by the Cardinals landing Isaiah Simmons at 8 or by Kliff's quarantine vibe.
1253488810622476300,Fri Apr 24 00:59:55 +0000 2020,[Extremely @BenGlicksman voice] 🗣️TUAAAAAAAAA!!!!!!!!!!!
1253481118713684000,Fri Apr 24 00:29:21 +0000 2020,NFL Draft Grades! @DannyBKelly will be analyzing each pick right after it's made, so check back throughout the even… https://t.co/DMrML8EEUO
1253478775213322200,Fri Apr 24 00:20:03 +0000 2020,How do you use the fishing animation for Burrow and not Jake "Fish Hook" Fromm???
1253475606727024600,Fri Apr 24 00:07:27 +0000 2020,RT @RileyMcAtee: Wrote about last night's Survivor here: https://t.co/HBMUd0Nbhr  Podded about last night's Survivor (with @julietlitman!)…
1253198748009631700,Thu Apr 23 05:47:19 +0000 2020,From the minutes limit to the 63-point game in one episode. An iconic showing. https://t.co/Hh04a39qrS https://t.co/BXmGjCzQFC
1253197869164576800,Thu Apr 23 05:43:49 +0000 2020,SPY NEST AWAITS!!! https://t.co/LbjDsuOxOh
1253004972762919000,Wed Apr 22 16:57:19 +0000 2020,It's @DannyBKelly's final Big Board update and Mock Draft of 2020! Other than ignoring his sacred duty to pair Rugg… https://t.co/Z11TPHZiyc
1253003376473673700,Wed Apr 22 16:50:59 +0000 2020,RT @andrewgrutt: a window into the editing process for this masterpiece: https://t.co/34Y10cGJol
1253002571293143000,Wed Apr 22 16:47:47 +0000 2020,RT @bryancurtis: New column: The NFL draft has enriched (in all senses) the careers of football writers for decades.   During coronavirus,…
1252663869543071700,Tue Apr 21 18:21:54 +0000 2020,RT @AlanSiegelDC: Here's my story on the making of Season 5 of BETTER CALL SAUL, featuring insight from @mrbobodenkirk, @rheaseehorn, @pete…
1252436901161656300,Tue Apr 21 03:20:01 +0000 2020,RT @HKSurrey: On the Better Call Saul finale. This season has been a joy to write about and the kind words from strangers, friends, and pee…
1252329350151585800,Mon Apr 20 20:12:38 +0000 2020,The most recent episode of #TheCloneWars was incredible. I shed more than one tear! Ahsoka and Anakin! Rex's helmet… https://t.co/s0xSqYj658
1252292801749872600,Mon Apr 20 17:47:25 +0000 2020,Shades of the infamous Ringer fantasy football draft... https://t.co/1dpzHWr15u
1252279236598960000,Mon Apr 20 16:53:30 +0000 2020,@kathrynholeman @ranholeman @netw3rk @binge_mode 😭💝
1252074934269997000,Mon Apr 20 03:21:41 +0000 2020,I loved every second of #TheLastDance, but “Depends on how fucking bad the headache is!” was particularly exceptional
1252073061685145600,Mon Apr 20 03:14:14 +0000 2020,RT @BillSimmons: Here’s the Hall of Fame Pyramid essay that I wrote about Scottie Pippen in the Book of Basketball — had him as a Level 4 a…
1251632422061404200,Sat Apr 18 22:03:18 +0000 2020,This is forgiveness, @netw3rk. This is absolution. You made no decision to podcast with me. You could only have don… https://t.co/cI5VhyFrwG
1251562246418776000,Sat Apr 18 17:24:27 +0000 2020,RT @collin_orcutt: It feels like a strange time to share this, but the docuseries I’ve been working on for over a year launched on Apple TV…
1251252917132116000,Fri Apr 17 20:55:17 +0000 2020,@rajevoy @minakimes @Eagles Is this @ChrisRyan77's burner???
1251249753460863000,Fri Apr 17 20:42:42 +0000 2020,Did @minakimes make fun of my Henry Ruggs obsession? Yes.  Did we both offer our souls to the devil in exchange for… https://t.co/RWLKHI5d8g
1251227516821319700,Fri Apr 17 19:14:21 +0000 2020,RT @SeanFennessey: The Top 10 Horny Quarantine Erotic Thrillers, with @akdobbins and @Wesley_Morris on @TheBigPic.   https://t.co/CWjpyBu3iF
1251227457207689200,Fri Apr 17 19:14:07 +0000 2020,RT @davehill77: No sports means The Ringer let me write about chess again. This is our moment, indoor kids.  https://t.co/SF9IYgtmQO
1251227265913909200,Fri Apr 17 19:13:21 +0000 2020,RT @robertmays: “That would be the Holy Grail. If you could do [that] at the college level ... you’d be cashing some big checks.”  I wrote…
1251227075513483300,Fri Apr 17 19:12:36 +0000 2020,RT @PeteCarroll: Check out Episode 2 of our #FlyingCoach podcast with @SteveKerr! https://t.co/gtQgRBm9PD
1251226319645364200,Fri Apr 17 19:09:35 +0000 2020,@minakimes https://t.co/NXJgo5h44K
1251216306453360600,Fri Apr 17 18:29:48 +0000 2020,@KyleAMadson He's napping in a sunbeam, but I'll be sure to tell him later!
1251215943830626300,Fri Apr 17 18:28:22 +0000 2020,@askipsvenn One to pair with every watercolor Mina paints for me 🎨
1251215691325124600,Fri Apr 17 18:27:21 +0000 2020,@KyleAMadson I'm sorry! WHAT A GREAT WEBSITE!
1251214302486249500,Fri Apr 17 18:21:50 +0000 2020,RT @minakimes: .@MalloryRubin: alright, we can keep this podcast short  Me: sounds good  One hour and 27 minutes later: https://t.co/BAeAKS…
1250664849018720300,Thu Apr 16 05:58:30 +0000 2020,@TJECS206 @netw3rk Enjoy!!!
1250659203493982200,Thu Apr 16 05:36:04 +0000 2020,@netw3rk Godsssss I was strong then
1250658475069198300,Thu Apr 16 05:33:11 +0000 2020,Fear cuts deeper than swords, J!!! https://t.co/KlFMn8BGEE
1250513406819397600,Wed Apr 15 19:56:44 +0000 2020,@CassK9 @netw3rk @binge_mode Crushing! It's a beautiful ache, though!
1250510764881797000,Wed Apr 15 19:46:14 +0000 2020,Binge Heads! We're hitting Devs later this week, after the finale. Check your tram lines and tune in. 🚃  Our Saga c… https://t.co/xtAROJRpeX
