id,created_at,text
1259507588074311700,Sun May 10 15:36:24 +0000 2020,RT @Tolerance_org: In the midst of a crisis, it's clearer than ever that giving students the resources to destigmatize mental illness, unde…
1259507303423721500,Sun May 10 15:35:16 +0000 2020,RT @washingtonea: "COVID-19 is presenting new and unique challenges. We are navigating unchartered waters with this virus, making it import…
1259507062288965600,Sun May 10 15:34:18 +0000 2020,RT @Ilhan: This Mother’s Day, I’m thinking of all the mothers that should be with their children but are separated due to Trump’s inhumane…
1259496994566836200,Sun May 10 14:54:18 +0000 2020,RT @RAICESTEXAS: This #MothersDay, we're thinking of the immigrant mothers trapped in ICE detention centers &amp; those deemed "essential," wor…
1259494451648446500,Sun May 10 14:44:12 +0000 2020,RT @ErikaAndiola: This quote: When I worked with the farmworkers in California I learned the difference between charity and justice.   "Cha…
1259491779667095600,Sun May 10 14:33:35 +0000 2020,RT @camiconleche: My school just deposited 1500$ into every undocumented students bank accounts bc we can’t get the stimulus check nor othe…
1259323739121913900,Sun May 10 03:25:51 +0000 2020,RT @ShanaVWhite: We were not trained to teach virtually. We were not trained to teach during a pandemic.  We were not trained to deliver in…
1259323687494246400,Sun May 10 03:25:38 +0000 2020,RT @heymrsbond: Let me tell you some things most people don’t know about that “bunch of online assignments being posted” (a thread) 1/14
1259323196173463600,Sun May 10 03:23:41 +0000 2020,Gross https://t.co/5VXe0BgJUY
1259291319488221200,Sun May 10 01:17:01 +0000 2020,RT @NEAToday: A silent bystander always help the bully. This is why we cannot be silent.  We must denounce racism, hate speech and violence…
1259240320891379700,Sat May 09 21:54:22 +0000 2020,This is amazing. https://t.co/hEyDhvpe8B
1259226497652363300,Sat May 09 20:59:26 +0000 2020,RT @KatrenaPerou: @MandyRheaWrites Thanks! Hear from the others as well. We need to priorities social emotional support for our youth or we…
1259213804191150000,Sat May 09 20:09:00 +0000 2020,Educators and leaders, please watch this. https://t.co/38q72GEfvy
1259212256975319000,Sat May 09 20:02:51 +0000 2020,How about working directly with teachers and support staff? How about letting the people who actually work with kid… https://t.co/d2QhT6ds0A
1259208321069797400,Sat May 09 19:47:13 +0000 2020,Are we ready for this come fall? https://t.co/2AJSKemav6
1259202789047058400,Sat May 09 19:25:14 +0000 2020,Yup https://t.co/4WE24AVyHe
1259179229540835300,Sat May 09 17:51:37 +0000 2020,RT @BLoveSoulPower: When you know it but see it in living color🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️ #BlackLivesMatters
1259176833234288600,Sat May 09 17:42:06 +0000 2020,What the f***? Watch to the end. Just what we needed!🙄 https://t.co/3dOVZKdDX2
1259166329711411200,Sat May 09 17:00:21 +0000 2020,RT @Tolerance_org: For many Jewish American students, the only representation they will see in class revolves around the painful history of…
1259166067361890300,Sat May 09 16:59:19 +0000 2020,RT @TransitPunk: I’m fairly tired of people celebrating certain workers because they suddenly need them. Every job serves a purpose, every…
1259165994905243600,Sat May 09 16:59:02 +0000 2020,RT @RBReich: So let me get this straight: Black men are shot for jogging, but white men can bring AR-15s inside state capitols?
1258966987188789200,Sat May 09 03:48:14 +0000 2020,RT @Tolerance_org: Twice this week, video footage of Black men being shot was circulated online, again lifting up conversations about who's…
1258923052504473600,Sat May 09 00:53:40 +0000 2020,RT @TransitPunk: Racism exists. Nobody of any substance can say otherwise.  I know two kinds of people: those who recognize and fight it, a…
1258880791796306000,Fri May 08 22:05:44 +0000 2020,RT @washingtonea: A message from WEA President Larry Delaney as #TeacherAppreciationWeek comes to a close. "I'm so proud of all educators w…
1258845293195325400,Fri May 08 19:44:40 +0000 2020,RT @nenagerman: YALLLL #DisruptTexts WON AN AWARD!!! We are overjoyed and honored. We are grateful and inspired. Join us in celebration. 🙌🏽🧡
1258791693706424300,Fri May 08 16:11:41 +0000 2020,@KatharineLandf1 @ShanaVWhite @chaedria Not to mention the obvious and gross bias involved in picking the teachers… https://t.co/gIDesiMKzq
1258791465301561300,Fri May 08 16:10:47 +0000 2020,@KatharineLandf1 @ShanaVWhite @chaedria Very cute kids. If they weren’t going to be able to legitimately honor ever… https://t.co/uau4luFkky
1258549044860739600,Fri May 08 00:07:29 +0000 2020,@ShanaVWhite What the actual? That’s awful.
1258543617196478500,Thu May 07 23:45:55 +0000 2020,RT @nate_bowling: .@CollegeBoard, what in the world are y'all doing?! Fix this! The ADA was passed before @livewithkaleigh was even born. G…
1258519714952695800,Thu May 07 22:10:56 +0000 2020,RT @MrTomRad: Ahmaud Arbery's 26th birthday would have been May 8. He was out jogging and two men grabbed guns and chased him down because…
1258516144358428700,Thu May 07 21:56:45 +0000 2020,Nice work, @ndtoy2018 and @TransitPunk. https://t.co/419kEvi34m
