id,created_at,text
1260388459384053800,Wed May 13 01:56:40 +0000 2020,I’ll be celebrating World Cocktail Day with @BelvedereVodka by teaching all of you how to make a refreshing Belvede… https://t.co/TjERoKsJEJ
1260162420875632600,Tue May 12 10:58:28 +0000 2020,On today's https://t.co/mn7WELHfxI beautiful, colorful tulips blooming in my flower garden - take a look.
1259879004817035300,Mon May 11 16:12:16 +0000 2020,Tune in tonight to my new show "Bakeaway Camp" premiering on @FoodNetwork at 9/8c! Jesse Palmer and I put six baker… https://t.co/czhI65Jn1k
1259849370993819600,Mon May 11 14:14:31 +0000 2020,On today's https://t.co/mn7WELHfxI some behind-the-scenes photos from my appearance on the first-ever… https://t.co/SQl49WMgco
1259172527915634700,Sat May 09 17:24:59 +0000 2020,Happy Mother’s Day weekend! Today I’m celebrating with family virtually by making pancakes and a sparkling cocktail… https://t.co/7UpxBx2qBd
1258414590880292900,Thu May 07 15:13:13 +0000 2020,On today’s https://t.co/mn7WELHfxI what it takes to groom my handsome Friesians and Fell pony. Take a look.
1258056881375006700,Wed May 06 15:31:48 +0000 2020,As of this week, @ChefJoseAndres + @WCKitchen have served 4M+ meals to people in need &amp; frontline pros. #WCK's food… https://t.co/qkdMRLzZju
1258053468037709800,Wed May 06 15:18:14 +0000 2020,Tune In to watch me and Kevin Sharkey talk about living in this "new normal" on Instagram LIVE today at 12:30pm ET… https://t.co/Hye6XDUfuM
1258021033300369400,Wed May 06 13:09:21 +0000 2020,On today's https://t.co/mn7WELHfxI using the right tool for the right job. See some of the important equipment we use around my farm.
1257740286249353200,Tue May 05 18:33:46 +0000 2020,Congratulations to @MarloThomas and Phil Donahue on their 40th wedding anniversary, and on the release of their new… https://t.co/LxTj7Wh4Oi
1257734419831558100,Tue May 05 18:10:27 +0000 2020,On today's https://t.co/mn7WELHfxI early May photos from around my farm. So much is blooming.
1257656901053091800,Tue May 05 13:02:26 +0000 2020,If you’re in the New York area, tune in now to Good Day New York on FOX at 9:05AM as I join Rosanna Scotto to discu… https://t.co/5RhxXTnz2J
1257321333739815000,Mon May 04 14:49:00 +0000 2020,Tune in today &amp; tomorrow to @DailyMailTV &amp; @DailyMail as I talk to @alicialquarles about my @Wayfair shop, my… https://t.co/bGZnJptWLQ
1257037333775466500,Sun May 03 20:00:29 +0000 2020,Hope you caught my segment on @cbssunday - shared my Kitchen-Sink Cookie from "Cookie Perfection." Link to recipe h… https://t.co/83NuF8sG8G
1256932178681892900,Sun May 03 13:02:38 +0000 2020,Turn on @CBSSunday now and see me as I talk about one of my favorite cookies from my book “Cookie Perfection” - I am on at 9:40am ET!
1256684082550972400,Sat May 02 20:36:47 +0000 2020,Don't forget to tune-in to CBS @CBSSunday tomorrow at 9:40am ET when I share one of my favorite cookie recipes from… https://t.co/x2d8pvPLWJ
1256326917331890200,Fri May 01 20:57:33 +0000 2020,Tune in to #concoursedeZOOM at 5pm ET for @mercedesbenzusa LiVE I will be on with Jay Leno and Ludiscris and others for a great show.
1256267342377599000,Fri May 01 17:00:49 +0000 2020,Join me today at 5PM ET on @zoom_us - I'll be with other @MercedesBenz car owners talking about our cars - from cla… https://t.co/wcxj0MhJXh
1256235236796530700,Fri May 01 14:53:14 +0000 2020,Be sure to tune in to CBS News "Sunday Morning" this weekend around 9:40am EST. I'll be on sharing one of my favori… https://t.co/e3qd8jK1Hb
1256217963587342300,Fri May 01 13:44:36 +0000 2020,On today's https://t.co/mn7WELHfxI playing with my gorgeous dogs here at the farm. See Emperor Han, Empress Qin, Cr… https://t.co/DRkYTINbjZ
1255519579427700700,Wed Apr 29 15:29:28 +0000 2020,Tune in to IG TV @MarthaStewart today at 12:30pm ET to hear Kevin Sharkey, our Home Division's EVP Executive Direct… https://t.co/swVkTILrox
1255500918830833700,Wed Apr 29 14:15:19 +0000 2020,On today’s https://t.co/rZ2hRP1D2i a beautiful transformation in my perennial flower garden. Take a look.
1254771567063470000,Mon Apr 27 13:57:08 +0000 2020,On today's https://t.co/mn7WELYQpg a guest blog from my friend, Ari Katz, who lives near a beautiful lavender farm… https://t.co/q7lNG8W6Qp
1254741574325592000,Mon Apr 27 11:57:57 +0000 2020,@Blake lively   Is creating drinks in my name     #Sounds delicious !! https://t.co/KX0Nz8lGPB
1254567688002842600,Mon Apr 27 00:27:00 +0000 2020,Tonigh at ten watch me make Sarah’s pierogi on the hottest new show on you tube  ⁦@somegoodnews⁩  with ⁦@john Krasi… https://t.co/DE96EM7JGI
