id,created_at,text
1259771655150284800,Mon May 11 09:05:42 +0000 2020,RT @mlipsitch: via @NYTimes first coronavirus image was by a female scientist who should be better known https://t.co/JMZBaq83u2
1259589871464845300,Sun May 10 21:03:22 +0000 2020,Another step forward https://t.co/MLFTwqBBso
1259547998054420500,Sun May 10 18:16:58 +0000 2020,RT @JayneODonnell: $$ for who? "There are hospitals that are so big with endowments that they became cash harbors at the expense of a pande…
1259250920556302300,Sat May 09 22:36:29 +0000 2020,RT @MartyMakary: As hospitals get bailed out by taxpayers, this would be a very good time for hospitals to drop their lawsuit against the g…
1259222804073009200,Sat May 09 20:44:46 +0000 2020,Herd immunity is key https://t.co/lvq2pHOu68
1259222494659166200,Sat May 09 20:43:32 +0000 2020,RT @elliotthaut: @CaitlinWHicks @DVervoort94 @candeux @HopkinsJSCOR @James_Iannuzzi @DevinZarkowsky Thanks, @CaitlinWHicks for joining the…
1259222332125610000,Sat May 09 20:42:53 +0000 2020,RT @ScottGottliebMD: This chart compares data on daily reported deaths from European nations where covid19 became epidemic to the experienc…
1259149050902974500,Sat May 09 15:51:42 +0000 2020,@PatrickConwayMD @nejmcatalyst @CKollerMilbank @CMSinnovates Great article, thank you Patrick
1258948388495786000,Sat May 09 02:34:20 +0000 2020,Atul is a friend and all around good guy. Sorry to see him leave CEO role of the Amazon JPM Berkshire venture, but… https://t.co/zuREmt07jQ
1258874206336561200,Fri May 08 21:39:34 +0000 2020,RT @ScottGottliebMD: In more than 20 states, the number of new daily cases of covid19 continues to climb, even while testing in these state…
1258873830036181000,Fri May 08 21:38:04 +0000 2020,RT @ScottGottliebMD: In Florida, hospitalization rates for covid19 have risen in recent days, while the positivity rate has also increased.…
1258859766924947500,Fri May 08 20:42:11 +0000 2020,RT @JAMANetworkOpen: Health care billing quality is a type of medical quality. Patients should be routinely provided an itemized bill of se…
1258776297079279600,Fri May 08 15:10:30 +0000 2020,@DoctorJanette @OutnumberedFNC @FoxNews @HARRISFAULKNER @MelissaAFrancis Keep up the great work Janette!
1258724867245031400,Fri May 08 11:46:08 +0000 2020,RT @medpagetoday: "I've never in my career seen so many people die from the flu in such a short period of time that they had to be buried i…
1258590145525186600,Fri May 08 02:50:48 +0000 2020,As hospitals get bailed out by taxpayers, this would be a very good time for hospitals to drop their lawsuit agains… https://t.co/R3qK7tjF7H
1258588649744146400,Fri May 08 02:44:52 +0000 2020,RT @JohnsHopkins: In addition to their volunteers helping with contact tracing in Maryland, @JohnsHopkinsSPH is launching a @Coursera class…
1258543714818875400,Thu May 07 23:46:18 +0000 2020,RT @ScottGottliebMD: New seroprevalence study (using antibody tests) from Switzerland finds there are about 10 covid infections for each ca…
1258512942158327800,Thu May 07 21:44:02 +0000 2020,Great to see great work like this continuing to consider the special issues in older surgical patients https://t.co/DTnJfQhbpg
1258389561740271600,Thu May 07 13:33:45 +0000 2020,RT @mcuban: Before you go back to work, this is one site you should review and ask your employer to review. The @AIHA, an organization that…
1258389477711626200,Thu May 07 13:33:25 +0000 2020,RT @mckaycoppins: This is wild. Two Utah businesses instructed staff to ignore quarantine guidelines, resulting in 68 cases. At one of the…
1258389135917830100,Thu May 07 13:32:04 +0000 2020,@FAIRHealth launches their new telemedicine tracking tool today, which tracks virtual care as it evolves due to the… https://t.co/Lv4tIN5idV
1258388712800600000,Thu May 07 13:30:23 +0000 2020,RT @DVervoort94: Great, important piece by @hillary_jenny @hopkinssurgery.  "Even with a willingness to help, physicians are often powerles…
1258379992041492500,Thu May 07 12:55:44 +0000 2020,RT @FAIRHealth: Today FAIR Health launches the Monthly Telehealth Regional Tracker, a new, interactive feature on its website to track how…
1258247933411111000,Thu May 07 04:10:59 +0000 2020,RT @elliotthaut: Just a few pix of some of my nurse colleagues from @HopkinsMedicine @JHUNursing #ThankYouNurses #HappyNursesWeek https://t…
1258237881128280000,Thu May 07 03:31:02 +0000 2020,Its good for us to have a national standard for diagnosing COVID-19. My thoughts with @NBSaphierMD in @medpagetoday  https://t.co/CSi7JzRPWh
1258161670997885000,Wed May 06 22:28:12 +0000 2020,RT @JAMAOto: Health care billing quality is a type of medical quality. Patients should be routinely provided an itemized bill of services i…
1258072095986196500,Wed May 06 16:32:16 +0000 2020,With the U.S. having 3-5X the number of comorbid conditions as Sweden, adopting their strategy would have been a di… https://t.co/QMHyzdsRJ5
1258051136981995500,Wed May 06 15:08:59 +0000 2020,RT @ScottGottliebMD: Studies suggests activities held outdoors as temperatures warm pose lower covid risk than those done in confined indoo…
