id,created_at,text
1260701968856744000,Wed May 13 22:42:26 +0000 2020,@jpiacenza @l_m_j_ @MorningConsult https://t.co/b6eFbwd11I
1260646640035041300,Wed May 13 19:02:35 +0000 2020,@eyokley This is your worst tweet (cc @markjburns88)
1260579832171290600,Wed May 13 14:37:07 +0000 2020,@migold Nothing's gonna stop her now
1258803610131083300,Fri May 08 16:59:02 +0000 2020,@BenjaminPillow Congrats, buddy! Shout-out to https://t.co/Lz9fM0RqfA for making this all possible
1257392858937659400,Mon May 04 19:33:13 +0000 2020,@mattvensel The journalism world wasn't ready for RB@Y
1257392223341117400,Mon May 04 19:30:41 +0000 2020,Ridiculously pumped for the whole @baltimoresun crew. Beyond well deserved. https://t.co/AnkJSFFW3E https://t.co/4bVpmOaXlI
1253014362975015000,Wed Apr 22 17:34:38 +0000 2020,@mattvensel Are you still on the wedding photos beat?
1251197127990087700,Fri Apr 17 17:13:36 +0000 2020,@cameron_easley I'm prepared for the blowback
1251196754487361500,Fri Apr 17 17:12:07 +0000 2020,Most inexcusable omissions from the survey: Blue Chips, Above the Rim, Airborne, Aspen Extreme, Necessary Roughness. https://t.co/pU4VKlh5a5
1251192030828642300,Fri Apr 17 16:53:20 +0000 2020,@markjburns88 @JeffEisenband The last question was entirely for @Selbouez's benefit
1251188836018925600,Fri Apr 17 16:40:39 +0000 2020,@markjburns88 @JeffEisenband #AskJeffandMark  1. How many national championships will Juwan Howard win? 2. How than… https://t.co/j6FvuMWRQM
1249812512540889000,Mon Apr 13 21:31:38 +0000 2020,@JackieTothDC @jpiacenza @cameron_easley very important distinction!
1249141784137158700,Sun Apr 12 01:06:23 +0000 2020,@markjburns88 Can't come up with four but here's one from my sportswriting days.  Donating to @ReadingPartners https://t.co/UWxs58Pn2N
1248276275745169400,Thu Apr 09 15:47:10 +0000 2020,For a better idea about the types of stories we do, check out the great @ymurad__'s archive. Tons of insightful pol… https://t.co/a39LMJ2oqo
1248276121247985700,Thu Apr 09 15:46:33 +0000 2020,#journojobs alert: @MorningConsult is hiring a health reporter to join our DC newsroom. We're looking for a journal… https://t.co/JNxg2ciorx
1247933655428862000,Wed Apr 08 17:05:43 +0000 2020,RT @eyokley: NEW: Most @BernieSanders supporters say they'll back @JoeBiden, but they're less likely to do so than the average Democrat.  A…
1246940577297502200,Sun Apr 05 23:19:35 +0000 2020,@cmcampbell6 Congrats, bro! Yet another big win for TBD 🙌
1245710828453744600,Thu Apr 02 13:53:00 +0000 2020,RT @MorningConsult: Half of Low-Income Adults Would Use Up Savings Within 3 Months Without a Job https://t.co/GwgLsJcSca via @byclairew and…
1244394840533749800,Sun Mar 29 22:43:44 +0000 2020,@JonMeoli @stevegould @DaveSelig Real recognize real 👊
1244394364039807000,Sun Mar 29 22:41:50 +0000 2020,@Mpkorman @JonMeoli @stevegould @DaveSelig Oh damn, that Challenge season is a major oversight on my list. The seas… https://t.co/PVFRZTBRuL
1244389925409230800,Sun Mar 29 22:24:12 +0000 2020,1. The Wire 2. Friday Night Lights 3. Mad Men 4. The OC t-5. Kaitlyn Bristowe's Bachelorette season t-5. Real World… https://t.co/MPxyv0FVJW
1244387190177779700,Sun Mar 29 22:13:20 +0000 2020,@mattvensel @Mpkorman @ChrisKorman Very strong list but a little surprised that Bachelor Pad was snubbed for Breaking Bad
1243285167013343200,Thu Mar 26 21:14:17 +0000 2020,RT @eyokley: Stop the spread of #coronavirus or spur the economy?   Forced to pick, voters overwhelming back curbing the spread, including…
1242792031635812400,Wed Mar 25 12:34:44 +0000 2020,RT @ymurad__: the Trump administration has shut down the possibility, but Americans want a national shutdown. new on  @MorningConsult: http…
1236019388135989200,Fri Mar 06 20:02:40 +0000 2020,RT @ymurad__: |NEW| even as the president and his allies repeat they have the coronavirus under control, in the first full month of the #CO…
1235989869085839400,Fri Mar 06 18:05:23 +0000 2020,RT @eyokley: NEW: As the field clears, @JoeBiden posts a 16-POINT lead over @BernieSanders among Democratic primary voters.   Biden: 54% Sa…
1235685273205272600,Thu Mar 05 21:55:01 +0000 2020,#JournoJobs alert: We're hiring an editor for brands, sports and entertainment based out of @MorningConsult's NYC o… https://t.co/i0eyE6ILgi
1234290952698843100,Mon Mar 02 01:34:29 +0000 2020,RT @MorningConsult: NEW: @PeteButtigieg's exit would do little to alter the state of the race, handing 2-point boosts to @SenSanders, @JoeB…
1230995524347662300,Fri Feb 21 23:19:38 +0000 2020,@KVanValkenburg @ChrisKorman Lol that's incredible. I'm sure the Hounds were deserving of at least 30 inches that d… https://t.co/2HrBU8qHwJ
1230544308572426200,Thu Feb 20 17:26:40 +0000 2020,RT @AlecMacGillis: The Baltimore Sun's newsroom has fallen from 400 to 80. It fears even deeper cuts now that Alden Global has a stake.  Ye…
1229902978024341500,Tue Feb 18 22:58:15 +0000 2020,Give Lisa a follow for her energy and climate change coverage. And possibly/hopefully for more pro-Chalamet tweets. https://t.co/FCkYUYqBVi
1228010062968426500,Thu Feb 13 17:36:28 +0000 2020,RT @jpiacenza: NEW: @MorningConsult has the first post-NH national poll, and Bernie is leading by 10 pts.  Sanders 29% (+4) Biden 19% (-3)…
1226333385859223600,Sun Feb 09 02:33:58 +0000 2020,@Selbouez Think I didn’t recognize him sans mom’s bosom
