id,created_at,text
1260266994169008000,Tue May 12 17:54:00 +0000 2020,Thanks, @petenowalk , for sharing this deleted scene from the final episode EVER of #HTGAWM airing this Thursday ni… https://t.co/TuRlvnE7Dd
1259947966133145600,Mon May 11 20:46:18 +0000 2020,You can’t tell someone’s health (mental, physical, etc) from their weight. You can’t tell a fat person’s health by… https://t.co/4FhaiPy9vN
1258829781488906200,Fri May 08 18:43:02 +0000 2020,Repost from @consciouskidlib . All white people who care about justice should read “White Fragility” by Robin DiAng… https://t.co/TArYiaUfi2
1258573904211136500,Fri May 08 01:46:16 +0000 2020,RT @Ruth_HHopkins: This is the Six Grandfathers. It was a Lakota sacred site located in the Black Hills, ancestral lands promised to the La…
1258507627820023800,Thu May 07 21:22:55 +0000 2020,A throwback to when we were socially close #HTGAWM @howtogetawayabc https://t.co/wGtpPyREAn
1258438112600096800,Thu May 07 16:46:41 +0000 2020,Reposted from colorofchange (via @jlovecalderon &amp; posts from @yamaneika charlesmblow )• “  #JusticeforAhmaud: Distr… https://t.co/dLUFtlxKJ1
1257931478110924800,Wed May 06 07:13:30 +0000 2020,RT @NaomiAKlein: Send a powerful message NY.
1257775187526811600,Tue May 05 20:52:27 +0000 2020,Love Clementine’s account and highly suggest you follow!  # Repost from clementinemorrigan - “So often I have been… https://t.co/whxWXTz0rb
1256378412987330600,Sat May 02 00:22:10 +0000 2020,RT @CharlestonDSA: This #mayday, remember the wealth of America's billionaires increased 10% since the start of the #COVID19Pandemic at the…
1256378319831851000,Sat May 02 00:21:48 +0000 2020,RT @StreetWatchLA: @MayorOfLA your unhoused constituent Davon Brown is not alone commandeering this hotel room.   He’s here with the spirit…
1256378164831375400,Sat May 02 00:21:11 +0000 2020,RT @StreetWatchLA: @MayorOfLA Davon’s life is at risk every day he lives in the street.   He’s 3-4x more likely to get COVID than a housed…
1256378112398352400,Sat May 02 00:20:59 +0000 2020,RT @NOlympicsLA: One of our unhoused neighbors just did what our overpaid electeds are too afraid to do — they reclaimed one of the tens of…
1256378047445393400,Sat May 02 00:20:43 +0000 2020,RT @mcamnitzer: Today our comrade Davon reclaimed a vacant hotel room at the Ritz Carlton in DTLA. During this pandemic we have more empty…
1255941259295932400,Thu Apr 30 19:25:05 +0000 2020,Fondly remembering when @ajanaomi_king and I were both secret gardens. @howtogetawayabc #HTGAWM https://t.co/VpWWn59EDI
1255592825036722200,Wed Apr 29 20:20:31 +0000 2020,How I’m going to be with everyone in my life when this is all over one day (repost ourplanetdaily ) https://t.co/a6FnQmVW3p
1255195564863520800,Tue Apr 28 18:01:57 +0000 2020,Have you been doing your part to prevent the spread of COVID-19? #MaskingForAFriend   We know that social distancin… https://t.co/d7OxHKn5DR
1254871016691687400,Mon Apr 27 20:32:19 +0000 2020,@Sonyareneepoet https://t.co/l57uXlhPBi
1253904222535463000,Sat Apr 25 04:30:37 +0000 2020,@VillanuevaEdgar @inspirejustice1 @Forbes You’re the best! ❤️❤️❤️
1253904184618791000,Sat Apr 25 04:30:28 +0000 2020,RT @VillanuevaEdgar: ⁦@MattMcGorry⁩ Talks #Money And ⁦@inspirejustice1⁩ via ⁦@Forbes⁩ - highlights the work of #DecolonizingWealth.  🙌🏽♥️ h…
1253903873820905500,Sat Apr 25 04:29:14 +0000 2020,RT @HowToGetAwayABC: ❤️ #HTGAWM @mattmcgorry https://t.co/wSOf7A4uN7
1253391371722993700,Thu Apr 23 18:32:44 +0000 2020,Throwback to working with some of my faves on #HTGAWM !!! 1kemikim &amp; 1jataunia from the hair and makeup crew!! Miss… https://t.co/l4GUhvEEvO
1253092709935562800,Wed Apr 22 22:45:58 +0000 2020,Repost from @jackharries via @SaraMontez_ - “Dear Nature, you’re probably wondering where we’ve all gone.  It’s har… https://t.co/xI7vaGE5r0
1253048257300754400,Wed Apr 22 19:49:19 +0000 2020,RT @AmirTalai: Go shawty, it's ya #EarthDay https://t.co/JeVCG2FOQa
1253048005772468200,Wed Apr 22 19:48:19 +0000 2020,RT @NelStamp: I don’t know where this man is from but this has big Staten Island energy on it.   Also this the rage I need right now    htt…
1252861568112423000,Wed Apr 22 07:27:29 +0000 2020,Correction: it was 12:04am...4 min into Earth Day
1252858071325397000,Wed Apr 22 07:13:35 +0000 2020,Earth be like, “it’s my day tomorrow, y’all better figure your shit out quick” #EarthDay2020 #Earthquake
1252856382157492200,Wed Apr 22 07:06:53 +0000 2020,RT @NelStamp: I AM LIVID. Here’s why.   - I have been sick for weeks and haven’t been able to get a easy test.  - My uncle has been on a ve…
1252856271616667600,Wed Apr 22 07:06:26 +0000 2020,That earthquake was not fun.
1252792945595605000,Wed Apr 22 02:54:48 +0000 2020,😂😂😂 Needed this today! (Rp m0nchismunchiesmemes ) https://t.co/rTYcrHuYvl
1252792412268707800,Wed Apr 22 02:52:41 +0000 2020,RT @caineturner9493: Sombody called the “ quarantine protesters” the “Flu Klux Klan” and I’m losing my shit
