id,created_at,text
1260687236388946000,Wed May 13 21:43:54 +0000 2020,@WSUPullman the building where grad students would go to walk bleary eyed among rows of semi organized bound papers… https://t.co/hXNbLLKEl4
1260680519445917700,Wed May 13 21:17:12 +0000 2020,Among the millions of reasons I'm happy to be home is being able to get my first post "stay at home" haircut from m… https://t.co/ce9clOWPxn
1259902392465686500,Mon May 11 17:45:12 +0000 2020,Big ZOOM with original TTU academic daughter @avashley_  passing her MA project! @BIOPACSystems has already nabbed… https://t.co/VzFV8Jk2Lj
1257333322709155800,Mon May 04 15:36:38 +0000 2020,@Brahim_Zr @AdScholar @UA_MIOS @UGentComWet Congratulations! A lot of great and favorite brains on this article. I… https://t.co/nzKwEVlKCx
1256729934879314000,Sat May 02 23:39:00 +0000 2020,What's up buttercup? https://t.co/S15n53K0ip
1256367761556557800,Fri May 01 23:39:51 +0000 2020,The perfect end of our healthy 406 quarantine gift! Thanks to my crafty sister in law Kim Knorr who is obviously ex… https://t.co/XohtKEeu1C
1256040840931106800,Fri May 01 02:00:47 +0000 2020,@FoleyJ0 @MurrowCollege Congratulations Dr. Foley! I look forward to learning more about your research and being… https://t.co/0zu1dziJts
1255878746118090800,Thu Apr 30 15:16:40 +0000 2020,@2Jby3G Wishing you happiness my friend! Down the road our paths will cross again.
1255683363181977600,Thu Apr 30 02:20:17 +0000 2020,Bizarre semester but still got my "last class" pic of my experiment grad seminar. Great grad brains to finish off m… https://t.co/3xlJED1jHf
1253165443675635700,Thu Apr 23 03:34:59 +0000 2020,RT @MurrowCollege: Today's @WSUNews Insider features a study by @MurrowCollege's @EricaWAustin that shows how building critical media skill…
1252624207940210700,Tue Apr 21 15:44:18 +0000 2020,I joined the movement - and you should too! Check out the Society for Health Communication and join for free today.… https://t.co/QgiXGqJQXM
1251202398686777300,Fri Apr 17 17:34:32 +0000 2020,@MurrowCollege Yeah, I am concerned about the amount of stress in Lucy's life with us. 🤣 The Bolls pack will head t… https://t.co/6NgGYsLxu8
1251176070444757000,Fri Apr 17 15:49:55 +0000 2020,@Oliver_Russell Thank you, I would love that! I will contact you as soon as I complete this semester of teaching in early May. Be well!
1251170915032825900,Fri Apr 17 15:29:26 +0000 2020,Jackpot &amp; Lucy remind us to chill at a social distance, take care of your "pack," and just be ready to do your thin… https://t.co/F9yFUjTRzp
1250822606615269400,Thu Apr 16 16:25:23 +0000 2020,Great ideas from one of my most admired business brains, Russ Stoddard, Founder, Oliver Russell Ad/Pr agency… https://t.co/ZO6NV1rxdv
1250821353713700900,Thu Apr 16 16:20:24 +0000 2020,@Anoukx @HildeVdBulck @HeidiVandebosch @commejcr CONGRATULATIONS! Can you please email me a copy? I can't wait to s… https://t.co/0aTCANzUNm
1250524939460857900,Wed Apr 15 20:42:33 +0000 2020,RT @BarackObama: Democracy depends on an informed citizenry and social cohesion. Here’s a look at how misinformation can spread through soc…
1250483757095641000,Wed Apr 15 17:58:55 +0000 2020,Today's Media Literacy Zoom featuring great friend and Kid's media brain @davidkleeman SVP Global Trends at Dubit.… https://t.co/DfzjNNf6kz
1248367691284578300,Thu Apr 09 21:50:25 +0000 2020,@msmelissae So glad I got to work with your brain! When life gets back to more normal lets talk!
