id,created_at,text
1259147320526061600,Sat May 09 15:44:49 +0000 2020,@tmorgs22 @kmorgan6887 Good find
1259146105134231600,Sat May 09 15:39:59 +0000 2020,@tmorgs22 @JStoetz999 @kmorgan6887 The ninjedi was my favorite part when I first saw this and still is lol
1258990145199636500,Sat May 09 05:20:16 +0000 2020,@cov_Gretchen You should check out this awesome app. In depth look right into these Biblical topics. Tons of conten… https://t.co/sh7qoZ93Ba
1258890546334007300,Fri May 08 22:44:29 +0000 2020,RT @FrankCaliendo: When NFL Coaches Get Their Schedules https://t.co/YvRwHYJu7C
1258441332147851300,Thu May 07 16:59:28 +0000 2020,RT @JackieHillPerry: I really wanted to stop watching this but I just couldn’t 🥴
1258409754994577400,Thu May 07 14:54:00 +0000 2020,RT @BuckSexton: Texas Salon Owner Sentenced to Jail Speaks for Millions, Sexton Says   https://t.co/UXXPnWZidW
1258166740795744300,Wed May 06 22:48:21 +0000 2020,@rbohlender @wilderness_VL Lol forgive me I couldn’t help myself
1258114993683337200,Wed May 06 19:22:43 +0000 2020,@rbohlender @wilderness_VL Girls don’t poop......
1258070834243133400,Wed May 06 16:27:15 +0000 2020,@JMills1389 Also the lack of a foundation in Jesus Christ. It’s the walk he taught us to have one of Love and compa… https://t.co/3PKfsZnP3U
1258016186060746800,Wed May 06 12:50:06 +0000 2020,RT @JamesOKeefeIII: Tomorrow @Project_Veritas will expose the mainstream media role in the #COVID19 pandemic.  05.06.2020  9:00am  See it f…
1257987408429269000,Wed May 06 10:55:45 +0000 2020,@calledtocompel I really appreciate all of the content FAI has been putting out. It’s been extremely edifying. God… https://t.co/zMzEjzyBWc
1257337608885207000,Mon May 04 15:53:40 +0000 2020,@HKrassenstein @BarackObama Cable “News” Network.........
1257014712497299500,Sun May 03 18:30:36 +0000 2020,RT @FrankCaliendo: Madden and Summerall 2020   #MurderHornet #perspective https://t.co/Q4fwEzSzC1
1257013506131538000,Sun May 03 18:25:48 +0000 2020,@redsteeze https://t.co/SnnDDC8VTD
1256819039348932600,Sun May 03 05:33:04 +0000 2020,@RJRetzlaff @tmorgs22 my bro can agree on that Journey
1256818783769034800,Sun May 03 05:32:03 +0000 2020,@tmorgs22 @JStoetz999 @FrankCaliendo Beverly Hills Cop???!!??? https://t.co/8WGsHPNwlK
1256605065349038000,Sat May 02 15:22:48 +0000 2020,RT @KristySwansonXO: So, I found out the reason why I got locked out of twitter today. It was because of a complaint for a video I posted 2…
1256000951674179600,Thu Apr 30 23:22:16 +0000 2020,RT @JamesOKeefeIII: MUST WATCH: @Twitter caught RED HANDED removing hundreds of retweets off my earlier tweet in real time. https://t.co/5K…
1255919735759347700,Thu Apr 30 17:59:33 +0000 2020,@Joel7Richardson https://t.co/OVrlfwq95U
1255819345860726800,Thu Apr 30 11:20:38 +0000 2020,RT @realDonaldTrump: .@CNN doesn’t want to speak about their persecution of General Michael Flynn &amp; why they got the story so wrong. They,…
1255640398086750200,Wed Apr 29 23:29:34 +0000 2020,@YesThatVCharles https://t.co/9WsBwHVeGt
1255538957019951000,Wed Apr 29 16:46:28 +0000 2020,@Joel7Richardson Ah k now I’m picking up what you’re putting down.
1255521665930461200,Wed Apr 29 15:37:46 +0000 2020,@Joel7Richardson In what way do you mean?
1255518115502395400,Wed Apr 29 15:23:39 +0000 2020,@Joel7Richardson It’s like someone flipped a switch &amp; the spirit of fear &amp; confusion have run rampant with this virus.
