id,created_at,text
1259204983683035100,Sat May 09 19:33:57 +0000 2020,We might have known him as Little Richard but he was a giant. RIP
1258870145499291600,Fri May 08 21:23:26 +0000 2020,Help me reach my goal for Alzheimer's! https://t.co/ymJhJN59jt
1258111116137214000,Wed May 06 19:07:19 +0000 2020,#ThankYouNurses for all of your selfless, heroic efforts everyday! Where would we be without you all!? 🙏 https://t.co/xpfCIiKICT
1257814029000556500,Tue May 05 23:26:48 +0000 2020,@casspa https://t.co/ej4DIWLo9c
1257698119258476500,Tue May 05 15:46:13 +0000 2020,RT @NESN: The greatest comeback in SPORTS history...🤫🏆  @RedSox | #RedSoxEncore https://t.co/CNHWzSbj0P
1257444820731269000,Mon May 04 22:59:42 +0000 2020,May the 4th y’all
1257357157168791600,Mon May 04 17:11:21 +0000 2020,Rest In Peace coach Shula. Deepest condolences to you and the family Marie Anne.
1257033039789482000,Sun May 03 19:43:25 +0000 2020,The reason I hang in here is all you wonderful, good people out there. Just when I'm about to bail forever, I see s… https://t.co/cHQVYSYUO2
1256982994952130600,Sun May 03 16:24:34 +0000 2020,Twitter makes me question everything I thought I knew about human beings. #StaringIntoTheAbyss
1256730389353099300,Sat May 02 23:40:48 +0000 2020,@hoistingmysail Oh that’s already in the works!
1256725046443171800,Sat May 02 23:19:34 +0000 2020,Haunting, ethereal track by my friend and sometimes guitarist @thecarysinger This young man is a monster talent. Ch… https://t.co/mBV7LHWLUA
1256443447885459500,Sat May 02 04:40:36 +0000 2020,@roseannescouch Love the tone of her voice! Thank you 🙏🏻
1256442408398581800,Sat May 02 04:36:28 +0000 2020,Zooming with my kids. #heyjude #goodvibes https://t.co/b5zYD0VVZQ
1256352299577774000,Fri May 01 22:38:24 +0000 2020,@hoistingmysail Just used typical potting soil. Thriving.
1256309017464336400,Fri May 01 19:46:25 +0000 2020,@RedSox One of the best memories ever! #GoBosox!!!
1256305590722195500,Fri May 01 19:32:48 +0000 2020,@RedSox You asked!
1256305264870879200,Fri May 01 19:31:30 +0000 2020,@RedSox https://t.co/NE9zsGO3Bt
1256270236921163800,Fri May 01 17:12:19 +0000 2020,@teqilasnrz Hmm...needs full sun. Don't over water. Thrives in warmth.
1256269185081962500,Fri May 01 17:08:08 +0000 2020,@teqilasnrz That's why I'm keeping it inside.
1256268003357814800,Fri May 01 17:03:26 +0000 2020,@BurtTalksSports Oh I know! Can’t wait!
1256267823988404200,Fri May 01 17:02:44 +0000 2020,#coronagarden #MayDay2020 my #herbs 🌿 https://t.co/VWBY5vq2SM
1256266168903413800,Fri May 01 16:56:09 +0000 2020,In celebration of #MayDay I give you the beginnings of my #coronagarden https://t.co/XrcfE3l3vP
1256220629910552600,Fri May 01 13:55:12 +0000 2020,May Day May Day May Day!
1255911666383876000,Thu Apr 30 17:27:29 +0000 2020,@MrJCLynch It’s drunk and it just won’t leave!
1255880314506719200,Thu Apr 30 15:22:54 +0000 2020,Please April just stop it!
1254091139184947200,Sat Apr 25 16:53:22 +0000 2020,Still April...
