id,created_at,text
1252686602335187000,Tue Apr 21 19:52:14 +0000 2020,going live in 10 mins (1pm PT) on @HYPEBEAST's IG. tune in! https://t.co/epye5CApMa
1251207383319294000,Fri Apr 17 17:54:21 +0000 2020,Do whatever you feel like doing... for a cause . https://t.co/djnhEAPk7Y . Every purchase supports small business h… https://t.co/5D8GYavyXg
1250211803365343200,Tue Apr 14 23:58:16 +0000 2020,I ACCEEPT the #allinchallenge . hit https://t.co/agx0v3u5oH to bid. I nominate @JColeNC @russwest44 #AlexIsrael https://t.co/6QHGG9eIxh
1248381047869333500,Thu Apr 09 22:43:30 +0000 2020,I'll be speaking on The Panel at 4pm PST with friends from LA. Tune in! Register here: https://t.co/FDf23cC36p https://t.co/3LIe3UlCix
1241813680762671000,Sun Mar 22 19:47:07 +0000 2020,IG Live in less than an hour 130 PST today answering questions and playing a couple tunes. slide https://t.co/g9fzxkruRY
1228475790251057200,Sat Feb 15 00:27:07 +0000 2020,tag a sure thing https://t.co/8c2qImiX3v
1224768846847864800,Tue Feb 04 18:57:02 +0000 2020,This is my grandmother Patricia, we call her Nan. She raised 6 children including my mom (plus grandchildren) all o… https://t.co/8jK3IKdPLx
1224710107545702400,Tue Feb 04 15:03:38 +0000 2020,🖤 https://t.co/YrFkXyOTlz https://t.co/0BTIso0Hg6
1224417864884441000,Mon Feb 03 19:42:22 +0000 2020,Get it done and fuck shit up 🔪🌹👽 . Love you https://t.co/hoomPkNjg1
1220779468794388500,Fri Jan 24 18:44:41 +0000 2020,You know he’s one of my biggest inspirations. Guess what song i'm performing.. https://t.co/G6npcnlSMb
1219767113356730400,Tue Jan 21 23:41:56 +0000 2020,Rhude first showing in Paris last week. Life moments. Congratulations to you and the entire @rhude team Rhu ! Love… https://t.co/23Nq3txCa2
1218371651437359000,Sat Jan 18 03:16:52 +0000 2020,Texas! Grab tickets now to join me in April. 🙏🏽  https://t.co/pb5oLwkYpW https://t.co/zWDV21dtc8
1200464655077892000,Fri Nov 29 17:20:51 +0000 2019,shop now at https://t.co/DccCf661iB 🙏🏽 https://t.co/3cMoBf4Tsd
1195489903317926000,Fri Nov 15 23:52:58 +0000 2019,RT @RocNation: #RocFam rocking it on the red carpet last night at the #LatinGRAMMYs 🌹 https://t.co/Ii3jCvVtgV
1192211831978201000,Wed Nov 06 22:47:05 +0000 2019,LA! Grab tickets to see me in @pixarcoco at the @HollywoodBowl on 11/8 &amp; 11/9 🙏🏽  https://t.co/9CcdjMTQdQ https://t.co/qgCtUH3mAC
1190476774288711700,Sat Nov 02 03:52:35 +0000 2019,RT @RocNation: Call the coroner because #FUNERAL is out now! 🔪 Stream @Miguel’s new single on @TIDAL: https://t.co/wpAb4bZ9uQ https://t.co/…
1190476430255112200,Sat Nov 02 03:51:13 +0000 2019,RT @DayNVegas2019: LUKE SKYWALKIN ON EM LIKE ✌️ @MIGUEL https://t.co/JsRZCG7Kq5
1190474446013788200,Sat Nov 02 03:43:20 +0000 2019,RT @fusetv: For Day of the Dead, @miguel teamed up with @EspolonTequila  and made a Calavera of his own... https://t.co/Tgvq46kLDE
1190144894930575400,Fri Nov 01 05:53:49 +0000 2019,RT @pitchfork: A brand new solo track from @Miguel https://t.co/Qxjd53Tyvk
1190144593666330600,Fri Nov 01 05:52:37 +0000 2019,tag me in your videos partying to this! 🔪🔪  #FUNERAL out now everywhere: https://t.co/o9a8Qeb6oS https://t.co/EXHByVzf5X
1188929776062361600,Mon Oct 28 21:25:22 +0000 2019,Vegas! I'll see you at KAOS Nightclub on Friday, 11/1. Tickets on sale now: https://t.co/37IHPcr3GG https://t.co/GhLNYXNt1l
1187081225485222000,Wed Oct 23 18:59:53 +0000 2019,loved sharing #SkyWalker with the very talented, D Smoke. catch the final episodes of #RhythmandFlow, now streaming… https://t.co/Mrp2xhxO4C
1187023394430013400,Wed Oct 23 15:10:05 +0000 2019,🙏🏽 https://t.co/DccCf661iB https://t.co/zq8oYIGTLS
1177329245405634600,Thu Sep 26 21:09:00 +0000 2019,RT @aliciakeys: Ask Alexa 🗣️"Play the Song of the Day" for some “Show Me Love" vibes!!! 💟💟💟 @amazonmusic @Miguel  https://t.co/Xl5huHD2VU
1176195537390862300,Mon Sep 23 18:04:03 +0000 2019,Good things come to those that wait 🙏🏽... Asia, come through and chill with me on tour starting 10/3! Grab tickets… https://t.co/dwo4Zl2WaS
1174043638885539800,Tue Sep 17 19:33:10 +0000 2019,RT @aliciakeys: The many experiences of love: self love, love w/another, love creating, spiritual love. The push, pull, struggle, joy, the…
1173689261876375600,Mon Sep 16 20:05:00 +0000 2019,Asia, i'm coming for you! Grab tickets now at https://t.co/Dz3CIByczw https://t.co/djp3fXZHSp
1152389901733761000,Sat Jul 20 01:28:57 +0000 2019,Bummed. Supposed to hit 108 + in the city. Timesooncome NYC. Love you https://t.co/icEaTC71Qt
1146140487000059900,Tue Jul 02 19:36:01 +0000 2019,Vegas! Who's coming out for @DayNVegas2019 in Nov.?  Tickets on sale now: https://t.co/YJY5Ah1MEv https://t.co/HcZjPTxaR8
1138612740258353200,Wed Jun 12 01:03:26 +0000 2019,San Diego! Tickets on sale: https://t.co/c3c669EqyZ @WonderfrontF #WonderFrontFestival https://t.co/pS6Y9tI6CS
1132312489947873300,Sat May 25 15:48:29 +0000 2019,Grab some merch for the summer and use code MEMORIALDAY at checkout to save 20%: https://t.co/dgxnpV5WWD https://t.co/shf12ff2Uu
1129171634118582300,Thu May 16 23:47:51 +0000 2019,New York! Excited to perform at @OZYfest in July! 🙏🏽 Buy your tickets now: https://t.co/m5Wcicrrpr https://t.co/d37xRlknwu
1123347525942030300,Tue Apr 30 22:04:55 +0000 2019,BAY AREA! I'll see you at @106KMEL's #KMELSummerJam on 7/28 at @OracleArena! Tickets on sale now:… https://t.co/mrUmYiYGe7
1122988320831758300,Mon Apr 29 22:17:34 +0000 2019,A signed setlist from my War x Leisure tour is available for auction until May 2nd. Proceeds go to… https://t.co/4YMzo2HPs3
1121820217485688800,Fri Apr 26 16:55:56 +0000 2019,Thank you @REMEZCLA for capturing the story behind my first Spanish-language project 🙏🏽  https://t.co/YoqtRkvWNR
1118706150814421000,Thu Apr 18 02:41:45 +0000 2019,El Paso!  I'll be at @NeonDesert this Memorial Day Weekend!  Tickets on sale now at https://t.co/P7JVOIPUtd https://t.co/ro5hhzEJKC
1118347229742424000,Wed Apr 17 02:55:32 +0000 2019,Sacramento! Excited for @solblume 🙏🏾 Tickets and more info: https://t.co/vnyLWkRBx4 https://t.co/zMs5yEm74L
1116876705849679900,Sat Apr 13 01:32:11 +0000 2019,Let’s go @mdbpfest! Tickets on sale now https://t.co/d1KCQVACNY https://t.co/k7EDJjpCHA
1115639545163395100,Tue Apr 09 15:36:09 +0000 2019,🤟🏾Featured on @pandoramusic's New Latin Now playlist https://t.co/qkxN6HqTGL https://t.co/ddooogVykg
1115441531547279400,Tue Apr 09 02:29:19 +0000 2019,🔥https://t.co/1wrT9EnQ12 https://t.co/SEldJqIQCV
1114618837897445400,Sat Apr 06 20:00:14 +0000 2019,Working the same way our Family was decades ago 💛#TeLoDije out now. https://t.co/L0YkJ75wy0 https://t.co/1Cbi6FvUpk
1114212421554643000,Fri Apr 05 17:05:17 +0000 2019,FIRST RELEASE OF THE YEAR ! TE LO DIJE (some songs off W&amp;L en español) Thanks to my cousin Mireya Ramos &amp;… https://t.co/miLEpy8zKX
1113489178455609300,Wed Apr 03 17:11:22 +0000 2019,RT @iHeartRadio: .@miguel gets real on the red carpet at the #iHeartAwards2019 about how he maintains the #Totalconfidence to do what fulfi…
1112523189463248900,Mon Apr 01 01:12:52 +0000 2019,Heavy. Sending nothing but love and condolences to Nipsey’s family, friends, Lauren, loved ones. Man had a lot of v… https://t.co/OJCFvGBlcw
1111134093541036000,Thu Mar 28 05:13:06 +0000 2019,“Told her I was hard to get to know. Near impossible to forget.” Won’t be posting much for a while guys. Love you https://t.co/jqzSKAV7Be
1110756560467382300,Wed Mar 27 04:12:55 +0000 2019,US is def a mind fuck you don’t really want to end 🙏🏾🙏🏾🙏🏾 Big love @jordanpeele for another great film and for the… https://t.co/2luILOJGkx
1110620649389809700,Tue Mar 26 19:12:51 +0000 2019,Gratitude, Forgiveness, and Vigilant attention to the company I keep are a couple ways I do this. How bout you? Let… https://t.co/dNoA9WCiW3
1109986415889272800,Mon Mar 25 01:12:38 +0000 2019,legit lmao on tonight’s episode of Ridiculousness ayye big shout @steelobrim @chanelwestcoast @robdyrdek https://t.co/RVZJKgHBHT
