id,created_at,text
1248209439330574300,Thu Apr 09 11:21:35 +0000 2020,What's the first thing you will do when the lock down lifts?
1242469218555064300,Tue Mar 24 15:12:00 +0000 2020,I wonder how much more our planet will repair itself with 3 more weeks of humans sitting at home? That's the only g… https://t.co/6Wee34kQdx
1239558084516855800,Mon Mar 16 14:24:11 +0000 2020,Less than 2 months ago, I was watching a new show on #netflix called #pandemic... In it it talks about not if the n… https://t.co/yq9KQ2PBRS
1239421950004326400,Mon Mar 16 05:23:14 +0000 2020,Never realised that there are 68 flights that go from #mumbai to #delhi every day.. Just though of checking clear t… https://t.co/oKRgAKRVtZ
1238835362279166000,Sat Mar 14 14:32:21 +0000 2020,84 confirmed casases of #coronavirus in India right now. I say.. Our govt n various institutions have come together… https://t.co/xPv7i8SNT5
1237995030985482200,Thu Mar 12 06:53:10 +0000 2020,I'm feeling bad for Corona beer.. They must be thinking..  "Why couldn't you call it Carlsburg-19?? Or  Kingfisher-… https://t.co/IfbpTNPb3D
1236208495508119600,Sat Mar 07 08:34:07 +0000 2020,@meenaluberoi Correct. But no one abroad does it. And they been more successful in Lotsa fronts in the last 500 years.. Got me thinking
1236208002572513300,Sat Mar 07 08:32:10 +0000 2020,Can an American with a licence to smoke medical marijuana light up during work? Could they sue their boss/company i… https://t.co/QIPa5Sa6Vj
1236207365642281000,Sat Mar 07 08:29:38 +0000 2020,As per the CDC in America, hand sanitiser needs to contain at least 60% alcohol... Could hand sanitiser be the new… https://t.co/qYtUZh80ge
1235850739848638500,Fri Mar 06 08:52:32 +0000 2020,I wonder... Stars.. Musicians..comdiens etc in Hollywood are the most famous personalities in the world.. Yet I don… https://t.co/dGHfpAVdfZ
1234829354951114800,Tue Mar 03 13:13:54 +0000 2020,Adopt the #Namaste 🙏 and prevent the spread of #coronavirusindia...
1221043836945780700,Sat Jan 25 12:15:11 +0000 2020,Which profile would you hit me up on?? #DollyPartonchallange https://t.co/TKixKCDLZd
1210469178718720000,Fri Dec 27 07:55:16 +0000 2019,https://t.co/O4QkRAMGrC
1209042891068379100,Mon Dec 23 09:27:42 +0000 2019,Feeling beautiful today https://t.co/PECBQijlZS
1204780230415704000,Wed Dec 11 15:09:25 +0000 2019,2) But now the mass recognition and celebration of it.. Helps us move closer to a gender equal meritocracy...i do h… https://t.co/zGfY1AikKk
1204779714625314800,Wed Dec 11 15:07:22 +0000 2019,1) Two women who have made history this week... @MarinSanna for being the youngest sitting Prime Minister at age 34… https://t.co/Dpbt6I8jBQ
1203717206690783200,Sun Dec 08 16:45:20 +0000 2019,I went #Plogging today to contribute to @NatGeoIndia's #DebrisTrackerChallenge. Want to be a part of this revolutio… https://t.co/I9Qwaks8XF
1189535764272615400,Wed Oct 30 13:33:21 +0000 2019,@rajcheerfull Congratulations to you and your family
1169960894677184500,Fri Sep 06 13:09:48 +0000 2019,Just a few hours to go for another accomplishment by @ISRO! Watch the #Chandrayaan2Live telecast on on @NatGeoIndia… https://t.co/4gFKqBJ2E3
1169928362657079300,Fri Sep 06 11:00:32 +0000 2019,How excited are you about India's moon landing tonight?? Will you watch it on TV this evening??   #Chandrayaan2… https://t.co/6vEaD9Zqgm
1168473204936958000,Mon Sep 02 10:38:15 +0000 2019,My life long dream is to study at an American University... What incentives now.. Hahahahha https://t.co/3sunt5f6jD
1168472138845524000,Mon Sep 02 10:34:01 +0000 2019,Idhar hum aadmi ko dande bhi maarenge https://t.co/fGo9UFMm6v
1168471707104891000,Mon Sep 02 10:32:18 +0000 2019,@rajcheerfull Congrats.... Waiting to see exciting new stuff from your end... 🎉
1127837717734281200,Mon May 13 07:27:20 +0000 2019,@patil_ckp Don't you dare.. Lol
1127836001282469900,Mon May 13 07:20:31 +0000 2019,Can't wait to be done with the the day and Game-of-Thrones it.. Love... Like if  you DON'T feel the same.. ReTweet… https://t.co/3AesKUbiMj
1127550982156501000,Sun May 12 12:27:57 +0000 2019,Sooo true! https://t.co/YxgR0nAzyz
1127546789123375100,Sun May 12 12:11:17 +0000 2019,Who will win IPL2019??
1126430204539199500,Thu May 09 10:14:23 +0000 2019,I wish #JonSnow ha hugged #Ghost. Said a proper goodbye.. Ghost just kept looking at him.. With such naked need.. W… https://t.co/8bvpexOzXg
1126404011173658600,Thu May 09 08:30:18 +0000 2019,Caption this pls..... https://t.co/rGfGhOCPmz
1125693332947112000,Tue May 07 09:26:19 +0000 2019,Looking out into the world https://t.co/u7wyk7tmdi
1121494974074200000,Thu Apr 25 19:23:32 +0000 2019,@anandranjan9 @vivekagnihotri Didn't read any reviews. Saw that it got a good percentage of likes on book my show
1121458269329866800,Thu Apr 25 16:57:41 +0000 2019,2...cold hard cash. Was such a joy to watch Mithun  Chakraborty, Nasseruddin Shah after so long... Refreshing casti… https://t.co/f4Hv4hqR3h
1121456139240009700,Thu Apr 25 16:49:13 +0000 2019,Watched The Tashkent files this evening and I must say,i am now eager to pick up a book on Shri Lal Bahadur Shastri… https://t.co/2A8XgHwvp1
1121119335534088200,Wed Apr 24 18:30:53 +0000 2019,Lol... #AskMinissha https://t.co/nWEh5PSINt
1121119094894280700,Wed Apr 24 18:29:56 +0000 2019,All my love to my beautiful neighbours in Bangladesh  #AskMinissha https://t.co/xlftc7HycZ
1121118592429203500,Wed Apr 24 18:27:56 +0000 2019,I would be a journalist  #AskMinissha https://t.co/QrmIqRQK87
1121102543591882800,Wed Apr 24 17:24:10 +0000 2019,'when you hit rock bottom, there is no way to go.. But up' or. Something on those lines  #AskMinissha https://t.co/gu1rYDRqsm
1121102067907485700,Wed Apr 24 17:22:16 +0000 2019,Hmmmmm.. This will be unanswered  #AskMinissha https://t.co/SBCQmNGfEe
1121099954204790800,Wed Apr 24 17:13:52 +0000 2019,@aBHiLaSH_ReaDY Hahaha.. Am. Sure I must have... Have blocked it outta my memory #AskMinissha
1121099846587306000,Wed Apr 24 17:13:27 +0000 2019,Will try.... #AskMinissha https://t.co/5RiwWkZAOl
1121099746045620200,Wed Apr 24 17:13:03 +0000 2019,I think she is lovely.. Thank you for the compliment #AskMinissha https://t.co/CSMaiegCck
1121099618832400400,Wed Apr 24 17:12:32 +0000 2019,Without a doubt kamalrkhan @kamaalrkhan #AskMinissha https://t.co/TrpB2BN0kV
1121099509281349600,Wed Apr 24 17:12:06 +0000 2019,It's never an 'actress like me' you audition for the role.. According to the script that is given #AskMinissha https://t.co/4bghoOuTXk
1121099269367189500,Wed Apr 24 17:11:09 +0000 2019,They were all great fun to work with. Let's see what comes. Up. In the pipeline https://t.co/h5QvG3m3rK
1121027678415376400,Wed Apr 24 12:26:40 +0000 2019,Yes.. I haven't seen the earlier films.. Will catch up with those first and then Monday will be end game night… https://t.co/DGXkKThEvv
1121027332133666800,Wed Apr 24 12:25:18 +0000 2019,That's a question I have stopped answering.. Lol  #AskMinissha https://t.co/jLvVIiHLSQ
1121027137421463600,Wed Apr 24 12:24:31 +0000 2019,That would be the coming down of the Berlin Wall  #AskMinissha https://t.co/GZMZnDg4f2
1121026976041459700,Wed Apr 24 12:23:53 +0000 2019,They all are brilliant.. Will need a week of rehearsals before I can jive with any of em  #AskMinissha https://t.co/b8adCkpjUD
1121026651037429800,Wed Apr 24 12:22:35 +0000 2019,Only when  I happen to be the only lady in a room... Then I know for a fact, no other gentlemen present can be the… https://t.co/M3e2fwYbIa
1121025797614006300,Wed Apr 24 12:19:12 +0000 2019,The biggest regrets are some of the chances that I didn't take.. And the highlights have been the professional succ… https://t.co/d4k5ZPE3Pa
1121025513336627200,Wed Apr 24 12:18:04 +0000 2019,Loads n loadsa Mangoes!  #AskMinissha https://t.co/gclaxTM8MZ
1121025383736852500,Wed Apr 24 12:17:33 +0000 2019,High Intensity Interval Training  #AskMinissha https://t.co/34cQ0JlXSo
1121025226601427000,Wed Apr 24 12:16:56 +0000 2019,While training barely 30 secs.. But getting to the gym often enough is what my challenge currently is  #AskMinissha https://t.co/nq1iQOy3i7
1121024925353955300,Wed Apr 24 12:15:44 +0000 2019,3rd rock From the Sun, The Wonder Years.. There are some other gems which shouldn't be revived.. Coz the originals… https://t.co/2NPX5jSHY8
1121023181618171900,Wed Apr 24 12:08:48 +0000 2019,I would tell myself to take more chances.  #AskMinissha https://t.co/PdSjIyPQ26
1121022918236835800,Wed Apr 24 12:07:45 +0000 2019,Yes definitely... It would be the perfect relationship.  #AskMinissha https://t.co/1ZPKnf5InU
1121015075215749100,Wed Apr 24 11:36:36 +0000 2019,I love people watching.. When I've been around people with  interesting speech or body language patterns, I end up… https://t.co/lcGLLIi12I
1120999874252509200,Wed Apr 24 10:36:11 +0000 2019,I think everyone in life has, at some point broken someone's heart...  Dil cheez hi itni nazuk hain.. Ki chaho bhi… https://t.co/2dx3USuXeL
1120999507204816900,Wed Apr 24 10:34:44 +0000 2019,First it's looks... Then post that.. There has to be personality.. Substance... To keep my interest sustained… https://t.co/g5K6FZ5KQo
1120993971839201300,Wed Apr 24 10:12:44 +0000 2019,You did buddy!  #AskMinissha https://t.co/7lxDZeGDXg
1120993843820630000,Wed Apr 24 10:12:14 +0000 2019,SuperStarMastTalentedHandsomeEkDumJhakasDancer... I swear to you, that's a word..  Happy Happy @Varun_dvn 🎉💐😘🎂🌹🎊… https://t.co/CxvOHzefRR
1120992692916211700,Wed Apr 24 10:07:39 +0000 2019,Me! Hahahaha haha  #AskMinissha https://t.co/I54eAMbbZP
1120992576897556500,Wed Apr 24 10:07:12 +0000 2019,That you would have to ask @BazmeeAnees sir  #AskMinissha https://t.co/yhxV1ltk6L
1120992423235031000,Wed Apr 24 10:06:35 +0000 2019,Ohhhhh the world. Is filled. With so many beautiful colors.. Where to add more from??  #AskMinissha https://t.co/wlFTfF2oay
1120992246709416000,Wed Apr 24 10:05:53 +0000 2019,I love practical, usable gifts.. If not that.. Then a book will. Always be welcome.  #AskMinissha https://t.co/03ffyjn8zD
1120991353368760300,Wed Apr 24 10:02:20 +0000 2019,Most likely to cancel on a plan to go out... Hahahahahahah aha ha  #AskMinissha https://t.co/HsxnGqCdlL
1120991016792629200,Wed Apr 24 10:01:00 +0000 2019,I would choose @TonyRobbins.. In fact.. After that session I would love to shadow him for a week  #AskMinissha https://t.co/Ywj7I0uS8u
1120990730644672500,Wed Apr 24 09:59:51 +0000 2019,I save the conversation instead.. My phone is filled with memories of threads of my evolving friendships with close… https://t.co/6Epg7VphUf
1120990284886577200,Wed Apr 24 09:58:05 +0000 2019,It's actually my doggies.. Chloe and Zoey that never fail to put a smile to my face  #AskMinissha https://t.co/ch17tLFael
1120990057903509500,Wed Apr 24 09:57:11 +0000 2019,I love my easy going nature..at times it has cost me and at times, it has saved me..  #AskMinissha https://t.co/mZFTWo4eoC
1120989371094585300,Wed Apr 24 09:54:27 +0000 2019,Surprisingly I have a very high tolerance/threshold for things weirding me out.. But yes I did see a screensaver of… https://t.co/USwxuezA0V
1120988478777380900,Wed Apr 24 09:50:54 +0000 2019,@ILoveMinissha 'Rape' is the worse word in the language.. And I hope and pray that, its an action that gets dwindle… https://t.co/fbj9H3k6Bq
1120987905659293700,Wed Apr 24 09:48:38 +0000 2019,Not really... The list gets a bit long.. As the day goes on    #AskMinissha https://t.co/GBnbZzTiLu
1120986867120238600,Wed Apr 24 09:44:30 +0000 2019,@Jonny_luv8 Was a good plan
1120986693983539200,Wed Apr 24 09:43:49 +0000 2019,@abhi3107 Kahaan milta hain?
1120943064594272300,Wed Apr 24 06:50:27 +0000 2019,Heyyy... Thought we could have a lil chat today... Keep your questions coming in today.. Just have #AskMinissha in… https://t.co/zI0GVBvqYn
1120720544653959200,Tue Apr 23 16:06:14 +0000 2019,Had a hard workout and so hungry I could eat a tree.. Lol.. Any suggestions for something yummy and healthy to eat??
1118561862075895800,Wed Apr 17 17:08:24 +0000 2019,@ShirishKunder Congrats... Female serial killer.... Never heard of before in fiction..
1117370897319583700,Sun Apr 14 10:15:56 +0000 2019,Had a mad time interviewing with you @VeenuSingh12 And there I go back again to @idriselba   apologies to his wife https://t.co/xplLEDd0Kh
1117031724074954800,Sat Apr 13 11:48:11 +0000 2019,Shaurya, my film, completed 12 years recently. A decade on.. What does 'Shaurya' mean to you? @samarmumbaikhan @RahulBose1 @kaykaymenon02
1115064432030298100,Mon Apr 08 01:30:52 +0000 2019,Thank you https://t.co/fsgxKGn5eM
1113832634738593800,Thu Apr 04 15:56:08 +0000 2019,Blast from the past... Malaysian  Grand Prix.. Great memories #ThrowbackThursday https://t.co/6c6rQrWq3I
1113375623123075100,Wed Apr 03 09:40:08 +0000 2019,Who do you think will win tonight's IPL match
1113368258168492000,Wed Apr 03 09:10:52 +0000 2019,Who do you think will win tonight? MI or CSK? And why?  #ipl2019 #MIvCSK
1113136926494609400,Tue Apr 02 17:51:39 +0000 2019,@Vineet_Chhajer This is ridic
1113052750407970800,Tue Apr 02 12:17:09 +0000 2019,These kinda messages are disgusting. How does something like this even get put out?? https://t.co/VcYRULtIlK
1112635468074479600,Mon Apr 01 08:39:02 +0000 2019,@SumeeSays @NetflixIndia @VBonTheWeb_ @altbalaji All depends on the story.. The only formula today is a great story… https://t.co/4rBZ3ZwgIG
