id,created_at,text
1260267188142903300,Tue May 12 17:54:46 +0000 2020,RT @KHkellyhunter: PLEASE RT SO THAT FAMILIES LIVING WITH #AUTISTIC individuals can benefit from @flutetheatre amazing resources #AutismAwa…
1260191587578994700,Tue May 12 12:54:22 +0000 2020,RT @jimmykimmel: By his vice majesty’s request, my official on-air apology to the truth-loving, profoundly-principled @VP Mike Pence... #Ji…
1260185814056738800,Tue May 12 12:31:25 +0000 2020,RT @MissDumezweni: Excellent story. And Storytelling. The real Lord of the Flies: what happened when six boys were shipwrecked for 15 month…
1260174905431273500,Tue May 12 11:48:05 +0000 2020,RT @jimmykimmel: 10 years ago, a friend sent me a @YouTube video of a man who saw two rainbows in the sky. This video made everyone happy,…
1260172096824578000,Tue May 12 11:36:55 +0000 2020,@KennethSoh Can’t wait! Thank You. Love You Dear One. 💛
1259936788627566600,Mon May 11 20:01:53 +0000 2020,RT @Lin_Manuel: GIF stands for Gosh, It’s Fucked now. Mandy has spoken. 🤣👏🏽
1259935740789653500,Mon May 11 19:57:43 +0000 2020,RT @JerrySeinfeld: Jerry Stiller's comedy will live forever.
1259918722980106200,Mon May 11 18:50:06 +0000 2020,@jackthorne Thanks Mate! x
1259914769793986600,Mon May 11 18:34:23 +0000 2020,RT @deepraaajjj: rihanna as indian food/snacks [a thread] https://t.co/9SALprJvNA
1259913166647066600,Mon May 11 18:28:01 +0000 2020,I went with the flow.. Happy, didn’t plan it, but it worked... 😉 https://t.co/mkypcTAsWE
1259887607766569000,Mon May 11 16:46:27 +0000 2020,RT @darrenrichman: RIP Jerry Stiller, one of the funniest ever https://t.co/IoGdUZqLHE
1259886372552413200,Mon May 11 16:41:33 +0000 2020,RT @malorieblackman: 👇🏿
1259885980087181300,Mon May 11 16:39:59 +0000 2020,RT @helenmurraypix: Throwback. Ronkẹ Adékoluẹjo &amp; Gbolahan Obisesan shot as part of my Widening the Lens series back in 2016. At the time t…
1259834045296455700,Mon May 11 13:13:37 +0000 2020,RT @RaddingtonB: Massive thanks to everyone who spoke to me for this. It's a grim read in places but it feels so important to show that thi…
1259832479680249900,Mon May 11 13:07:24 +0000 2020,RT @ziyatong: How often do you think to yourself: “I’m a tiny being on a planet flying through the black void of space.” Probably not that…
1259830625470681000,Mon May 11 13:00:02 +0000 2020,RT @wizardingworld: If you need a helping hand, click here to watch @MissDumezweni reading the full chapter! https://t.co/Vk8XlNY9HK
1259825054063435800,Mon May 11 12:37:53 +0000 2020,Excellent story. And Storytelling. The real Lord of the Flies: what happened when six boys were shipwrecked for 15… https://t.co/xCYc5glntA
1259807186634637300,Mon May 11 11:26:54 +0000 2020,Loved His work. And Esp with his wife/your Ma. Condolences. https://t.co/Pqpapmmo8r
1259806348927172600,Mon May 11 11:23:34 +0000 2020,@christosbarstos We are safe and well. Grateful. And forgot to say, her work is obviously stunning! x
1259702019830493200,Mon May 11 04:29:00 +0000 2020,@christosbarstos Blessings and condolences to You and Your Family Chris. She sounds wonderful. Nx
1259701434838397000,Mon May 11 04:26:40 +0000 2020,RT @RealMattLucas: https://t.co/k6Sr4Iac15
1259680145293615000,Mon May 11 03:02:05 +0000 2020,RT @ChrisSonnex: So basically, if you’re working class, you can go down and work in the mine that is corona. Always worked well for the can…
1259636965818994700,Mon May 11 00:10:30 +0000 2020,RT @jazleejones: black people are 4X more likely to die of covid-19, if you have some spare money please donate to one of the black nurses…
1259636834503725000,Mon May 11 00:09:58 +0000 2020,RT @JeniferLewis: Circa 1976. A sweet moment backstage right after my mother let me fluff out her afro. * * * #HappyMothersDay #DorothyLewi…
1259606708726444000,Sun May 10 22:10:16 +0000 2020,RT @bader_diedrich: FOGHAT!
1259606677881487400,Sun May 10 22:10:09 +0000 2020,RT @DavidMumeni: Boris’s #stayingalert to workers https://t.co/HcanDc2DAf
1259590953775632400,Sun May 10 21:07:40 +0000 2020,@dan_usztan 😘
1259586226224607200,Sun May 10 20:48:52 +0000 2020,@dan_usztan @eatspicebox Just in time...! HBD LOVELY!!! 😘💛
1259584294428840000,Sun May 10 20:41:12 +0000 2020,@QueenLesli @BBBway @BCEFA Fabulous! 👏🏿💛
1259584258118750200,Sun May 10 20:41:03 +0000 2020,RT @QueenLesli: Here is my entire “audition” for Mama Rosé. I think it’s probably down to me and James Iglehart. Thx for watching Broadway…
1259582511384014800,Sun May 10 20:34:07 +0000 2020,RT @theferocity: At one point during #Verzuz, Jill Scott brought her kid out to say hello to Eryka Badu, then Badu said “take care of your…
1259581868690813000,Sun May 10 20:31:34 +0000 2020,RT @MsPackyetti: We all agree that Jill &amp; Erykah wasn’t a battle but it was a shea butter balm and we were the real winners, right?  #Verzuz
1259581621415612400,Sun May 10 20:30:35 +0000 2020,RT @RichardEGrant: Cartoon Supremo @JeffYorkWriter on @DaisyEdgarJones &amp; @mescal_paul in @NormalPeopleBBC &amp; on Hulu. Most forensically deta…
1259558697040257000,Sun May 10 18:59:29 +0000 2020,RT @ConanOBrien: Today is Mother's Day. I celebrated by taking my wife to her favorite room in the house and leaving her alone.
1259558670607749000,Sun May 10 18:59:23 +0000 2020,RT @JohnCleese: If by chance you've forgotten to get your mother something to expess your love &amp; gratitude and to thank her today, show her…
1259497217993343000,Sun May 10 14:55:11 +0000 2020,@PaulChahidi So happy I got to be part of it. Thank You. 😘💛
1259493557381062700,Sun May 10 14:40:38 +0000 2020,RT @marwilliamson: The original Mother’s Day proclamation was written after the Civil war, when mothers from the South who had lost sons du…
1259492692066799600,Sun May 10 14:37:12 +0000 2020,RT @PaulChahidi: Haunted by @normalpeople Watching it made me feel simultaneously young and old. What a triumph by all concerned. Cannot wa…
1259466765706367000,Sun May 10 12:54:11 +0000 2020,RT @RexChapman: This man jogged 2 miles through his neighborhood carrying a TV in his hands to prove that “looking like a suspect” who comm…
1259466484239290400,Sun May 10 12:53:04 +0000 2020,RT @pattonoswalt: “I’m not conceited, I’m convinced.” #RIPLegend
1259462682320818200,Sun May 10 12:37:57 +0000 2020,@McKennaSusie Fantastic!!! The Divine Feminine in action... Goddesses!!!
1259275068624056300,Sun May 10 00:12:27 +0000 2020,Erykah badu &amp; Jill Scott... on the insta NOW..Now!!!
1259157208044101600,Sat May 09 16:24:07 +0000 2020,RT @violadavis: The Originator. The innovator. The musician, performer who influenced generations of artists....has left. You were AWESOME…
1259153477961429000,Sat May 09 16:09:17 +0000 2020,RT @NewsHour: Without national attention, my son’s death would have been a coverup, Ahmaud Arbery’s mother tells @yamiche https://t.co/mxBS…
1259151724335501300,Sat May 09 16:02:19 +0000 2020,RT @DWattsWords: Come run with us #AhmaudArbery https://t.co/QsjcRBC0yK
1259144710742052900,Sat May 09 15:34:27 +0000 2020,RT @iSmashFizzle: Mel: Babe, Little Richard died.   Kel: You mean Little Richard LIVED! *puts on a record*  Just what I needed ❤️
1259144626029592600,Sat May 09 15:34:07 +0000 2020,RT @StevieVanZandt: RIP Little Richard. The man who invented Rock and Roll. Elvis popularized it. Chuck Berry was the storyteller. Richard…
1259144548963487700,Sat May 09 15:33:48 +0000 2020,RT @simon_price01: Little Richard was the firecracker who set it all off. Right there at rock'n'roll's Big Bang, this ungovernable force tr…
1259144147660873700,Sat May 09 15:32:13 +0000 2020,RT @MartineMontreal: "I am the originator. I am the emancipator. I am the architect of rock n' roll. And I want you to know that rhythm &amp; b…
1259141298310787000,Sat May 09 15:20:53 +0000 2020,RT @LettersOfNote: RIP Little Richard. As printed in Billboard magazine in June 1956, this is the letter of thanks he addressed to the indu…
1259141022254338000,Sat May 09 15:19:48 +0000 2020,And though beautiful at heart, this I find a little heartbreaking.... 💛 https://t.co/6DPJczMaOt
