id,created_at,text
1260863235063861200,Thu May 14 09:23:15 +0000 2020,RT @sairarahman: Here’s Why I Haven’t Been Sleeping Well Lately: A Thread on Derivatives.   CLOs, or Collateralized Loan Obligations. Sound…
1257715034764923000,Tue May 05 16:53:26 +0000 2020,RT @NateGeraci: Press release from Schwab: https://t.co/5v64Icu8uM  One interesting aspect is the ability to purchase up to 10 different "s…
1257714398761586700,Tue May 05 16:50:54 +0000 2020,RT @abhirajbhal: (1/10) This thread outlines all the safety  protocols by @urbancompany_UC to protect the health and well being of our cust…
1246794837422010400,Sun Apr 05 13:40:28 +0000 2020,RT @Wangchuk66: If New Delhi is a symbol of development, then Ladakh doesn’t need it!!!  Air you can't breath, water you can't touch and ne…
1197725094044295200,Fri Nov 22 03:54:49 +0000 2019,RT @getthemirror: Introducing MIRROR One-On-One Personal Training. For the first time bring the country’s top trainers into your home throu…
1191791352712839200,Tue Nov 05 18:56:15 +0000 2019,RT @MKBHD: Alright, it's true. I have an extra pair of these AirPods Pro to give away. Just RT and you're in. Will pick a winner in 24 hour…
1095151025151975400,Tue Feb 12 02:42:05 +0000 2019,RT @PundanSingh: Bravo #Netherlands. We are from #agriculture background but yet far to reach such #innovation pinnacle. https://t.co/1NQ2Y…
1090425030666645500,Wed Jan 30 01:42:41 +0000 2019,RT @mashable: These metal animal sculptures are so realistic, you may need to do a double take https://t.co/3gsaHiGznD
1086449596950143000,Sat Jan 19 02:25:43 +0000 2019,RT @slicknet: Mom: Dad said you invented a thing? ESLint? Me: Yes. Mom: What is it? Me: It finds and fixes problems in JavaScript. Mom: Huh…
1080613687130386400,Wed Jan 02 23:55:54 +0000 2019,RT @muglikar_: Can we make this video viral? Every cell phone in India should have this truth bomb. Let's get this done. #NamoAgain https:/…
1071941277262864400,Mon Dec 10 01:34:50 +0000 2018,RT @pikuu0410: This Is ☝️Number ... @hvgoenka Sir ...🙏 https://t.co/XMuWIT3hd4
1070312697491640300,Wed Dec 05 13:43:27 +0000 2018,RT @SrBachchan: T 3012 -" Too many people undervalue what they are and overvalue what they are not."~ Ef   अधिकतर लोग , जो वो हैं , उसका मू…
1070310826098061300,Wed Dec 05 13:36:01 +0000 2018,RT @boringcompany: Boring Company Job Faire https://t.co/ZLG7XmeZSR
1070310799732727800,Wed Dec 05 13:35:54 +0000 2018,RT @boringcompany: Final round of interviews https://t.co/jKvcbCopjR
998223919478902800,Sun May 20 15:28:23 +0000 2018,RT @elonmusk: Tesla dual motor means there is a motor in front &amp; a motor in rear. One is optimized for power &amp; one for range. Car drives fi…
404068159130316800,Sat Nov 23 02:05:31 +0000 2013,#startup #opinion via @SutraLite: 22 Indian Startups That Will Raise Money in the Next 6 Months http://t.co/CK1iY5y0ww
361114579494907900,Sat Jul 27 13:23:19 +0000 2013,Apple Review http://t.co/Nmaxvg5EJI via @whatsapp
343468169136054300,Sat Jun 08 20:42:47 +0000 2013,Hey everyone, Check out CallCab,our first app, on Google Play! https://t.co/94kc6ztLVn
335650586311675900,Sat May 18 06:58:30 +0000 2013,Reading slides by @boardofinno: The Money Making techniques every startup should know. http://t.co/zCe9viaJif
308083304626786300,Sun Mar 03 05:15:58 +0000 2013,RT @businessinsider: How Making This Redesign Of Facebook Changed One Designer's Life $FB by @jyarow http://t.co/IaC4JU5m0Y
191764311159488500,Mon Apr 16 05:45:49 +0000 2012,RT @newsycombinator: Canada's new 25 cent coin features a dinosaur, glows in the dark and more http://t.co/vAwyuEov
