id,created_at,text
590577675779100700,Tue Apr 21 18:07:44 +0000 2015,RT @wwd: A look from the @NAEEMKHANNYC #bridal collection. For more #bridalfashionweek coverage, see http://t.co/5koV7mT9s7 http://t.co/Hkf…
590577628047941600,Tue Apr 21 18:07:33 +0000 2015,RT @brides: Our EIC @KeijaMinor potted this stunner from the front row of @NAEEMKHANNYC! #bridalfashionweek http://t.co/f0dq8nEupi
590577583588319200,Tue Apr 21 18:07:22 +0000 2015,RT @brides: See all of @NAEEMKHANNYC's show-stopping new bridal collection! http://t.co/a9VI761xts http://t.co/qCMzBNraiV
590577561282936800,Tue Apr 21 18:07:17 +0000 2015,RT @theknot: New! A look at @NAEEMKHANNYC's artistic Spring 2016 collection:http://t.co/Q0fWZvNdI1 http://t.co/QoDU5fvn6J
590577160567525400,Tue Apr 21 18:05:42 +0000 2015,RT @WeddingbellsMag: Something blue @NAEEMKHANNYC #nycbridalmarket http://t.co/CMwhtpYczp
590577147993006100,Tue Apr 21 18:05:39 +0000 2015,RT @WeddingbellsMag: Dramatic &amp; dazzling finale @NAEEMKHANNYC #nycbridalmarket http://t.co/rZdzokW300
590576597339611100,Tue Apr 21 18:03:27 +0000 2015,RT @TeleFashion: Glorious sea treasure crowns at @NAEEMKHANNYC. See more unique bridal ideas right here: http://t.co/SzvTR40Jbf http://t.co…
590576561667059700,Tue Apr 21 18:03:19 +0000 2015,RT @LouboutinWorld: All white but the soles of their feet at @NAEEMKHANNYC Spring 2016 #BridalFashionWeek. @tayjewell #SomethingRouge http:…
590576310713454600,Tue Apr 21 18:02:19 +0000 2015,RT @WeddingbellsMag: With exquisite beading and billowing tulle, @NAEEMKHANNYC's new gowns are fit for a queen: http://t.co/WLtrEJAOl5 http…
590576282724868100,Tue Apr 21 18:02:12 +0000 2015,RT @YahooStyle: Forget bridal veils &amp; dresses. It's all abut @NAEEMKHANNYC's headpieces! http://t.co/BThzMO5leT http://t.co/JP3rvfHihQ
580181877111152600,Tue Mar 24 01:38:33 +0000 2015,RT @chelsealeyland: @NAEEMKHANNYC x FW2015 mix &lt;3 https://t.co/EkIzUI3sr8
578159986561396700,Wed Mar 18 11:44:17 +0000 2015,RT @theweddingshop: Calling all #Philly brides!  We are very excited to be hosting an exclusive @NAEEMKHANNYC trunk show! #luxe #bridal htt…
570711451243057150,Wed Feb 25 22:26:27 +0000 2015,RT @TheWallGroup: .@solangeknowles in @NAEEMKHANNYC at the @VanityFair #Oscars2015 Afer Party. Styled by @robzangardi and @MARIELhaenn. htt…
569710499035623400,Mon Feb 23 04:09:02 +0000 2015,RT @safriyaf: Julianne Hough in @NAEEMKHANNYC #VanityFair #Oscars2015 http://t.co/pRwoaEwuvK
569679575007023100,Mon Feb 23 02:06:09 +0000 2015,RT @RobinGivhan: And because we can multi-task our fashion news: @FLOTUS wears a purple sequin strapless  @NAEEMKHANNYC gown to Governors D…
569475033124331500,Sun Feb 22 12:33:22 +0000 2015,RT @POPSUGARBeauty: Steal your next date night look with this eye makeup inspiration from @NAEEMKHANNYC: http://t.co/lhNN0eUizi http://t.co…
569474987960053760,Sun Feb 22 12:33:12 +0000 2015,RT @glam_com: The beauty look at @NAEEMKHANNYC was bold, twisty perfection. #NYFW http://t.co/HU1QOabGxT
569474916963086340,Sun Feb 22 12:32:55 +0000 2015,RT @POPSUGARBeauty: We want these lips from @NAEEMKHANNYC: http://t.co/lhNN0eUizi http://t.co/3wEdgtPy9z
568768340505661440,Fri Feb 20 13:45:14 +0000 2015,RT @TheFashionCourt: Kate Hudson celebrates 1million followers on Instagram in a @NAEEMKHANNYC SS15 green jumpsuit: http://t.co/DRg5KzYuqr …
