id,created_at,text
1148338575014092800,Mon Jul 08 21:10:26 +0000 2019,OFFICIAL: I've been acquired by a great family to be a skilled companion dog for my new best friend, Dan!  Dan has… https://t.co/rtQwCd8Rcy
1134829012877041700,Sat Jun 01 14:28:15 +0000 2019,RT @NHL: The OGB: Original Good Boy     The @NYRangers started one of our favorite trends of the season when they introduced @NYRangersPup…
1113164731920060400,Tue Apr 02 19:42:08 +0000 2019,Last year on #WorldAutismAwarenessDay I arrived in NYC to begin my journey with the @NYRangers.  Today I’m much clo… https://t.co/Cq11nuNRyz
1112007086144192500,Sat Mar 30 15:02:04 +0000 2019,Come meet me and @NYRangers alum @KevinWeekes from 1-2pm today @ctshirts at the Garden State Plaza! 🐶 👔 https://t.co/AZhDUkJZFl
1109513130110058500,Sat Mar 23 17:51:58 +0000 2019,🐶 https://t.co/C8QOSJp6nc
1108015865897861100,Tue Mar 19 14:42:23 +0000 2019,Before the game tonight come meet me and @NYRangers alum Ron Greschner @ctshirts (745 7th Ave) from 5:30-6:30pm! 🐶👔 https://t.co/kLCd5SeWpT
1107324884420649000,Sun Mar 17 16:56:40 +0000 2019,I 💚 St. Pawtrick’s Day! #StPatricksDay #NYRPupOnAPath https://t.co/ZOCjd3snes
1100872954219499500,Wed Feb 27 21:39:00 +0000 2019,Ready for @NYRangers First Responders Night! 🚒🐶 #NYRPupOnAPath 🐾 https://t.co/fTxN2W4iRg
1096186089948303400,Thu Feb 14 23:15:04 +0000 2019,Feeling the puppy love from my @NYRangers family on Valentine’s Day! 💙❤️💙 https://t.co/ysMqYGeboH
1095709326092783600,Wed Feb 13 15:40:35 +0000 2019,Get ready for Valentine’s Day and come meet me with @NYRangers alum @RonDuguay10 today @ctshirts (745 7th Ave) from… https://t.co/mBykrcWron
1091185794864287700,Fri Feb 01 04:05:41 +0000 2019,A #NYR win on my birthday and a hat trick for Mika ZiBONEjad!   Way to go @NYRangers! https://t.co/6voKPdwkeo
1091093146291892200,Thu Jan 31 21:57:32 +0000 2019,I had a great time today @ctshirts meeting #NYR alum Glenn Anderson and meeting @NYRangers fans!   I even got a bir… https://t.co/N5eyVTyqRC
1091062869905604600,Thu Jan 31 19:57:13 +0000 2019,It’s my Birthday!   Thank you to my @NYRangers family for making this year amazing!  I can’t wait for the year ahea… https://t.co/lxho2lc8jf
1091050074484981800,Thu Jan 31 19:06:23 +0000 2019,RT @NYRangers: Happy 1st Birthday to our best friend who is such a good boy @NYRangersPup! #NYRPupOnAPath 🐶🏒 https://t.co/JJjtANsYnP
1090752464607998000,Wed Jan 30 23:23:47 +0000 2019,Come meet me and @NYRangers alum Glenn Anderson tomorrow @ctshirts (745 7th Ave) from 3-4pm! 🐶👔 https://t.co/1IzEbyH3Bf
1085248383915360300,Tue Jan 15 18:52:32 +0000 2019,Celebrating #NationalHatDay in @NYRangers style! Which do you woof more? #NYRPupOnAPath https://t.co/yUnHyQXQ48
1079966371902115800,Tue Jan 01 05:03:42 +0000 2019,Happy New Year to my @NYRangers family! #NYRPupOnAPath 🐶🎉 https://t.co/FiGySxHj8W
1077593793535361000,Tue Dec 25 15:55:55 +0000 2018,I WOOF MY @NYRangers 🎁 https://t.co/9P2TUPuYvo
1077560401263513600,Tue Dec 25 13:43:14 +0000 2018,I’ve been working hard to become a service 🐶 with BluePath, so I can be the greatest gift to a child with autism so… https://t.co/fDs7KP96TC
1077245916195815400,Mon Dec 24 16:53:35 +0000 2018,Happy Paw-lidays RangersTown! #NYRPupOnAPath https://t.co/UOHjukzpzq
1075137160272076800,Tue Dec 18 21:14:08 +0000 2018,RT @NYRangers: @NHL Did someone say GIF exchange @NYRangersPup!? https://t.co/Db5ToVYgiR
1066021028072251400,Fri Nov 23 17:29:53 +0000 2018,I love shopping on Black Furday @ctshirts! Get 25% off + free shipping for Black Friday in stores or online.… https://t.co/zYWh4omh01
1065779894104272900,Fri Nov 23 01:31:42 +0000 2018,Post Thanksgiving meal mood #NYRPupOnAPath https://t.co/MZSAlj03aD
1065633794240196600,Thu Nov 22 15:51:09 +0000 2018,Happy Thanksgiving RangersTown! Excited for my first one!   I’m so thankful for my new #NYR family! #NYRPupOnAPath https://t.co/Fs5ZbAkcfm
1061622505222389800,Sun Nov 11 14:11:43 +0000 2018,Can’t wait for my first RangersTown 5k presented by @NorthwellHealth! Should be a walk in the park. https://t.co/7XMSF4PmBN
1061014639268520000,Fri Nov 09 21:56:17 +0000 2018,@chris_fotenos @NYRangers @NorthwellHealth Any 🐶
1060995343368765400,Fri Nov 09 20:39:36 +0000 2018,Want to go for a walk or run!?  Join me and some of my @NYRangers best friends this weekend at the RangersTown 5k p… https://t.co/NcN10rUdcb
1057779310927462400,Wed Oct 31 23:40:14 +0000 2018,Happy Hall🐶ween RangersTown!  #NYRPupOnAPath https://t.co/5Atp9ZUQfe
1054899398545694700,Wed Oct 24 00:56:30 +0000 2018,I had a great time on @MSGNetworks during @NYRangers intermission.   Thanks @AlTrautwig for the high 🤚 https://t.co/GvnzJrPWZQ
1054897771336097800,Wed Oct 24 00:50:02 +0000 2018,Tune in now to see me on @MSGNetworks! https://t.co/1qmcXZanRI
