id,created_at,text
1260124961030598700,Tue May 12 08:29:37 +0000 2020,Quit playin wit the fake shit
1260124182865559600,Tue May 12 08:26:31 +0000 2020,You gurls are on the same team
1258453957594058800,Thu May 07 17:49:39 +0000 2020,RT @ufc: #OnThisDay in 2012...  💪 @NateDiaz209 gave us an absolute vintage performance!  Watch more ➡️ on @UFCFightPass https://t.co/MzmvO3…
1252372040968884200,Mon Apr 20 23:02:17 +0000 2020,Happy 420 💨
1251388142801678300,Sat Apr 18 05:52:37 +0000 2020,RT @ufc: "That's what's up!" 💪  What's your favorite @NateDiaz209 moment? https://t.co/pwTYa0vDLG
1244837349705441300,Tue Mar 31 04:02:06 +0000 2020,RT @UFCEurope: Start your Monday with a @NateDiaz209 slap! 👏 https://t.co/SCNcqJh5h6
1244530509486555100,Mon Mar 30 07:42:50 +0000 2020,@gameupnutrition https://t.co/fsiz67XlGA
1244365618175832000,Sun Mar 29 20:47:37 +0000 2020,FIGHT DAY! SUG goes down at 6pm EST. @UFCFightPass Jones v Casey.
1242363628679884800,Tue Mar 24 08:12:25 +0000 2020,RT @ufc: 👊 Real recognizes real.   @NateDiaz209's best mic moments ⤵️ https://t.co/D4j7nieVMJ
1241661794071933000,Sun Mar 22 09:43:35 +0000 2020,RT @bjpenndotcom: I hope everyone is doing ok during these tough times. One person who could really use some help is little Elliot. Please…
1240862970499883000,Fri Mar 20 04:49:20 +0000 2020,RT @ufc: RT if you're missing @NateDiaz209 in the Octagon 💪 https://t.co/d9NOgxHHID
1235700968223674400,Thu Mar 05 22:57:23 +0000 2020,RT @ufc: #OnThisDay in 2016...   @NateDiaz209 wasn't surprised when he faced McGregor for the first time! 🔥  📺 Watch more on @UFCFightPass…
1235034342759362600,Wed Mar 04 02:48:27 +0000 2020,What happened to your season? I was allready back in by now wtf
1233342628483104800,Fri Feb 28 10:46:11 +0000 2020,@gameupnutrition  cbd gummies 👊🏼 https://t.co/B30VDZY7o6
1233323198764089300,Fri Feb 28 09:28:59 +0000 2020,RT @PeachLamar: @RepresentLTD and @NickDiazAcademy shipment came in!! Plus the hat and crewneck I'm wearing!! LETSGO!! @nickdiaz209 @NateDi…
1231700047806353400,Sun Feb 23 21:59:09 +0000 2020,SUG is today at 6pm EST, live on @ufcfightpass  @jakeshieldsajj  @ChaelSonnen 💯💪🏼👊🏼   Jake Shields vs  Richie boogeyman Martinez
1224170654557261800,Mon Feb 03 03:20:02 +0000 2020,Westside NinerGang  Who wannna fight? Yeeeeee👊🏼 https://t.co/bfUHrYUGS0
1224131031600525300,Mon Feb 03 00:42:35 +0000 2020,Bang bang niner gang  Yeeeee
1223523074118545400,Sat Feb 01 08:26:47 +0000 2020,RT @espnmma: Five years ago today, @nickdiaz209 taunted Anderson Silva by literally laying down in the Octagon 😅 https://t.co/iObDuM8pmg
1223217034822996000,Fri Jan 31 12:10:42 +0000 2020,https://t.co/XlXK4lQXHI @49ers #NinerGang  💯
1222674669892821000,Thu Jan 30 00:15:32 +0000 2020,Rogan and Conor should give  Stephen Smith a apology he said what it was  The fight was over before it started  Get offfeachothers nuts
1220258530613059600,Thu Jan 23 08:14:39 +0000 2020,RT @chrisavila209: This Saturday I’ll be at the forum getting down for @bellatormma #pullup 👊🏼 https://t.co/dmCunrIrbY
1218770241720737800,Sun Jan 19 05:40:43 +0000 2020,This shits alll fake
1218768181356982300,Sun Jan 19 05:32:32 +0000 2020,And why the fuck u in a robe  Smh
1218767545924079600,Sun Jan 19 05:30:01 +0000 2020,Weak as fuck
1217911997813022700,Thu Jan 16 20:50:22 +0000 2020,I see you out there using my moves.
1216472262477414400,Sun Jan 12 21:29:22 +0000 2020,RT @nickmax15: 4-0 what’s good! #nda https://t.co/ckoN0ZW6Ln
1216472216440672300,Sun Jan 12 21:29:12 +0000 2020,RT @49ers: Legendary start to the Playoffs ‼️ https://t.co/ainbRmlmfi
1214878591680303000,Wed Jan 08 11:56:42 +0000 2020,RT @chrisavila209: Next stop the forum in la watch me do my thing for @bellatormma Jan 25th #alwaysready #ndastockton 👊🏼 @ Stockton, Califo…
1214878532238659600,Wed Jan 08 11:56:28 +0000 2020,RT @MMAjunkie: Nate Diaz protege Chris Avila added to Bellator 238 https://t.co/jzrQxhvi01
1213742970215616500,Sun Jan 05 08:44:09 +0000 2020,Don’t act like I didn’t kick this whole fight shit back in gear...
1213272907591245800,Sat Jan 04 01:36:17 +0000 2020,@GoGetItMan28 💯
1212704406891683800,Thu Jan 02 11:57:16 +0000 2020,RT @espnmma: Before 2019 ended, we learned that @Drake is Rap Game @NateDiaz209 🎤👊 (via @RapRadar) https://t.co/0bBOEJUWV3
1212248566237806600,Wed Jan 01 05:45:55 +0000 2020,RT @rcsspence: What a crazy year. Shout out to all the folks who let me go to war with them. 💯💯 https://t.co/HzvxJjrDN7
1208671802571939800,Sun Dec 22 08:53:08 +0000 2019,RT @NickMcD209: oh shit thats me at :11 https://t.co/tC6A2QkDA7
1207804317551300600,Thu Dec 19 23:26:03 +0000 2019,RT @ufc: #OnThisDay in 2015...  @NateDiaz209 changed the UFC forever with one call out 🤬  📺 Watch more on @UFCFightPass! https://t.co/Dee57…
1207804132871946200,Thu Dec 19 23:25:19 +0000 2019,RT @arielhelwani: Our post-fight interview that night was also very memorable. Ninja ish https://t.co/bFMlABHPBc
1207804108930896000,Thu Dec 19 23:25:14 +0000 2019,RT @arielhelwani: Four years ago today, Nate Diaz delivered the promo of the decade. https://t.co/6zWcanLOsH
1207804015796318200,Thu Dec 19 23:24:51 +0000 2019,RT @UFCEurope: #OnThisDay in 2015: @NateDiaz209 grabbed the microphone... and the rest is history! 🔥  📺 Watch more on @UFCFightPass! https:…
