id,created_at,text
1259755769282482200,Mon May 11 08:02:35 +0000 2020,RT @somdutta_sarkar: Listen to to @ishita_moitra on how to make it big in your favourite domain by doing something that you love to do!  #b…
1259341918984642600,Sun May 10 04:38:05 +0000 2020,RT @rubenmasc: We are a nation of misplaced priorities, the poor don't matter, the only time that they do are polls and now we have further…
1259338888125968400,Sun May 10 04:26:02 +0000 2020,RT @rubenmasc: It is, during times like these, that conversations with the great @kishoremandhyan, provide purposefulness to life.  His ass…
1259178269464821800,Sat May 09 17:47:48 +0000 2020,This is seriously worrying, if true. Maharashtra needs help. https://t.co/de6mQCUl34
1259149151486394400,Sat May 09 15:52:06 +0000 2020,@toonfactory Arre I saw this. A small clip had been taken out to misquote him by bhakts. He said the centre shouldn… https://t.co/LmyMcvOJoe
1259133531344834600,Sat May 09 14:50:02 +0000 2020,RT @ishita_moitra: First, @nytimes and now @IamDeepaMehta . Time to stop feeling “guilty” about this pleasure, maybe? #FourMoreShotsPlease2…
1259131353217372200,Sat May 09 14:41:22 +0000 2020,RT @ishita_moitra: And...WE ARE IN THE NEW YORK TIMES!!!! Who run the world? GIRLS!!! @RangitaNandy @nupurasthana #devikabhagat @PritishNan…
1258694871109570600,Fri May 08 09:46:57 +0000 2020,A thing of beauty is a joy forever #Dilse you have to check this out @mkoirala https://t.co/Z3lxadKqzx
1258386401122492400,Thu May 07 13:21:12 +0000 2020,@Navjotalive Thank god we have twitter to record our times. Future generations wouldn't believe what's happening otherwise. #crazyshit
1258385224196599800,Thu May 07 13:16:31 +0000 2020,WTF! Chal kya raha hai boss? https://t.co/Pa2MSo8lwy
1257743474742505500,Tue May 05 18:46:26 +0000 2020,RT @vibhorguha: Kaamyaab, Maska, Love per Square Foot... @NetflixIndia is silently making its mark on Bollywood! Every one of those movies,…
1257665915954425900,Tue May 05 13:38:15 +0000 2020,@pritkamani well thought. nicely made. big hug.
1257662433293811700,Tue May 05 13:24:24 +0000 2020,This boy @pritkamani,  who you all saw in #Maska, manages to say something important in his minute long short… https://t.co/dCsuQs48XV
1257610602895171600,Tue May 05 09:58:27 +0000 2020,@7th_Samurai India's challenges are different. Our crew (HMW, art, caterers) doesn't just work on a movie set. They… https://t.co/vfPEmT4wTc
1256906972512878600,Sun May 03 11:22:29 +0000 2020,@ganeshhhrocks @jaavedjaaferi @mkoirala @pritkamani @ShirleySetia @nikifyinglife @nowitsabhi Thanks
1256247728339812400,Fri May 01 15:42:53 +0000 2020,@Navjotalive https://t.co/dKIuDTos46
1256247404954882000,Fri May 01 15:41:35 +0000 2020,RT @hend_mana: BREAKING: A UAE research institute has developed a breakthrough treatment for COVID-19 which could be a game-changer in the…
1256219946750742500,Fri May 01 13:52:29 +0000 2020,RT @ishita_moitra: #FourMoreShotsPlease2 and #Maska continue to be in the top 10.
1256211758676455400,Fri May 01 13:19:57 +0000 2020,RT @OrmaxMedia: Ormax Stream Track: Top 10 OTT shows/ films (April 24-30) based on Buzz #OrmaxStreamTrack #OST https://t.co/NKmaDKxW7b
1255720839061921800,Thu Apr 30 04:49:12 +0000 2020,Good bye sir!  #Legend #Rishikapoor https://t.co/6UkESRbk91
1255540042463838200,Wed Apr 29 16:50:47 +0000 2020,Mumbai police ek number!!! https://t.co/LKmBKIxmtK
1255391154012643300,Wed Apr 29 06:59:09 +0000 2020,Irreplaceable!  RIP #IrrfanKhan https://t.co/TbO8Rtau5s
1255191306709667800,Tue Apr 28 17:45:02 +0000 2020,@sanjaybhutiani Thanks again
1255185925665181700,Tue Apr 28 17:23:39 +0000 2020,Thank you sir https://t.co/KdtyR22I4H
1255020663087087600,Tue Apr 28 06:26:57 +0000 2020,Thread https://t.co/lfADkybYC4
1254781551981719600,Mon Apr 27 14:36:49 +0000 2020,RT @VICE: NEW: Aliens are real. https://t.co/dzaqKGk96Y
1254435099782889500,Sun Apr 26 15:40:08 +0000 2020,@ss_suryawanshi @NewIndianXpress Is there any report on the no of tests done each day?
1254391455197679600,Sun Apr 26 12:46:43 +0000 2020,@NotSoSnob I think you missed the hindi versions of it that were sung during anti CAA protests. @Namrata_Joshi even did an article on it
1254052809659555800,Sat Apr 25 14:21:03 +0000 2020,@rahuldholakia @mybmc @MumbaiPolice Hi Rahul, I volunteer with @khaanachahiye. Help us with the contact of on groun… https://t.co/xYLC0bDFSO
1254051743651987500,Sat Apr 25 14:16:49 +0000 2020,@khaanachahiye @rubenmasc https://t.co/Ko97MBBIRE
1253939718703571000,Sat Apr 25 06:51:40 +0000 2020,@rohini_sgh @RoflGandhi_ Why is there a blanket ban on liquor? So that states don't generate their own revenue and… https://t.co/z0I84JSpzu
