id,created_at,text
1257533826328170500,Tue May 05 04:53:22 +0000 2020,Penis ...
1257533797748207600,Tue May 05 04:53:15 +0000 2020,The dogs, they circle like vultures, ever longing for scraps from children unawares’ plates ...
1257172401244102700,Mon May 04 04:57:12 +0000 2020,On a scale from 1 to crazy, how crazy are you feeling right now? ... Pumpkin Spice Latte Crazy? Pumpkin 🎃
1256736757472612400,Sun May 03 00:06:06 +0000 2020,I’m not vain, I’m poor. Passing on carbs like ☄️cuz i don’ wanna buy new pants
1256082168708624400,Fri May 01 04:45:00 +0000 2020,What did the homeowner say to the contractor? .... You’re dick is so big.
1255941781864104000,Thu Apr 30 19:27:09 +0000 2020,Hey guys, thinking of starting a corona virus mask sharing program if anyone wants to join
766959734612234200,Sat Aug 20 11:27:04 +0000 2016,RT @populacecoffee: Wonderful photo from our friends @flatlandscoffee  Two new Kenyas are being released today… https://t.co/21Hc6zuRMI htt…
766959370928267300,Sat Aug 20 11:25:38 +0000 2016,RT @SwellCoffeeCo_: We are really excited about this Finca San Antonio coffee. With tasting notes: praline, dried… https://t.co/ES2FfUU8Ug
766959286585090000,Sat Aug 20 11:25:17 +0000 2016,RT @coavacoffee: Limited run of a peaberry separation from the long time favorite El Salvadorian Santa Sofia. Get it while it lasts! https:…
766959058200977400,Sat Aug 20 11:24:23 +0000 2016,RT @MagnoliaCoffeeC: Our Costa Rica Esnider Rodriguez honey-processed microlot is on shelves now @MugsCoffee. 91 pts by Coffee Review! http…
766565906344513500,Fri Aug 19 09:22:08 +0000 2016,RT @equatorcoffees: View of Guatica, Colombia &amp; environs. Tigerwalk Espresso prominently features coffee from this area. #equatortravles ht…
766565696490930200,Fri Aug 19 09:21:18 +0000 2016,RT @equatorcoffees: The family behind our La Cristalina micro-lot. Generous and hospitable. The sancocho was great! #equatortravels https:/…
766452804819030000,Fri Aug 19 01:52:43 +0000 2016,RT @KlatchRoasting: The Covadonga from Guatemala reflects the ideal day...bold, sweet and lively 🤗󾮟🏻 Share your favorite cup and why... htt…
766450355257352200,Fri Aug 19 01:42:59 +0000 2016,RT @CaldwellCoffee: This @BlueprintCoffee Colombia Los Naranjos is reminiscent of Kenyan coffees with its lively acidity + currant notes ht…
766450311628226600,Fri Aug 19 01:42:48 +0000 2016,RT @equatorcoffees: Next stop Pereira. Then to La Cristalina, the producers of the main component of Tigerwalk Espresso. #equatortravels ht…
766449582804959200,Fri Aug 19 01:39:55 +0000 2016,RT @Atlas_Coffee: Atlas' own Dana Foster recently visited our producer partners in Peru. Read all about her trip here! https://t.co/n1ylfJW…
766448389990993900,Fri Aug 19 01:35:10 +0000 2016,RT @CuveeCoffee: Santa Rita Peaberry 🇸🇻 #CoffeeVibes https://t.co/1EAuUkyakM
766448101183717400,Fri Aug 19 01:34:01 +0000 2016,RT @counter_culture: Finca El Puente is one of the most innovative farms in the world, growing exotic coffee… https://t.co/U05GrZ5sti
764548158223417300,Sat Aug 13 19:44:20 +0000 2016,RT @Willers_Tom: Loving the Guatemala Finca Retana Yellow Bourbon from @kumacoffee. Wow! ☕️
764548108109905900,Sat Aug 13 19:44:08 +0000 2016,RT @OlympiaCoffee: Banko Natural Ethiopia also pulls a damn fine single origin espresso. Now on bar for the month of August in our... https…
764547693175775200,Sat Aug 13 19:42:29 +0000 2016,RT @uglyduckcoffee: Pulling shots of this @kumacoffee Omar Ali Ethiopia today. It's phenomenal! #roc #getugly https://t.co/UfVDntOIh3
764423864872939500,Sat Aug 13 11:30:26 +0000 2016,RT @counter_culture: Two exciting new offerings from Ethiopia! Hama Natural Sundried (one of the cleanest naturals we… https://t.co/rZ7idQY…
764423792957415400,Sat Aug 13 11:30:09 +0000 2016,RT @CoffeeConcierg3: First coffee stop in Portland: @heartroasters. Picked up a bag of the Kenya Gachatha, my… https://t.co/HYiPDxFO2v
764423018609188900,Sat Aug 13 11:27:04 +0000 2016,RT @CaldwellCoffee: Sipping on @HonestRoasters's new Flores Nusa, an Indonesian coffee with unique green melon and herbal/spice notes 👌🏼 ht…
764422993422327800,Sat Aug 13 11:26:58 +0000 2016,RT @BirdRockCoffee: The weekend cometh: Try our Pacamara beans grown exclusively for us by Finca Loma La Gloria. https://t.co/Mr6AccVwXN
764422606007087100,Sat Aug 13 11:25:26 +0000 2016,RT @PresCoffeeTea: Our barista Jake has chosen this as his favorite coffee of the week from @kumacoffee! Have you tried it yet? https://t.c…
764422124136038400,Sat Aug 13 11:23:31 +0000 2016,RT @kumacoffee: Our Kenya Kieni is on 🔥 Peach, black currant and cane sugar sweetness.
764422083619070000,Sat Aug 13 11:23:21 +0000 2016,RT @AnchorAnvil: We are really excited to try the Hunkute. Expecting big things based on the writeup from @madcapcoffee.
764421607494344700,Sat Aug 13 11:21:28 +0000 2016,RT @madcapcoffee: "I wish everyone in the world could try this coffee" - Ryan Knapp, Co-Founder/Director of Coffee referring to Kanda https…
764421367282274300,Sat Aug 13 11:20:30 +0000 2016,RT @populacecoffee: New Kenyas dropping soon. Rutuma and Ndaroini.  New version of Espresso Correct coming too… https://t.co/PglkXvwMEo htt…
764421286000861200,Sat Aug 13 11:20:11 +0000 2016,RT @coffeecollectif: Akmel Nuri espresso straight out of the roaster. This Ethiopian natural processed, organic… https://t.co/25UaJYHsYp
762582313217601500,Mon Aug 08 09:32:46 +0000 2016,RT @ultimocoffee: Roasting in a hurricane. Our two newest additions to the menu. Hunapu from Antigua, Guatemala… https://t.co/R5fWPcLsyv
762581896350076900,Mon Aug 08 09:31:06 +0000 2016,RT @OlympiaCoffee: Last Call: Hernandez Yobany Micro Lot - Colombia https://t.co/Nz2vqudGNM
762580136688517100,Mon Aug 08 09:24:07 +0000 2016,RT @MagnoliaCoffeeC: Our Red Honey Processed Costa Rica tied for the 2nd highest score -coming soon! https://t.co/ZdMzU98RrQ
761758332306600000,Sat Aug 06 02:58:33 +0000 2016,RT @coffeeshrub: TGIF - New washed lot from Ethiopia Yukiro Cooperative is now available. Lovely florals, stone… https://t.co/mbXVx6lUpr
761725873078865900,Sat Aug 06 00:49:34 +0000 2016,RT @OlympiaCoffee: New Coffee: La Pastora Honey Process - Costa Rica https://t.co/DRj14tgWBc
761724990379155500,Sat Aug 06 00:46:04 +0000 2016,RT @KlatchRoasting: Cupping is the best way to find awesome coffees like our Guatemala Covadonga! This fan favorite is back and... https://…
761724640586788900,Sat Aug 06 00:44:41 +0000 2016,RT @AllegroCoffee: we are proud to begin this pilot project in Nicaragua along with the owners of La Revancha. Check out the link https://t…
761724612149407700,Sat Aug 06 00:44:34 +0000 2016,RT @counter_culture: New Variety Series from Finca El Puente! Owners Marysabel Caballero and Moisés Herrera are the… https://t.co/vm5UlNeYXv
761495413933248500,Fri Aug 05 09:33:49 +0000 2016,5 by Nile Figueroa @loftedcoffee Boyo @nossacoffee Karindudu @CaseCoffee Hernandez Yobany @OlympiaCoffee  Columbia Narino @BowTruss
760454741499453400,Tue Aug 02 12:38:33 +0000 2016,RT @BlackOakCoffee: our latest #mindblowing #singleorigin-Ethiopia Gadeb Lot 002.  A coffee that will stick with us for years to come. http…
760454212505534500,Tue Aug 02 12:36:27 +0000 2016,RT @andymiami: Miami Specialty Coffee Community best monthly meet-up ever. 8 coffees blind cupped. Crowd fave by @Intelligentsia https://t.…
760454172642803700,Tue Aug 02 12:36:17 +0000 2016,RT @barismo: Today's weather says espresso.  Offering shots of Buena Esperanza with it's caramel and ci… https://t.co/G9RaN00QXo https://t.…
760453544541651000,Tue Aug 02 12:33:48 +0000 2016,RT @stumptowncoffee: The beloved &amp; best-selling Guatemala Finca El Injerto Bourbon is back! https://t.co/iR9swo9tTj https://t.co/YksQRkdX3F
759419990705602600,Sat Jul 30 16:06:49 +0000 2016,RT @SmallBatchCR: It's that time of year folks, our first Ethiopian single origin of 2016 has hit the shops.… https://t.co/KihS304GIU https…
759419403133943800,Sat Jul 30 16:04:29 +0000 2016,RT @ghowellcoffee: The best La Minita since the early 1990’s - https://t.co/wqywyN3El2
759418467711868900,Sat Jul 30 16:00:46 +0000 2016,RT @sumpcoffee: We've got two new Costa Rican coffees in at Sump. Our roaster, Robert, shares what makes them so special. https://t.co/TpQN…
759414379989332000,Sat Jul 30 15:44:32 +0000 2016,RT @OlympiaCoffee: La Pastora Kenya Process - Costa Rica  La Pastora is a micro mill in the hills above the small town of San Marcos... htt…
759033077175836700,Fri Jul 29 14:29:22 +0000 2016,RT @LaMarzoccoCafe: Cheers to @BUNA_mx and the incredible month they spent with us! This is the last weekend to try their drinks here. http…
759030082967142400,Fri Jul 29 14:17:28 +0000 2016,RT @CuveeCoffee: Guatemala | Hunapu ☕️ https://t.co/z5edb4qwHb
758350086577524700,Wed Jul 27 17:15:24 +0000 2016,RT @elmroasters: New Ethiopian coffee: the Ethiopia Bokasso boasts flavor notes of cooked peach, golden raisin and caramel. https://t.co/Lu…
758350022996009000,Wed Jul 27 17:15:09 +0000 2016,RT @counter_culture: Finca Belgravia acts as Caravela’s Coffee Innovation Center (CCIC), which focuses on… https://t.co/HXXs58mm7t
758349802488856600,Wed Jul 27 17:14:17 +0000 2016,RT @CaldwellCoffee: It's time for a Pacamara-filled #CoffeeTrioTuesday, with @BirdRockCoffee and @OnyxCoffeeLab! https://t.co/UmpTQVoHyl ht…
758349645227622400,Wed Jul 27 17:13:39 +0000 2016,RT @BlackOakCoffee: Burka Gudina Ethiopia. Our first dry processed #coffee from W. #Ethiopia.  Fantastic #singleorigin. https://t.co/WVoQXM…
758232820007469000,Wed Jul 27 09:29:26 +0000 2016,RT @evocationcoffee: Sidama Ardi on espresso today tasting like someone dropped a strawberry bomb in your mouth… https://t.co/XMbA12vsRR ht…
757506041449939000,Mon Jul 25 09:21:28 +0000 2016,RT @takeflightcafe: Glad you like it @scottburau! We're excited to be sending Commissary a delicious coffee from Guatemala next week! https…
756988713410957300,Sat Jul 23 23:05:48 +0000 2016,RT @stumptowncoffee: The beloved &amp; best-selling Guatemala Finca El Injerto Bourbon is back! https://t.co/HBM3EDW34Y https://t.co/fAD9bWK2f4
756987346176860200,Sat Jul 23 23:00:22 +0000 2016,RT @ghowellcoffee: Roasting Monday: La Minita &amp; Yukro Cooperative! - https://t.co/SCVUHBEaUt
756986810602033200,Sat Jul 23 22:58:14 +0000 2016,RT @uscarlos: I'm enjoying this Ethiopia natural from @klatchroasting #coffee #caffeine #instacoffee #sp… https://t.co/TR135JMJUM https://t…
756678122800578600,Sat Jul 23 02:31:37 +0000 2016,RT @TaproomCoffee: Finca Kilimanjaro just got in! We have exactly 6 retail boxes available of this super limi… https://t.co/9pOW7LeEFy http…
756677826623971300,Sat Jul 23 02:30:26 +0000 2016,RT @paradiseroaster: Shaka from Papa New Guinea! This guy knows what's up. New PNG coming to #ParadiseRoasters next… https://t.co/wFtDrRc6rg
756676811958935600,Sat Jul 23 02:26:25 +0000 2016,RT @coffeeshrub: Guatemala Antigua Finca Cabrejo is available on the website, an unusually juicy cup, with red… https://t.co/5hP37WmFA0
756419886285480000,Fri Jul 22 09:25:29 +0000 2016,RT @sweetmarias: We just added two great coffees from Costa Rica and Guatemala to our list. Enjoy! https://t.co/ixU5rmUSQk https://t.co/bm9…
754629113558761500,Sun Jul 17 10:49:35 +0000 2016,RT @porquejorge: Treating myself to a large French Press full of @counter_culture's Finca Kilimanjaro (from El… https://t.co/t0Gsz5TRUk
754629018767519700,Sun Jul 17 10:49:13 +0000 2016,RT @ninetyplus: Coffee forest restoration continues with 35,000 new heirloom variety seedlings at Ninety Plus Gesha Estates https://t.co/CW…
753159641891242000,Wed Jul 13 09:30:26 +0000 2016,RT @equatorcoffees: Kenya Karuthi is here! David Wairagu, Q.A. Officer at Othaya Co-op cups pre-ship samples:  https://t.co/Rll4bIv9bi http…
753159601604927500,Wed Jul 13 09:30:16 +0000 2016,RT @RoyalCoffee: This ain’t your grandma’s El Salvador! - Check our latest analysis on our #coffee #blog https://t.co/dbkIr0xJtT https://t.…
752836109407780900,Tue Jul 12 12:04:50 +0000 2016,RT @RoyalCoffee: Dreaming of citrus, grape and cocoa? Ricardo Valdivieso has got your back. #coffee #blog. https://t.co/ZJzIKqWkNM https://…
752835618816856000,Tue Jul 12 12:02:53 +0000 2016,RT @evocationcoffee: Our second Central American coffee of the season, Costa Rica Las Lajas, is live! Grown in … https://t.co/aKW6RTHq1a ht…
752835559203176400,Tue Jul 12 12:02:38 +0000 2016,RT @Intelligentsia: La Tortuga Honduras special selection #geisha is avail for a short time. Delicate &amp; sweet; https://t.co/QZz2suGPjR http…
752434265686675500,Mon Jul 11 09:28:03 +0000 2016,RT @kobrickcoffee: Team Canopy Tree planting at Finca El Mirador with the amazing Aguilar family. You can see the… https://t.co/FkhheiKCUE
752433497881604100,Mon Jul 11 09:25:00 +0000 2016,RT @BlackOakCoffee: Our Ethiopia Banko, in its solid and liquid form. https://t.co/4vUpawpRoa
751848820443603000,Sat Jul 09 18:41:42 +0000 2016,RT @taylormaidfarms: Now available at our coffee bar + online: Guatemala La Voz! https://t.co/VigdnU8ejc #SonomaCounty #specialtycoffee htt…
751847076854689800,Sat Jul 09 18:34:46 +0000 2016,RT @CaldwellCoffee: This Panama Alma Natural from Roberto Brenes and @DragonflyCoffee is pretty darn good, folks. It's a great deal too! ht…
751846723803373600,Sat Jul 09 18:33:22 +0000 2016,RT @TanagerCoffee: Our new Ethiopia from Guji Uraga is on bar at @TheArborLodge. I highly recommend you come and taste. Dang.
751727982490841100,Sat Jul 09 10:41:32 +0000 2016,RT @ghowellcoffee: A crowd favorite is back! Matalapa, El Salvador begins roasting Monday - https://t.co/CiZp4c5Giq
751726391197048800,Sat Jul 09 10:35:12 +0000 2016,RT @insightcoffee: Such a clean and unique shot by @the80sduo who is always taking such remarkable photos of our coffee. ☕ We're prett… htt…
751529767976009700,Fri Jul 08 21:33:54 +0000 2016,RT @philandseb: View from Jose Martinez's house. Palestina is in south Huila and it's wet, lush &amp; full of great coffee. -Sebastian https://…
751529624153251800,Fri Jul 08 21:33:19 +0000 2016,RT @heartroasters: Aurelio in his element [Finca Villaure]🙌🏼 📹: theshelbyfoundation https://t.co/FQSxCDO309
751529027052109800,Fri Jul 08 21:30:57 +0000 2016,RT @CaldwellCoffee: Brewing some @FincasMierisch Yellow Pacamara Natural from our friends @paradiseroaster: bell pepper candy + peach! http…
751528241089962000,Fri Jul 08 21:27:50 +0000 2016,RT @counter_culture: New variety series! Finca Belgravia is an experimental farm in Cauca, Colombia, which includes… https://t.co/uwwnC5RpTG
751527282662072300,Fri Jul 08 21:24:01 +0000 2016,RT @194point19: We - almost - all heard of the #coffee flavour wheel. Here is the harvest wheel as seen in @BARISTAMAGAZINE https://t.co/JP…
751521278755037200,Fri Jul 08 21:00:10 +0000 2016,RT @EspressoParts_: We've got cold brew on the brain... and these recipes are quenching our thirst. https://t.co/AbxVDk7Lnr https://t.co/M1…
