id,created_at,text
1259495713068789800,Sun May 10 14:49:12 +0000 2020,Aapki mummy bhi aise karti hain kya?  https://t.co/fQPFKvrB0A
1259173114333683700,Sat May 09 17:27:19 +0000 2020,@ShivamLP14 lol
1259075990510174200,Sat May 09 11:01:23 +0000 2020,Lockdown mein thodi shopping ki aaj...M416 Glacier Skin kaisi lag rahi hai? #PUBGTeraBhaiKhelega https://t.co/zPDgmJaBEL
1259031573095084000,Sat May 09 08:04:53 +0000 2020,@CatWomaniya switched to 4 finger a week back...haathon ka केकड़ा bana hua hai
1259030339923501000,Sat May 09 07:59:59 +0000 2020,@CatWomaniya four finger?
1259029294682013700,Sat May 09 07:55:50 +0000 2020,my lockdown routine...aapka kya scene hai? https://t.co/WUPKgEbfea
1259025229956804600,Sat May 09 07:39:41 +0000 2020,@sohurtfull shukriya :)
1259016612763459600,Sat May 09 07:05:26 +0000 2020,#NewProfilePic https://t.co/eqAl5GCf0X
1259016119970435000,Sat May 09 07:03:29 +0000 2020,@sohurtfull Be kind, the world needs it and so do you:)
1259004869450465300,Sat May 09 06:18:46 +0000 2020,वो भी क्या दिन थे... #WoBhiKyaDinThe https://t.co/aHZ4EIAAHq
1256244818260357000,Fri May 01 15:31:19 +0000 2020,RT @Manbach12: From Sutapa Sikdar, Babil and Ayaan ❤ #IrrfanKhan https://t.co/xK7lvU2SIk
1255723556970864600,Thu Apr 30 05:00:00 +0000 2020,Amar, Akbar, Anthony ka Akbar chala gaya. Bobby ka Raja chala gaya. Chandni ka Rohit chala gaya. Agneepath ka Rauf… https://t.co/WvS3mUrjSG
1255601131327283200,Wed Apr 29 20:53:32 +0000 2020,RT @JurassicWorld: The #JurassicWorld family honors the incredible @irrfank 💚 https://t.co/JAYILbTdeL
1255403500999192600,Wed Apr 29 07:48:13 +0000 2020,Haasil ke is ek scene ne aapke kaam ka fan bana diya...yahan se shuruaat hue thi aur phir Maqbool, Paan Singh Tomar… https://t.co/cYLAX5H45y
1255145753074299000,Tue Apr 28 14:44:01 +0000 2020,Hi guys, pls pay attention if you also cook at home. #StaySafe https://t.co/2oiSS45Cv9
1254714182160670700,Mon Apr 27 10:09:07 +0000 2020,aapka bhi koi friend hai aisa? #PUBGTeraBhaiKhelega https://t.co/ffIeHyXCZX
1254640226556936200,Mon Apr 27 05:15:14 +0000 2020,@Madan_Chikna https://t.co/S0kvP0JNzD
1253981836415402000,Sat Apr 25 09:39:02 +0000 2020,OTs-14 Groza, ya sirf Groza...Matlab Thunderstorm ya Terror...AKM ki badi behen...7.62mm khaati hai aur phir saamne… https://t.co/9UnbZRDpxH
1253638293658296300,Fri Apr 24 10:53:55 +0000 2020,Bhai @sachin_rt happy birthday...pls know that I am always there for you :) https://t.co/DqxHBMF9CH
1253330668047589400,Thu Apr 23 14:31:31 +0000 2020,@Bindaas_Chokri oh you gotta watch this https://t.co/W9uMhSSOJD
1253035702712852500,Wed Apr 22 18:59:26 +0000 2020,@sapanv already hai...online aao tab message karna
1253031774663266300,Wed Apr 22 18:43:49 +0000 2020,Aapki favourite gun kaunsi hai...apne ko to DP-28 bohat jyada pasand hai ❤️ #PUBGTeraBhaiKhelega https://t.co/KI5XfSXJr5
1252854735981297700,Wed Apr 22 07:00:20 +0000 2020,I need your love and support in this mushkil ki ghadi 🙏🏼  https://t.co/YMYjVTJJwZ
1252640017173713000,Tue Apr 21 16:47:07 +0000 2020,I am going to China...kisi ko chalna hai mere saath? https://t.co/WyoUxMsAzQ
1252270244015505400,Mon Apr 20 16:17:46 +0000 2020,@DeepaAgashe yes. I did my entire schooling from there. Someone just made a whatsapp group of ppl form our batch. I… https://t.co/63XLHNvlYe
1252222988793131000,Mon Apr 20 13:10:00 +0000 2020,@DeepaAgashe hey, by any chance were you in Air Force School Jamnagar at any point of time?
1250699878386200600,Thu Apr 16 08:17:42 +0000 2020,agar 10th ke baad school walo ne science lene di hoti to bhai aaj scientist se kam nahi hota... #CoronaFreeCurrency https://t.co/gJPsb9z1Ru
1249739259885518800,Mon Apr 13 16:40:33 +0000 2020,Kumbhkaran jitna swag purey Ramayan mein aur kisi mein nahi dikha 🤘
1249731262828499000,Mon Apr 13 16:08:46 +0000 2020,@Madan_Chikna @DDNational bohat jyada 😀
1249730472533545000,Mon Apr 13 16:05:38 +0000 2020,best thing about the Ramayan on @DDNational is that no actor has six pack abs...aur Kumbhkaran ki to kya badhiya तोंद hai
1249014025855185000,Sat Apr 11 16:38:43 +0000 2020,my first Live PUBG stream to raise funds for COVID relief with @Zakirism and @mythpat on @thetanmay ‘s YouTube chan… https://t.co/Ad7I8QNbVm
1248567010566393900,Fri Apr 10 11:02:27 +0000 2020,Corona mein apni mummy ki help kaun-kaun kar raha hai? #MummyPyarHai https://t.co/fX5coqBjPk
1248248834536267800,Thu Apr 09 13:58:08 +0000 2020,minimum mehnat ke saath maximum result lana bhi apne aap mein ek Art hai... #ThePUBGLife #pubg https://t.co/R5fKU2j5Ud
1247821578404081700,Wed Apr 08 09:40:22 +0000 2020,@PrimeVideoIN Gaadi Tera Bhai Chalayega 🙈
1247820947115171800,Wed Apr 08 09:37:51 +0000 2020,it is what it is... https://t.co/N4T0VYG8a1
1247815087433216000,Wed Apr 08 09:14:34 +0000 2020,Feeling exhausted and tired...I am so looking forward to the long weekend #GoodFriday
1247586308878286800,Tue Apr 07 18:05:29 +0000 2020,@KyaUkhaadLega @ChachaChoudhary haan par wo dark, gory, disturbing nahi hai...Amazon par dono mein se koi bhi dekh sakte ho :)
1247584531256766500,Tue Apr 07 17:58:25 +0000 2020,@ChachaChoudhary @KyaUkhaadLega 👆this
1247189909728661500,Mon Apr 06 15:50:20 +0000 2020,arre wo bechari “drop” manga rahi thi Flare gun se...media bhi na 🙈 #PUBG https://t.co/s6JDnWJcLx
1247184130040791000,Mon Apr 06 15:27:22 +0000 2020,tabhi main sochu mere khaane mein swaad kyon nahi aa raha...galat kapde pehen kar khana bana raha tha...kal he ward… https://t.co/Yud0208kAH
1247167449818112000,Mon Apr 06 14:21:05 +0000 2020,likh kar le lo...kuch bhi ho sakta hai https://t.co/STeTsrXkE8
1247109050585645000,Mon Apr 06 10:29:02 +0000 2020,@mohit_mmk sahi lag raha hai
1247097505071788000,Mon Apr 06 09:43:09 +0000 2020,haan ji...aapne kya banaya aaj #KhanaTeraBhaiBanayega https://t.co/uY4r6SdGS6
1246949200165732400,Sun Apr 05 23:53:51 +0000 2020,😋 https://t.co/E3F1X3NJZA
1246506300634288000,Sat Apr 04 18:33:55 +0000 2020,@bhejaleaks sone ki baat ho rahi hai, behonsh hone ki nahi
1246505823154602000,Sat Apr 04 18:32:01 +0000 2020,ye kaun batayega...EMI mein mil rahi hai information 🙈 https://t.co/dz6f1jbFuQ
1246505295083380700,Sat Apr 04 18:29:55 +0000 2020,@AaadiVaashi jab tak neend ka nasha na ho jaye...15-20 mins lagtey hain chadne mein
