id,created_at,text
1080223836132520000,Tue Jan 01 22:06:46 +0000 2019,Happy New Year from all of us! Join us in 2019 and Rock Your Drop! #NAF #RockYourDrop https://t.co/15dFSQcqC3
1077643643622703100,Tue Dec 25 19:14:00 +0000 2018,Season’s Greetings from our Family to yours! #NAF #RockYourDrop #HappyHolidays https://t.co/a5TDCvT6I1
1069987661740458000,Tue Dec 04 16:11:52 +0000 2018,@JoakimNoah  To see you overcome so many obstacles and never giving up fills my heart with pride and joy. I couldnt… https://t.co/WDqCkNrZHO
1067643415708471300,Wed Nov 28 04:56:40 +0000 2018,Please, join our River for positive change.  “MANY SMALL RIVERS JOINED, MAKES ONE ROARING , POWERFUL RIVER”.   -Cec… https://t.co/uTTDmvlOY3
1066846866321678300,Mon Nov 26 00:11:28 +0000 2018,Tomorrow is cyber Monday, make sure you use promo code ROCKMYDROP when you visit our store for 10% off! #NAF… https://t.co/AMOwYPn9Du
1066572773508726800,Sun Nov 25 06:02:19 +0000 2018,Giving Tuesday is upon us! Don’t miss your chance to win your own drop! #rockmydrop #NAF https://t.co/lkE9Bf3ZsL
1063884184412962800,Sat Nov 17 19:58:50 +0000 2018,“Leah, thank you sister! Nothing makes me happier then seeing us as one in the fight against hate, violence and inj… https://t.co/C3KzhpEeBz
1062507639156949000,Wed Nov 14 00:48:56 +0000 2018,“ENOUGH! For the past 10 years I’ve had the privilege to work alongside some great and amazing youth from the city… https://t.co/MbwT4oe6GG
1060763445111545900,Fri Nov 09 05:18:08 +0000 2018,Our thoughts and prayers go out to all of the families of the tragedy that struck last night in Southern California… https://t.co/IptyYjrn6D
1059593516328910800,Mon Nov 05 23:49:15 +0000 2018,Dont forget to vote tomorrow!  #govote #noahsarcfoundation #EveryVoteCounts https://t.co/49BzUSZJKt
1059117817142874100,Sun Nov 04 16:18:59 +0000 2018,“As a Mom, seeing the Love, appreciation and faithfulness of the fans at the Bulls game last monday  towards my son… https://t.co/7o0ZwHvRor
1024338114121228300,Tue Jul 31 16:56:52 +0000 2018,https://t.co/5CFCNWkVuG
1020759084864327700,Sat Jul 21 19:55:05 +0000 2018,Flag Lab and Expressions from the Inside. Getting ready for Aug 2nd Peace March. What does peace look like to you?… https://t.co/3FDTKKYlrw
1019789039849955300,Thu Jul 19 03:40:28 +0000 2018,Spoken word visit today incredible youth  sharing their words to give voice to the voiceless. In the name of PEACE.… https://t.co/leLqhDGurG
1019788557525889000,Thu Jul 19 03:38:33 +0000 2018,VISIT AT THE FLAG FACTORY AT MERILLAC HOUSE. GET READY FOR AUG 2nd  WHAT DOES PEACE LOOK LIKE TO U.....… https://t.co/OiFrLPOmVX
1019242868748292100,Tue Jul 17 15:30:11 +0000 2018,Summer Spraker Session, powerful spoken word! #noahsarcfoundation https://t.co/PMoKIInGWH
1019242571606954000,Tue Jul 17 15:29:00 +0000 2018,Summer Speaker Session #2 #noahsarcfoundation #rockyourdrop https://t.co/ezgbwUxlXK
1017894079676416000,Fri Jul 13 22:10:34 +0000 2018,Moonlight Basketball Tournament at Major Adam's #RockYourDrop https://t.co/5P40elvYTK
1017179109187883000,Wed Jul 11 22:49:32 +0000 2018,Visited the instructors and kids at Major Adams!!! #PeaceFlag  What does peace look like to you?? https://t.co/w9GmeIIwYr
1017178460005990400,Wed Jul 11 22:46:57 +0000 2018,More from Summer Speaker Series @CobeWilliams Alex Kotlowitz Cecilia Rodhe https://t.co/u4guI9yruO
1017174490235768800,Wed Jul 11 22:31:11 +0000 2018,After School Matters and NAF Speaker Series off to a great start for the summer!  @AftrSchoolMttrs #RockYourDrop https://t.co/mt7stdlZRQ
1012451449001926700,Thu Jun 28 21:43:30 +0000 2018,New ASM Instructors earned their "Drop" at the Instructor Welcome Dinner! Congratulations! https://t.co/jRQ3eWZjUt
