id,created_at,text
1255244444456059000,Tue Apr 28 21:16:11 +0000 2020,Hard times expose real character
1255140828642599000,Tue Apr 28 14:24:27 +0000 2020,These high school select kids are walking into 6 figure deals in the G league so they should be able to raise the b… https://t.co/uCQPj9NSwk
1253178207987290000,Thu Apr 23 04:25:42 +0000 2020,Watching this GSvsDAL series in 07 @BaronDavis was really like that #killa
1252773550932533200,Wed Apr 22 01:37:44 +0000 2020,Killa @phattime12 https://t.co/89IKWVgzkP
1252078729834225700,Mon Apr 20 03:36:46 +0000 2020,U gotta be brought up with that killa mentality Mike had it don’t come overnight
1252067807119970300,Mon Apr 20 02:53:22 +0000 2020,Mike was different #GOAT
1238648770797211600,Sat Mar 14 02:10:54 +0000 2020,Double salute to everyone that’s helping out the arena employees that can’t work because of this virus
1238276606592004000,Fri Mar 13 01:32:03 +0000 2020,RT @amillion_roses: Lil Wayne called BG on stage to rap to him face to face &amp; man to man.   After a bunch of dissing towards Wayne and bein…
1237953556809949200,Thu Mar 12 04:08:22 +0000 2020,It's real outchea stay prayed up
1228888210333425700,Sun Feb 16 03:45:55 +0000 2020,If I’m Aaron Gordon I’m tight
1222383638861570000,Wed Jan 29 04:59:04 +0000 2020,💯💯💯 https://t.co/ewZto1vQCO
1221818705153347600,Mon Jan 27 15:34:14 +0000 2020,🙏🏿🙏🏿🙏🏿 https://t.co/0jIHCKSDXQ
1221525976372273200,Sun Jan 26 20:11:02 +0000 2020,The world hurting with this 1 damn mane unbelievable
1221522939201433600,Sun Jan 26 19:58:58 +0000 2020,Shit is unreal mane wtf
1216954052979888000,Tue Jan 14 05:23:50 +0000 2020,Y’all already knew we was gon finish the job stop playing #LSU
1215481584536768500,Fri Jan 10 03:52:46 +0000 2020,RT @JCrossover: I swear there is nothing in the world like hooping..
1211104557696274400,Sun Dec 29 02:00:02 +0000 2019,Trill one https://t.co/mCzgFux6lZ
1209688996244267000,Wed Dec 25 04:15:06 +0000 2019,Just posted a photo https://t.co/YXwJgrwP6e
1209580750904926200,Tue Dec 24 21:04:58 +0000 2019,On behalf of the Marcus Thornton Foundation, we would like to thank our family and friends for their donations to t… https://t.co/Z3hetlmqxf
1206075341204312000,Sun Dec 15 04:55:43 +0000 2019,Bud Crawford can fight however u want to that’s y he 1 of the best fighters right now
1203484593162195000,Sun Dec 08 01:21:01 +0000 2019,Say joe go ahead and prepare the heisman speech my man
1203471555361169400,Sun Dec 08 00:29:12 +0000 2019,LSU
1194747652489003000,Wed Nov 13 22:43:32 +0000 2019,@isaiahthomas Glad I could help with the trade fam 😂😂😂
1193325687932903400,Sun Nov 10 00:33:09 +0000 2019,These announcers really sound like they mad bama lost 😂😂😂 #LSU
1186877241512419300,Wed Oct 23 05:29:20 +0000 2019,@JCrossover Facts
1186765647142965200,Tue Oct 22 22:05:53 +0000 2019,If you looking for a stylist go check out the IG page of ambienceyourstyle
1171963038141952000,Thu Sep 12 01:45:36 +0000 2019,GOD gives the toughest battles to his strongest soldiers
1171250679685505000,Tue Sep 10 02:34:57 +0000 2019,@DineroCostello Facts
1169431913637040000,Thu Sep 05 02:07:49 +0000 2019,Best tattoo artist in Baton Rouge let me know
1168686894617636900,Tue Sep 03 00:47:23 +0000 2019,These hurricane footages are devastating 🙏🏿🙏🏿🙏🏿 up to the people in the Bahamas
1165065726446723000,Sat Aug 24 00:58:09 +0000 2019,That's the jeezy I grew up listening to he back on the old wave #RAW
1162063469623029800,Thu Aug 15 18:08:15 +0000 2019,🏁🏁🏁🏁
1162062153806954500,Thu Aug 15 18:03:02 +0000 2019,Prayers up @boogiecousins this to shall pass
1153786379333038000,Tue Jul 23 21:58:03 +0000 2019,U got that https://t.co/fmIpRDeY8i
1150257705883324400,Sun Jul 14 04:16:22 +0000 2019,That’s crazy 🤧🤧🤧 https://t.co/v2YzX2Ow5g
1147346435706220500,Sat Jul 06 03:28:01 +0000 2019,Bruh what’s up with these earthquakes is this normal to have them everyday like this 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️
1142983661647781900,Mon Jun 24 02:31:55 +0000 2019,They gotta kill this nip tribute
1141814824256639000,Thu Jun 20 21:07:22 +0000 2019,Big facts https://t.co/KsVHvPxYq3
1138206847654125600,Mon Jun 10 22:10:33 +0000 2019,🔥🔥🔥 https://t.co/aREhYq6h8s
1137046089163579400,Fri Jun 07 17:18:07 +0000 2019,Gotta be some kinda consequence pay off something when these dumb ass 18 wheeler kick rocks up and crack your windshield 😡😡😡
1131302347899134000,Wed May 22 20:54:32 +0000 2019,No PJ or Pat Bev on the all defensive team WOW that’s crazy
1128465159796740100,Wed May 15 01:00:34 +0000 2019,@Jarrettjack03 Facts
1126877850982846500,Fri May 10 15:53:10 +0000 2019,@DJCHRISMAJOR 😂😂😂 they fa sho need to invent a way
1122634973935226900,Sun Apr 28 22:53:29 +0000 2019,@AKimble5 They don't get it bro shits crazy
1120009245074829300,Sun Apr 21 16:59:47 +0000 2019,He Has Risen #HappyEaster
1117590925272846300,Mon Apr 15 00:50:15 +0000 2019,👀👀👀
1116448545891070000,Thu Apr 11 21:10:50 +0000 2019,🏁🏁🏁 TMC
1114523414184771600,Sat Apr 06 13:41:03 +0000 2019,Congrats to coach Westphal on being elected to the hall of fame great player in his days and best NBA coach I've ever had
1112533061827211300,Mon Apr 01 01:52:06 +0000 2019,Nip was definitely for culture where I’m from we respect and admire people like u rest easy
1112520261016961000,Mon Apr 01 01:01:14 +0000 2019,RT @kirkfranklin: ......how can anyone just take away a father from his children....loss is painful even from a distance🙏🏾
