id,created_at,text
1259124820320665600,Sat May 09 14:15:25 +0000 2020,RT @thehill: Judge denies bond to father and son arrested in Ahmaud Arbery shooting https://t.co/YqHn6eOokL https://t.co/NH81H963aq
1258936997072289800,Sat May 09 01:49:04 +0000 2020,RT @TMZ: Roy Horn of Siegfried and Roy Has Died at 75 After Catching COVID-19 https://t.co/kuWDzWv9KH
1258890385042137000,Fri May 08 22:43:51 +0000 2020,Top legal minds looking rn at the murder of young man in Georgia. Harris’s top question: Why did it take 74 days fo… https://t.co/b9kQNqtZx0
1258889579765137400,Fri May 08 22:40:39 +0000 2020,RT @PeteMundo: Always enjoy having on @HARRISFAULKNER! Great insights on COVID and it’s NYC-centric coverage, plus post-NFL schedule announ…
1258879589276926000,Fri May 08 22:00:57 +0000 2020,RT @PeterHotez: Wow, this is a really concerning new report from ⁦@CDCMMWR⁩. I’m  worried: Between the antivax movement gaining ground beca…
1258810973227487200,Fri May 08 17:28:18 +0000 2020,RT @david_avella: Back in the chair for Fox News segment w/ @HARRISFAULKNER on @OutnumberedOT https://t.co/GVqnVMF8PT
1258808653014057000,Fri May 08 17:19:05 +0000 2020,RT @MatthewRickerTV: “We are going to rebuild this country fast.” @realDonaldTrump @HARRISFAULKNER @OutnumberedOT
1258808432515317800,Fri May 08 17:18:12 +0000 2020,RT @HARRISFAULKNER: #breakingnow Bringing back Economy:  WATCH LIVE NOW President Trump with @GOPLeader @Jim_Jordan @RepDanCrenshaw @RepMat…
1258800444295590000,Fri May 08 16:46:27 +0000 2020,RT @jasoninthehouse: Starts at the top of the hour. White House briefing up first. https://t.co/WCYzOhtTzF
1258795257698844700,Fri May 08 16:25:51 +0000 2020,Coming up on #OutnumberedOT with @HARRISFAULKNER  @AndrewCMcCarthy  @jasoninthehouse  @DavidAsmanfox… https://t.co/gn03D9P7gK
1258732661138501600,Fri May 08 12:17:07 +0000 2020,RT @HARRISFAULKNER: If you can LISTEN IN: Coming up at 8:30aET/7:30aC I’m joining Kansas City’s @PeteMundo on this already busy news Friday…
1258707520186716200,Fri May 08 10:37:13 +0000 2020,RT @PeteMundo: Can't wait to welcome back on @HARRISFAULKNER at 7:35 Friday morning, plus we'll dive into some underdiscussed @KCMO issues…
