id,created_at,text
1250510902807400400,Wed Apr 15 19:46:47 +0000 2020,RT @priyankachopra: Education and empowering youth is so important to me, so @JBLaudio and I teamed up to help Los Angeles kids adjust to t…
1246150565257609200,Fri Apr 03 19:00:21 +0000 2020,RT @priyankachopra: Before the Covid-19 crisis, I had the pleasure of shooting the May cover of @Tatlermagazine. It’s a cover I wish we wer…
1246150501038612500,Fri Apr 03 19:00:06 +0000 2020,RT @latestly: That's modern style meeting vintage flare! @priyankachopra for @Tatlermagazine  #PriyankaChopra @PeeCeeFanClub @PriyankaFanCl…
1244365900943364000,Sun Mar 29 20:48:44 +0000 2020,RT @TeamPriyanka: The May Issue...❤🌟💃🏻 @Tatlermagazine @priyankachopra https://t.co/mEJul6pgFY
1244365564409241600,Sun Mar 29 20:47:24 +0000 2020,RT @priyankachopra: I accept the #SafeHands challenge 🧼@DrTedros. One of the main takeaways from our IG live yesterday was the importance o…
1244365543416660000,Sun Mar 29 20:47:19 +0000 2020,RT @priyankachopra: Thank you @DrTedros and @mvankerkhove for giving us some valuable insight on #Covid19. I hope you all find this informa…
1244365528774389800,Sun Mar 29 20:47:15 +0000 2020,RT @priyankachopra: ❤️ https://t.co/p1TylrM8To
1241340675792175000,Sat Mar 21 12:27:34 +0000 2020,RT @priyankachopra: Update to the IG LIVE conversation. New details announced soon. https://t.co/s1eu3kzL0L
1240622514918830000,Thu Mar 19 12:53:51 +0000 2020,RT @priyankachopra: There are so many other things to stock up on right now. ❤️ Please look out for each other and the people who are most…
1240622497294360600,Thu Mar 19 12:53:47 +0000 2020,RT @madhuchopra: @priyankachopra Such an I@portent and timely opportunity you are providing us. Proud of you
1240622485990772700,Thu Mar 19 12:53:44 +0000 2020,RT @priyankachopra: https://t.co/emOHU3twYM
1240622476620636200,Thu Mar 19 12:53:42 +0000 2020,RT @priyankachopra: Join me tomorrow with Dr. Tedros and Maria Van Kerkhove from the @WHO , and Hugh Evans the CEO of @GlblCtzn on IG LIVE…
1236664163302289400,Sun Mar 08 14:44:47 +0000 2020,RT @priyankachopra: Unstoppable. Fierce. Determined. Hasina is all this &amp; more. I met her during my visit to Ethiopia with @UNICEF. She ble…
1236664139789095000,Sun Mar 08 14:44:41 +0000 2020,RT @priyankachopra: “An equal world is an enabled world.” - this year's theme for #InternationalWomensDay &amp; I couldn’t agree more. I became…
1236664125893247000,Sun Mar 08 14:44:38 +0000 2020,RT @TeamPriyanka: Gorgeous as always 😍 💗 @priyankachopra https://t.co/EchqJUQACY
1236664115252408300,Sun Mar 08 14:44:35 +0000 2020,RT @TeamPriyanka: Happy #InternationalWomensDay  @priyankachopra https://t.co/6RWhB37OYe
1236279701229973500,Sat Mar 07 13:17:04 +0000 2020,RT @TeamPriyanka: Happy Holi (in advance)😋 @priyankachopra @nickjonas https://t.co/6wuKJjCW6M
1236279370077126700,Sat Mar 07 13:15:45 +0000 2020,RT @bombaytimes: .@priyankachopra, @nickjonas, #KatrinaKaif and others all smiles for a selfie at #IshaAmbani's #Holi bash https://t.co/GbT…
1235952377133510700,Fri Mar 06 15:36:24 +0000 2020,RT @pinkvilla: #PriyankaChopra and #NickJonas shell out couple goals as they twin in white for pre #Holi bash; See PHOTOS- https://t.co/jRc…
1235952207922696200,Fri Mar 06 15:35:43 +0000 2020,RT @instantbolly: #Priyankachopra and #NickJonar At #IshaAmbani Holi Celebration https://t.co/r7dZv0OCCv
1234501065711722500,Mon Mar 02 15:29:24 +0000 2020,RT @priyankachopra: Magic ❤️ https://t.co/36sx6d0j8b
1234501028399272000,Mon Mar 02 15:29:15 +0000 2020,RT @DelhiTimesTweet: .@priyankachopra, @nickjonas donned cowboy hats for the weekend in California  #PriyankaChopra #NickJonas https://t.co…
1233808590995148800,Sat Feb 29 17:37:45 +0000 2020,RT @DelhiTimesTweet: .@aliaa08 and @priyankachopra snapped outside #KatrinaKaif's house today  #AliaBhatt #PriyankaChopra https://t.co/E7lm…
1233515257949302800,Fri Feb 28 22:12:09 +0000 2020,RT @TeamPriyanka: #Repost @priyankachopra  Sorry for the delay. I’ve been traveling but my heart is so full. Thank you to all 50 Million of…
1233042071856066600,Thu Feb 27 14:51:53 +0000 2020,RT @etimes: Lovebirds @priyankachopra and @nickjonas spotted on their date night together 😍  #PriyankaChopra  #NickJonas https://t.co/ypw9D…
1233042043946987500,Thu Feb 27 14:51:46 +0000 2020,RT @latestly: Now that's how you flaunt your legs! @priyankachopra  #PriyankaChopra for @HarpersBazaarSG  @PeeCeeFanClub @Priyankagreek  ht…
1231606365170344000,Sun Feb 23 15:46:54 +0000 2020,RT @CloutNewsMedia: 📸 : @priyankachopra spotted leaving #KatrinaKaif's house today.  #PriyankaChopra https://t.co/9SjX0chDnE
1231281991070429200,Sat Feb 22 18:17:57 +0000 2020,RT @instantbolly: #PriyankaChopra Snapped At Airport https://t.co/wEjL401s1x
1231024602102599700,Sat Feb 22 01:15:11 +0000 2020,RT @TeamPriyanka: 20-02-2020. &lt;-----Mark this date guys! The day @priyankachopra hit 50 MILLION on @instagram... Hugeee shoutout to all the…
1231024503154708500,Sat Feb 22 01:14:47 +0000 2020,RT @latestly: .@priyankachopra's biopic on Ma Anand Sheela will be backed by @AmazonStudios  #maanandsheela #PriyankaChopra  @PeeCeeFanClub…
1228701093854613500,Sat Feb 15 15:22:23 +0000 2020,RT @TeamPriyanka: What a su-paw-star! #diariesofdiana https://t.co/dJR8dNpyx8
1228701069322092500,Sat Feb 15 15:22:17 +0000 2020,RT @DNJmedia: 🎥|| Nick and Priyanka via Nick’s Instagram: Pre show dance party with my forever Valentine. @priyankachopra #valentines https…
1228701058693763000,Sat Feb 15 15:22:15 +0000 2020,RT @priyankachopra: Love knows no boundaries. Happy Valentine’s Day. ❤ https://t.co/YHNmpBCwyj
1228701042898014200,Sat Feb 15 15:22:11 +0000 2020,RT @TeamPriyanka: Best Valentine's Day couple everrrrrr🥰 @nickjonas @priyankachopra https://t.co/xOkDt1vLoi
1217917649474277400,Thu Jan 16 21:12:50 +0000 2020,RT @TheBollyTicket: The lady in Blue😍 Pc is back in Town! @priyankachopra @TeamPriyanka  #PriyankaChopra  RT love Love! https://t.co/lZcbMm…
1195430536346525700,Fri Nov 15 19:57:04 +0000 2019,RT @priyankachopra: Cash in my dessert. Now that’s a first #daulatkichaat 😂 #onlyinindia #delhistories #setlife #thewhitetiger  📸- @Rajkumm…
1195430498501312500,Fri Nov 15 19:56:55 +0000 2019,RT @priyankachopra: “The wound is the place where the Light enters you.” – Rumi #setlife #musings https://t.co/UJZs5QWw2O
1195430487126356000,Fri Nov 15 19:56:52 +0000 2019,RT @priyankachopra: Congratulations Nita ma’am on being elected to the board of @metmuseum. Your passion for Indian art &amp; seeing it on a gl…
1116791714771943400,Fri Apr 12 19:54:28 +0000 2019,RT @TeamPriyanka: https://t.co/4cQNIg4xhM
1116791701396344800,Fri Apr 12 19:54:25 +0000 2019,RT @TeamPriyanka: 🙌🏼 @priyankachopra 🙌🏼 #WITW @WomenintheWorld @TinaBrownLM  Tell us which quote of the boss lady left you inspired! https:…
1116791662380867600,Fri Apr 12 19:54:15 +0000 2019,RT @priyankachopra: .@Chopard @ralphandrusso @Fendi #MimiCuttrell #SarahNicoleTanno @OwenGouldHair @sergiorossi https://t.co/Qqx6MMMXCY
1084583271932018700,Sun Jan 13 22:49:37 +0000 2019,These unseen wedding pics of @PriyankaChopra, Nick Jonas are love itself. See them here ---&gt; https://t.co/WcnyrQaPcR
1084582790853738500,Sun Jan 13 22:47:42 +0000 2019,RT @glamsham: Priyanka Chopra becomes the most popular Hollywood actress  https://t.co/PDHYOKKJ9d …  #Glamsham #PriyankaChopra #JustJared @…
1084582284601278500,Sun Jan 13 22:45:41 +0000 2019,RT @priyankachopra: Family. ❤️ https://t.co/ElfJNZjJP5
1084582264523145200,Sun Jan 13 22:45:37 +0000 2019,RT @priyankachopra: Happiness in the mountains ⛰️♥️💕 https://t.co/nVabonAYuJ
1084582242331050000,Sun Jan 13 22:45:31 +0000 2019,RT @priyankachopra: Something’s don’t change. Xoxo @tam04sharma https://t.co/QQyuxnCLL2
1084582221967691800,Sun Jan 13 22:45:26 +0000 2019,RT @priyankachopra: Coming at you 2019 😍 https://t.co/ogGazlnsdH
1076847204713857000,Sun Dec 23 14:29:15 +0000 2018,RT @priyankachopra: Staying golden @voguemagazine https://t.co/w3L6Aq0TEz
1076847190541287400,Sun Dec 23 14:29:11 +0000 2018,RT @priyankachopra: When in doubt.. make it red.. @voguemagazine https://t.co/bwwvRt7Yrz
1076847066863882200,Sun Dec 23 14:28:42 +0000 2018,RT @priyankachopra: And the party don't stop... ♥️🎉😝 https://t.co/8mgZbl85Ui
1076847045816791000,Sun Dec 23 14:28:37 +0000 2018,RT @priyankachopra: 😍 https://t.co/yGu47IeaSi
1072918980287971300,Wed Dec 12 18:19:53 +0000 2018,RT @voguemagazine: For Isha Ambani’s wedding, no one pulled out the stops quite like Priyanka Chopra and Nick Jonas. https://t.co/9EbCPGc24M
1072918867654180900,Wed Dec 12 18:19:26 +0000 2018,RT @priyankachopra: This is us. My family...  https://t.co/DFdmMcwNxI
1072918811064614900,Wed Dec 12 18:19:13 +0000 2018,RT @priyankachopra: Marital bliss they say.. 😍♥️💋 https://t.co/ipKMjTZevY
1072918792345477100,Wed Dec 12 18:19:08 +0000 2018,RT @priyankachopra: 😍 https://t.co/fluaYrMVX0
1070799919399747600,Thu Dec 06 21:59:29 +0000 2018,RT @priyankachopra: A heartfelt thank you to our Hon'ble Prime Minister Shri @narendramodi ji for gracing us with your presence. Touched by…
1070799902756782100,Thu Dec 06 21:59:25 +0000 2018,RT @priyankachopra: Thank you @forbes! Honoured to be a part of such an exclusive &amp; illustrious list of #PowerWomen in the world for the 2n…
1070799886956798000,Thu Dec 06 21:59:22 +0000 2018,RT @priyankachopra: Vogue, January 2019 ❤️ Shot by #annieleibovitz @voguemagazine cc: @jilldemling #tonnegood @abby_aguirre @PatiDubroff @g…
1070799675333247000,Thu Dec 06 21:58:31 +0000 2018,RT @latestly: #PriyankaChopra -  "I’ve never had a guy who has said be ambitious and do what you want to do"  @PeeCeeFanClub @WorldOfPeeCee…
1069988113844457500,Tue Dec 04 16:13:40 +0000 2018,RT @DelhiTimesTweet: .@priyankachopra and @nickjonas with their families on the stage for the reception in #Delhi @SophieT @joejonas https:…
1069988028582629400,Tue Dec 04 16:13:20 +0000 2018,RT @Calcutta_Times: .@priyankachopra and @nickjonas at their Delhi reception https://t.co/pKcXR0jTQ9
