id,created_at,text
1260201087996506000,Tue May 12 13:32:07 +0000 2020,RT @HamiltonMusical: Shout it to the rooftops! The original Broadway production of @HamiltonMusical, filmed LIVE onstage at the Richard Rod…
1259235468773900300,Sat May 09 21:35:05 +0000 2020,Hey all! I’m so excited to join my friend, @ossoff for a live conversation this Thursday, May 14, at 7 pm ET.  I ho… https://t.co/CBV2p4yidw
1258947737791365000,Sat May 09 02:31:45 +0000 2020,Steve and I just watched @MichelleObama ‘s documentary #Becoming and it was incredibly moving and inspiring. Oh how we love you Michelle!!!
1258177902677569500,Wed May 06 23:32:42 +0000 2020,I am so tired...and so angry... Remember his name #AhmaudArbery
1258130417766596600,Wed May 06 20:24:01 +0000 2020,RT @StevePasquale: Tweeps, @Phillipasoo and I watched Thomas Puketty’s Capital In the 21st Century doc last night. Wow.  It should be requi…
1257310041163493400,Mon May 04 14:04:08 +0000 2020,RT @OffBroadwayNYC: .@StevePasquale and @Phillipasoo present Outstanding Featured Actor in a Musical. #LortelAwards https://t.co/KjhUKx0Njd
1257124524941811700,Mon May 04 01:46:57 +0000 2020,Congrats to all of the winners and nominees for the #LortelAwards tonight!!! Proud to be in this phenomenal communi… https://t.co/jGGo0RENlo
1256751095877173200,Sun May 03 01:03:05 +0000 2020,LOL https://t.co/NMCn9fri8p
1256580611273298000,Sat May 02 13:45:38 +0000 2020,😍 https://t.co/9xw1aPTLC5
1255918518459084800,Thu Apr 30 17:54:43 +0000 2020,It WAS! And my girl @yoyogeraldinev was so good!!!! https://t.co/bUq9RRfV0D
1253127092855767000,Thu Apr 23 01:02:35 +0000 2020,Not in any order.  Five Perfect Movies:  The Godfather The Best Years of our Lives Ratatouille  Shakespeare in Love… https://t.co/sgEQKxiyYn
1252266701326082000,Mon Apr 20 16:03:42 +0000 2020,RT @tellyleung: This photo says it all. This November, you decide who’s side you’re on. https://t.co/UodGgORmJk
1249041898259583000,Sat Apr 11 18:29:29 +0000 2020,RT @HamiltonMusical: Immigrants: We get the job done.
1248975156069970000,Sat Apr 11 14:04:16 +0000 2020,RT @birbigs: Opposing mail-in voting is one step away from opposing voting. Don't be surprised when that's next.
1248974407059546000,Sat Apr 11 14:01:18 +0000 2020,What a great way to support local bookstores! Yes @pronounced_ing! https://t.co/0NuYYU4D9v
1248612401458475000,Fri Apr 10 14:02:49 +0000 2020,RT @nytimes: The volume of phone calls has surged more than internet use as people want to hear each other’s voices in the pandemic https:/…
1245431735917084700,Wed Apr 01 19:23:59 +0000 2020,From my father who is a doctor(GP)—can anyone who is specializing in infectious diseases answer this question: “Wha… https://t.co/I9xSDXz2Tl
1240454660537933800,Thu Mar 19 01:46:52 +0000 2020,Congrats Celeste!!! 👏👏👏 can’t wait to watch! https://t.co/EZAYbMSGpN
1240453956234608600,Thu Mar 19 01:44:04 +0000 2020,And yes, that is not everyone but yes yes postal workers, delivery workers, truck drivers...I know there are more I… https://t.co/7FSdvv7ZpP
1240448828483997700,Thu Mar 19 01:23:41 +0000 2020,Thank you to all the teachers, law enforcement, doctors, lawyers, Govt officials and grocery store workers who are… https://t.co/BQXyUYuc3U
1240324878152224800,Wed Mar 18 17:11:09 +0000 2020,@gidglick After you’ve had your coffee
1240323009816268800,Wed Mar 18 17:03:44 +0000 2020,One hundred percent right👇We have always seen that Donald Trump discriminates against people of color, this further… https://t.co/JcqCCI2d9l
1240077035613143000,Wed Mar 18 00:46:19 +0000 2020,I’m staying home. Reading books, perhaps take a class on writing...yoga, Pilates...what are you doing? #StayHomeSaveLives
1240051225703387100,Tue Mar 17 23:03:45 +0000 2020,RT @ossoff: Coronavirus advice from Dr. Alisha Kramer (I’m her husband) ⬇️  To stay healthy &amp; SAVE LIVES:  🏠 STAY HOME if possible 🧼 Practi…
1238983051578925000,Sun Mar 15 00:19:13 +0000 2020,This is a great article to shed some light on what is happening to smaller theaters in NY. My show, “Tumacho” was o… https://t.co/75hN85eU4b
1238527111113080800,Fri Mar 13 18:07:28 +0000 2020,RT @HillaryClinton: Call your representatives today and demand they pass the #FamiliesFirst coronavirus bill. It contains:   - Free testing…
