id,created_at,text
1259884270845415400,Mon May 11 16:33:12 +0000 2020,Happy Monday friends! ⁣ ⁣ This is your weekly reminder that I’ll be Here teaching yoga 5 days this week!⁣ ⁣ If you… https://t.co/VysWQWE8bT
1259535451175731200,Sun May 10 17:27:07 +0000 2020,| Forgiveness is a choice not a feeling and when you choose it, you’ll set yourself free. ♥️ ⁣ ⁣ I know the feed wi… https://t.co/W3RKdImKLE
1259288984448049200,Sun May 10 01:07:45 +0000 2020,| ANNOUNCEMENT!!!🚨 ⁣⁣⁣ ⁣⁣⁣ I HAVE BEEN KEEPING THIS JOURNEY SACRED (not secret) FOR THE LAST 5 MONTHS!! ⁣⁣⁣ ⁣⁣⁣ It’… https://t.co/TqlpPVUfkn
1257752514465804300,Tue May 05 19:22:22 +0000 2020,| Let’s get down, dog! 😜 ⁣ ⁣ So happy to be back to teaching my online zoom #athomeyoga with you guys! ⁣ ⁣ If you’v… https://t.co/I0hc5MDTof
1257744663982809000,Tue May 05 18:51:10 +0000 2020,| Thank you 🙏🏻 to all of the volunteers at our local animal shelters who do their best, day in and day out, to prov… https://t.co/B8mNjcVHgF
1257017122800230400,Sun May 03 18:40:10 +0000 2020,| Real eyes, realize, real lies. 👁 ⁣ ⁣ Happy Sunday friends! ⁣ ⁣ Today in my #sunrisemanifestojournal I wrote that… https://t.co/fVyLuORC00
1256622552950194200,Sat May 02 16:32:18 +0000 2020,| Real eyes, realize, real lies. ⁣  See y’all Monday 5pm PDT for #yogawithpixie⁣ ⁣ Photo cred the incredibly talent… https://t.co/lGmuNhpEtr
1256040958879248400,Fri May 01 02:01:15 +0000 2020,| THIS WEEK THREE REALLY COOL THINGS COMING YOUR WAY! ⁣ ⁣ 1. WEDNESDAY • 9am • Teaching the incredible athlete… https://t.co/YgJoXTkpLN
1255324555951906800,Wed Apr 29 02:34:31 +0000 2020,| What else ya gonna do when quarantine gifts you a little more meat to shake with?!😜 ⁣ ⁣ This has been my nightly… https://t.co/9pXbWsQxhy
1254989470337773600,Tue Apr 28 04:23:00 +0000 2020,| OUR SECOND VOLUNTEER APPRECIATION POST GOES TO  northcentralshelter lara_dawn ❤️ 🐾  ⁣ ⁣ Please take a second to g… https://t.co/MZqkTYXH5q
1254937048408088600,Tue Apr 28 00:54:42 +0000 2020,| What’s on your brain? What have you been reading? What books are you revisiting? What books are you FINALLY getti… https://t.co/herwZfgcVI
1254838968920805400,Mon Apr 27 18:24:58 +0000 2020,| Don’t get it twisted, it’s MONDAY!⁣ ⁣ Anyone else having a hard time keeping track of what day it is?? I still te… https://t.co/sgFL5dK4Tw
1254612403532238800,Mon Apr 27 03:24:41 +0000 2020,| Friends! This week I will not be teaching yoga as my body needs to be 💯 rested for some spinal injections to cont… https://t.co/QeBBNFcodR
1254488480757026800,Sun Apr 26 19:12:15 +0000 2020,| HAPPY 14th BIRTHDAY TO THE COMPANY THAT CHANGED MY LIFE!! 🎉 🎂 🎈 ⁣ ⁣ AND HAPPY ANNIVERSARY TO EVERY RIDER THAT HEL… https://t.co/bhmoqX0ber
1253496214760218600,Fri Apr 24 01:29:21 +0000 2020,| Special shout out to all of my #yogawithpixie fam!!! I just love this community and I’m so grateful for your cons… https://t.co/DTa57HcaYv
1253469666007306200,Thu Apr 23 23:43:51 +0000 2020,VOLUNTEER APPRECIATION POST!!!! ⁣ ⁣ Crazy thing is Luis and I go way back!! So help me give a warm thank you to him… https://t.co/S9sr4r7GjO
1252995844917338000,Wed Apr 22 16:21:03 +0000 2020,| GIVEAWAY!! 🌎 ♻️ 💥 ⁣ ⁣ Today is the 50 year anniversary of #earthday!! 🌍 ⁣ ⁣ If you know me, then you know I care… https://t.co/3211YcH0IU
