id,created_at,text
1261104405467684900,Fri May 15 01:21:35 +0000 2020,@HEIRMJ 🐐🐰
1261071805218947000,Thu May 14 23:12:02 +0000 2020,"I never question his attire or his hygiene. I don’t infringe on him. He has ways of expressing himself that I don’… https://t.co/DB7Na2kcCx
1260981314297069600,Thu May 14 17:12:27 +0000 2020,For every mask purchased, Playboy will donate one to Special Service for Groups https://t.co/CHR5rfAH6B
1260981045131800600,Thu May 14 17:11:23 +0000 2020,PSA: The Playboy take on social distancing 🧪 https://t.co/omb3WauWXD
1260759264257286100,Thu May 14 02:30:07 +0000 2020,Brand new drop coming to the Playboy Shop this Friday! 😮 🐰   https://t.co/b6wiQZ4kJs https://t.co/6WYS3qBdbw
1260724256884887600,Thu May 14 00:11:00 +0000 2020,This week's sex word is METAMOUR   So if Brendan's wife dates Nick, but Nick doesn't date Brendan, then Brendan is… https://t.co/BMTsvo0tqW
1260665628865806300,Wed May 13 20:18:02 +0000 2020,Wondering what the future might hold?  🔮  We don't know much, but we do know you'll be tuning in to Playmate… https://t.co/1FLOS65GfH
1260633667954790400,Wed May 13 18:11:02 +0000 2020,Here are 5 stand-out organizations that fight for fairness when it comes to growing, selling and consuming cannabis… https://t.co/EXUfjgw5TB
1260311975289974800,Tue May 12 20:52:45 +0000 2020,This livestream has been postponed 📺   Stay tuned for the new date and time for a conversation between @ANGELAWHITE… https://t.co/BBcnZm4CQB
1260291671343988700,Tue May 12 19:32:04 +0000 2020,"I want to do what I can to leave the world at least as good a place as it was when I got here, if not better." Jun… https://t.co/vPe9a67rMX
1260253300366012400,Tue May 12 16:59:35 +0000 2020,@LillySG94 Hi! you can email help@playboyshop.com and someone will try to get some answers 💖
1259965509472333800,Mon May 11 21:56:01 +0000 2020,"A person’s preference in penis is subjective." @bybobbybox  https://t.co/Q1c9CFsUvM
1259935071718592500,Mon May 11 19:55:04 +0000 2020,This week on #PlayboyLIVE 📺 @ANGELAWHITE returns to have a conversation with superstar @LanaRhoades on building hug… https://t.co/npAJmt5Wl0
1259926696884498400,Mon May 11 19:21:47 +0000 2020,Schedule adjustment: Blackjack with Kitti is at 12 pm PT ☝️
1259883582882893800,Mon May 11 16:30:28 +0000 2020,Are you excited for this week's lineup of #PlayboyLIVE? We are! 📺  Tues. 5/12, 5 pm PT: @ANGELAWHITE interviews… https://t.co/YzEjisEYCX
1259590494448844800,Sun May 10 21:05:50 +0000 2020,RT @ANGELAWHITE: Join me and @LanaRhoades live in conversation on @Playboy's Instagram 🐰💕 Tuesday 5/12 at 5pm PT https://t.co/w2cxP33dF0
1259263129986400300,Sat May 09 23:25:00 +0000 2020,Dear #PlayboyAdvisor... Your sex and weed questions, answered by @TheCannasexual 🌳  https://t.co/7kvERfuMha
1258900994202747000,Fri May 08 23:26:00 +0000 2020,"The president is tired of the coronavirus. He’s also tired of Democrats, Republicans who don’t agree with him and… https://t.co/tfijlbBqsH
1258858217540653000,Fri May 08 20:36:02 +0000 2020,Day ?? of quarantine and that dandelion starts cracking jokes 🧐   August 1993 Playmate Jennifer Lavoie Photographed… https://t.co/fTPyFK3e6V
1258830622774177800,Fri May 08 18:46:23 +0000 2020,Roleplay could be the pick-me-up your quarantine sex life needs. @Yandy #StayInGetOff  https://t.co/McrSDoHYQH
1258531066379305000,Thu May 07 22:56:03 +0000 2020,Dick Rosenzweig, a legendary and beloved member of the Playboy family for over 60 years, has moved on to that great… https://t.co/CodgS03szH
1258451842880553000,Thu May 07 17:41:14 +0000 2020,Have questions about sex and weed?  @TheCannasexual is an expert on both and will be giving you answers, tips and a… https://t.co/9yQrBmk4r1
1258197228675403800,Thu May 07 00:49:30 +0000 2020,@ShivaPr20888821 December 1986 Playmate Laurie Carr!
1258195987073360000,Thu May 07 00:44:34 +0000 2020,Stay home, loser. We're going ONLINE shopping. 🛍️  Browse our audiences favorites and find a Rabbit Head that fits… https://t.co/9d5cMME188
1258128181246283800,Wed May 06 20:15:07 +0000 2020,This week's Sex Word is: LACTOPHILIA  Does anyone here know what that means? Learn more here:… https://t.co/lb3yGHVoXc
1258112124548714500,Wed May 06 19:11:19 +0000 2020,If the steps from your couch to the kitchen just aren't doing it for you, join Playmate Jordy Murray for a workout… https://t.co/7U8EfEjOMn
1258093283697242000,Wed May 06 17:56:27 +0000 2020,RT @ihatejoelkim: I wrote this piece about sex ed for @playboy last summer and it's up online for everyone to read if you'd like. https://t…
1257823107198271500,Wed May 06 00:02:52 +0000 2020,Did you know May is Masturbation Month? 🎉🎉🍾
1257764981526978600,Tue May 05 20:11:54 +0000 2020,Even before the pandemic, sexting was becoming sex.  #StayInGetOff @GideonsByeBull  https://t.co/kKuobPcbF4
1257712343800254500,Tue May 05 16:42:44 +0000 2020,"If he slept that night then the one-eyed man might murder him before she could arrive on the scene." Playboy Ficti… https://t.co/EQ7b1QSKE3
1257430160871170000,Mon May 04 22:01:26 +0000 2020,May 2020 Playmate Savannah Smith sees her pictorial for the first time 🛠️   Photographed by Graham Dunn https://t.co/FKA2Ky9btQ
1257373524790063000,Mon May 04 18:16:23 +0000 2020,This week on #playboyLIVE 📺   "May the Fourth Be With You" with @sophiedee, tonight at 5 pm PT 👽  Workout with Play… https://t.co/zyE1bMwPkS
1257371523842744300,Mon May 04 18:08:26 +0000 2020,RT @TheBowieCat: I spoke to @playboy about role-playing during quarantine https://t.co/TrGMHGuSMX
1257011561664860200,Sun May 03 18:18:05 +0000 2020,Behind the centerfold 🧐  July 1980 Playmate Teri Peterson, photographed by Phillip Dixon #playboyheritage https://t.co/ST0LlvJ567
1256753844802982000,Sun May 03 01:14:00 +0000 2020,No, vaginas don't get "too loose."  @Dana_Hamilton_  https://t.co/RmnXEY9u6b
1256720146397356000,Sat May 02 23:00:06 +0000 2020,"We don’t defend it because it can’t do harm; we defend it because the harm of censorship is greater than the harm… https://t.co/oUhN7YldA6
1256635567443452000,Sat May 02 17:24:01 +0000 2020,On disinfectant shots, press-pool feuds and other American health hazards @BrianKarem  https://t.co/fzgpQuuLgh
1256369080002633700,Fri May 01 23:45:05 +0000 2020,"This photoshoot illustrates the duality of my personality. There's my soft, feminine side, and there's my boyish s… https://t.co/LKIFGb6KH1
1256358742804889600,Fri May 01 23:04:00 +0000 2020,Get started on your grocery list. #StayInGetOff https://t.co/xMsUHxo2dQ
1256317060671352800,Fri May 01 20:18:23 +0000 2020,All of these statements are FALSE. Find out why in this article by @jacqbryant  #cannabisbyplayboy  https://t.co/qrxcinvnNL
1256278353868447700,Fri May 01 17:44:34 +0000 2020,Splish splash! 🏝️ Tune into our Instagram at 5 pm PT for a pool party with @MsAbigailMac and @sophiedee 😎… https://t.co/lJap5m5ngv
1256275866604060700,Fri May 01 17:34:41 +0000 2020,"Legalization will fix everything."
1256042920756621300,Fri May 01 02:09:03 +0000 2020,Last day of the month with April 2020 Playmate @marshaellemusic 🌴  Photographed by Ana Dias  https://t.co/YRtVlxEshN https://t.co/LWHaRUlEey
1256029839196164000,Fri May 01 01:17:04 +0000 2020,"Vaping is inherently unsafe."
1256027529309126700,Fri May 01 01:07:53 +0000 2020,RT @BluFiefer: Thank you @Playboy for my first major American profile, and thank you for helping me put Lebanon and it’s current situation…
1256014777421197300,Fri May 01 00:17:13 +0000 2020,Safe is sexy!  For every mask we sell, we'll donate one to Special Service for Groups Sparkling heart Shop all four… https://t.co/xm0n93A4Ta
1255992212313174000,Thu Apr 30 22:47:33 +0000 2020,"Cannabis is a gateway drug."
1255966676979343400,Thu Apr 30 21:06:05 +0000 2020,"Cannabis prohibition keeps criminals off the street."
1255966671174373400,Thu Apr 30 21:06:03 +0000 2020,Do you think these statements about cannabis are true? https://t.co/ZnpkPUhf55
1255921488806375400,Thu Apr 30 18:06:31 +0000 2020,Questions about sex during quarantine?   Sexologist @shanboody will answer your questions in The Playboy Advisor LI… https://t.co/WasT5GDMff
1255741928227983400,Thu Apr 30 06:13:00 +0000 2020,"My life is a circus. My year is 365 days of fucking confusion."  Dennis Rodman for the Playboy Interview, June 199… https://t.co/CrG7ON0A1d
1255681540727636000,Thu Apr 30 02:13:03 +0000 2020,Grab a hand mirror and spread those legs, because it’s time for a solo sexpedition! 🌋   @shanboody gives you self-c… https://t.co/NxUcoUckxb
