id,created_at,text
1260278232735080400,Tue May 12 18:38:40 +0000 2020,RT @AshishSinghLIVE: You know how much I appreciate you for you tremendous work @PoddarVaishali Lemme repeat again, you and your family des…
1260278070205767700,Tue May 12 18:38:01 +0000 2020,@TheViditsharma @ManMundra @anandmahindra @dog_feelings @TajinderBagga @abhiemanyu @CharuPragya @bhak_sala… https://t.co/GdE5nmS6WK
1260265757079818200,Tue May 12 17:49:05 +0000 2020,@TamrajKilwis @AshishSinghLIVE @BJYM नकली नहीं असली हैं, आशीष जी पहले भी कई बार मेरे कार्यों की सराहना अपने ट्वीट औ… https://t.co/v1U5lFOFEd
1260265085240348700,Tue May 12 17:46:25 +0000 2020,RT @Selvaku47689680: Dear friends, i look forward to your help. Belive me if you can please help me  or pls RT my message to reach many peo…
1260259931652931600,Tue May 12 17:25:56 +0000 2020,@realDonaldTrump The Indian People are Real WARRIORS!
1260258907198378000,Tue May 12 17:21:52 +0000 2020,@AshishSinghLIVE @IYC @BJYM is working tirelessly, but saw your appreciation &amp; supportive tweets for IYC only 🙄
1260258310940274700,Tue May 12 17:19:30 +0000 2020,@mirchagalib These tricks actually work, varna angel priya aise hi survive nahi karti twitter par 😬
1260257055283134500,Tue May 12 17:14:31 +0000 2020,@mirchagalib Fake profile Alert 😂😂😂
1260250048526311400,Tue May 12 16:46:40 +0000 2020,@dhaval241086 @shahidkapoor Reply nahi aayega kabhi 😭
1260249863612059600,Tue May 12 16:45:56 +0000 2020,RT @PoddarVaishali: 20,000,000,000,000  !!   Chal gaya pata?? Par package k liye Kagaz to dikhane padenge 🤓
1260244495125241900,Tue May 12 16:24:36 +0000 2020,RT @tarunchughbjp: प्रधानमंत्री श्री नरेंद्र मोदी जी ने इस संकट का सामना करने के लिए देश को 20 लाख करोड़ का महत्वपूर्ण आर्थिक पैकेज दिया है…
1260240660306653200,Tue May 12 16:09:22 +0000 2020,Calculation*
1260240308278681600,Tue May 12 16:07:58 +0000 2020,20lakh crore divided by 130cr Indiana = 16000 !   Arre bhagwan se daro bhayi aisi calculation mat karo, financial p… https://t.co/IM0C8vjYEz
1260236507123781600,Tue May 12 15:52:52 +0000 2020,20,000,000,000,000  !!   Chal gaya pata?? Par package k liye Kagaz to dikhane padenge 🤓 https://t.co/NG7ffkqXTP
1260234041284067300,Tue May 12 15:43:04 +0000 2020,20,000,000,000,000 it is !!!  #Narendermodi #AatmanirbharBharat
1260225484631101400,Tue May 12 15:09:04 +0000 2020,मित्रों,   " स्वदेशी अपनाओं "  #AatmanirbharBharat
1260224289669668900,Tue May 12 15:04:19 +0000 2020,@periwal_ankush Haan 😂
1260223598490316800,Tue May 12 15:01:34 +0000 2020,Lockdown 4 ka naam sunte hi dhak dhak hui 🤓😭
1260223155877974000,Tue May 12 14:59:48 +0000 2020,स्वदेशी वस्तुओं का इस्तेमाल 👏👏  Local के लिए Vocal बनना हैं, न सिर्फ लोकल वस्तु ख़रीदे बल्कि उसका प्रचार भी करें… https://t.co/FFxkEru95l
1260222735046701000,Tue May 12 14:58:08 +0000 2020,आर्थिक पैकेज में "हर तबके" के लिए कुछ महत्वपूर्ण   विषयों का ऐलान किया जाएगा । @narendramodi जी   #AatmanirbharBharat
1260222477239644200,Tue May 12 14:57:07 +0000 2020,आर्थिक पैकेज : कुटीर उद्योग, गृह उद्योग, हमारे लघु-मंझोले उद्योग,  MSME के लिए है, जो करोड़ों लोगों की आजीविका का… https://t.co/RuTXfkGYo6
1260221466437578800,Tue May 12 14:53:06 +0000 2020,RT @ManojTiwariMP: आर्थिक पैकिज 20 लाख करोड़ का भारत वासियों के लिए ..  #AatmanirbharBharat थैंक्स @PMOIndia श्री @narendramodi जी ..मिल कर…
1260221420535046100,Tue May 12 14:52:55 +0000 2020,@bahl65 5%  ke liye ro rahe the, modi ji gave 10% of GDP 😁
1260220914584531000,Tue May 12 14:50:54 +0000 2020,"20 लाख करोड़" रूपए का आत्मनिर्भर भारत अभियान पैकेज ।  #AatmanirbharBharat
1260220514942902300,Tue May 12 14:49:19 +0000 2020,आत्मनिर्भर भारत अभियान 🙏 #AatmanirbharBharat
1260220171647545300,Tue May 12 14:47:57 +0000 2020,@SmokingSkills_ #AatmanirbharBharat ke #AatmanirbharLog 😁
1260219877408641000,Tue May 12 14:46:47 +0000 2020,RT @indiantweeter: Congrats @smritiirani mam for turning this crisis into an opportunity for our textiles sector. 2 lakh PPE daily is a fea…
1260219756839403500,Tue May 12 14:46:18 +0000 2020,चाह भी हैं, राह भी हैं   #AatmanirbharBharat
1260219443105300500,Tue May 12 14:45:03 +0000 2020,हमारे पास साधन है, सामर्थ्य हैं और हमारे पास दुनिया का सबसे बेहतरीन टैलेंट है 🤗👏  #PMModi #AtmanirbharBharat
1260219081602461700,Tue May 12 14:43:37 +0000 2020,भारत के अभियानों का असर दुनिया पर पड़ता ही पड़ता है: @narendramodi जी  #PMModi #AatmanirbharBharat
1260218072981528600,Tue May 12 14:39:36 +0000 2020,आत्मनिर्भर भारत 🙏
1260217556528500700,Tue May 12 14:37:33 +0000 2020,Daily manufacturing of 2,00,000 PPE Kits &amp; 2,00,000 N95 Masks in India !  #PMModi
1260216279287443500,Tue May 12 14:32:29 +0000 2020,@Re_tweeteer @bharat__wale @moni_tiwari @narendramodi Bhaiya ko bas RIP ka matlab pata h 😣
1260213857353642000,Tue May 12 14:22:51 +0000 2020,These two pictures left me speechless.. @CharuPragya ❤️   Take a bow Di 🌻 https://t.co/Uc76BKdaUf
