id,created_at,text
1260280877944168400,Tue May 12 18:49:10 +0000 2020,RT @poonam_mahajan: I am thankful to Hon'ble PM Shri @narendramodi Ji for announcing a special financial package of ₹ 20 Lakh Crores. At 10…
1260228870910783500,Tue May 12 15:22:31 +0000 2020,RT @PemaKhanduBJP: Under the able leadership of PM @narendramodi Ji, India has transformed the global pandemic crisis into an opportunity b…
1260228802459795500,Tue May 12 15:22:15 +0000 2020,Seva purifies our karma. Knowledge purifies the intellect.   Meditation purifies the soul.  Ayurveda and yoga, purifies the body. @SriSri
1260224575406665700,Tue May 12 15:05:27 +0000 2020,आत्मनिर्भर भारत का ये युग, हर भारतवासी के लिए नूतन प्रण भी होगा, नूतन पर्व भी होगा।   अब एक नई प्राणशक्ति, नई संक… https://t.co/sx7r5dDfkh
1260224458163286000,Tue May 12 15:04:59 +0000 2020,आत्मनिर्भरता हमें सुख और संतोष देने के साथ-साथ सशक्त भी करती है।   21वीं सदी, भारत की सदी बनाने का हमारा दायित्व, आ… https://t.co/ZPXIVGLSSm
1260223449189900300,Tue May 12 15:00:58 +0000 2020,आज से हर भारतवासी को अपने लोकल के लिए ‘वोकल’ बनना है, न सिर्फ लोकल Products खरीदने हैं, बल्कि उनका गर्व से प्रचार… https://t.co/cR5ODru94H
1260222597800661000,Tue May 12 14:57:35 +0000 2020,ये संकट इतना बड़ा है, कि बड़ी से बड़ी व्यवस्थाएं हिल गई हैं।   लेकिन इन्हीं परिस्थितियों में हमने, देश ने हमारे गरी… https://t.co/LNL1QNX2iX
1260222004717707300,Tue May 12 14:55:14 +0000 2020,अब Reforms के उस दायरे को व्यापक करना है, नई ऊंचाई देनी है।   ये रिफॉर्मस खेती से जुड़ी पूरी सप्लाई चेन में होंगे,… https://t.co/AXOqhTcUqD
1260220532521222100,Tue May 12 14:49:23 +0000 2020,You r such a star @manojmuntashir    Super proud of you 🤗 https://t.co/uYEJA5TOdp
1260219895163175000,Tue May 12 14:46:51 +0000 2020,India converted crisis into oppurtunity   PM @narendramodi
1260219703848431600,Tue May 12 14:46:05 +0000 2020,यही हम भारतीयों की संकल्पशक्ति है।   हम ठान लें तो कोई लक्ष्य असंभव नहीं, कोई राह मुश्किल नहीं।  PM @narendramodi #AatmanirbharBharat
1260218508614353000,Tue May 12 14:41:20 +0000 2020,जो पृथ्वी को मां मानती हो, वो संस्कृति, वो भारतभूमि, जब आत्मनिर्भर बनती है, तब उससे एक सुखी-समृद्ध विश्व की संभावना… https://t.co/ypPQLBmZUX
1260218329987350500,Tue May 12 14:40:38 +0000 2020,wow @CharuPragya di such a lovely pictures   Sending you a physical distance hug 🤗❤️ https://t.co/eYxZD009Ts
1260216942243111000,Tue May 12 14:35:07 +0000 2020,RT @PMOIndia: जब हम इन दोनों कालखंडो को भारत के नजरिए से देखते हैं तो लगता है कि 21वीं सदी भारत की हो, ये हमारा सपना नहीं, ये हम सभी की जि…
1260216647136116700,Tue May 12 14:33:57 +0000 2020,सतर्क रहते हुए ऐसी जंग के नियमो का पालन करते हुए बचना भी है आगे बढ़ना भी है   पीएम-@narendramodi
1260216322308206600,Tue May 12 14:32:39 +0000 2020,देशवासियों को आदर पूर्वक नमस्कार, कोरोना संक्रमण से मुकाबला करते हुए दुनिया को अब चार महीने से ज्यादा हो रहे हैं:   PM @narendramodi
1260165191964061700,Tue May 12 11:09:29 +0000 2020,RT @gbutail: Pvt Hotels &amp; Guest houses should be converted to isolation centers for people who do not wish to stay in Govt Quarantine Cente…
1260153711596236800,Tue May 12 10:23:52 +0000 2020,RT @jairamthakurbjp: आदरणीय प्रधानमंत्री श्री @narendramodi जी आज शाम 8 बजे राष्ट्र के नाम संबोधन देंगे।  प्रधानमंत्री जी कोविड-19 वायरस त…
1260116243085881300,Tue May 12 07:54:58 +0000 2020,RT @tarunchughbjp: PM Shri @narendramodi will be addressing the nation at 8 PM this evening. https://t.co/kw6GKjbl7A
1260112829786361900,Tue May 12 07:41:25 +0000 2020,RT @KarnikPadha: मैं इश्क़ कहुँ, तुम हिमाचल समझना 🏔 ⛅️ https://t.co/Lc4KioeD4d
1260112823318798300,Tue May 12 07:41:23 +0000 2020,@KarnikPadha Wow amazing
1260111555179372500,Tue May 12 07:36:21 +0000 2020,Prime Minister Shri @narendramodi ji will be addressing the nation tonight at 8 PM.   Do tune in
1260110570608398300,Tue May 12 07:32:26 +0000 2020,RT @BJYM: मध्यप्रदेश के होशंगाबाद ज़िले में एक गर्भवती महिला को B+ रक्त की आवश्यकता थी, जो समय रहते मिलना ज़रूरी था, पर मिल नहीं रहा था।…
1260110263354749000,Tue May 12 07:31:13 +0000 2020,RT @iSureshBjp: आज हमारे यशस्वी प्रधानमंत्री श्री @narendramodi रात 8 बजे देश के नाम अपने संबोधन के माध्यम से कुछ महत्वपूर्ण विषयों पर अपनी…
1260105435853410300,Tue May 12 07:12:02 +0000 2020,RT @poonam_mahajan: Looking forward to speak to @rajcheerfull ji on 15th May, live on YouTube.  #fridayslivewithrajnayak
1260105412046545000,Tue May 12 07:11:56 +0000 2020,RT @PMOIndia: Shri @narendramodi will be addressing the nation at 8 PM this evening.
1259915845779615700,Mon May 11 18:38:40 +0000 2020,RT @manojmuntashir: कड़वा सच..!!! https://t.co/kYQHvYAejA
1259915775063650300,Mon May 11 18:38:23 +0000 2020,@aniruddh_dave Hope you r doing well ...take care stay safe ❤️🤗
1259908442522742800,Mon May 11 18:09:15 +0000 2020,RT @narendramodi: Had an extensive meeting with CMs. Each CM shared their perspective on battling COVID-19.   We discussed the way ahead in…
1259904472869789700,Mon May 11 17:53:28 +0000 2020,Take care of yourself as wel @PoddarVaishali   More power to you darling ❤️🤗 https://t.co/QTOmObMB8I
1259892965901664300,Mon May 11 17:07:45 +0000 2020,RT @yoursdharm: आज भी इन तस्वीरों को देखकर ह्रदय गर्वित हो जाता है !   नमन है इनके नेत्रत्व को 🙏🙏  हैं न ? #NationalTechnologyDay https://t…
1259829852955238400,Mon May 11 12:56:58 +0000 2020,RT @RailMinIndia: Indian Railways plans to gradually restart passenger train operations from 12th May, 2020, initially with 15 pairs of tra…
1259829842675069000,Mon May 11 12:56:55 +0000 2020,RT @narendramodi: On National Technology Day, our nation salutes all those who are leveraging technology to bring a positive difference in…
1259829834290589700,Mon May 11 12:56:53 +0000 2020,RT @narendramodi: The tests in Pokhran in 1998 also showed the difference a strong political leadership can make.   Here is what I had said…
1259829828443705300,Mon May 11 12:56:52 +0000 2020,RT @narendramodi: Today, technology is helping many in the efforts to make the world free from COVID-19. I salute all those at the forefron…
1259823917960593400,Mon May 11 12:33:23 +0000 2020,RT @iprakhardixit: बिना कर्फ्यू पास #Himachal की सीमा में घुस रहे पंजाब के एक्स डीजीपी सुमेद सिंह सैनी को @PoliceBilaspur ने वापस लौटाया, क…
1259823765300469800,Mon May 11 12:32:46 +0000 2020,RT @iprakhardixit: दूसरे राज्यों से #Himachal में 'घर वापसी' करने वाले कोरोना कैरियरों का कहर जारी, दिल्ली से लौटे पॉजिटिव मरीज के संपर्क…
1259823617585512400,Mon May 11 12:32:11 +0000 2020,RT @AUHimachal: #HimachalPradesh: @jairamthakurbjp सरकार ने लिया बड़ा फैसला, अब बिना कर्फ्यू पास कर सकेंगे जिले में आवाजाही #COVID #COVIDー1…
1259823375658045400,Mon May 11 12:31:13 +0000 2020,RT @nadeemNBT: किसी के ज़ख़्म पर चाहत से पट्टी कौन बाँधेगा, अगर बहनें नहीं होंगी तो राखी कौन बाँधेगा!! (मुनव्वर राना) https://t.co/OHs2EWyn…
1259815843073978400,Mon May 11 12:01:17 +0000 2020,@aniruddh_dave Ops @aniruddh_dave  big fan  ❤️
1259756681736536000,Mon May 11 08:06:12 +0000 2020,Let’s meet Corona Warrior #ThePPpeMan @ManMundra  ji   Gear up for a conversation that will inspire you to touch th… https://t.co/2VH1khHKyE
1259711223660068900,Mon May 11 05:05:34 +0000 2020,Happiest birthday @ashokepandit  sir   Wishing you happy ,healthy long life   Have an amazing birthday as you r -🎉🎉🤗
1259550438820425700,Sun May 10 18:26:40 +0000 2020,@yoursdharm @sweetnyasa Thanks to prajwal yad  dilane ke Lea 😂😄
1259550304959250400,Sun May 10 18:26:08 +0000 2020,RT @PandaJay: When you try to copy from the person next to you, but don't have the basic IQ or numeracy in the subject 😁  Sadly, more &amp; mor…
1259550183282503700,Sun May 10 18:25:39 +0000 2020,Wishing you a speedy recovery sir   Get well soon https://t.co/jW6NjThzpw
1259550072724832300,Sun May 10 18:25:13 +0000 2020,RT @gbutail: 2020 just doesn’t feel different just because of #COVID__19  but also the weather. It’s mid-May and lower Himalayan are yet to…
1259547373455331300,Sun May 10 18:14:29 +0000 2020,RT @IshitaYadav: Lolllll here’s Sheela Bhatt telling Rajdeep that Surjewala “selected” the journalists who could interview Rahul Gandhi. An…
1259545773428990000,Sun May 10 18:08:08 +0000 2020,RT @BJYM: India has been fighting the battle against Covid-19 far better than many developed countries around the world.  The timely and ap…
1259444167177953300,Sun May 10 11:24:23 +0000 2020,@KarnikPadha 😄😄😄
1259440648261795800,Sun May 10 11:10:24 +0000 2020,जनमदिन की हार्दिक बधाई शुभकामनाए @MahendraBJYM जी   ईश्वर आपको dirgh आयु उत्तम स्वास्थ्य प्रदान करे  Shine on 🙌🏻 🎉
1259432351450271700,Sun May 10 10:37:26 +0000 2020,@PoddarVaishali Happy Mother’s Day wishes to aunty   love and hugs ❤️🤗
1259381540401713200,Sun May 10 07:15:32 +0000 2020,@BustaParul @parvibusta 🤗❤️❤️❤️
1259381522672435200,Sun May 10 07:15:27 +0000 2020,RT @BustaParul: Our last picture with mom , ❤️  Happy heavenly mothersday mom Whereever you are Be happy always  You r always be missed ,😢😢…
1259378401850187800,Sun May 10 07:03:03 +0000 2020,RT @poonam_mahajan: Looking forward to seeing you all live on Instagram with @CharuPragya at @PositivePro2020 ! #MoreThanAMom
1259378369868599300,Sun May 10 07:02:56 +0000 2020,RT @PranjalC23: Come online on Instagram at 6pm today to listen to @poonam_mahajan ji live with @CharuPragya ji as she unwinds the taskmast…
1259376917993549800,Sun May 10 06:57:09 +0000 2020,RT @iprakhardixit: #Himachal: जिला कांगड़ा का एक और व्यक्ति निकला #coronavirus पॉजिटिव। आरपीजी मेडिकल कॉलेज टांडा में #COVID-19 के लिये हुआ…
1259376021490425900,Sun May 10 06:53:36 +0000 2020,Happy Mother’s Day! ❤️  Sending lots of love  hugs and good wishes  to one who is not with us  Always missed ,alway… https://t.co/U71ZXDWBoN
1259375940997533700,Sun May 10 06:53:17 +0000 2020,@TajinderBagga Bagga ji 😂😂
1259356511098171400,Sun May 10 05:36:04 +0000 2020,RT @JPNadda: गृहमंत्री @AmitShah जी के स्वास्थ्य के बारे में अमानवीय टिप्पणी करना अत्यंत निंदनीय है। किसी के स्वास्थ्य के बारे में इस तरह…
1259356505687523300,Sun May 10 05:36:03 +0000 2020,RT @poonam_mahajan: With the Mothership! 😊  #Aai #HappyMothersDay https://t.co/hEinJ9lkZf
1259202509995864000,Sat May 09 19:24:07 +0000 2020,RT @sanghaviharsh: On the evening of Mother’s Day: Corona Positive Pregnant women gives birth to healthy baby at Gotri Hospital Vadodara.…
1259198047868739600,Sat May 09 19:06:24 +0000 2020,RT @pranavmahajan: There is a reason why I, the third generation, decided to wear uniform!  Salute &amp; Respect...
1259173698516340700,Sat May 09 17:29:38 +0000 2020,RT @satyakumar_y: #VandeBharatMission   Air India flight 988 landed in Hyderabad.   Hundreds of Indians returned back from Kuwait.   I welc…
1259167620860764200,Sat May 09 17:05:29 +0000 2020,RT @AdityaTrivedi_: Forget about India, Just use the same words about someone like this, where you are now. You will get the answer.  You a…
1259164857137414100,Sat May 09 16:54:30 +0000 2020,Thanks for joining us hope you enjoyed the session 🤗
1259158073509216300,Sat May 09 16:27:33 +0000 2020,Beautiful Mind:Beautiful You   An amazing webinar With  @DrRichaChopra1 didi   Interacted with women power from var… https://t.co/Nut4VHb64A
1259097438956077000,Sat May 09 12:26:37 +0000 2020,An impressive session with the National Secretary BJP Sh - @tarunchughbjp  ji, over the ongoing Corona Crisis nd th… https://t.co/G6kqvl5qK3
1259088998158327800,Sat May 09 11:53:04 +0000 2020,@neerajdse @PoddarVaishali @sugandhapoddar Happiest birthday jiju -   you r so lucky  -maa Master chief Saasu mile hai  😄👩‍🍳
1259088112459776000,Sat May 09 11:49:33 +0000 2020,RT @PoddarVaishali: It's always a pleasure to hear @tarunchughbjp Ji ur journey frm BJYM ward president to BJP National Secretary gave us t…
