id,created_at,text
1259589024940847000,Sun May 10 21:00:00 +0000 2020,Sometimes mom needs a minute.*  *🍷 #MothersDay #RachelHollisShow https://t.co/6CzWby05DP
1259573925291241500,Sun May 10 20:00:00 +0000 2020,Our safeword is #Dummy. https://t.co/bWX0ii6JSR
1259558826690277400,Sun May 10 19:00:00 +0000 2020,To all the moms out there making it work. #HappyMothersDay https://t.co/NCT0EGMS83
1259543726659076000,Sun May 10 18:00:00 +0000 2020,Me after saving one (1) dollar. #Reno911 https://t.co/liZkbH82lw
1259528864168059000,Sun May 10 17:00:56 +0000 2020,We love how much @kingjames loves his mom. #IPromise #MothersDay https://t.co/BX4qKUYPjE
1259498430113689600,Sun May 10 15:00:00 +0000 2020,Happy #MothersDay to @Pepperthai2 only. #ChrissysCourt https://t.co/uvfcT64cMC
1259490724158025700,Sun May 10 14:29:23 +0000 2020,RT @TSN_Sports: Thoughts on last night's UFC 249? And a Happy Mother's Day from @Kayla_Grey ☺️ @Quibi https://t.co/iBzQFGNQ2A
1259485381608816600,Sun May 10 14:08:09 +0000 2020,Pause whatever you're watching on #Quibi and call mom.
1259271937848721400,Sun May 10 00:00:00 +0000 2020,The person / The personality https://t.co/SKoDoSvJWu
1259265528901877800,Sat May 09 23:34:32 +0000 2020,RT @joejonas: All episodes of #CupOfJoe are available on @Quibi ☕️ Which city or episode was your favorite? https://t.co/zlAlpEbd5N
1259265308633768000,Sat May 09 23:33:40 +0000 2020,.@Adaripp is all of us at an open bar. #Floored https://t.co/sliiqir02b
1259256836093444000,Sat May 09 23:00:00 +0000 2020,The existence of Christoph Waltz implies the existence of Christoph Tango and Christoph Foxtrot.
1259226636882284500,Sat May 09 21:00:00 +0000 2020,Save the turtles, @pattonoswalt. #Reno911 https://t.co/w3LgtXx6Mf
1259211539321548800,Sat May 09 20:00:00 +0000 2020,Getting really good at this whole Home Alone thing. #CupOfJoe https://t.co/zeCpYt2JG4
1259184851468640300,Sat May 09 18:13:57 +0000 2020,RT @thenodshow: Still aren't caught up with #TheNodShow? We got you! Just follow these steps to get access to ALL our episodes on @Quibi! h…
1259184832996872200,Sat May 09 18:13:53 +0000 2020,RT @JoelleUzyel: On a serious note! Mosaicking is MUCH harder than it seemed. Finished late into the night...but we did it!!! #DYI #BehindT…
1259181341855211500,Sat May 09 18:00:01 +0000 2020,When the soudough rises perfectly. #RachelHollisShow https://t.co/kH64jCsbUg
1259173788735778800,Sat May 09 17:30:00 +0000 2020,Barb isn't afraid to brag. Every episode of #Dummy is on #Quibi. https://t.co/FMJNwq2o45
1259147858198114300,Sat May 09 15:46:57 +0000 2020,RT @MissOlympiaJ: #dishmantled on @Quibi is my new fav thing
1259147077147414500,Sat May 09 15:43:51 +0000 2020,RT @thereportnbc: How can a beloved and storied restaurant survive the coronavirus shutdown? @VCastroTV takes us behind-the-scenes at the i…
1259146279709524000,Sat May 09 15:40:41 +0000 2020,RT @TaylorYakowenko: This is REALLY niche and basically exclusively for @hoovesmcgee and @PaperWarewolf 🖤✨but here’s a lil costest for Seba…
1259146265549570000,Sat May 09 15:40:38 +0000 2020,@TaylorYakowenko @hoovesmcgee @PaperWarewolf Officially nominating you for Taxidermist of the Year at Get Stuffed Magazine 👏
1259145276167766000,Sat May 09 15:36:42 +0000 2020,When the opportunity to twerk in a limo provides itself, one must take it. #Reno911 https://t.co/PVmgORJbEE
1259000145372303400,Sat May 09 06:00:00 +0000 2020,You up?
1258936864867745800,Sat May 09 01:48:33 +0000 2020,@AlmostRaymond_ https://t.co/FvOCImXby9
1258936566547964000,Sat May 09 01:47:22 +0000 2020,RT @danedehaan: The shape of pasta!!! https://t.co/SJNfGIXHTP
1258936354429382700,Sat May 09 01:46:31 +0000 2020,Hit me baby, one more time. Watch #Floored, only on #Quibi: https://t.co/GBumk72etP https://t.co/jnv0fSNncM
1258916489270374400,Sat May 09 00:27:35 +0000 2020,Name this #Quibi show:  👨📱🚘👩⛽🐶
1258902380822790100,Fri May 08 23:31:31 +0000 2020,The best use of two dollars we can imagine. See if @joejonas won this round of Chicken Shit Bingo on #CupOfJoe:… https://t.co/3EaD3hJtHS
1258883316729684000,Fri May 08 22:15:46 +0000 2020,Hair getting a little long? Here's a tiktok tutorial from the Reno Sheriff's Department to help you out. https://t.co/lG7QGZ4Hmr
1258878661102469000,Fri May 08 21:57:16 +0000 2020,RT @ofctimallen: Great fun hanging with @thomaslennon Check it out NOW on @quibi Watch #Reno911 https://t.co/Q026jOkmmp
1258872750908858400,Fri May 08 21:33:47 +0000 2020,RT @thomaslennon: There’s an official #Reno911 #TikTok btw. ⁦@Quibi⁩  https://t.co/2aO5yZU3BO
1258871867827421200,Fri May 08 21:30:16 +0000 2020,We're excited to announce that Lt. Dangle is training to join #SpaceForce. #Reno911 https://t.co/ECVLDDDzQW
1258852366985633800,Fri May 08 20:12:47 +0000 2020,RT @NicoleScherzy: Thank you for having me on @Quibi’s #Pop5,  @timkash💖 Download the Quibi app, and search for “Pop5” to find my episode!…
1258852316972793900,Fri May 08 20:12:35 +0000 2020,RT @voxdotcom: Human-created ocean noise — like sounds from cargo ships — makes it harder for whales to hear each other.   But the pandemic…
1258851956820447200,Fri May 08 20:11:09 +0000 2020,Playing @arianagrande's new bop, you? #StuckWithU #Reno911 https://t.co/QJU3UIGyS4
1258841600693805000,Fri May 08 19:30:00 +0000 2020,Their side of the story.   Download #Quibi to watch #Blackballed when it drops on May 18: https://t.co/GBumk72etP https://t.co/rErWMEiL2M
1258810262452387800,Fri May 08 17:25:28 +0000 2020,Murder Hornets: Meet your match 🐝 #NikkiFresh https://t.co/37RsRISi65
