id,created_at,text
1259343771247894500,Sun May 10 04:45:27 +0000 2020,RT @RahulGandhi: The #PmCares fund has received huge contributions from PSUs &amp; major public utilities like the Railways.   It’s important t…
1258678941516066800,Fri May 08 08:43:39 +0000 2020,സംസ്ഥാന, ജില്ലാ ഭരണകൂടങ്ങളുടെ പങ്കാളിത്തത്തോടെയാവണം തീരുമാനങ്ങളെടുക്കേണ്ടത്. കേന്ദ്രീകൃത നയരൂപീകരണത്തിലേക്ക് പോവരു… https://t.co/RtHJKDeqQN
1258678630487437300,Fri May 08 08:42:25 +0000 2020,ന്യായ് മുന്നോട്ടു വച്ച ആശയം അംഗീകരിച്ച് രാജ്യത്തെ 50% വരുന്ന ദരിദ്രകുടുംബങ്ങൾക്ക് പണം നൽകിത്തുടങ്ങണം. അതിന് വലിയ പണ… https://t.co/JEqNtdJKJW
1258678388748726300,Fri May 08 08:41:27 +0000 2020,കുടിയേറ്റ തൊഴിലാളികളുടെ കാര്യത്തിൽ സംസ്ഥാനങ്ങളുമായി ചർച്ച നടത്തുകയും തൊഴിലാളികളോട് സഹാനുഭൂതിയോടെയുള്ള പെരുമാറ്റം കേ… https://t.co/aOAlq8dvNe
1258678043620458500,Fri May 08 08:40:05 +0000 2020,സമ്പദ് വ്യവസ്ഥയിൽ പണലഭ്യതയും ചോദനവും ഉറപ്പാക്കണം. ദരിദ്രരുടെ കയ്യിൽ പണമെത്തിക്കണം. ചെറുകിട സംരoഭകരെയും അവയോട് ബന്ധ… https://t.co/Tz2aXzeVeW
1258635670945296400,Fri May 08 05:51:42 +0000 2020,ശ്രീ രാഹുൽ ഗാന്ധി മാധ്യമങ്ങളെ കാണുന്നു തത്സമയം https://t.co/Ig7lVYgZlj
1258635326311948300,Fri May 08 05:50:20 +0000 2020,RT @RahulGandhi: I am now addressing a video press conference taking LIVE questions on Covid19 and the economic crisis we find ourselves in…
1258617602672226300,Fri May 08 04:39:55 +0000 2020,RT @RahulGandhi: मालगाड़ी से कुचले जाने से मजदूर भाई-बहनों के मारे जाने की ख़बर से स्तब्ध हूं। हमें अपने राष्ट्र निर्माणकर्ताओं के साथ किये…
1258326035277336600,Thu May 07 09:21:20 +0000 2020,RT @RahulGandhi: I’m shocked to hear about the  #VizagGasLeak . I urge our Congress workers &amp; leaders in the area to provide all necessary…
1258089641044881400,Wed May 06 17:41:59 +0000 2020,RT @RahulGandhi: I congratulate our security forces for bringing the terrorist, Riyaz Naikoo, to justice. The killing of innocent people by…
1257720239556419600,Tue May 05 17:14:07 +0000 2020,RT @RahulGandhi: While tackling the virus, think in terms of zones.  While reopening the economy, think in terms of supply chains.   #Reope…
1257617582326083600,Tue May 05 10:26:11 +0000 2020,RT @RahulGandhi: Congratulations to Indian photojournalists Dar Yasin, Mukhtar Khan and Channi Anand for winning a Pulitzer Prize for their…
1257513398364864500,Tue May 05 03:32:12 +0000 2020,A conversation with Nobel Laureate, Abhijit Banerjee on the economic impact of the COVID19 crisis. https://t.co/IiaeQAGFJD
1257509435829702700,Tue May 05 03:16:27 +0000 2020,RT @INCIndia: Tune into our social media channels at 9AM today to watch Shri @RahulGandhi interact with Nobel Laureate Prof. Abhijit Banerj…
1257360007462609000,Mon May 04 17:22:41 +0000 2020,RT @RahulGandhi: Tomorrow at 9 AM, tune in to watch my conversation with Nobel Laureate, Abhijit Banerjee on dealing with the economic fall…
1257154349278441500,Mon May 04 03:45:28 +0000 2020,RT @RahulGandhi: एक तरफ रेलवे दूसरे राज्यों में फँसे मजदूरों से टिकट का भाड़ा वसूल रही है वहीं दूसरी तरफ रेल मंत्रालय पीएम केयर फंड में 151…
1256633970071974000,Sat May 02 17:17:40 +0000 2020,RT @RahulGandhi: The Arogya Setu app, is a sophisticated surveillance system, outsourced to a pvt operator, with no institutional oversight…
1255808750247542800,Thu Apr 30 10:38:32 +0000 2020,RT @INCIndia: We need to find ways of getting both money &amp; food, through public distribution system, to as many people as we can: Dr. Raghu…
1255701513361453000,Thu Apr 30 03:32:25 +0000 2020,RT @RahulGandhi: A conversation with Dr Raghuram Rajan, former RBI Governor, on dealing with the #Covid19 crisis. https://t.co/cdJtJ7ax0T
1255698774019543000,Thu Apr 30 03:21:32 +0000 2020,RT @RahulGandhi: At 9 AM today, you can watch my conversation with Dr Raghuram Rajan, former RBI Governor, on dealing with the #Covid19 cri…
1255518499826516000,Wed Apr 29 15:25:11 +0000 2020,RT @INCIndia: Shri @RahulGandhi will be interacting with Former RBI Governor Dr. Raghuram Rajan on the critical issues related to COVID-19…
1253690430220202000,Fri Apr 24 14:21:05 +0000 2020,സ്നേഹത്തിന്റെയും ത്യാഗത്തിന്റെയും വ്രതശുദ്ധിയുടെയും പുണ്യം നിറഞ്ഞ നോമ്പുകാലം.... ഏവർക്കും ഹൃദയം നിറഞ്ഞ റംസാൻ ആശംസകൾ https://t.co/SFyN2v8RMi
1253334577872990200,Thu Apr 23 14:47:03 +0000 2020,യുഎഇയിലെ പ്രമുഖ വ്യവസായിയും മാനന്തവാടി സ്വദേശിയുമായ ശ്രീ ജോയി അറക്കലിൻ്റെ നിര്യാണത്തിൽ അഗാധമായ ദു:ഖം രേഖപ്പെടുത്തു… https://t.co/t9d6ZHTk85
1253015795140976600,Wed Apr 22 17:40:20 +0000 2020,RT @RahulGandhi: The Indian Youth Congress has stepped up at this time of crisis to help those in need by distributing food, masks and esse…
1253015720431980500,Wed Apr 22 17:40:02 +0000 2020,RT @RahulGandhi: #COVID19 has devastated our micro, small &amp; medium businesses (MSME). The Congress party needs your help. Send us suggestio…
1250733091296927700,Thu Apr 16 10:29:41 +0000 2020,RT @INCIndia: The government should provide 10 kg of wheat/rice, 1 kg dal, 1 kg of sugar to the poor every week, to solve their food proble…
1250732725473931300,Thu Apr 16 10:28:13 +0000 2020,RT @INCIndia: I do not want any credit for anything. I have to protect my country and people. I don't care about taking credit, whoever wan…
1250732352151539700,Thu Apr 16 10:26:44 +0000 2020,സംസ്ഥാനങ്ങളിലെ പ്രവാസികളുടെയും അതിഥി തൊഴിലാളികളുടെയും പ്രശ്നങ്ങൾ പരിഹരിക്കുന്നതിനെക്കുറിച്ചു വ്യക്തമായ പദ്ധതികൾ കേ… https://t.co/NGWkPhQZZM
1250730727655616500,Thu Apr 16 10:20:17 +0000 2020,കർഷകർക്കായി പ്രത്യേകമായ ഉത്തേജന പാക്കേജുകൾ തയ്യാറാക്കി അവരിലേക്ക് എത്തിക്കണം. നിർഭാഗ്യവശാൽ ഈ പ്രതിസന്ധി എല്ലാ മേഖല… https://t.co/EgxNVnmQ7A
