id,created_at,text
1257686220240351200,Tue May 05 14:58:56 +0000 2020,Meet the two astronauts set to make history in a SpaceX capsule https://t.co/sPhkS0sKQr
1257132652768882700,Mon May 04 02:19:15 +0000 2020,RT @jackiewattles: Quick break from the daily space news.  I know a lot of other ppl had these Qs: Amid Covid-19, why were some NASA and mi…
1256323158535098400,Fri May 01 20:42:37 +0000 2020,Back in the saddle chatting w @Astro_Doug about the upcoming historic Demo-2 mission and I brought a few accessorie… https://t.co/cErrfILrHv
1256322021543170000,Fri May 01 20:38:05 +0000 2020,Jam-packed presser day for Demo-2 @NASA counting down the days! https://t.co/PRjDiHryd0
1255906253668266000,Thu Apr 30 17:05:59 +0000 2020,RT @JimBridenstine: Big News! The #Artemis generation is going to the Moon to stay. I’m excited to announce that we have selected 3 U.S. co…
1251179658135007200,Fri Apr 17 16:04:10 +0000 2020,RT @JimBridenstine: BREAKING: On May 27, @NASA will once again launch American astronauts on American rockets from American soil! With our…
1250282223300829200,Wed Apr 15 04:38:05 +0000 2020,Our Pandemic Summer - The Atlantic https://t.co/ZHpHR3fNFf
1249821198487175200,Mon Apr 13 22:06:08 +0000 2020,The brightest supernova ever seen was just discovered - CNN https://t.co/B8iSRBMnWk
1249474167109369900,Sun Apr 12 23:07:10 +0000 2020,New Enzyme Breaks Down Plastic In Hours And Enables High-Quality Recycling https://t.co/AkIKUYCbh6
1235636860334063600,Thu Mar 05 18:42:39 +0000 2020,@DanLinden Mine is getting tonssssss of milage. Whether it's germ zapping or friendship you are after, this baby got you covered.
1235635287281340400,Thu Mar 05 18:36:24 +0000 2020,Suddenly I have become the most popular person in the office because I have a @PhoneSoap at my desk.
1231236951489106000,Sat Feb 22 15:18:59 +0000 2020,My latest piece on a potential game changing technology in the voting space: ⁦@Microsoft⁩ hopes this technology can… https://t.co/SWR9c6sVSd
1230879824081772500,Fri Feb 21 15:39:53 +0000 2020,I am here to admit that spend at least 15 mins a day on @zillow ...it's my guilty pleasure. Feels good to come clea… https://t.co/A7fgCxsBot
1208029367441535000,Fri Dec 20 14:20:19 +0000 2019,RT @BoeingSpace: Starliner has an off-nominal insertion, but we have spacecraft control. The guidance and control team is assessing their n…
1207995982417473500,Fri Dec 20 12:07:40 +0000 2019,RT @jackiewattles: Cheers in launch control as separation is confirmed: Starliner spacecraft has separated from the Atlas 5 rocket and is h…
1207738712790110200,Thu Dec 19 19:05:22 +0000 2019,@TheAtlantic This was really phenomenal work
1207735731638149000,Thu Dec 19 18:53:31 +0000 2019,I don't say this lightly...this article is truly a must read: Mining companies and scientists are racing to explore… https://t.co/lK2w6zwsOj
1205545585190867000,Fri Dec 13 17:50:40 +0000 2019,She sued Tinder, founded Bumble and now, at 30, is the CEO of a $3B dating empire (and also just became a new mommy… https://t.co/0tqBHIXFpZ
1205175664833372200,Thu Dec 12 17:20:44 +0000 2019,RT @jackiewattles: try to not watch this clip a dozen times https://t.co/ANrYQQR6yB
1204188115985932300,Mon Dec 09 23:56:34 +0000 2019,RT @jackiewattles: Here's the story on @RachCrane's interview with @JimBridenstine about the cost per launch of SLS: https://t.co/LQcGucMSsa
1204118124964057000,Mon Dec 09 19:18:27 +0000 2019,@SpaceAdvisor @JimBridenstine Thank you!!
1204112106775306200,Mon Dec 09 18:54:32 +0000 2019,Cost per launch of SLS, a cadre of female astronauts for Artemis and more on our return to the moon from my quick m… https://t.co/tLNFN38XFN
1204107636960043000,Mon Dec 09 18:36:46 +0000 2019,RT @CNNBusiness: NASA just completed the core stage of the SLS rocket. CNN Business' @RachCrane talks to NASA's Jim Bridenstine about the r…
1204047290333356000,Mon Dec 09 14:36:58 +0000 2019,Spoke with @JimBridenstine this morning about the completion of core stage of SLS. When I asked him about per launc… https://t.co/qBgt63Dq95
1202635744629706800,Thu Dec 05 17:08:00 +0000 2019,Fabulous morning speaking w the jamon king @chefjoseandres about his passion, his activism, and how tapas is a way… https://t.co/GKRxnTrfYn
1199747813917315000,Wed Nov 27 17:52:23 +0000 2019,New anchorman in town @CNN https://t.co/sYdiKnDxZA
1197250424824369200,Wed Nov 20 20:28:39 +0000 2019,White Claw projects $1.5 billion in sales this year - CNN https://t.co/DgqMMMw7wu
1195377901740404700,Fri Nov 15 16:27:55 +0000 2019,Also if you are interested in crypto @claresduffy story on @davidmarcus and Libra which is paired with our video is… https://t.co/0aEgO2rnZy
1195376498628333600,Fri Nov 15 16:22:20 +0000 2019,This company is using the root structure of mushrooms to reduce plastic waste: https://t.co/sDGNNNVy0I
1195375947840667600,Fri Nov 15 16:20:09 +0000 2019,RT @claresduffy: A few weeks ago, we met up with @davidmarcus to hear more about his vision for @Libra_. Despite political backlash over th…
1195375450509447200,Fri Nov 15 16:18:11 +0000 2019,This company turns emissions into fuel: https://t.co/kwXgSF3spk
