id,created_at,text
1259299715746656300,Sun May 10 01:50:23 +0000 2020,@davidkwong @alinebmckenna she says it's her butthole
1259286622996177000,Sun May 10 00:58:21 +0000 2020,@alinebmckenna @davidkwong she's avail
1257820379462004700,Tue May 05 23:52:02 +0000 2020,@BonnieBellG @CW_CrazyXGF @alinebmckenna @DLChamplin @gabrielleruiz @vellalovell YOU’RE WELCOME
1257817695858221000,Tue May 05 23:41:22 +0000 2020,@BonnieBellG @CW_CrazyXGF @alinebmckenna @DLChamplin @gabrielleruiz @vellalovell My name not rhyming with anything… https://t.co/5wLFkha0Mt
1257815585422848000,Tue May 05 23:32:59 +0000 2020,@gregorcorp @JoshuaWeiner8 @ZinmanMatthew *sp
1257812470003097600,Tue May 05 23:20:36 +0000 2020,@gregorcorp @ZinmanMatthew Meryl Streep Part 2: Devil Wears Prada (06), Doubt (08), Fantastic Mr. Fox (09) and Adap… https://t.co/WUw3RrcsJ7
1257810508377321500,Tue May 05 23:12:48 +0000 2020,@gregorcorp @ZinmanMatthew Meryl Streep Part 1: Manhattan (79), Sophie's Choice (82), Out of Africa (85) and SHE DE… https://t.co/l3iQOc1RJK
1257416815216595000,Mon May 04 21:08:25 +0000 2020,@JoshuaWeiner8 @gregorcorp NOW you're talking
1257036581665255400,Sun May 03 19:57:30 +0000 2020,RT @jimenacookiemon: Check out our cover in Spanish of "Let´s generalize about men" of #crazyexgirlfriend  @Racheldoesstuff @DLChamplin @ga…
1257036431727325200,Sun May 03 19:56:54 +0000 2020,@realyme323 I think it's great
1256341848886395000,Fri May 01 21:56:53 +0000 2020,@RaulEEsparza You were such a champ!
1255883407403282400,Thu Apr 30 15:35:12 +0000 2020,@BenjaminJS @gregorcorp and I were also super bummed
1255680474871025700,Thu Apr 30 02:08:49 +0000 2020,Hey @MGM_Studios I haven't heard from Netflix so ball's in your court now. You were honesty my first choice anyway… https://t.co/U1QTFEWF3v
1255629021179596800,Wed Apr 29 22:44:21 +0000 2020,Hey @netflix LMK if you wanna make this. Will only negotiate my deal over Twitter. You have until EOD to reply befo… https://t.co/C5oIj3SDnL
1255343991840739300,Wed Apr 29 03:51:45 +0000 2020,RT @DLChamplin: Hey #crazyexgirlfriend fans- I’m donating a #gurlgroup4evah t-shirt that I wore on the show. Signed by me, @Racheldoesstuff…
1255227672541769700,Tue Apr 28 20:09:32 +0000 2020,Want to help the medical workers of LA? https://t.co/Ib8ZQ7jEPM
1255223200960692200,Tue Apr 28 19:51:46 +0000 2020,@jaidaehall @nicolebyer @manoagapion @dragherpodcast The moment you said to him "She's talking about a T-Rex, sweet… https://t.co/emeik2s7V4
1254873984555823000,Mon Apr 27 20:44:07 +0000 2020,@MuggleNet Let's do this, @espn
1254872781197467600,Mon Apr 27 20:39:20 +0000 2020,RT @gregorcorp: @DannyJolles @jennyjaffe @Racheldoesstuff Magic To Do is the villain song for Magic Johnson and the Lakers as they threaten…
1254872764772577300,Mon Apr 27 20:39:16 +0000 2020,RT @DannyJolles: @jennyjaffe @gregorcorp @Racheldoesstuff OH IS IT!!!  Rodman belongs where he can ramble Jordan belongs where he can fly I…
1254872710984765400,Mon Apr 27 20:39:03 +0000 2020,RT @gregorcorp: tonight seems to be the night to bring musical twitter and nba twitter together with the fact that @Racheldoesstuff and i h…
1254648885449875500,Mon Apr 27 05:49:39 +0000 2020,@elizaskinner I can't take the basketball show away from him
