id,created_at,text
1259496809610858500,Sun May 10 14:53:34 +0000 2020,RT @MaryVought: Something to think about this #MothersDay 👇🏻  Jesus chose to enter earth via a mother. As God of the universe he could have…
1258406724727431200,Thu May 07 14:41:57 +0000 2020,Proud to be a Texan. https://t.co/zigI61ZU0R
1258115822322700300,Wed May 06 19:26:01 +0000 2020,RT @Cam_Cawthorne: On September 24, 2018 Kavanaugh denied the allegations on Fox News.  This is what Titus tweeted two days later on Septem…
1258010753572974600,Wed May 06 12:28:31 +0000 2020,RT @DonaldJTrumpJr: Really sad and touching at the same time. Good for her for standing up to the nonsense.  P.S. If she doesn’t find someo…
1257810948116680700,Tue May 05 23:14:33 +0000 2020,RT @theyearofelan: Maybe being tired IS my personality
1257675273929142300,Tue May 05 14:15:26 +0000 2020,Tells husband to buy Mother’s Day cards for his mother, my mother, step mother and of course, me.   *buys 4 like I… https://t.co/GB1QY15G7z
1257130086505070600,Mon May 04 02:09:03 +0000 2020,RT @SkylarAstin: This is what it’s about, ladies and gentlemen. This is what it’s always been about. #ZoeysPlaylist https://t.co/KN2Utyy9wK
1257129959656763400,Mon May 04 02:08:33 +0000 2020,@ZoeysPlaylist 😭❤️
1257129739497754600,Mon May 04 02:07:40 +0000 2020,RT @pastorjgkell: "I'll see you down the road" - MJ to Kobe  Life is fleeting. Lord, help us see each moment as precious.   #LastDance 😰 ht…
1256706807025852400,Sat May 02 22:07:05 +0000 2020,RT @baseballcrank: Republicans picked Dennis Hastert as Speaker of the House almost entirely because he was the guy they thought was least…
1256232987521417200,Fri May 01 14:44:18 +0000 2020,RT @PounderFile: Wow ... @JoeBiden states plainly that he won't allow the Biden papers opened up because he doesn't want them scrutinized d…
1255918992470016000,Thu Apr 30 17:56:36 +0000 2020,RT @pastorjgkell: Charles Wesley describing his conversion in 1738...  “Long my imprisoned spirit lay, fast bound in sin and nature's night…
1255903033923428400,Thu Apr 30 16:53:11 +0000 2020,RT @DonaldJTrumpJr: Heyyyo — shorter Pelosi: believe all women except when it’s politically inconvenient to do so!
1255902892697030700,Thu Apr 30 16:52:37 +0000 2020,RT @BrentScher: “Based on available evidence, we can at least be nearly certain Tara Reade's story about Joe Biden has been consistent sinc…
1255902519030689800,Thu Apr 30 16:51:08 +0000 2020,RT @DavidRutz: Pelosi snapped "I don't need a lecture" at reporter today when asked about Democrats's prior standard for believing Kavanaug…
1255827781881155600,Thu Apr 30 11:54:10 +0000 2020,RT @CBS_Herridge: #FLYNN docs just unsealed, including handwritten notes 1/24/2017 day of Flynn FBI interview.  Transcript: “What is our go…
1255827390879666200,Thu Apr 30 11:52:36 +0000 2020,RT @rosemcgowan: I’m really sad, and I’m really tired. I normally share thoughts, but tonight it’s emotion. https://t.co/mhtaoW6dTd
1255575142232711200,Wed Apr 29 19:10:16 +0000 2020,RT @BrentScher: Imagine there are now hundreds of concerned Americans upset that instead of being used to help people, the masks they sent…
1255575067599278000,Wed Apr 29 19:09:58 +0000 2020,RT @BrentScher: Imagine a lot of news outlets will learn now what the @FreeBeacon learned earlier this year.   The state of Delaware exclud…
1255479992877793300,Wed Apr 29 12:52:10 +0000 2020,RT @alanagoodman: EXCLUSIVE: Arizona homicide police are investigating death of man whose wife served him fish tank cleaner to allegedly wa…
1255479978571042800,Wed Apr 29 12:52:07 +0000 2020,RT @DavidRutz: NBC got the retweets. @alanagoodman got the story. https://t.co/FTvR3cd7w5
1255306317822136300,Wed Apr 29 01:22:03 +0000 2020,RT @LizRNC: This is awesome  https://t.co/KgrPlMgCHy
1255122701326450700,Tue Apr 28 13:12:25 +0000 2020,RT @guypbenson: We have one of the best survival rates of all the major countries hammered by this disease. Does he get credit for that? Or…
1255122410401136600,Tue Apr 28 13:11:16 +0000 2020,RT @redsteeze: Approximately 24 million people died during the eight years Joe Biden served as Vice President. Do we really want to risk an…
1255122194830692400,Tue Apr 28 13:10:24 +0000 2020,RT @pastorjgkell: If you look to circumstances in your life to determine if God loves you, you will continually wonder.  But if you look to…
1254148283955589000,Sat Apr 25 20:40:26 +0000 2020,RT @thelaurengraham: 😂
1253823022085046300,Fri Apr 24 23:07:58 +0000 2020,RT @elianayjohnson: Before asking for $5 million taxpayer bailout that put them in the top 1 percent of recipients, did @axios ask investor…
1253485357947109400,Fri Apr 24 00:46:12 +0000 2020,RT @jason_howerton: Wait for it..... #savage   https://t.co/oZE7lrEcUE
1253409264632082400,Thu Apr 23 19:43:50 +0000 2020,RT @jason_howerton: Nancy Pelosi WIPES HER NOSE with her finger and then touches the podium that all lawmakers are sharing today.  No mask…
1252999132614135800,Wed Apr 22 16:34:07 +0000 2020,RT @realDonaldTrump: I have instructed the United States Navy to shoot down and destroy any and all Iranian gunboats if they harass our shi…
1252674301146390500,Tue Apr 21 19:03:21 +0000 2020,@DavidRutz @TheView Brings back memories!
1252594063188131800,Tue Apr 21 13:44:31 +0000 2020,RT @MattWalshBlog: This is one of the most devastating political ads I’ve ever seen    https://t.co/zSu1Mvtglo
1252593563558391800,Tue Apr 21 13:42:32 +0000 2020,https://t.co/6boSjyqhfJ https://t.co/XkdPoS5pPx
1252369311240294400,Mon Apr 20 22:51:26 +0000 2020,RT @seanmdav: Looks like you deleted that tweet of yours cheering the destruction of America's energy industry and the hundreds of thousand…
1252368584887566300,Mon Apr 20 22:48:33 +0000 2020,RT @BrentScher: It’s almost like we had them in prison for a reason!  https://t.co/jxTnUf0pX7
1252266687317127200,Mon Apr 20 16:03:38 +0000 2020,RT @pastorjgkell: "Though you kill us, we will not forsake Jesus." - Kama and Bima Sodi  A mob of 60 Hindu radicals attacked their home in…
1251534854287700000,Sat Apr 18 15:35:36 +0000 2020,RT @tedcruz: Uh....
1250871891360985000,Thu Apr 16 19:41:13 +0000 2020,RT @elonmusk: @CNN @GavinNewsom https://t.co/yymcNgZNv8
1250871824226926600,Thu Apr 16 19:40:57 +0000 2020,RT @elonmusk: @CNN @GavinNewsom https://t.co/VqcEAPseCm
1250871560409428000,Thu Apr 16 19:39:54 +0000 2020,RT @elonmusk: @CNN What I find most surprising is that CNN still exists
1250589368999391200,Thu Apr 16 00:58:35 +0000 2020,RT @tedcruz: So Bill Gates is unhappy that USA halted our funding for the WHO, after they parroted CCP propaganda &amp; aided China’s Wuhan cov…
1249475433470591000,Sun Apr 12 23:12:12 +0000 2020,RT @pastorjgkell: Humble brag from the apostle.   HT: @adamramsey_ https://t.co/aRiRusKkPE
1249321759062593500,Sun Apr 12 13:01:33 +0000 2020,RT @pastorjgkell: "Why do you seek the living among the dead? He is not here, but has risen." Luke 24:5-6 https://t.co/7LILccBNB9
1248615207481380900,Fri Apr 10 14:13:58 +0000 2020,RT @pastorjgkell: The timeline of the day Jesus was crucified.  #GoodFriday https://t.co/BFCkLpVbmt
1247913009948905500,Wed Apr 08 15:43:41 +0000 2020,RT @TheBabylonBee: Bernie Sanders Drops Out Of Race To Spend More Time With His Many, Many Houses https://t.co/ZLg0ycBHXW
1247869355116900400,Wed Apr 08 12:50:13 +0000 2020,I received word Col. Edward "Ned" Burr, U.S. Army (Ret.) passed away last week. He was an incredible man and full o… https://t.co/QHfeKeJdJK
1247271380686602200,Mon Apr 06 21:14:04 +0000 2020,RT @FrancisBrennan: “A Democratic state representative from Detroit is crediting hydroxychloroquine — and Republican President Donald Trump…
1246830353433735200,Sun Apr 05 16:01:35 +0000 2020,“And do this, understanding the present time. The hour has come for you to wake up from your slumber, because our s… https://t.co/S9tcwSSvJm
1246823892716597200,Sun Apr 05 15:35:55 +0000 2020,RT @pastorjgkell: If you're looking for a day-by-day account of the week leading up to the resurrection with suggested readings, I commend…
1246823744418570200,Sun Apr 05 15:35:20 +0000 2020,“Lord, you have been our dwelling place throughout all generations.   Before the mountains were born or you brought… https://t.co/G6fidR11Uh
1246822105867583500,Sun Apr 05 15:28:49 +0000 2020,Jesus found a young donkey and sat upon it, as it is written,  “Do not be afraid, O Daughter of Zion; see, your kin… https://t.co/zyPfZposkT
1246822105141870600,Sun Apr 05 15:28:49 +0000 2020,They took palm branches and went out to meet him, shouting, “Hosanna!”   “Blessed is he who comes in the name of th… https://t.co/DxUlezGRbq
1246412544048316400,Sat Apr 04 12:21:22 +0000 2020,RT @ComfortablySmug: INBOX: "From JANUARY"  Tucker: "Why am I watching impeachment coverage all day?"  Tom Cotton: "I suspect that months f…
1245872636527284200,Fri Apr 03 00:35:58 +0000 2020,RT @DavidRutz: MSNBC reporting re: @BrianKempGA's remarks about not knowing until this week that asymptomatic people can spread coronavirus…
1245494450002026500,Wed Apr 01 23:33:11 +0000 2020,It’s definitely not the answer Jake Tapper wanted... https://t.co/gm0kUhiWLr
1245494154601382000,Wed Apr 01 23:32:01 +0000 2020,RT @eriContrarian: You can see the disappointment on Tapper's face.
1244811771111760000,Tue Mar 31 02:20:28 +0000 2020,RT @seanmdav: Media: WHY WON'T TRUMP GIVE MASKS AND VENTILATORS TO DOCTORS AND NURSES!? Trump: This company is now making masks and ventila…
1244811027059007500,Tue Mar 31 02:17:30 +0000 2020,RT @tedcruz: Protect public safety, yes, but government does not have the constitutional authority to PERMANENTLY close churches and synago…
1244695328139419600,Mon Mar 30 18:37:46 +0000 2020,@Cam_Cawthorne @FreeBeacon Congratulations!! Very happy for you!
1244443215882829800,Mon Mar 30 01:55:57 +0000 2020,RT @tedcruz: It’s even worse. We KNOW China is lying. On 3/1, China had 80,026 reported cases. On 3/28, it had 81,439. Does anyone believe…
1244442197627412500,Mon Mar 30 01:51:55 +0000 2020,https://t.co/pirhFx3ORV
1243922426808787000,Sat Mar 28 15:26:32 +0000 2020,RT @SonnyBunch: gee i wonder why the WHO is untrustworthy when it comes to china
1243919956762398700,Sat Mar 28 15:16:43 +0000 2020,RT @pastorjgkell: In good news...  Al is a 95-year-old WWII veteran who last year didn't even want to hear the name of God b/c of the horri…
1242954023940100000,Wed Mar 25 23:18:26 +0000 2020,RT @TheBabylonBee: Pelosi Delays Stimulus Package Until Her New Souvenir Pens Come In https://t.co/bXnPF3qv4v
1242638812402069500,Wed Mar 25 02:25:54 +0000 2020,*eating chocolate cake by myself... https://t.co/eJSnyHAGO7
1242479335736512500,Tue Mar 24 15:52:12 +0000 2020,RT @SenTomCotton: May God rest his soul. Our nation is taking precautions today to minimize wrenching life-and-death decisions like Father…
1242375523659133000,Tue Mar 24 08:59:41 +0000 2020,RT @bdomenech: $35 Mil for the Kennedy Center is essential for battling the Coronavirus, says Nancy Pelosi
1242206618475016200,Mon Mar 23 21:48:31 +0000 2020,RT @ncwhm: Hello, my name is Tim and I am the head of security for The Cowboy. I have been asked to take on the additional duty of social m…
1242206612259029000,Mon Mar 23 21:48:30 +0000 2020,RT @ncwhm: This is the hat and eyepatch the Duke wore in the movie True Grit. They are part of our Exhibition about the 2 True Grit. Lots o…
1241893617146433500,Mon Mar 23 01:04:46 +0000 2020,RT @sean_southard: I’ve listened to and watched Mitch McConnell a lot over the last 10 years, dating back to my time as his Senate Page.  I…
1241893617146396700,Mon Mar 23 01:04:46 +0000 2020,RT @ChadPergram: From colleague Sally Persons. "We were doing a good job of coming together until this morning when the speaker showed up.…
1241856444607193000,Sun Mar 22 22:37:03 +0000 2020,RT @ChadPergram: On motion to proceed to coronavirus bill: GOPers voting yea. Dems voting no. This vote will likely block consideration of…
1241851098568196000,Sun Mar 22 22:15:49 +0000 2020,RT @WallWallme: Doing some Sunday cleaning and stumbled across this racist @washingtonpost⁩ headline from Jan. 27. #ChineseVirus https://t.…
1241747333437677600,Sun Mar 22 15:23:29 +0000 2020,💯 https://t.co/7jliufejeq
1241386944032055300,Sat Mar 21 15:31:25 +0000 2020,RT @jason_howerton: You want to give the guy you claim is Hitler the ability to shut down and take total control of the country???  You peo…
1239530597955121200,Mon Mar 16 12:34:58 +0000 2020,RT @BrentScher: David Axelrod has praised Biden for speaking with "clarity" about the coronavirus.   He first called the swine flu the coro…
1239278213790081000,Sun Mar 15 19:52:05 +0000 2020,A great sermon this morning! This was planned months ago on this date, as always God’s timing is always perfect. https://t.co/FIRDDkHVO3
1239209570288963600,Sun Mar 15 15:19:19 +0000 2020,“To this I hold, my hope is only Jesus All the glory evermore to Him When the race is complete, still my lips shall… https://t.co/yig0rRasxq
1238956086155268000,Sat Mar 14 22:32:04 +0000 2020,https://t.co/cKouw5io3n https://t.co/C1sn5H7TLs
1238877043678478300,Sat Mar 14 17:17:59 +0000 2020,RT @DavidRutz: Really appreciate what Ben Carson said about living out the values of personal faith during this emergency. Loving your neig…
1238874070302838800,Sat Mar 14 17:06:10 +0000 2020,RT @RBPundit: “Why hasn’t Trump been tested??? OMG.”  *Trump gets tested*  “Why are they testing Trump? He’s not showing symptoms! That tes…
1238608379167346700,Fri Mar 13 23:30:24 +0000 2020,RT @exjon: Now: "I can't believe Trump hasn't been tested!" Tomorrow: "Why did HE get a test when other people can't?!" The coverage is all…
1237471260315193300,Tue Mar 10 20:11:54 +0000 2020,RT @Julio_Rosas11: The DOD has identified the two Marine Raiders who were killed in Iraq this week as Gunnery Sgt. Diego Pongo, 34, and Cap…
1237460735556571100,Tue Mar 10 19:30:04 +0000 2020,RT @MattWolking: The workers at the Detroit auto plant that Joe Biden visited today made sure everyone knows they are supporting Donald Tru…
1236828451912462300,Mon Mar 09 01:37:36 +0000 2020,RT @bhweingarten: A Democrat has represented this district since 1949
1236828170134978600,Mon Mar 09 01:36:29 +0000 2020,RT @pastorjgkell: An elderly sister from our church who deeply loved Jesus was on her deathbed and was asked by a visiting member, “How are…
1236827691317330000,Mon Mar 09 01:34:35 +0000 2020,RT @pastorjgkell: Mormon "Gospel"  "we know that it is by grace that we are saved, after all we can do." 2 Nephi 25:23  Christian Gospel  "…
1235709044964417500,Thu Mar 05 23:29:29 +0000 2020,RT @RealMattLucas: good morning https://t.co/rHfeavIKro
1235556262672244700,Thu Mar 05 13:22:23 +0000 2020,RT @DonaldJTrumpJr: Could someone explain to me why this wasn’t a 9-0 decision?   Why on earth would you not be allowed to prosecute people…
1235396277216702500,Thu Mar 05 02:46:39 +0000 2020,RT @AlisonHowardC: Had a rally. Didn’t threaten anyone. ☝🏻 https://t.co/id7haIuUa0
1235390285732962300,Thu Mar 05 02:22:51 +0000 2020,They both love Cuba... https://t.co/8VfhBNP1lg
1235336036508721200,Wed Mar 04 22:47:17 +0000 2020,RT @GregStohr: NEW: Chief Justice Roberts chastises Schumer for "threatening" statements about Kavanaugh, Gorsuch. https://t.co/jQWHJTfpks
1235223010656891000,Wed Mar 04 15:18:09 +0000 2020,The meat eaters of America have spoken... https://t.co/N0e5CLxc7U
1235196450100990000,Wed Mar 04 13:32:37 +0000 2020,I’m having horrible flashbacks. 😫  https://t.co/ibivVXnECa
1235193853071831000,Wed Mar 04 13:22:18 +0000 2020,RT @ClayTravis: Soccer coach is asked about coronavirus, gives fantastic response. https://t.co/nIgS8OmZcm
1233530939134922800,Fri Feb 28 23:14:28 +0000 2020,@nataliejohnsonn Ummm, Adaline needs a puppy now! ❤️
1233447243795046400,Fri Feb 28 17:41:53 +0000 2020,RT @RexChapman: When the prayer is taking too long... https://t.co/trgrKPZls1
1232843282788561000,Thu Feb 27 01:41:58 +0000 2020,RT @AlexMarlow: A reminder of Harvey Weinstein’s visits to the Obama White House, 9 of which were with Obama himself: https://t.co/bAkvDBUm…
1232674967298478000,Wed Feb 26 14:33:08 +0000 2020,RT @adamelmahrek: BREAKING: More than 200 Cherokees and other Native Americans have signed a letter urging Sen. Elizabeth Warren to fully a…
1232674723152244700,Wed Feb 26 14:32:10 +0000 2020,RT @BrentScher: Great first byline for @alanagoodman’s return to @FreeBeacon
1232448173194395600,Tue Feb 25 23:31:56 +0000 2020,RT @DavidRutz: Devastating piece   "When she’s asked to write a glowing essay on Fidel Castro, she writes biography, complete, thorough, bu…
1232306722729054200,Tue Feb 25 14:09:52 +0000 2020,RT @MeghanMcCain: What a horrible and deeply depressing indictment of our education system...
1232306065540296700,Tue Feb 25 14:07:15 +0000 2020,RT @tsmcdiez: If you all think Cuba is great - move there. My family gave up everything to come to the US, where they taught the next gener…
1232306047865495600,Tue Feb 25 14:07:11 +0000 2020,RT @tsmcdiez: I'm so relieved that when Castro's soldiers ripped my 3yo aunt's earrings out of her ears so 2 flaps remained &amp; when my gma r…
1232281680892788700,Tue Feb 25 12:30:22 +0000 2020,RT @guypbenson: I think this is right. Of course, they don’t have first-hand memories of WWII either, yet Nazism has rightfully maintained…
1232278577309274000,Tue Feb 25 12:18:02 +0000 2020,RT @rafsanchez: Iraj Harirchi, Iran's deputy health minister, went on TV yesterday (left) to insist the Iranian government was getting the…
1232278437483683800,Tue Feb 25 12:17:28 +0000 2020,RT @DavidRutz: In Cold War travels, Bernie Sanders found much to admire behind enemy lines. Now that’s a problem for his campaign. https://…
1232275625731412000,Tue Feb 25 12:06:18 +0000 2020,RT @LizRNC: Moments after AGAIN defending a murderous communist thug Bernie says the President of the U.S. "sickens" him  I've never heard…
