id,created_at,text
1260261854368034800,Tue May 12 17:33:35 +0000 2020,RT @rohanduaTOI: Lockdown Diaries: Hackneyed Khan Market gang?  Didnt find any even as I went to meet a few good white collared men in the…
1260257883280732200,Tue May 12 17:17:48 +0000 2020,@SujataSingh_SA 😊🙏
1260249601556217900,Tue May 12 16:44:53 +0000 2020,RT @ckolvekar: @ManMundra Many thanks to Mr.Manish Mundra for giving100 PPE kits to Satyagraha Hospital Bardoli, Gujarat. Thanks to Ms. Bho…
1260248878798065700,Tue May 12 16:42:01 +0000 2020,RT @blsanthosh: Global wellness , progress , peace are the ultimate goal of our self reliance ... @narendramodi
1260246568298561500,Tue May 12 16:32:50 +0000 2020,RT @iamashu123: I have filed an online complaint against @nagma_morarji with the @MumbaiPolice  in the time of such an epidemic to spread t…
1260245770093068300,Tue May 12 16:29:40 +0000 2020,@ram_lalla1 @amritabhinder @KapilMishra_IND @narendramodi @pradip103 @Sanju_Verma_ @Sunil_Deodhar @SureshNakhua… https://t.co/O06ugEMKdB
1260245770051170300,Tue May 12 16:29:40 +0000 2020,Pls help this mother in whatever way you can  So she can live a decent life ..  news clip attached for your info ..… https://t.co/fhtlGsITN6
1260241744458702800,Tue May 12 16:13:40 +0000 2020,Pls help this mother in whatever way you can  So she can live a decent life ..  news clip attached for your info ..… https://t.co/3jAT61eX7a
1260239088092958700,Tue May 12 16:03:07 +0000 2020,RT @ThePoojaSingh1: देश के आत्मनिर्भर बनने के कितने नुकसान हैं ये हमे वरिष्ठ पत्रकार रविश कुमार प्राइम टाइम में बताएंगे.   #PMModi #Aatmani…
1260239053221515300,Tue May 12 16:02:59 +0000 2020,The Old Lady in the picture is mother of Shaheed Constable Kavi Chand of Border Security Force who got martyred in… https://t.co/jFlLNLbPCn
1260229850327134200,Tue May 12 15:26:24 +0000 2020,RT @MODIfiedVikas: We need some Jain to file the complain against him.  If you are a Jain and want to file complain against him, DM us your…
1260226731341987800,Tue May 12 15:14:01 +0000 2020,Dear @Navimumpolice please look into it  Thank you 🙏 CC @CMOMaharashtra @MantralayaRoom https://t.co/sIBtuFcriw
1260225573701419000,Tue May 12 15:09:25 +0000 2020,Dear @MumbaiPolice please look into it  Thank you 🙏 CC @CMOMaharashtra @MantralayaRoom https://t.co/d82ng1OceS
1260223400598999000,Tue May 12 15:00:47 +0000 2020,20 lakh crore package 10% of GDP  Respect @narendramodi ji 🙏 #AatmanirbharBharat
1260222828491821000,Tue May 12 14:58:30 +0000 2020,RT @drmonika_langeh: It's huge Hon'ble PM @narendramodi ji announced economic package of almost 10% of India's GDP as a Covid release packa…
1260220570571964400,Tue May 12 14:49:32 +0000 2020,@INDcybertroops 😊🙏
1260218768434724900,Tue May 12 14:42:22 +0000 2020,@chiragbhaiya @ManMundra Lol sabke genie hai 🧞‍♂️
1260218272168853500,Tue May 12 14:40:24 +0000 2020,RT @priyankac19: I am running out of words to say thanks to you for all that you are doing. Grateful @ManMundra 🙏🏼🙏🏼#AttitudeofGratitude
1260217395903262700,Tue May 12 14:36:55 +0000 2020,Not all heros wear capes, but a lot of them wears scrubs  Happy Nurse's day. Let's show our love to all nurses who… https://t.co/5yWZTNzBNp
1260217382879891500,Tue May 12 14:36:52 +0000 2020,RT @INDcybertroops: F.I.R. done against This Meme Creator.  Reason: hurt sentiments (2nd image) ICT's action: account is under suspension…
1260212277342429200,Tue May 12 14:16:35 +0000 2020,RT @KapilMishra_IND: Who is this Sameer Khan?   He is making very violent &amp; derogatory comments against Jain Community  He is followed by s…
1260211975524544500,Tue May 12 14:15:23 +0000 2020,Friends and family in or around Badlapur please Help Family stuck without food and ration Kindly HELP 🙏 CC… https://t.co/hNz2dS3CbQ
1260211518961934300,Tue May 12 14:13:34 +0000 2020,Thank you so much @shishir_heg and @sumitpatil8383 🙏 https://t.co/N8xGjsI0PQ
1260210098556682200,Tue May 12 14:07:55 +0000 2020,RT @adv_chandnishah: @sanjukta I demand an immediate apology for spreading lies and defaming me - a member of the legal fraternity or I wil…
1260206698335105000,Tue May 12 13:54:25 +0000 2020,54 people were stuck without food and ration in a very remote place Ambadi near Wada Kind hearted @tollplazaindia c… https://t.co/KL4d6IuwfN
1260206667536298000,Tue May 12 13:54:17 +0000 2020,@priyaaarajput 🙏
1260204237583077400,Tue May 12 13:44:38 +0000 2020,RT @AnupamkPandey: Incredible Team NDRF at Hyderabad 🇮🇳 https://t.co/vAnW6Re9bY
1260201947262521300,Tue May 12 13:35:32 +0000 2020,Friends and family in or around Mira Bhayandar please help Family stuck without food and ration Kindly HELP 🙏 CC… https://t.co/m7e4GliOCO
1260200219133837300,Tue May 12 13:28:40 +0000 2020,RT @avnishmishra8: Its going to be worse if lockdown extends. People are tired &amp; loosing hopes, mee too! Gods give more power &amp; strength to…
1260199988769980400,Tue May 12 13:27:45 +0000 2020,RT @MODIfiedVikas: PM Cares fund was made through Trust Act. All it's accounts will be made public as per law! Y would u smell rat in this…
1260193068101361700,Tue May 12 13:00:15 +0000 2020,RT @ThePoojaSingh1: श्रमिकों की समस्याओं के प्रति मुख्यमंत्री श्री @myogiadityanath जी की संवेदना व निरंतर कार्यान्वयन से मात्र 4 दिनों में…
1260190131652366300,Tue May 12 12:48:35 +0000 2020,RT @gauravstvnews: गोपालगंज, बिहार में इस बच्ची के 15 वर्षीय भाई रोहित जायसवाल की मस्जिद में बलि दे दी गयी। पुलिस नें आरोपियों को पकड़ने के…
1260189247111299000,Tue May 12 12:45:04 +0000 2020,RT @MrutyunjayNJ: Who so ever you are, Fake news against India and Hindus with hate will no longer be tolerated.  - Hindu IT Cell  @BikashR…
1260181523904544800,Tue May 12 12:14:22 +0000 2020,RT @binaniyash4: #Telenipara is burning and police is missing like the CM , Can the @AITCofficial government and @MamataOfficial justify th…
1260180154380423200,Tue May 12 12:08:56 +0000 2020,RT @CharuPragya: Thank you Ma’am for your tweet. 🙏🏼 A big thank you to @ManMundra Ji for sending 100 PPE kits to Baghpat DM on my request,…
1260179916773097500,Tue May 12 12:07:59 +0000 2020,RT @DEVenDrapai: Dear @DGPMaharashtra @MumbaiPolice @CyberDost @MahaCyber1 will you please take action on this hate-monger @SamKhan999 who…
1260179869985640400,Tue May 12 12:07:48 +0000 2020,Dear @Uppolice please look into it  This guy Arvind is messaging females and asking for sex Kindly take appropriate… https://t.co/6UXEpFmkoA
1260178650969837600,Tue May 12 12:02:58 +0000 2020,RT @humanaidint: 2,200 people were served cooked food on 11 May 2020. #HAI team tries reaching out to people with special needs, and who ar…
1260173182096380000,Tue May 12 11:41:14 +0000 2020,@SumitPurwar059 ♥️🙏
1260172088402309000,Tue May 12 11:36:53 +0000 2020,RT @varunpuri1984: Had a knowledgeable discussion with Member of Parliament and @BJP4India Vice President Shri @vinay1011 Ji through Video…
1260170650506809300,Tue May 12 11:31:10 +0000 2020,RT @iamashu123: It is being heard that @bainjal has deleted the tweet about Prediction about @narendramodi loss but it is not going to work…
1260168042819944400,Tue May 12 11:20:48 +0000 2020,RT @DeepikaBhardwaj: आपकी photo का उद्देश्य ही armpit hair दिखाना था ना की वो दिख गए। आपकी पूरी TL से पता चलता है की अर्धनग्न फोटो और बकवास…
1260166797627543600,Tue May 12 11:15:51 +0000 2020,RT @AkramShahBJP: #UnityCharitableTrust के माध्यम से सूरत के उन विस्तार में लगातार #Lockdown के पहले दिन से जरूरतमंदों को खाद्य सामग्री वित…
1260165643447361500,Tue May 12 11:11:16 +0000 2020,RT @TVMohandasPai: @Sanju_Verma_  is doing a great job educating citizens on NDA economic policies; will make a great Economic Spokesperson…
1260162250876219400,Tue May 12 10:57:47 +0000 2020,RT @ProfSRK: Dear @drashwathcn ji, many of the Univs &amp; Colleges r insisting Faculty &amp; Staff to Attend Offices.   If #COVID19 Related Health…
1260161960894595000,Tue May 12 10:56:38 +0000 2020,@Darsh0209 @Twitter @TeamRamesh @futureCA22 @RajatKPati @sujay_volunteer @aftab70782201 ♥️🙏
1260160868760707000,Tue May 12 10:52:18 +0000 2020,Friends and family in or around Thane please help Family stuck without food and ration Kindly HELP 🙏 CC @CMOMaharashtra @MantralayaRoom
1260140274266681300,Tue May 12 09:30:28 +0000 2020,RT @KailashOnline: पश्चिम बंगाल के हुगली जिले के टेलनीपारा में हिन्दुओं के घरों को जलाया जा रहा है। https://t.co/FryAqHw0Cw
1260134707171397600,Tue May 12 09:08:21 +0000 2020,RT @boomzy1231: .@LGIndia somehow i managed to buy washing machine for senior citizen parents staying alone but there's one missing compone…
1260131709116448800,Tue May 12 08:56:26 +0000 2020,@ManMundra ♥️
1260131363317055500,Tue May 12 08:55:03 +0000 2020,RT @ManMundra: #poem #हिंदी #आह्वान #positivity #LetsDoMore https://t.co/Nooyw3Ffoj
1260131346367885300,Tue May 12 08:54:59 +0000 2020,RT @atulkasbekar: Thanks for being there Harsha! You’re amazing 😊👊🏽  #StrongerTogether 😊🙏🏽🇮🇳 @ManMundra @TringIndia
1260131331746467800,Tue May 12 08:54:56 +0000 2020,RT @ManMundra: So we have ordered and paid for 25 beds with ABS panel for #Mumbai to reach mumbai by 16th. For #ICU another 25 ordered from…
1260131212565393400,Tue May 12 08:54:27 +0000 2020,Is there anything that @ManMundra bhai cant do 🤔 He is like Chirag kaa Genie 🧞‍♂️but with multiple wishes Thank you… https://t.co/B1Oo1ZRY6U
1260128313458208800,Tue May 12 08:42:56 +0000 2020,RT @nomadic_guy: Stop sharing fake images. Image you shared is of Rohingyas from Bangladesh. https://t.co/TK6ujBf9kh
1260128036156051500,Tue May 12 08:41:50 +0000 2020,@PallaviSingh09 @kapilverma73 🤗
1260127896540196900,Tue May 12 08:41:17 +0000 2020,RT @NeetuDabasbjp: जेष्ठ महीना के पहले मंगलवार को बड़ी मंगल कहते हैं. आप सब हनुमान भक्तों को बड़े मंगल की शुभकामनायें 🙏 https://t.co/TRrxn8…
1260127849454993400,Tue May 12 08:41:06 +0000 2020,RT @singhvarun: Thandi ho ya garmi, wo sab chup chap seh leta hai, Wo mazdoor hai bhaiya, sadak pe kagaz bicha ke so leta hai. Pet ki aag m…
1260127837945835500,Tue May 12 08:41:03 +0000 2020,RT @singhvarun: Ummeed tuti hogi uski Bhuk jor se guraya hoga Nanhi beti ne roti maangi hogi Isliye toh vo mazdoor nikal gaya  Hausla dagam…
1260127763425644500,Tue May 12 08:40:45 +0000 2020,@PallaviSingh09 @kapilverma73 😊🙏
1260127615081484300,Tue May 12 08:40:10 +0000 2020,RT @Sanju_Verma_: Excellent&amp;elaborately detailed piece by @JPNadda ji on how @narendramodi ji has mounted a combat against #COVID,on a war…
1260127527525286000,Tue May 12 08:39:49 +0000 2020,RT @AnupamkPandey: सहायता के लिए आपका और @AnuraagJhansi जी का  बहुत बहुत आभार। मध्यरात्रि में ही आपने संदेश का त्वरित उत्तर दिया और सहायता…
1260115037047292000,Tue May 12 07:50:11 +0000 2020,RT @RathvaS7: बेगि हरो हनुमान महाप्रभु  जो कछु संकट होय हमारो। को नहीं जानत है जग में कपि संकट मोचन नाम तिहारो ।।  #जय_श्रीराम https://t.co…
1260114928599359500,Tue May 12 07:49:45 +0000 2020,RT @MadhubantiChat3: I have lodged a complaint against @bainjal Swati Chaturvedi.She should be thoroughly investigated for her blatant disr…
1260110342845317000,Tue May 12 07:31:32 +0000 2020,RT @NeetuDabasbjp: See the Hypocrisy Client Face:- we don't want credit Back Office:- 85% Ticket paid by center, But congressi taking credi…
1260108832291860500,Tue May 12 07:25:31 +0000 2020,@PayelPiyaDey @PiyushSingh083 😊🙏
1260108756588920800,Tue May 12 07:25:13 +0000 2020,@anshuv20 @PiyushSingh083 🙏
1260107786068856800,Tue May 12 07:21:22 +0000 2020,RT @AmitShah: Prime Minister Shri @narendramodi ji will be addressing the nation tonight at 8 PM.   Do Watch!
1260106827611717600,Tue May 12 07:17:34 +0000 2020,RT @ManMundra: #PPE #Munger #Bihar #LetsDoMore #IndiaFightsCoronavirus
1260100048291090400,Tue May 12 06:50:37 +0000 2020,Thank you so much @PiyushSingh083 🙏 https://t.co/KD4CXAVxig
1260099939364987000,Tue May 12 06:50:11 +0000 2020,RT @PMOIndia: Shri @narendramodi will be addressing the nation at 8 PM this evening.
1260093920362496000,Tue May 12 06:26:16 +0000 2020,RT @MaheshPatange: @ManMundra @Anubhuti009 @indiantweeter @boomzy1231 @sainathgupta @DevangVDave @yoursdharm @Amberological Hi Manishji  A…
1260093195679142000,Tue May 12 06:23:23 +0000 2020,Year 2020  @rahulgandhi is back  Year 2030 Rahul Gandhi is back   Year 2040 Rahul Gandhi is back  Year 2050  Rahul… https://t.co/1zG80cHAgA
1260091385987956700,Tue May 12 06:16:12 +0000 2020,RT @iamashu123: Bakery owner in Chennai was arrested on Saturday over an advertisement that boasted of having “no Mu$lim staff” @KolkataPol…
1260090884227465200,Tue May 12 06:14:12 +0000 2020,RT @ThePoojaSingh1: मुख्यमंत्री श्री @myogiadityanath जी के मार्गदर्शन में उत्तर प्रदेश में 53,000 बेड्स का लक्ष्य प्राप्त करने के बाद अब…
1260086595937374200,Tue May 12 05:57:10 +0000 2020,RT @SrishtiRajiv: Why can't Antonio Maino ask the Vatican to bless the world with Holy Water and shield us from the virus or better yet, pe…
1260086037021249500,Tue May 12 05:54:57 +0000 2020,RT @singhvarun: Over 100 booked for offering Namaaz on road in Mumbai during Lockdown. “On Thursday, a 72-year-old local resident died of n…
1260085108909863000,Tue May 12 05:51:15 +0000 2020,RT @singhvarun: Over 100 booked for offering prayers on road. According to the report,”On Thursday, a 72-year-old local resident died of na…
1260076158613250000,Tue May 12 05:15:41 +0000 2020,@Deepakpandeyhin 🙏
1260075399641305000,Tue May 12 05:12:41 +0000 2020,RT @vjsinghpa: We Need this systems in school, kindly maximum RT pls and spread this @Rajput_Ramesh https://t.co/o5v2bIiMkw
1260074158249046000,Tue May 12 05:07:45 +0000 2020,@DeshVoice @CMOMaharashtra @MantralayaRoom Send you details in DM
1260072336507584500,Tue May 12 05:00:30 +0000 2020,Friends and family in or around Malad please HELP  People stuck without food and ration Kindly HELP 🙏 CC @CMOMaharashtra @MantralayaRoom
1260070276760514600,Tue May 12 04:52:19 +0000 2020,RT @kanikaaaaa17: My sister, Pragati, a young budding international level archery player, and merely 16 years old, suffered a brain stroke…
1260070124754817000,Tue May 12 04:51:43 +0000 2020,RT @TheShubhamtv: यूपी के वृंदावन में इमलीताल मंदिर के एक प्रमुख पुजारी वैष्णव संत और तमाल कृष्ण दास को गुंडों ने बेरहमी से मार डाला  हमलाव…
1260070070308479000,Tue May 12 04:51:30 +0000 2020,RT @adv_chandnishah: There has to be a limit to your Right to freedom of expression and speech @bainjal You went too far !  @NIA_India U/s…
1260069608041730000,Tue May 12 04:49:40 +0000 2020,RT @Lalit_Bishu: @MumbaiPolice @CPMumbaiPolice my friend apply for e-pass to exit from Mumbai for her parents as both are old and cant mana…
1260069549644353500,Tue May 12 04:49:26 +0000 2020,RT @Rameshwarom1: Dr. @Swamy39 jee :  Bappa Rawal! A brave Hindu King of Mewar who defeated the Arab invaders from entering India - Rawalpi…
1260069429192405000,Tue May 12 04:48:57 +0000 2020,RT @ProfSRK: Too much of #LockDown Relaxation may create disaster.  Yesterday in @CNNnews18, US Pathogen Preparedness Expert Dr @syramadad…
1260067930760495000,Tue May 12 04:43:00 +0000 2020,RT @blsanthosh: A somewhat normal day after steep hike a day before ... 3604 positive cases ( total 70754 ) , 1538 recoveries ( total 22454…
1260064132520345600,Tue May 12 04:27:54 +0000 2020,RT @Sunil_Deodhar: केजरीवाल #Covid_19 से हुए मौतों का असली आँकड़ा छुपा रहे है। #SachbataoKejriwal  https://t.co/vXZeMXo3Mx
1259960618855084000,Mon May 11 21:36:35 +0000 2020,RT @ManMundra: Coronavirus (COVID-19) Update: FDA Authorizes First Antigen Test to Help in the Rapid Detection of the Virus that Causes COV…
1259941884446879700,Mon May 11 20:22:08 +0000 2020,Minor Hiñdu boy is killed and  Gopalganj SP Manoj Kumar Tiwari and  Hathua SDPO dont respond to questions raised by… https://t.co/GgJUp1le9Z
1259938821900316700,Mon May 11 20:09:58 +0000 2020,RT @pradip103: Meet Guddi. She cleaned the ghat  in Haridwar everyday during  lockdown. She  represents dedicated 'Safai Karmcharis" who ar…
1259937323594199000,Mon May 11 20:04:01 +0000 2020,@GujaratiTweeter @TajinderBagga 🙏❤
1259931867324846000,Mon May 11 19:42:20 +0000 2020,@nachiketdesai04 @CMOMaharashtra @MantralayaRoom Yes once or twice
1259927129623576600,Mon May 11 19:23:30 +0000 2020,RT @AneesaBaluch: A report coming from #Tharparkar Near Border area of Sindh Around 21 houses of Hindus are burnt in Tadados, #Tharparkar,…
