id,created_at,text
1261028830677880800,Thu May 14 20:21:16 +0000 2020,RT @ChanakyaaTv: தலைமை செயலரை வம்புக்கு இழுத்த திமுக..? | பாண்டே பார்வை  https://t.co/ZUs6zUDCpg  #dmk @mkstalin @arivalayam
1261028806959104000,Thu May 14 20:21:11 +0000 2020,RT @ChanakyaaTv: சந்தை செய்திகள் | 14/05/2020 | வியாழன் | Business Technology and Auto News  Click here to watch 👇🏼  https://t.co/codB68357…
1261028754521907200,Thu May 14 20:20:58 +0000 2020,RT @ChanakyaaTv: https://t.co/1e4q9LPTHq
1261028744250093600,Thu May 14 20:20:56 +0000 2020,RT @ChanakyaaTv: https://t.co/TZiK2pxnjS
1261028691343143000,Thu May 14 20:20:43 +0000 2020,RT @ChanakyaaTv: உலக செய்திகள் | 14-05-2020 வியாழன் | World News  https://t.co/0Ry0uyc52S  #Rohingya
1260877393150963700,Thu May 14 10:19:31 +0000 2020,RT @MuthiraiTv: நடிகர் R.பார்த்திபனின்144 கவிதைகள்! Parthiban https://t.co/T4KQRUjedw via @YouTube
1260877375065059300,Thu May 14 10:19:26 +0000 2020,RT @MuthiraiTv: போலீஸ் வேடத்துக்கு பொருத்தமான ஹீரோ யார்? 1. ரஜினிகாந்த் 2. விஜய் 3. அஜித் 4. விக்ரம் https://t.co/RThvmkxQCg
1260877364222779400,Thu May 14 10:19:24 +0000 2020,RT @MuthiraiTv: எளியவர்களுக்கு உதவினால்  என் பாட்டு உங்களுக்கு Return Gift -பாடகி சின்மய... https://t.co/w3Wd4Y9fAp via @YouTube
1260877053424853000,Thu May 14 10:18:10 +0000 2020,RT @guru_chanakyaa: தன் நிலை மாறும் பொழுது குணம் மாறுபவர்களே இங்கு அதிகம்  https://t.co/9xi6ykLT2E
1260810001796472800,Thu May 14 05:51:43 +0000 2020,எல்லா தர்க்கத்துக்கும் பதில் உண்டு. கிடைக்கவும் செய்யும். குதர்க்கத்துக்கும் பதில் உண்டு தான். ஆனால், கிடைக்காது.
1260805111619760000,Thu May 14 05:32:17 +0000 2020,RT @guru_chanakyaa: நோய்களை மருந்துகளே இல்லாமல் விரட்டுவது எப்படி?  | Fajila Azad | Forgiveness  https://t.co/pp6Q2hynHN
1260662470873505800,Wed May 13 20:05:29 +0000 2020,RT @ChanakyaaTv: https://t.co/Xwwv9zV1DX
1260662424320880600,Wed May 13 20:05:18 +0000 2020,RT @ChanakyaaTv: https://t.co/K57QVoXmUE
1260662381744550000,Wed May 13 20:05:08 +0000 2020,RT @ChanakyaaTv: சந்தை செய்திகள் | 13/05/2020 | புதன்| Business Technology and Auto News  Click here to watch 👇🏼  https://t.co/PMCRDfItCF h…
1260662355513364500,Wed May 13 20:05:02 +0000 2020,RT @ChanakyaaTv: உலக செய்திகள் | 13/05/2020 | புதன் | World News  Click here to watch 👇🏼  https://t.co/dCScxR0ckG https://t.co/eYUnlMiSiH
1260662327231123500,Wed May 13 20:04:55 +0000 2020,RT @ChanakyaaTv: நிதியமைச்சரின் அள்ளிக்கோ Offer!!! | பாண்டே பார்வை | Pandey Parvai  https://t.co/4xXWMiBeDz  #NirmalaSitharaman
1260530408434708500,Wed May 13 11:20:43 +0000 2020,RT @ChanakyaaTv: கொரோனா நிவாரணம்.. நிதியமைச்சர் முக்கிய அறிவிப்பு https://t.co/R4Z63iMFDX
1260481698191609900,Wed May 13 08:07:10 +0000 2020,RT @ChanakyaaTv: நாட்டு மக்களுக்கு பிரதமர் உரை | பாண்டே குரலில்  https://t.co/9x1URmv9e1  #pmmodi #coronalockdown
1260481661998968800,Wed May 13 08:07:01 +0000 2020,RT @ChanakyaaTv: குறுஞ்செய்தி | 13/05/2020 | புதன் காலை| Wednesday Morning Short News  Click here to watch 👇🏼  https://t.co/HNqwsuzx3e http…
1260481408805593000,Wed May 13 08:06:01 +0000 2020,RT @ChanakyaaTv: மோடியின் ரூ20 லட்சம் கோடி அறிவிப்பு...
1260481364140478500,Wed May 13 08:05:50 +0000 2020,RT @ChanakyaaTv: சந்தை செய்திகள் | 12/05/2020 | செவ்வாய் | Business Technology and Auto News  Click here to watch 👇🏼  https://t.co/HtSiJUnx…
1260481309283139600,Wed May 13 08:05:37 +0000 2020,RT @ChanakyaaTv: https://t.co/RGY2SQzsSN
1260481273782505500,Wed May 13 08:05:28 +0000 2020,RT @ChanakyaaTv: https://t.co/12zI4mPnZd
1260481252605538300,Wed May 13 08:05:23 +0000 2020,RT @ChanakyaaTv: உலக செய்திகள் | 12/05/2020 | செவ்வாய் | World News  Click here to watch 👇🏼  https://t.co/ESqbpp6Nbt https://t.co/WQqcxL1TjU
1260480938204704800,Wed May 13 08:04:08 +0000 2020,RT @guru_chanakyaa: "அரசு செய்யும் மிகப் பெரிய பாவம்”  | சுவாமி ஓம்காரானந்தா எட்சரிக்கை  https://t.co/HbPOglD8cp
1260157382170034200,Tue May 12 10:38:27 +0000 2020,https://t.co/Ebeg5VUWiM
1260157290797125600,Tue May 12 10:38:05 +0000 2020,Rangaraj Pandey to be a part of Vijay Sehtupathi’s Ka Pe Ranasingam - https://t.co/wq6e33SOpw    Use the TOI app to… https://t.co/nsI1cULauX
1259929812543537200,Mon May 11 19:34:10 +0000 2020,RT @ChanakyaaTv: #COVID19 https://t.co/AUeclWzPgS
1259929803446038500,Mon May 11 19:34:08 +0000 2020,RT @ChanakyaaTv: #COVID19 https://t.co/yz42AVCRD6
1259929756528554000,Mon May 11 19:33:56 +0000 2020,RT @ChanakyaaTv: சந்தை செய்திகள் | 11/05/2020 | திங்கள் | Business Technology and Auto News  Watch here 👇🏼  https://t.co/1oLmibkjVb https:/…
1259929726866436000,Mon May 11 19:33:49 +0000 2020,RT @ChanakyaaTv: கொரோனா சூழ்நிலையில் சிறந்த வேலைக்கு சிறந்த கல்லூரிகள் | Dr. R. Gayatri | Educationist  https://t.co/43a0mlSPYm https://t.c…
1259929699372773400,Mon May 11 19:33:43 +0000 2020,RT @ChanakyaaTv: காசு மேலே காசு வந்து.. எடப்பாடி Master Plan | பாண்டே பார்வை  https://t.co/A5MV9Co7m5  #admk #coronaupdate
1259929662479716400,Mon May 11 19:33:34 +0000 2020,RT @ChanakyaaTv: உலக செய்திகள் | 11/05/2020 | திங்கள் | World News  Watch here 👇🏼  https://t.co/VwOWA7uvTF https://t.co/HNFywNp8pt
1259929488923611100,Mon May 11 19:32:53 +0000 2020,RT @ChanakyaaTv: https://t.co/6afyNWZPDe
1259929458330316800,Mon May 11 19:32:45 +0000 2020,RT @ChanakyaaTv: *கிரா* *கரிசல்காட்டுக்கடுதாசி* யில் இருந்து… ————————————  "அப்போதெல்லாம் காபி பொடி கிடையாது. காபி வில்லைதான் உண்டு" என்று…
1259929393821970400,Mon May 11 19:32:30 +0000 2020,RT @ChanakyaaTv: https://t.co/WxzsnLkQGs
1259929334703243300,Mon May 11 19:32:16 +0000 2020,RT @ChanakyaaTv: தென்மலை ============  குற்றாலத்தைத் தாண்டி செங்கோட்டையை கடந்து புளியறையிலிருந்து மேற்கு தொடர்ச்சி மலையில் உள்ள சாலையில்...…
1259929300947447800,Mon May 11 19:32:08 +0000 2020,RT @ChanakyaaTv: சந்தை செய்திகள் | 10/05/2020 | ஞாயிறு | Business Technology and Auto News  Watch here 👇🏼  https://t.co/4pkiP2ystK https://…
1259929290495242200,Mon May 11 19:32:05 +0000 2020,RT @ChanakyaaTv: TASMAC பற்றி அரசுக்கு ரஜினி சொன்ன யோசனை...
1259524372525539300,Sun May 10 16:43:05 +0000 2020,RT @ChanakyaaTv: ரஜினி சொன்ன ஷாக் செய்தி | பாண்டே பார்வை  https://t.co/XftRp5FuYw  #TNCoronaUpdate #lockdown #SocialDistancing
1259524288983388200,Sun May 10 16:42:45 +0000 2020,RT @ChanakyaaTv: https://t.co/e5IewzP2Dt
1259524224722460700,Sun May 10 16:42:30 +0000 2020,RT @ChanakyaaTv: https://t.co/btPSfc5GYG
1259523086988144600,Sun May 10 16:37:59 +0000 2020,RT @guru_chanakyaa: தவறான அதிகாரிகளுக்கு கருட புராணம் சொல்லும் தண்டனை | கருடபுராணம்|  பாகம் - 3| GarudaPurana | Part - 3  https://t.co/VROY…
1259443685839614000,Sun May 10 11:22:28 +0000 2020,RT @ChanakyaaTv: கண்டைன்மெண்ட் ஜோன் கொடுமைகள் | அதிரவைத்த சாணக்யா விசிட் | Chanakyaa Exclusive  https://t.co/SEM2IHwobK  @CMOTamilNadu @Vij…
1259439492018122800,Sun May 10 11:05:48 +0000 2020,Happy to hear from @GhibranOfficial ... I personally witnessed the stunning performance of @aishu_dil and… https://t.co/sHWvPsMXez
