id,created_at,text
1260928910050484200,Thu May 14 13:44:13 +0000 2020,RT @mehtahansal: अब शूटिंग करनी है। बहुत हो गया!
1260536331689775000,Wed May 13 11:44:15 +0000 2020,My son! #Messi https://t.co/ZlbG4oBnhf
1260397594573975600,Wed May 13 02:32:58 +0000 2020,@MeiyangChang @IAmSudhirMishra @swanandkirkire @IChitrangda @kaykaymenon02 @PritishNandy @netflix 🤓
1260397532758388700,Wed May 13 02:32:43 +0000 2020,RT @MeiyangChang: What changed, what remained the same. A film for all time 👏🏻👏🏻👏🏻 #HazaaronKhwaisheinAisi @IAmSudhirMishra @swanandkirkire…
1260249264409784300,Tue May 12 16:43:33 +0000 2020,Thank you for the opportunity @JSalke! #FourMoreShotsPlease https://t.co/WrPkLyDfmX
1260241801786593300,Tue May 12 16:13:54 +0000 2020,RT @BDUTT: It was past one in the morning. I was on the road in our car trying to make it our next stop. Suddenly, near Bhiwandi, in Mahara…
1260221856503693300,Tue May 12 14:54:39 +0000 2020,RT @Raheelk: LOL. The same cops who didn't show up for emergencies during Delhi Riots now have all the time/resources to do this. You have…
1260221336598859800,Tue May 12 14:52:35 +0000 2020,RT @NotSoSnob: This is like giving mic to your whatsapp-drunk-unkle at your parents anniversary.
1260221000790282200,Tue May 12 14:51:15 +0000 2020,RT @maanvigagroo: Get to the point Sir.
1260170018249154600,Tue May 12 11:28:39 +0000 2020,RT @GDIGM: With ‘Four More Shots Please!,’ India Gets Its Own #SexandtheCity https://t.co/R136ka9i8K
1259858984384823300,Mon May 11 14:52:43 +0000 2020,RT @KiranManral: “Like all things about liberation, sisterhood is difficult.”  Nora Ephron (On the women’s movement)
1259847975620227000,Mon May 11 14:08:58 +0000 2020,@TannishthaC Look at us, all dressed up and nowhere to go! I cry for Tuscany.
1259352205217484800,Sun May 10 05:18:58 +0000 2020,@upalakbr999 @shibanidandekar @ishita_moitra Loud and clear!
1259352082445992000,Sun May 10 05:18:28 +0000 2020,RT @PritishNandyCom: #FourMoreShotsPlease gets better, grander | The Sunday Guardian Live  ⁦@PritishNandy⁩ @RangitaNandy⁩ ⁦@nupurasthana⁩ ⁦…
1259352016809332700,Sun May 10 05:18:13 +0000 2020,@MurtazaCritic @PrimeVideoIN @maanvigagroo @IamKirtiKulhari @bani_j @sayanigupta @prateikbabbar @milindrunning… https://t.co/9K2FPRTTAf
1259351979899457500,Sun May 10 05:18:04 +0000 2020,RT @MurtazaCritic: @PrimeVideoIN series #FourMoreShotsPlease2 hits the ball out of the park... my review for India's leading weekly #TheSun…
1259121851286126600,Sat May 09 14:03:37 +0000 2020,@Namrata_Joshi @TheHinduWeekend @shonalim @chefgagananand @PritishNandy ...
1259119312452882400,Sat May 09 13:53:32 +0000 2020,@zmilap @PritishNandy @PritishNandyCom Boom!
1259119155716010000,Sat May 09 13:52:54 +0000 2020,Possibly the worst kind of pain. Also, I love @chrissyteigen and her sharp, sharp wit, I’d follow her anywhere. And… https://t.co/cf94nnvCxd
1259113714193764400,Sat May 09 13:31:17 +0000 2020,@IamDeepaMehta @Lisaraniray Thank you Deepa, means everything coming from you. This is a massive shoutout for us so… https://t.co/TCReLvJeW2
1259102074127728600,Sat May 09 12:45:02 +0000 2020,RT @ANI: Madhya Pradesh: Officials of the Municipal Corporation Department are removing the slums near a pond in Rewa. RN Tripathi, Tehsild…
1259083149247733800,Sat May 09 11:29:50 +0000 2020,Damn. https://t.co/hlYtlwXkBj
1259080118972055600,Sat May 09 11:17:47 +0000 2020,@upalakbr999 @shibanidandekar True!
1259079864608608300,Sat May 09 11:16:46 +0000 2020,RT @BOWorldwide: #AmazonPrimeVideo’s Most-Watched Indian Show Of 2020, #FourMoreShotsPlease!, Is Greenlit For The Third Season  #FourMoreSh…
1259079547900899300,Sat May 09 11:15:31 +0000 2020,@nikkhiladvani @PritishNandyCom @PritishNandy @bani_j @sayanigupta @IamKirtiKulhari @maanvigagroo @PrimeVideo… https://t.co/VY9VwlXKLv
1259078585597468700,Sat May 09 11:11:42 +0000 2020,RT @PritishNandyCom: With #FourMoreShotsPlease India Gets Its Own ‘Sex and the City’ | The New York Times  ⁦@PritishNandy⁩ ⁦@RangitaNandy⁩…
1258998747603837000,Sat May 09 05:54:27 +0000 2020,@upalakbr999 @PritishNandyCom Thank you mama! ❤️
1258998698371100700,Sat May 09 05:54:15 +0000 2020,RT @upalakbr999: Congrats and best wishes @RangitaNandy @PritishNandyCom and team #FourMoreShotsPlease Hope to see all the girls in FMSP Se…
1258998599838568400,Sat May 09 05:53:51 +0000 2020,@sunherisufi @ishita_moitra @nupurasthana @PritishNandy @maanvigagroo @sayanigupta @bani_j @IamKirtiKulhari… https://t.co/AHIKZu2OKx
1258981654539964400,Sat May 09 04:46:31 +0000 2020,RT @Lisaraniray: So this happened ⁦@RangitaNandy⁩ ⁦@PritishNandyCom⁩ ⁦@PrimeVideoIN⁩ Thrilled @4moreshotspls⁩ is making waves with its fran…
1258978672607989800,Sat May 09 04:34:40 +0000 2020,RT @ishita_moitra: And...WE ARE IN THE NEW YORK TIMES!!!! Who run the world? GIRLS!!! @RangitaNandy @nupurasthana #devikabhagat @PritishNan…
1258968157999505400,Sat May 09 03:52:54 +0000 2020,RT @Alisha__g: The show features sexual relationships determined by women, female friendships &amp; frank discussions of social taboos — all of…
1258968043297874000,Sat May 09 03:52:26 +0000 2020,#FourMoreShotsPlease in the New York Times today with @aparna1502 @bani_j @IamKirtiKulhari @maanvigagroo… https://t.co/eUQ1GHlDSA
1258804824738496500,Fri May 08 17:03:52 +0000 2020,RT @Raheelk: Can’t look away. This photo is going to haunt me for a long time. Each day brings a new tragic twist to story of #MigrantLabou…
1258804474174492700,Fri May 08 17:02:28 +0000 2020,@zmilap Thank you fatty! ❤️
