id,created_at,text
1260393918555984000,Wed May 13 02:18:21 +0000 2020,Congrats to a great person and soon to be fantastic congressman!  @GOP / @wisgop makes it look easy.  @TomTiffanyWI https://t.co/TcZgYkBItW
1260027906719268900,Tue May 12 02:03:57 +0000 2020,RT @seanhannity: #HANNITY TONIGHT: #ObamaGate heats up! Sean calls out the former president. Plus: NBC &amp; MSNBC bias exposed. Guests: @Judge…
1259222717808685000,Sat May 09 20:44:25 +0000 2020,RT @elonmusk: @GerberKawasaki @thirdrowtesla Tesla is filing a lawsuit against Alameda County immediately. The unelected &amp; ignorant “Interi…
1254252425634070500,Sun Apr 26 03:34:15 +0000 2020,RT @BSmile: Today In 1976: Chicago #Cubs outfielder Rick Monday saves the American Flag from being burned at Dodger Stadium! #Hero #MLB #Ba…
1253126951830683600,Thu Apr 23 01:02:01 +0000 2020,RT @seanhannity: #HANNITY TONIGHT: AOC &amp; the progressive left aim to exploit the COVID-19 crisis to push their radical agenda! Plus: yet an…
1251953155656597500,Sun Apr 19 19:17:47 +0000 2020,RT @Elpidophoros: I fervently pray for a blessed Anastasis (Easter) for all. May we use this moment of isolation to pray as One Body for th…
1251850625370992600,Sun Apr 19 12:30:22 +0000 2020,Christos Anesti! https://t.co/fJO3InKg5t
1251314532548575200,Sat Apr 18 01:00:07 +0000 2020,RT @seanhannity: #HANNITY TONIGHT: Exclusive reporting from @BretBaier on the Chinese origins of the coronavirus &amp; much more! Great guests:…
1251311438808965000,Sat Apr 18 00:47:49 +0000 2020,RT @jasoninthehouse: Tonight I will be on with @seanhannity #FoxNews with @Reince .  Join us!!
1251139050230218800,Fri Apr 17 13:22:49 +0000 2020,🇬🇷🇬🇷🇬🇷 https://t.co/WvGBbwvlEN
1250506021891707000,Wed Apr 15 19:27:23 +0000 2020,RT @WisconsinMC: "Gov. Tony Evers’ Safer at Home order shutting down all but essential business expires April 24. It should not be extended…
1250505925254938600,Wed Apr 15 19:27:00 +0000 2020,RT @WisconsinMC: WMC’s @Kurt_R_Bauer spoke with @CBS58 today about the need to restart the WI economy beginning on April 24 and why it is c…
1249880266958651400,Tue Apr 14 02:00:51 +0000 2020,RT @LeahVukmir: The other day, I visited my mother who has dementia through a window at her long-term care facility. Today @GovEvers banned…
1246240345618362400,Sat Apr 04 00:57:07 +0000 2020,RT @seanhannity: #HANNITY TONIGHT: The good, the bad &amp; hopeful news on the coronavirus crisis: Latest medical advances, China’s disinformat…
1243732103784812500,Sat Mar 28 02:50:15 +0000 2020,RT @ScottGottliebMD: This is GAME CHANGER. Abbott to market, starting next week, a fast point-of-care #coronavirus test, delivering positiv…
1242503226064322600,Tue Mar 24 17:27:08 +0000 2020,RT @johnrobertsFox: .@realDonaldTrump said he would like to have the country "back open by Easter".  That is April 12th.
1242265122506264600,Tue Mar 24 01:41:00 +0000 2020,RT @seanhannity: #HANNITY TONIGHT: The Dems play politics with coronavirus aid! We'll have wall-to-wall coverage of this outrageous develop…
1239758802464931800,Tue Mar 17 03:41:46 +0000 2020,RT @Scavino45: https://t.co/R40qyqIpV6
1239757947091275800,Tue Mar 17 03:38:22 +0000 2020,RT @realDonaldTrump: https://t.co/tit0HdkE4e
1236114666411241500,Sat Mar 07 02:21:17 +0000 2020,RT @Reince: @RepMarkMeadows is a really strong pick and brings instant rapport with POTUS + respected in the Whitehouse, DC and grassroots.
1236113388574564400,Sat Mar 07 02:16:12 +0000 2020,@RepMarkMeadows is a really strong pick and brings instant rapport with POTUS + respected in the Whitehouse, DC and… https://t.co/bVH1rPLaFC
1236109188062986200,Sat Mar 07 01:59:30 +0000 2020,RT @seanhannity: #HANNITY Opening Monologue: Trump’s CDC tour, Tennessee tornado damage &amp; civil war brewing in Dem Party. Plus: Exclusive H…
1232804920467869700,Wed Feb 26 23:09:32 +0000 2020,Very sad news out of Wisconsin and Molson Coors.  God Bless the people of Milwaukee.  Let’s pray for all of  the vi… https://t.co/XsqMfz4p97
1232496994779893800,Wed Feb 26 02:45:56 +0000 2020,#DemDebate https://t.co/TocSAip0tZ
1232150249088614400,Tue Feb 25 03:48:06 +0000 2020,RT @RosLehtinen: Yeah, Bernie “truth is truth”, as u say, and the “truth” is that Fidel Castro was, from the 1st day he illegally took powe…
1231348480762957800,Sat Feb 22 22:42:09 +0000 2020,RT @RNCResearch: Bernie Sanders: illegal immigrants are "entitled" to the same government benefits as citizens https://t.co/5kIzM6tsHb http…
1231347226993139700,Sat Feb 22 22:37:10 +0000 2020,RT @SteveGuest: James Carville: “if the DNC was running a carnival parade, we’d never get out of the chute” https://t.co/cYXEGNgvVS
1230960764153974800,Fri Feb 21 21:01:30 +0000 2020,More #FakeNews ! https://t.co/G29WuYQrpY
1229764374916714500,Tue Feb 18 13:47:29 +0000 2020,RT @wisgop: POLLS ARE OPEN! Make sure you vote for @JusticeDanKelly before 8PM! Find your polling place here ➡️ https://t.co/wc8YHhSE7h htt…
1229590386299015200,Tue Feb 18 02:16:07 +0000 2020,RT @DaleJr: Big prayers for Newman
1229232803449012200,Mon Feb 17 02:35:13 +0000 2020,Spectacular and very special wedding tonight with new bride and groom Stephen and Katie Miller!  So much fun and st… https://t.co/yX85fpSBNP
1227954327131762700,Thu Feb 13 13:55:00 +0000 2020,RT @seanspicer: Some big personal news!  I excited to announce that I will be hosting a new show at 6pm on Newsmax TV.  “Spicer &amp; Co,’’ deb…
1227444933570809900,Wed Feb 12 04:10:51 +0000 2020,Amazing stuff - The undisputed Democrat front runner is a Socialist (self proclaimed) who had a heart attack a few months ago.
1225974839980253200,Sat Feb 08 02:49:14 +0000 2020,RT @TuckerCarlson: Mayor Pete: “The shape of our democracy is the issue that affects every other issue” https://t.co/WNUlFbt0Au
1225517417608204300,Thu Feb 06 20:31:36 +0000 2020,Keystone Cops https://t.co/KfpdLC6dqd
1224548470763217000,Tue Feb 04 04:21:21 +0000 2020,RT @Reince: @realDonaldTrump won tonight and he wasn’t even competing - congratulations @TheDemocrats !
1224547808075751400,Tue Feb 04 04:18:43 +0000 2020,@realDonaldTrump won tonight and he wasn’t even competing - congratulations @TheDemocrats !
1224540373101531100,Tue Feb 04 03:49:10 +0000 2020,Classic @TheDemocrats !
1222643228689739800,Wed Jan 29 22:10:35 +0000 2020,RT @NorahODonnell: Thanks to our panel for a great discussion during today’s @CBSNews special coverage! @LesleyRStahl @jdickerson @Reince @…
1221998472297054200,Tue Jan 28 03:28:34 +0000 2020,RT @CBSEveningNews: Former WH chief of staff @Reince's defense of @POTUS: "Do you remove a president 9 months before an election over an un…
1220100727521058800,Wed Jan 22 21:47:36 +0000 2020,RT @CBSNewsPress: .@Reince joins @CBSNews as a political analyst, it was announced today. Watch below.   Read more: https://t.co/a50cazCiKg…
1219262197743988700,Mon Jan 20 14:15:35 +0000 2020,RT @SecPompeo: Martin Luther King, Jr. said, “True peace is not merely the absence of tension; it is the presence of justice." We reflect o…
1217997353304711200,Fri Jan 17 02:29:32 +0000 2020,RT @seanhannity: #HANNITY GUESTS COMING UP: @RandPaul, @Reince &amp; @RepMattGaetz. Don’t miss their reactions to the impeachment sham, the lat…
1217203017902104600,Tue Jan 14 21:53:08 +0000 2020,Keeping Wisconsin Red! @realDonaldTrump @SeanDuffyWI @MikeforWI @RepGrothman @RonJohnsonWI https://t.co/rdBUBUblMU
1216552375873343500,Mon Jan 13 02:47:43 +0000 2020,Wow!  #GoPackGo !
1215839035236790300,Sat Jan 11 03:33:09 +0000 2020,RT @seanhannity: Where’s Hunter? This is a question Joe Biden better get used to. Then, #Hannity will prepare you for the next phase of the…
1207503717374840800,Thu Dec 19 03:31:35 +0000 2019,From here on out, most Presidents will now get impeached when the opposite party holds the House.  This is a new po… https://t.co/uYtKZyZl7f
1205702906923692000,Sat Dec 14 04:15:48 +0000 2019,We had a wonderful time celebrating the holiday season at the Whitehouse Christmas Party tonight! https://t.co/Cl4Z1K4qpO
1200042374338162700,Thu Nov 28 13:22:52 +0000 2019,RT @realDonaldTrump: HAPPY THANKSGIVING! https://t.co/2GoxJEk6fN
1196106036115116000,Sun Nov 17 16:41:16 +0000 2019,RT @MajorCBS: Reince Priebus: "A Warning" author Anonymous is "dishonorable" - CBS News My piece for  ⁦@CBSSunday⁩ featuring ⁦@Reince⁩ on #…
1194087926117863400,Tue Nov 12 03:02:01 +0000 2019,Amazing run - congratulations on a job well done @seanspicer ! https://t.co/fJOQsvKhqr
1194058418342056000,Tue Nov 12 01:04:46 +0000 2019,Ok here we go again!  #DWTS https://t.co/fJOQsvKhqr
1191520361298505700,Tue Nov 05 00:59:26 +0000 2019,Spicer 2019 ! https://t.co/NBK6JQpkAg
