id,created_at,text
1233810006157545500,Sat Feb 29 17:43:23 +0000 2020,Old gold sales always jump when prices rise, but "we've never seen a surge like this," one jeweler says https://t.co/MfD0x9ujPU via @markets
1230509121113378800,Thu Feb 20 15:06:50 +0000 2020,America’s coal country isn’t dead. It’s preparing for a comeback https://t.co/x7dCZzzbOd via @business
1227241559709536300,Tue Feb 11 14:42:43 +0000 2020,How storm hunters are trying to help the U.S. avoid flood damage due to climate change https://t.co/atZ0yANO2S via @business
1227229704593297400,Tue Feb 11 13:55:37 +0000 2020,How storm hunters are trying to help the U.S. avoid flood damage due to climate change https://t.co/atZ0yAwdbk via @business
1222614839530573800,Wed Jan 29 20:17:47 +0000 2020,Why the mild nature of the coronavirus has experts worried it will spread far, and fast https://t.co/pwE1e1GOMm via @business
1217862372829868000,Thu Jan 16 17:33:11 +0000 2020,A big decline in the so-called "fracklog" -- wells that have been drilled but never used -- is perhaps the most sal… https://t.co/5ncccRcDL4
1212751266578874400,Thu Jan 02 15:03:28 +0000 2020,Mexico's rush to add oil wells falters, hobbling needed growth https://t.co/zvNP2wdoqV via @markets
1202647175102161000,Thu Dec 05 17:53:25 +0000 2019,The $91 billion pet-food market is growing so rapidly it will be almost as big as the chocolate confectionery marke… https://t.co/a5MwSrVJUv
1201624982591332400,Mon Dec 02 22:11:35 +0000 2019,The tariffs shine a light on how much the hardy dollar is hurting U.S. farmers https://t.co/TRjf42SpPp via @bpolitics
1194280376304361500,Tue Nov 12 15:46:45 +0000 2019,Offshore oil production is expected to hit a peak in 2020 before joining the shale industry in a slowdown… https://t.co/9WWyl4QlIs
1192117005693988900,Wed Nov 06 16:30:17 +0000 2019,Meteorologists use minute-by-minute predictions to help protect emergency workers battling wildfires https://t.co/pGi4xTNIlK via @business
1191725130952708000,Tue Nov 05 14:33:07 +0000 2019,Ecuador’s plan to boost its economy by attracting foreign oil investment is falling victim to heavy resistance from… https://t.co/wFAQBolsk3
1185228084599021600,Fri Oct 18 16:16:10 +0000 2019,After several years of wildfire hell, California is getting a bit of a break this year https://t.co/600JTzAlvB via @business
1166696626708197400,Wed Aug 28 12:58:46 +0000 2019,Tropical Storm Dorian is expected to strengthen, potentially approaching hurricane status by the time it gets to Pu… https://t.co/W9t7W3dNVK
1163530824639221800,Mon Aug 19 19:19:00 +0000 2019,As Brazil’s bees die, an ocean of pesticides washes into food https://t.co/v3bLlLJkhl via @bpolitics
1162332119374454800,Fri Aug 16 11:55:47 +0000 2019,New York Governor Andrew Cuomo last month signed the most aggressive climate law in America, but even he's not sure… https://t.co/wMaI86Gweq
1162043301073170400,Thu Aug 15 16:48:07 +0000 2019,A former fund manager for George Soros is collecting retired oil CEOs to help run his new team https://t.co/hd93Lw7WLP via @markets
1161959625765392400,Thu Aug 15 11:15:37 +0000 2019,Farmers are now planting crops that aren't designed to put food on the table https://t.co/7a07Ok4dor via @markets
1161749850029002800,Wed Aug 14 21:22:03 +0000 2019,Bad news for those of us living on the coast: Back-loaded’ hurricane season bearing down on U.S. coastlines… https://t.co/jveSuc3DnV
1161236714356203500,Tue Aug 13 11:23:02 +0000 2019,The gold rally fueled by the U.S.-China trade war is unleashing a growing wave of illegal miners from Latin America… https://t.co/XSQ4caXx29
1159189928678436900,Wed Aug 07 19:49:50 +0000 2019,Shale drillers are being left behind by America’s increasingly skeptical capital markets. For one of the world’s bi… https://t.co/8aMF8oXp37
1158345653732421600,Mon Aug 05 11:54:59 +0000 2019,High altitude Argentine winemaker is profiting from peso's fall https://t.co/SR2ZNkZqQk via @luxury
1158345475067666400,Mon Aug 05 11:54:16 +0000 2019,AI and bionic eyes are helping to keep raging wildfires contained https://t.co/b2Fzf5yvM3 via @technology
1156216783780626400,Tue Jul 30 14:55:37 +0000 2019,The L Street Power Station provided Boston with electricity for more than a century. It may soon be reborn in a muc… https://t.co/b4mCO7gjEr
1155838181599797200,Mon Jul 29 13:51:11 +0000 2019,The lithium mine buildup is outpacing the electric-car boom https://t.co/8kVcNFwOOj via @technology
1153735567831707600,Tue Jul 23 18:36:09 +0000 2019,A complex face-off between the natural gas utility and state regulators is hamstringing new businesses and housing… https://t.co/HcsoUvTGaw
1153271381305581600,Mon Jul 22 11:51:38 +0000 2019,It’s a sign of the times. Farmers make more money on social media than actually farming. https://t.co/UHi1ByQAKr via @business
1152211718988337200,Fri Jul 19 13:40:55 +0000 2019,It was impossible not to smile 50 years ago when Apollo 11 landed on the moon, remembers @stepcarter https://t.co/0yGCDfMh20 via @bopinion
1152211233170497500,Fri Jul 19 13:38:59 +0000 2019,How hot is hot? Temperature alone doesn’t tell the tale https://t.co/GkXAv0VJW8 via @business
1151904482873217000,Thu Jul 18 17:20:04 +0000 2019,Ecuador’s ambition to become a mining superpower is being tested https://t.co/OF59wSataB via @markets
