id,created_at,text
1259694721351299000,Mon May 11 04:00:00 +0000 2020,What's next, will they place the "infected people" on trains? [VIDEO] Cali Enacts Program that Forcibly Moves Covid… https://t.co/rWuh9goMj1
1259680004780277800,Mon May 11 03:01:31 +0000 2020,RT @WayneDupreeShow: Fox sources say the mystery docs Grenell rushed over to Barr have to do with Obama...  https://t.co/NvFSes70M6
1259679682116583400,Mon May 11 03:00:14 +0000 2020,RT @RobManess: Rep. Dan Crenshaw and Elon Musk take on California liberals - Other states want the jobs the reigning California Democrats r…
1259679183959199700,Mon May 11 02:58:15 +0000 2020,RT @DeMelaatse: Heh. https://t.co/xjOO0cah6G
1259678670349836300,Mon May 11 02:56:13 +0000 2020,RT @DonaldJTrumpJr: What the media won’t tell you while sanctimoniously crying about this is every Congressmen tested negative for coronavi…
1259667445884870700,Mon May 11 02:11:37 +0000 2020,RT @JackPosobiec: In March, the American Health Care Association urged Cuomo, Wolf, and Murphy to stop ordering infected patients into nurs…
1259664523407081500,Mon May 11 02:00:00 +0000 2020,Rep. Dan Crenshaw and Elon Musk take on California liberals - Other states want the jobs the reigning California De… https://t.co/VuWGduUVC4
1259655042489081900,Mon May 11 01:22:20 +0000 2020,@MeetThePress @KerriKupecDOJ @chucktodd Too little too late #FakeNews
1259624256482300000,Sun May 10 23:20:00 +0000 2020,RT @JerryDunleavy: NEW: World Health Organization is denying the @DerSpiegel report claiming that German intel determined that Xi Jingping…
1259623985609945000,Sun May 10 23:18:55 +0000 2020,RT @RobManess: Confirmed: Lt General Mike Flynn was railroaded by the FBI’s Counterintelligence https://t.co/iIYLb8WkiW via @robmaness
1259623930605731800,Sun May 10 23:18:42 +0000 2020,#ObamaGate
1259623535842078700,Sun May 10 23:17:08 +0000 2020,RT @dbongino: Anyone citing Brian Stelter, Ben Wittes, Darcy, Moscow Maddow, Chuck Todd, or any of the collusion hoaxers at the Wash Post o…
1259623451364667400,Sun May 10 23:16:48 +0000 2020,RT @DrNealHouston: “There Is Nothing from the CDC I Can Trust!” – Dr. Birx Tells Off CDC Director, Claims COVID-19 Mortality Rate Inflated…
1259622712936411100,Sun May 10 23:13:52 +0000 2020,RT @dougstafford: Don’t know who needs to hear this but @realDonaldTrump wasn’t telling NYers to still act as normal in March. He wasn’t te…
1259605234898423800,Sun May 10 22:04:24 +0000 2020,RT @RobManess: German Intelligence Reports they Intercepted a Call Where China Prez Asked WHO to Suppress Life-Saving Info About Coronaviru…
1259605152715149300,Sun May 10 22:04:05 +0000 2020,RT @RobManess: [VIDEO] Jesse Watters: “William Barr Has ‘Smoking Gun’ Documents on Obama’s Connection to Spygate” - William Barr received a…
1259604938453323800,Sun May 10 22:03:14 +0000 2020,I continue to insist crowdstrike be forced to turn over all its data storage devices, analysis data, the raw data,… https://t.co/FUcg1G83zn
1259604124364157000,Sun May 10 22:00:00 +0000 2020,German Intelligence Reports they Intercepted a Call Where China Prez Asked WHO to Suppress Life-Saving Info About C… https://t.co/SuRQ65fmd3
1259587523996790800,Sun May 10 20:54:02 +0000 2020,RT @RichardGrenell: And more changes to come....because there have been 4 studies in the last 2 years from other career IC officials asking…
1259573925383516200,Sun May 10 20:00:00 +0000 2020,[VIDEO] Jesse Watters: “William Barr Has ‘Smoking Gun’ Documents on Obama’s Connection to Spygate” - William Barr r… https://t.co/YvE0QA9xDD
1259570267157864400,Sun May 10 19:45:28 +0000 2020,RT @RichardGrenell: You are right, Senator @ChuckGrassley. Over classification is a real problem.
1259569373402091500,Sun May 10 19:41:54 +0000 2020,RT @deneenborelli: .@tomborelli tells @tinaaguayotv  @realDonaldTrump trip to AZ signals a shift in focus to open up the economy @AVoiceNew…
1259568901530230800,Sun May 10 19:40:02 +0000 2020,RT @CBS_Herridge: #FISA Former #2 McCabe under oath 12/19/2017 confirms FBI relied oppo research to surveil @carterwpage “we did not rely o…
1259559252206719000,Sun May 10 19:01:41 +0000 2020,RT @RobManess: All roads always lead back to John Brennan, folks. - Report: Just Before Flynn’s “Takedown” He was Planning to Audit John Br…
1259558829441921000,Sun May 10 19:00:01 +0000 2020,All roads always lead back to John Brennan, folks. - Report: Just Before Flynn’s “Takedown” He was Planning to Audi… https://t.co/7X0VCpwgwF
1259556421475188700,Sun May 10 18:50:26 +0000 2020,RT @hughhewitt: Because ⁦@AndrewCMcCarthy⁩ knows very well how DOJ and it’s division, the FBI, actually operate —or are supposed to operate…
