id,created_at,text
1050533326019338200,Thu Oct 11 23:47:17 +0000 2018,If you stay ready you don’t have to get ready. Good Session today at @fasttwitch #stayready #hardwork #dedication… https://t.co/ImfaJUUNsy
1046469626501189600,Sun Sep 30 18:39:36 +0000 2018,We start at 4pm today so come on by! Good vibes, music, food and drinks! americansocial_brickell @ American Social… https://t.co/BHSRFLEK3D
1042902556337422300,Thu Sep 20 22:25:20 +0000 2018,#tbt Vibing with the legends gary.payton.20 and @CharlesOakley34 at one of the @remymartinus Dinners during the… https://t.co/60rjQZapAn
1042891849827065900,Thu Sep 20 21:42:47 +0000 2018,#RP @RicoThaBarber3 Appreciate you homie! Thanks for the shirt too. 💯💯 ・・・ Chopped it up with the homie… https://t.co/jLGGvoUCj6
1041728434072891400,Mon Sep 17 16:39:47 +0000 2018,Happy to see my guy @dwyanewade returning for #onelastdance #finishstrong #legend #halloffamer #HOF #miamiheat… https://t.co/QBUCjQPoxP
1041388238215237600,Sun Sep 16 18:07:58 +0000 2018,Come by today! We start at 3pm! americansocial_brickell Good vibes, good people and Football!… https://t.co/ESER2kB3gs
1039314264736059400,Tue Sep 11 00:46:44 +0000 2018,What a great way to spend our Saturday night at taylorsportsgrp first annual Good Hearts Gala! Proud of you bro and… https://t.co/IcUvk49uQg
1038244488647454700,Sat Sep 08 01:55:50 +0000 2018,Have to support my guy taylorsportsgrp and his first annual Good Hearts Gala tomorrow. If you want to support  good… https://t.co/7rigInR9iL
1037330907928174600,Wed Sep 05 13:25:35 +0000 2018,Much Respect @Nike and @kaepernick7 ✊🏾#fortheculture https://t.co/g4QW56oWMo
1036734761874726900,Mon Sep 03 21:56:43 +0000 2018,Happy Labor Day from the @thebig3 ! 🎉🎉🎉 #BIG3 #giveback #laborday #family @ Southampton , New York https://t.co/mgX59j3L4i
1036063822971392000,Sun Sep 02 01:30:39 +0000 2018,It’s all about the []_[] Canes game this Sunday at americansocial_brickell hosted by my dawg jonbeason52 and BetsyA… https://t.co/LZXZYQgtwY
1035613151805534200,Fri Aug 31 19:39:50 +0000 2018,First @thebig3 season in the books! Thank you icecube for giving guys like myself an opportunity to play the game o… https://t.co/0obtOoPh3i
1035210592070590500,Thu Aug 30 17:00:13 +0000 2018,#Repost @chomicide with get_repost #BLMNY ・・・ At the NBA 2K19 LAUNCH building with my brothers.... nothing but love… https://t.co/mAjghLhgLE
1033109644221341700,Fri Aug 24 21:51:48 +0000 2018,Last game of the @thebig3 season... Let’s finish Strong 💪🏽 #TriState!!! Catch us live on @foxsports @fs1 at 8pm ton… https://t.co/zc9PzLFKx0
1032674086395293700,Thu Aug 23 17:01:03 +0000 2018,Brooklyn @thebig3 is here! Last game game of the season! #BIG3Brooklyn #BIG3Championship #barclayscenter   Tune in… https://t.co/34AfaYAH8e
1030942534351110100,Sat Aug 18 22:20:28 +0000 2018,Join us this Sunday at ROSÉ ALL DAY SUNDAYS starting at 3pm americansocial_brickell. Rosé, Courvoisier Sangria, del… https://t.co/naBHIQCC3U
1030595033421045800,Fri Aug 17 23:19:38 +0000 2018,#BIG3Playoffs #TriState #Dallas #americanairlinescenter #fs1 #foxsports @thebig3 @fs1 @ American Airlines Center https://t.co/R5zszmlBfw
1030525451821826000,Fri Aug 17 18:43:08 +0000 2018,@thebig3 PLAYOFFS PLAYOFFS PLAYOFFS!! #BIG3Playoffs #Tristate #dallas #amercanairlinescenter #3on3basketball @ Amer… https://t.co/0pznJNH8pZ
1029076394180075500,Mon Aug 13 18:45:06 +0000 2018,@thebig3 PLAYOFFS!!!!! I know who I got but who y’all Got?? #tristate #big3season2 #3on3basketball #playoffs… https://t.co/CDwa4rkQuo
1028684189774893000,Sun Aug 12 16:46:37 +0000 2018,Sundays belong to ROSÉ ALL DAY at americansocial_brickell starting at 3pm with nanothedj and iamjdaiz.… https://t.co/yjl3Gpuapv
1027950837505523700,Fri Aug 10 16:12:32 +0000 2018,ATL it’s Game Day!!! #tristate #big3season2 #3on3basketball #nba #infiniteenergyarena #atlanta @ Infinite Energy Ce… https://t.co/FoDNJbG710
1026652680603795500,Tue Aug 07 02:14:07 +0000 2018,Good rec this morning at remy_runs_miami “Hardwork beats talent when talent fails to work hard” #hardwork… https://t.co/j5QL5grRlv
1026545132395352000,Mon Aug 06 19:06:46 +0000 2018,Atlanta we on the way!! @thebig3 #big3season2 #3on3basketball #Atlanta #nba #fs1 #foxsports https://t.co/pXxzStbRBg
1026291717102882800,Mon Aug 06 02:19:47 +0000 2018,VIBES at americansocial_brickell with the homies‼️ #theU #miami #americansocialbrickell #family #goodtimes… https://t.co/y936S6mxQm
1026282266513702900,Mon Aug 06 01:42:14 +0000 2018,It’s a Canes thing... You wouldn’t understand!! rp_1113 @kecope44 #theU #canes #miami #family @ American Social Bri… https://t.co/BnRlu8MrIV
1025484516578787300,Fri Aug 03 20:52:15 +0000 2018,Boston we live tonight at @tdgarden at 7pm!! @thebig3 #big3season2 #boston #beantown #tdgarden #3on3basketball #nba… https://t.co/t7jK6qtdhT
1025064640617893900,Thu Aug 02 17:03:49 +0000 2018,@thebig3 is more than just basketball ✊✊✊ tricky12 continues to give back in every city we visit!… https://t.co/9M4kaoYqO4
1024354566475849700,Tue Jul 31 18:02:14 +0000 2018,Huge s/o to  @kingjames for opening the ipromiseschool giving kids hope and an opportunity to be great!! Continue t… https://t.co/F0GxUeLniw
1024059523726827500,Mon Jul 30 22:29:51 +0000 2018,Last week my ibel13ve_ foundation partnered up with the #trayvonmartinfoundation to give over 1200 kids an amazing… https://t.co/PYC6A7NkYr
1022302772081971200,Thu Jul 26 02:09:08 +0000 2018,TORONTO WE ON THE WAY!!! @thebig3 This Friday! #big3season2 #Canada #thesix #3on3basketball #nba #tristate… https://t.co/wdhd63MwZr
1020407465605660700,Fri Jul 20 20:37:52 +0000 2018,Check out the dope article they did on https://t.co/eWTBIIyqWz diaries. Thanks Craig for the write up! 🙏🏽🙏🏽… https://t.co/fIMiGaHNgE
1020337049784733700,Fri Jul 20 15:58:04 +0000 2018,MIAMI IT’S GAMEDAY!!! Check us out live on facebook tonight at 7pm!! #tristate #big3season2 #miami #305… https://t.co/tPk1edx1on
1019643687947685900,Wed Jul 18 18:02:53 +0000 2018,Miami we here!! Get your tickets ASAP or catch us on facebook live at 7pm!! #big3season2 #facebook #miami… https://t.co/6olYUVPh1T
1018962478259204100,Mon Jul 16 20:56:00 +0000 2018,I need my MIAMI Family to show up and show out this Friday!! We live at @aaarena starting 7pm sharp!! Bring the who… https://t.co/r6wVj7vDu3
1017781067623747600,Fri Jul 13 14:41:30 +0000 2018,We live in Detroit TONIGHT!!! @thebig3 #Detroit #motorcity #big3season2 #3on3basketball #nba #tristate @ River Walk… https://t.co/iSs8OA9VXK
1016383117265985500,Mon Jul 09 18:06:33 +0000 2018,DETROIT!!!!! @thebig3 We coming to your city this Friday!! Get your tickets now! #big3season2 #Detroit #basketball… https://t.co/eW80Mh7exl
1015326216591740900,Fri Jul 06 20:06:48 +0000 2018,We all the way live tonight in Oakland! Make sure y’all tune in on @foxsports 8pm ET. Two Bay Area legends performi… https://t.co/psv1u2vzgd
1014590658508656600,Wed Jul 04 19:23:57 +0000 2018,Hope everyone is having an amazing 4th! Enjoy and be safe! Oakland we in the building this Friday. Bring the whole… https://t.co/qKR5L6W5tY
1013561949282500600,Sun Jul 01 23:16:14 +0000 2018,Killer workout today with the ladies at #activ8 in Weston!! Thanks Lucilene for inviting me and my Bros to your ama… https://t.co/jTGUCyxFrT
1012703985004736500,Fri Jun 29 14:26:59 +0000 2018,Tonight it goes down in Chicago!! Check us out live on @fs1 tonight. @thebig3 #getbuckets #big3season2 #chitown… https://t.co/ggU0Ieo9VV
1011435352157052900,Tue Jun 26 02:25:54 +0000 2018,Top 10 plays from week 1 in Houston!! Energy was crazy in Houston... My boy @nate_robinson Had the #toyotacenter ro… https://t.co/lw7nNRinNr
1011410730535530500,Tue Jun 26 00:48:03 +0000 2018,#mondaymotivation Keep Dreaming! Keep Pushing! Keep Grinding! Never Quit!! #God got you!! #blessed #prayedup… https://t.co/Lnm7cutH9I
1010686604372070400,Sun Jun 24 00:50:38 +0000 2018,Great way to start the @thebig3 season off with a win fellas! Let’s keep it going! Give me all 4 of those please!!… https://t.co/J7U6txRULZ
1010263902150537200,Fri Jun 22 20:50:58 +0000 2018,SQUAD!!! #tristate #gotime #big3season2 @OfficialDrJ6 @jermaineoneal bonziwells42 @amareisreal  @nate_robinson incr… https://t.co/zsB3N6LaOn
1010238048259493900,Fri Jun 22 19:08:14 +0000 2018,It’s go time!!! We live tonight! Make sure y’all tune in tonight 630pm eastern time and check ya boy out in the las… https://t.co/v5qAxYvhos
1010014232551649300,Fri Jun 22 04:18:52 +0000 2018,Another one! Congrats @brucebrown11 getting drafted! Let’s work!! #canesfamily #canesbasketball #miami #proudalum… https://t.co/UTFBK3QOPW
1009985196551221200,Fri Jun 22 02:23:30 +0000 2018,Congrats to young fella @lonniewalker_4 the 18th pick in the @NBA draft! Now the work really begins!! It’s all abou… https://t.co/7RZefvh2lk
1009215160630890500,Tue Jun 19 23:23:39 +0000 2018,Houston it’s going Down this Friday!!! Come… https://t.co/kopAX30OmB
1006637846890012700,Tue Jun 12 20:42:19 +0000 2018,Eastern Conference cities, did you think just… https://t.co/FhWjay75WD
1006182087353864200,Mon Jun 11 14:31:18 +0000 2018,#mondaymotivation Just keep going‼️Keep… https://t.co/1gL8G7Rk3u
1004873478623973400,Thu Jun 07 23:51:21 +0000 2018,SHOOTERS SHOOT!!🔥🔥🔥 @thebig3 flightschoolacademy… https://t.co/6NXmznhT9U
1004425470815948800,Wed Jun 06 18:11:08 +0000 2018,Tune in Every Friday starting June 22 to the… https://t.co/ENDx141W73
1001896598111047700,Wed May 30 18:42:17 +0000 2018,@gentlemenbrand presents Adult Swim Vol 2. Come… https://t.co/2t0JTn3dLC
1001281012628942800,Tue May 29 01:56:10 +0000 2018,We're proud to announce our new 3-on-3 youth… https://t.co/z2ByIq4yoO
994674551794556900,Thu May 10 20:24:27 +0000 2018,Thanks @michael12duncan for the dope kicks! Haven’t worn adidas in a… https://t.co/5Z6efGUfMr
991150957885968400,Tue May 01 03:02:57 +0000 2018,Matchups are set!!! Coming to a city near you!! What matchups are you guys… https://t.co/5amli7T8nY
989927741783879700,Fri Apr 27 18:02:20 +0000 2018,The face of hard work and determination. Working with My guy Ron T, owner and CEO of… https://t.co/uFIKcVciG8
988623347985498100,Tue Apr 24 03:39:08 +0000 2018,Late night session with my guy @kandd_totalbody at #work #hardwork #dedication #kanddtotalbody… https://t.co/EASifzyPqe
988485932289474600,Mon Apr 23 18:33:06 +0000 2018,Excited to start my new journey with Celebrity Health/Lfe Coach @mrhwgd Starting with a 14 day… https://t.co/xxJIC0JiUT
988427957633978400,Mon Apr 23 14:42:43 +0000 2018,#mondaymotivation Good Vibes and positivity to start this week! #amen #Godisgood #Godsplan… https://t.co/zdSRYo673K
987431436658597900,Fri Apr 20 20:42:54 +0000 2018,Tickets for the @thebig3 #season2 are officially on sale today!! Get yours before they sellout!!… https://t.co/NYhEjBtAhs
987411685177741300,Fri Apr 20 19:24:25 +0000 2018,#Repost taylorsportsgrp Just another day in the lab!  ・・・ Another Day Another Bucket @thebig3… https://t.co/nh2UOpOSkY
987087524974813200,Thu Apr 19 21:56:19 +0000 2018,#Repost @thebig3 check ya boy out this summer in the #Big3 with #TriState! #summer18… https://t.co/H1JMB5Pqzb
984874194075832300,Fri Apr 13 19:21:20 +0000 2018,Mama we made it!! Lol Thanking God for a new start, new life and the opportunity to do what I… https://t.co/S3ftQhEoP2
983405794598121500,Mon Apr 09 18:06:26 +0000 2018,#mondaymotivation #love #positivevibesonly #blessed #Beablessing #Godswill #faith #ibel13ve… https://t.co/3JKECCaaZ1
979083211983802400,Wed Mar 28 19:50:02 +0000 2018,Congrats to Cincinnati’s own and young fella nbabaze playing tonight in the  McDonald’s All… https://t.co/ueekrz7gkE
975848645370269700,Mon Mar 19 21:37:02 +0000 2018,#motivationmonday Just know that God is working in your favor! No matter what is going on in… https://t.co/zlBSQcf7o1
974746628241412100,Fri Mar 16 20:38:00 +0000 2018,It's going down! @djafrica celebrity birthday pool party at the beautiful @slsbrickell rooftop… https://t.co/8MQpp4aFIq
974349423227453400,Thu Mar 15 18:19:39 +0000 2018,#tbt That time of the year again...Time to dance! Let’s go Canes!! #UM #alumni #canesbasketball… https://t.co/7A70eVYOXM
973258978170982400,Mon Mar 12 18:06:37 +0000 2018,Life is about constantly growing and learning.  We should embrace the uncomfortable situations… https://t.co/bGlTHtWpHo
969269106494115800,Thu Mar 01 17:52:17 +0000 2018,#progressnotperfection #keepgoing #dontgiveup #godsplan #hiswill #manifest #ibel13ve #blessed… https://t.co/ZYGB75tO5D
965708473697751000,Mon Feb 19 22:03:36 +0000 2018,Mark it down on your calendars, this is going to be a young star studded event in Cincinnati,… https://t.co/LA5svlxCtD
964957480974454800,Sat Feb 17 20:19:26 +0000 2018,Brunch...Bottles... And 100 Models!  COUTURE AGAINST CANCER 🗓Saturday, February 17th 🕰1:00pm to… https://t.co/TtT0Q08Kt0
963562127876345900,Tue Feb 13 23:54:48 +0000 2018,Tonight is the first night starting off an exciting week of events for NBA All Star. Swipe left… https://t.co/4rtV9lk2XD
963449373316255700,Tue Feb 13 16:26:45 +0000 2018,Make sure y’all go check out the homie @GuyDupuy1 and his new page for his clothing brand!… https://t.co/La4QL1UUKs
958879343157088300,Thu Feb 01 01:47:05 +0000 2018,RIP to my guy @RasualButler45 and his wife @leahlabelle who died in a car crash this morning.… https://t.co/sYKj0ssauo
