id,created_at,text
1261113474878333000,Fri May 15 01:57:37 +0000 2020,RT @hearingradio: Yay it’s the @LIFTOFF_106 with @TheLALeakers @djsourmilk And @J_Credible on @Power106LA @jesseeka_92 @iambnyce @SKAMARTIS…
1261078752441688000,Thu May 14 23:39:38 +0000 2020,RT @djsourmilk: Wish me luck. I’ll be on IG live tomorrow (5/15) starting at 10pm. Gonna try to go until 10pm on Saturday (5/16). ⁦@SKAMART…
1260389227801395200,Wed May 13 01:59:43 +0000 2020,RT @hearingradio: Yay it’s the @LIFTOFF_106 with @TheLALeakers with @djsourmilk and @J_Credible on @Power106LA @jesseeka_92 @iambnyce #lift…
1260191532931399700,Tue May 12 12:54:09 +0000 2020,RT @djsourmilk: For those of you that watch DJ sets on IG live, what’s your favorite type of set to listen to or what would you wanna liste…
1259996935286448000,Tue May 12 00:00:53 +0000 2020,RT @Diddy: I honestly still can’t believe it, I’ve got to give myself the reality of this in doses. Because I can’t even handle this. I hop…
1259622659043688400,Sun May 10 23:13:39 +0000 2020,RT @EricDlux: 6pm PST I’ll be streaming from @XSlasvegas 🕺🏻🕺🏻🕺🏻🕺🏻🕺🏻 https://t.co/DtTTBAktri
1259345184204050400,Sun May 10 04:51:04 +0000 2020,RT @djbabyyu: The After Party : https://t.co/MzQM6gwXw7 Follow on IG / Twitter /  Facebook - @djbabyyu https://t.co/o87N7nIbqp
1259161055382499300,Sat May 09 16:39:24 +0000 2020,RT @djsourmilk: Checking sound with the cable I ordered to do my IG live. No Roland Go, no iRig... just a $20 cable. Sounds good!!! https:/…
1258975134704009200,Sat May 09 04:20:37 +0000 2020,RT @DJERock: #EROCKFRIDAYS https://t.co/dld7l4Hx7d
1258730542108831700,Fri May 08 12:08:41 +0000 2020,RT @hmcheadliner: Throwback to @Tyga playing members #AyyMacarena at the Headliner Music Conference + Full recap [HERE]: https://t.co/VLeOA…
1258573348855926800,Fri May 08 01:44:04 +0000 2020,RT @Footaction: #CouchMusic LIVE is going down! @ogchaseb will be spinning from  7P-8P with a special mix inspired by the #Jordan Retro 1 "…
1258505416671027200,Thu May 07 21:14:07 +0000 2020,RT @hearingradio: Turn your radios up #LA it’s the #newat2 with the #heavyhitter @SKAMARTIST own @DJFelliFel @TheHeavyHitters and @ItsBryha…
