id,created_at,text
1260214910862016500,Tue May 12 14:27:03 +0000 2020,#Lockdown4 ? https://t.co/xUZn4ov4QY
1260132849400729600,Tue May 12 09:00:58 +0000 2020,RT @filmfare: #SaiyamiKher shares a video that will bring joy to every Indian. https://t.co/GjSfWMvAjw
1259425627611951000,Sun May 10 10:10:43 +0000 2020,The many roles of my mother. Shared with @filmfare :) Happy Mother’s Day! #MothersDay https://t.co/KGc00palBo
1259409703689281500,Sun May 10 09:07:26 +0000 2020,@filmfare ❤️
1259409702074503200,Sun May 10 09:07:26 +0000 2020,RT @filmfare: #MothersDayWithFilmfare  @SaiyamiKher’s mother plays many roles in her life. On this #MothersDay, she talks about how her mum…
1259376308896874500,Sun May 10 06:54:44 +0000 2020,@sonamohapatra @sanjoygt @RamSampathLive @swanandkirkire @aamir_khan @satyamevjayate ❤️
1259109813306314800,Sat May 09 13:15:47 +0000 2020,Meet Raju. The only friend I’ve met in the last 50 days :)  #Lockdown https://t.co/4xwVLqq54Q
1258659367403937800,Fri May 08 07:25:52 +0000 2020,RT @YUVSTRONG12: Very unfortunate news again !!  My prayers are with the innocent who lost their lives in the tragic rail accident this mor…
1258257966362329000,Thu May 07 04:50:51 +0000 2020,Really frightening visuals from the Vizag gas leak. Hoping &amp; praying for those affected. It’s really high time we s… https://t.co/5WPXQ6enpZ
1257949532437934000,Wed May 06 08:25:14 +0000 2020,🌞 https://t.co/re1FY6lBOF
1257894687223935000,Wed May 06 04:47:18 +0000 2020,@sujoy_g Superb 🙏🏽
1257339097926045700,Mon May 04 15:59:35 +0000 2020,RT @ajinkyarahane88: Really sad about our soldiers martyred in Handwara. My prayers are with them and their families.  We are forever indeb…
1256118725566029800,Fri May 01 07:10:16 +0000 2020,New month. Really hope this month brings some good news.   Fitness at home has kept me sane in this lockdown. Will… https://t.co/cC7EMFpWVm
1255721860634824700,Thu Apr 30 04:53:16 +0000 2020,Rishi Sir 💔😔 What is happening...
1255392307634933800,Wed Apr 29 07:03:44 +0000 2020,Irrfan Sir 💔💔💔
1255370235210850300,Wed Apr 29 05:36:02 +0000 2020,Wear a mask Don’t gather in a mass This too shall pass... #LockDown #QuarantineLife #Coronavirus https://t.co/yiMmMlsHxE
1255036558203216000,Tue Apr 28 07:30:07 +0000 2020,@ShirishKunder @BajpayeeManoj @mohituraina @NetflixIndia @TheFarahKhan @shrishtiarya @Asli_Jacqueline Good luck! Looking forward to it :)
1254742992214036500,Mon Apr 27 12:03:35 +0000 2020,Corona please please go away.  #LockDown #CurrentMood https://t.co/8dD9DBw4KS
1254641593673371600,Mon Apr 27 05:20:40 +0000 2020,RT @CMOMaharashtra: CM Uddhav Balasaheb Thackeray's address to the State:  Firstly, I would like to thank everyone across religious and cas…
1254305862144782300,Sun Apr 26 07:06:36 +0000 2020,Pushpa, I hate tears... (This is guaranteed no tears method)  #AmateurChef #LockdownCooking #QuarantineLife https://t.co/5sYN6N594T
1254271363579289600,Sun Apr 26 04:49:30 +0000 2020,Kabuli Biryani. It was originally made as a Holi ritual by Dadima (Shaukat Azmi) during the traditional Holi gather… https://t.co/48lrnnSW7Z
1254267285361111000,Sun Apr 26 04:33:18 +0000 2020,@sachin_rt @Shankar_Live Yes :) Old games and your straight drives still keeping a lot of us sane in Lockdown.
1254079364393660400,Sat Apr 25 16:06:34 +0000 2020,RT @filmfare: #FilmfareExclusive   @SaiyamiKher cooks for us her grandmother’s special Kabuli Biryani and here’s how you can make it too.…
1254061249253396500,Sat Apr 25 14:54:35 +0000 2020,@filmfare @Itemboi ❤️
1254043059525791700,Sat Apr 25 13:42:19 +0000 2020,RT @filmfare: The beautiful @SaiyamiKher shares the recipe of her grandmother’s famed Kabuli biryani with @Itemboi.   https://t.co/21S3YGvF…
1253563225909506000,Fri Apr 24 05:55:37 +0000 2020,@sid_mahadevan What a night ❤️
1253557038136750000,Fri Apr 24 05:31:02 +0000 2020,Watching 2 legends from Short Leg. Truly blessed. Happy birthday @sachin_rt :)  #HappyBirthdaySachin https://t.co/fJFJP0eprt
1253515922171551700,Fri Apr 24 02:47:39 +0000 2020,RT @FilmHistoryPic: Remembering USHA KIRAN on birth anniversary  renowned for her work in Hindi &amp; Marathi cinema; she also served as the Sh…
1253515902475067400,Fri Apr 24 02:47:35 +0000 2020,RT @msteckchandani: @AzmiShabana वो रंग भरते है ज़िन्दगी में, बदल रहा है मेरा जहाँ, कोई सितारें लुटा रहा था, किसी ने दामन बिछा दिया। किसी…
1253165621396729900,Thu Apr 23 03:35:41 +0000 2020,RT @swanandkirkire: तुम इतना जो चीखे जा रहे हो...  क्या 'सच' है जिसको छुपा रहे हो... ? #IndianMedia
1252874517107470300,Wed Apr 22 08:18:56 +0000 2020,@misterbistar Paneer khaana hai to Paneer ki tarha Bano...
1252816015634731000,Wed Apr 22 04:26:28 +0000 2020,@ShoojitSircar Absolutely!
1252805394843316200,Wed Apr 22 03:44:16 +0000 2020,RT @Bollywoodirect: Remembering #UshaKiran Ji, one of the finest actresses in Hindi and Marathi cinema, on her birth anniversary (22/04). I…
1252499194402627600,Tue Apr 21 07:27:32 +0000 2020,Miss pretending to sleep on a paddle boat, in the scorching heat.  When actually I’m posing because it will make a… https://t.co/hNRBTk1Wcg
1252451970025021400,Tue Apr 21 04:19:53 +0000 2020,2-3-4 yrs later when Fed &amp; Nadal think of retiring, I wish they partner &amp; start playing doubles together ❤️… https://t.co/YCpmFYYbwR
1252282081511522300,Mon Apr 20 17:04:49 +0000 2020,RT @cricketwallah: Highlight of the lockdown for me so far😊 https://t.co/KSBVA1T3rn
1252122617395339300,Mon Apr 20 06:31:09 +0000 2020,Wow! She’s beautiful!   @BCCIWomen @ImHarmanpreet @JemiRodrigues @mandhana_smriti https://t.co/VJQks8KsbJ
1251763586780655600,Sun Apr 19 06:44:30 +0000 2020,Last year. This time.  The crystal clear blue water of Greece.  Can’t wait to dive in there again 🐬 . #GoCoronaGo https://t.co/Xc8LFkLAJ3
1251725118788657200,Sun Apr 19 04:11:38 +0000 2020,RT @lifestyle_ie: Acrivities like composting can be a great deal of a workout. @SaiyamiKher shows us how.  https://t.co/qx2WJWkQt4
1251382028932546600,Sat Apr 18 05:28:19 +0000 2020,@PawanDurani 😁
1251381867820937200,Sat Apr 18 05:27:41 +0000 2020,@hemangkbadani Thankyou so much 😁
1251381379981435000,Sat Apr 18 05:25:45 +0000 2020,@ImRahulSharma3 @kaykaymenon02 @pathakvinay @divyadutta25 @kokodiaries @neerajpofficial @karantacker Thanks Rahul! Glad you liked it
1251365112876634000,Sat Apr 18 04:21:06 +0000 2020,In school when 2-3 kids behaved badly and the whole class was punished, made to do maths in their sports class... T… https://t.co/L9ruINnU9P
1250320381811945500,Wed Apr 15 07:09:43 +0000 2020,Lockdown 2.0. Let’s do this for us 🙏🏽  . #Lockdown #WearAMask https://t.co/mrk9giT9Eg
1250258401629593600,Wed Apr 15 03:03:26 +0000 2020,Thankyou for all the suggestions! I think Ozark it is to start with.
1250028590478946300,Tue Apr 14 11:50:15 +0000 2020,Lockdown 2.0 any suggestions what I should watch?  The last 21 days have finished watching -   You Money heist 4 Sp… https://t.co/EhN6DTieRd
1249593036813680600,Mon Apr 13 06:59:30 +0000 2020,The jhaadu Poocha look.   #QuarantineLife #Lockdown https://t.co/XTP12M8z3z
1249579923469004800,Mon Apr 13 06:07:24 +0000 2020,@MeiyangChang @rogerfederer For me it’s Feds single hand backhand and SRTs straight drive ❤️
1249579430592123000,Mon Apr 13 06:05:26 +0000 2020,RT @_AdilHussain: How overwhelming to read these amazing news... I hope the Mainstream Media would cover these news and help people to rema…
1249195117942014000,Sun Apr 12 04:38:19 +0000 2020,To all Federer fans, actually all tennis, sport loving fans and to all those who aren’t even fans please watch this… https://t.co/PE85vU9AJw
1248905871335100400,Sat Apr 11 09:28:57 +0000 2020,That’s me looking at the jhaadu and poocha... hoping they grow hands and legs and clean the house by themselves 😩 .… https://t.co/NlfHEOSaBq
1248824005118677000,Sat Apr 11 04:03:39 +0000 2020,RT @PrimeVideo: Watch to the end for a holy surprise. 🎁 #FleabagForCharity is sharing the original stage play for rent on Prime Video. All…
1248633588561481700,Fri Apr 10 15:27:00 +0000 2020,Ok there you go...  1. George Bailey  2. Shiv Chanderpaul  3. KP 4. Lara  5. Ponting 6. Dravid  7. SRT 8. Steve smith  9. VK
1248633440884248600,Fri Apr 10 15:26:25 +0000 2020,@ayushmannk Beautiful
1248552779775217700,Fri Apr 10 10:05:54 +0000 2020,This is good fun guys! Guess away. https://t.co/WxLZhBgamd
1248457059424596000,Fri Apr 10 03:45:32 +0000 2020,RT @Wimbledon: Play is suspended, but we cheer for a different kind of champion.  Narrated by @rogerfederer.  #StayHomeSaveLives | #ClapFor…
1248105867897012200,Thu Apr 09 04:30:02 +0000 2020,RT @RakeyshOmMehra: #Masakali #Delhi6 Created with love &amp; passion an iconic song that has to be preserved. Beware of the re- mix it will da…
1248105558273482800,Thu Apr 09 04:28:48 +0000 2020,RT @swanandkirkire: Masakaali Massacred ! https://t.co/YFXHgnTJit
