id,created_at,text
1259517433871626200,Sun May 10 16:15:31 +0000 2020,RT @TourismFaith: We urge the government to lend its support to the #Tourism Industry #SaveIndianTourism #savetravelagents #savetourismjobs…
1258756328899571700,Fri May 08 13:51:10 +0000 2020,RT @TourismFaith: All segments set to collapse for Indian #Tourism  for Fy 20-21 , Domestic, Outbound &amp; VFR for Apr-July,  Inbound for Oct-…
1257507974618083300,Tue May 05 03:10:39 +0000 2020,RT @NRAI_India: 50 Lakh Meals.6 Cities.30 Days. Thank you to the Real-life Heroes-Restaurant Staff,who worked behind the scenes to serve th…
1257143136813342700,Mon May 04 03:00:55 +0000 2020,RT @sourishb1963: Restaurants may not have business, but they have a heart. @NRAI_India shows the way, but is the govt ready to give restau…
1256787630366154800,Sun May 03 03:28:15 +0000 2020,RT @tomsietsema: Life is smaller and less colorful without restaurants — more Kansas than Oz. I miss their luscious chaos.  https://t.co/KC…
1256221023340499000,Fri May 01 13:56:46 +0000 2020,Indian Jugaad ! https://t.co/goMU3309nX
1255761634196287500,Thu Apr 30 07:31:19 +0000 2020,RT @NRAI_India: NRAI launches its first ever platform to support our Members &amp; their Employees - Rise4Restaurants. Help your favourite Rest…
1254972954737127400,Tue Apr 28 03:17:23 +0000 2020,RT @NRAI_India: Over 4 MILLION MEALS served till now under NRAI #FeedTheNeedy Initiative.Super proud &amp; happy that we are able to do our bit…
1253506035068711000,Fri Apr 24 02:08:22 +0000 2020,@rajcheerfull Congrats !
1252981262567932000,Wed Apr 22 15:23:06 +0000 2020,RT @NRAI_India: It’s 3 MILLION MEALS! #NRAI Feed The Needy initiative is serving the underprivileged daily.We couldn’t have achieved this w…
1252257784264929300,Mon Apr 20 15:28:16 +0000 2020,RT @sourishb1963: A great example to follow. MHA should let Kerala function normally without politics clouding the situation. India has to…
1252075900436246500,Mon Apr 20 03:25:31 +0000 2020,RT @Ram_Guha: The project to redesign the Central Vista was always controversial. With COVID-19 it has become untenable. The Prime Minister…
1252074774848696300,Mon Apr 20 03:21:03 +0000 2020,RT @KingKatriar: Proud to say that we have now served more than TWENTY LAKH meals and 2.50 LAKH CUPS OF TEA to the needy under the #FeedThe…
1252074717449646000,Mon Apr 20 03:20:49 +0000 2020,RT @sagarikaghose: The #coronavirus can be cured but who will cure the age old communal virus that infects India ? Religious hatred, nurtur…
1251706735133200400,Sun Apr 19 02:58:35 +0000 2020,RT @NRAI_India: TWO MILLION MEALS &amp; counting! A big THANK YOU for all the support, kindness &amp; love. NRAI #FeedTheNeedy initiative is gettin…
1251347009606303700,Sat Apr 18 03:09:10 +0000 2020,RT @Suparna_Singh: Such a relief. Appears that the lockdown has really helped. #StayHome https://t.co/T1mvFXiLw4
1250973285971488800,Fri Apr 17 02:24:07 +0000 2020,RT @CNTIndia: What does the #travel industry do when nobody’s travelling? The same thing they always do—serve! The last few weeks have been…
1249705591611617300,Mon Apr 13 14:26:46 +0000 2020,RT @NRAI_India: And it’s over ONE MILLION meals! We thank everyone who wholeheartedly supported the #NRAI FEED THE NEEDY programme. Keep co…
1247837545410384000,Wed Apr 08 10:43:49 +0000 2020,RT @KingKatriar: We have now served over HALF A MILLION MEALS to the underprivileged in just over a week. Need more support to keep this go…
1247724390042615800,Wed Apr 08 03:14:10 +0000 2020,RT @sourishb1963: Hospitality sector fighting to survive with back to the wall. Government must realise 7m jobs are at stake &amp; calculate ri…
1247724368987181000,Wed Apr 08 03:14:05 +0000 2020,RT @RiyaazAmlani: Panic and paralysis is plaguing retail due to uncertainties. Clear message from the GoVts needed to save jobs. “If the go…
1247141096561332200,Mon Apr 06 12:36:22 +0000 2020,RT @KingKatriar: Happy to share that we served over 1.31 lakh meals to the underprivileged this weekend, taking our overall tally to over 3…
1246294360318029800,Sat Apr 04 04:31:45 +0000 2020,RT @Rajan_Medhekar: This is Reshma Mohandas. She was the first Health Care worker from #Kerala who contracted #Covid19 while treating 2 eld…
1246292780034347000,Sat Apr 04 04:25:28 +0000 2020,RT @ShamikaRavi: India has announced the least fiscal stimulus (1%) and imposed the strictest policies to counter #Covid19India . This is n…
1245673635647373300,Thu Apr 02 11:25:12 +0000 2020,RT @sourishb1963: It is inspirational to see one of the industries worst hit by #COVID19 join hands to serve poor &amp; needy. #NRAI President…
1245210687460143000,Wed Apr 01 04:45:37 +0000 2020,RT @RiyaazAmlani: Can pay salary, not rent or taxes, for restaurants: Riyaaz Amlani https://t.co/azIPL7bZ5g
1245209457899892700,Wed Apr 01 04:40:44 +0000 2020,RT @dineout_india: Let’s show our full support towards F&amp;B industry. Sign this petition to make @FinMinIndia hear our plea &amp; help save rest…
1244844632053125000,Tue Mar 31 04:31:03 +0000 2020,RT @NRAI_India: Requesting all to come forward and contribute for a noble cause! Every bit counts! 🙏🏻 #FeedTheNeedy #NRAI #DonateNow #StayH…
1243745621263057000,Sat Mar 28 03:43:58 +0000 2020,RT @gauridetails: Pls watch this to get some perspective on the effect of Covid on the Indian restaurant industry @TheQuint @NRAI_India @Ki…
1243534015228862500,Fri Mar 27 13:43:07 +0000 2020,RT @NRAI_India: Thank u Hon'ble PM @narendramodi, Hon'ble FM @nsitharaman &amp; RBI Governor @DasShaktikanta for announcing moratorium on all l…
1242836080417636400,Wed Mar 25 15:29:47 +0000 2020,RIP Floyd Cardoz 🙏 https://t.co/Htq6u4g2Sh
1242463641380610000,Tue Mar 24 14:49:50 +0000 2020,RT @virsanghvi: Hello @DelhiPolice ! Just so many complaints about your men harassing &amp; beating up food delivery guys. Can you sensitivise…
1242374549989027800,Tue Mar 24 08:55:49 +0000 2020,RT @gauridetails: Thank you @mid_day @phorumpandya for sharing the seriousness of the plight of our employees - @NRAI_India @RiyaazAmlani @…
1242235154854076400,Mon Mar 23 23:41:55 +0000 2020,RT @sardesairajdeep: While the country reels under corona spread, is GOI still going ahead with its RS 20,000 crore plan for renovating Raj…
1241960641365020700,Mon Mar 23 05:31:06 +0000 2020,RT @gauridetails: @NRAI_India @rahulakerkar @RiyaazAmlani @KingKatriar @rahulbeer @SamirKuckreja @livemint https://t.co/PT6qVZZBN9
1241549440596377600,Sun Mar 22 02:17:08 +0000 2020,RT @ArvindKejriwal: Corona restrictions causing terrible financial stress to poor. Following decisions taken to provide them relief-  1. Rs…
1241255695892152300,Sat Mar 21 06:49:53 +0000 2020,Urgent help needed @nsitharamanoffc @nsitharaman @PMOIndia @ndcnn @sourishb1963 @virsanghvi @ratnabhushanET… https://t.co/lHEXc3y4oI
1241254918133956600,Sat Mar 21 06:46:48 +0000 2020,@ndcnn @RiyaazAmlani Absolutely correct @ndcnn
1241254457859428400,Sat Mar 21 06:44:58 +0000 2020,RT @gauridetails: The need of the hour is employee welfare &amp; abeyance on imminent statutory dues inc VAT, GST, Excise lic fees. Most restau…
1240799720957546500,Fri Mar 20 00:38:01 +0000 2020,RT @anandmahindra: A real morale booster when we need it...Kudos to all those in India on the frontline of the battle. Hospital, airline st…
1240799054050676700,Fri Mar 20 00:35:22 +0000 2020,RT @udaykotak: Coronavirus humbles our species - a reminder to always respect Mother Nature, even her smallest speck. Time for science to h…
