id,created_at,text
1260280142762348500,Tue May 12 18:46:15 +0000 2020,Tutorial: cute princess braids https://t.co/xtrFF6L8U4 via @YouTube
1260275062927585300,Tue May 12 18:26:04 +0000 2020,I wish working mums on Netflix was longer. I saw the new season soooo quick
1259560067751268400,Sun May 10 19:04:56 +0000 2020,Sunday fun day? Btw I’m working on that little tutorial for you guys! :)) it’s suuuuper easy to do! 🤗 @ Los Angeles… https://t.co/s9wbHaHzFn
1259304586923241500,Sun May 10 02:09:44 +0000 2020,😭😭😭 https://t.co/WXXHGxr5uj
1259302891459772400,Sun May 10 02:03:00 +0000 2020,I just try to get a @Nintendo switch and they are sold out everywhere 😭😭😭😭😭😭😭😭😭 I just want to build an island and play Mario cart 😭 #ANCH
1259204630849835000,Sat May 09 19:32:33 +0000 2020,Honestly missing dog groomers so much, washing south is the hardest thing ever! I end up getting all scratch 🙈 shibas haaaate showers
1259174044009726000,Sat May 09 17:31:01 +0000 2020,Should I do a little tutorial how to do this hair? 🤗 @ Los Angeles, California https://t.co/Gnco0Z3YFS
1258805744771752000,Fri May 08 17:07:31 +0000 2020,He’s kinda cute 😂 @ Los Angeles, California https://t.co/hxTuhvfbRJ
1258451409898360800,Thu May 07 17:39:31 +0000 2020,👀🌴 @ Los Angeles, California https://t.co/pMX0Vo4TkT
1258121238490132500,Wed May 06 19:47:32 +0000 2020,There was just lots of puppy love ❤️❤️❤️ https://t.co/9rZTIdWObq
1258050033414365200,Wed May 06 15:04:36 +0000 2020,I can’t tell you how much I love this photo 😩😍🐶 my sweet boy @ Los Angeles, California https://t.co/INzmapsAej
1257745825888907300,Tue May 05 18:55:47 +0000 2020,Tie dye dreams 👚 @ Los Angeles, California https://t.co/Bjsotcs3ie
1257701676968022000,Tue May 05 16:00:21 +0000 2020,New for @violetgrey screen test shot by @benhassettphoto make up samvissermakeup hair davidvoncannon creative direc… https://t.co/59WipQZTjA
1257533812315046000,Tue May 05 04:53:19 +0000 2020,RT @fendifatale: The power I exuded....chefs kiss
1257516726947688400,Tue May 05 03:45:25 +0000 2020,I wasn’t emotional ready for #Normalpeoplehulu I feel like I’ve gone thru 100 breakups in 24h
1257485098355576800,Tue May 05 01:39:45 +0000 2020,@ClaydYila I’m at this part, and all I can think of is how dumb is he!!!!
1257484978054553600,Tue May 05 01:39:16 +0000 2020,RT @ClaydYila: ugh the part where connell is too chicken-shit to ask marianne to stay with her for the summer cos he couldn’t afford rent,…
1257359951909003300,Mon May 04 17:22:27 +0000 2020,Just posted a photo @ Los Angeles, California https://t.co/I2i4VHlq1c
1257203590856228900,Mon May 04 07:01:08 +0000 2020,The girl from normal people reminds me so much of Dakota Johnson 😍
1257085111599870000,Sun May 03 23:10:20 +0000 2020,It’s a rosé kind of day! Also don’t cut limes and then go in the sun 😂 https://t.co/eeEMyIpKBp
1257009993938645000,Sun May 03 18:11:51 +0000 2020,Ohhhh the memories 😭 https://t.co/nLTC8sOTaX
1257008189981241300,Sun May 03 18:04:41 +0000 2020,Feliz dia da mãe ❤️❤️❤️ muitas saudades https://t.co/7wJoHPiOju
1256663178970140700,Sat May 02 19:13:44 +0000 2020,RT @SaintHoax: Me: 2020 can’t get any worse  Murder Hornets arriving in the US: https://t.co/1dR8XL4LVn
1256642642135269400,Sat May 02 17:52:07 +0000 2020,Yup, no! I’m out! https://t.co/fQxdMgEkDZ
1256638133829021700,Sat May 02 17:34:12 +0000 2020,Morning morning! 🤗 https://t.co/W8gbhhFBpY
1256466363813490700,Sat May 02 06:11:39 +0000 2020,Im pretty sure my English teacher and English text books, said dice is singular and dices is plural! But they lieeee
1256465578836951000,Sat May 02 06:08:32 +0000 2020,And dices as a noun doesn’t really exist!
1256464699375288300,Sat May 02 06:05:02 +0000 2020,I was today years old that I learnt that dice is plural and it’s the singular or die. So we should say: can I have… https://t.co/oFwUyvwhnh
1256309066076434400,Fri May 01 19:46:37 +0000 2020,🐶🐶 I know all I’ve been posting is dog pictures, but he made it to a magazine so here it is 😂 jackwaterlotstudio ha… https://t.co/6xFJY9qlEx
