id,created_at,text
1260325002328473600,Tue May 12 21:44:30 +0000 2020,@blacksarabbath haha 😂 grazie 😊
1260324937199280000,Tue May 12 21:44:15 +0000 2020,RT @blacksarabbath: If @SashaVujacic had his own doll 🤣 https://t.co/sDgBCKaf4h
1260079944350101500,Tue May 12 05:30:44 +0000 2020,@AleksanderWine #aleksanderwineclub ❤️
1259707124785066000,Mon May 11 04:49:17 +0000 2020,❤️ @aleksanderwine pizza night with family. #family #aleksanderwine #aleksanderwineclub #nekotoodgorevidisve #pizza https://t.co/KtxR9nuycl
1259677567218380800,Mon May 11 02:51:50 +0000 2020,RT @NBA: 1995-96 Chicago Bulls: 72-10  It don’t mean a thing without the ring.  The Last Dance on ESPN https://t.co/jXa2M194Ur
1259659824989536300,Mon May 11 01:41:20 +0000 2020,RT @AleksanderWine: Happy Mother’s Day to all the amazing mamas, and especially to ours. 🌺 @ Aleksander Wine by S&amp;G Estate https://t.co/e6q…
1259548499059683300,Sun May 10 18:18:58 +0000 2020,RT @Djusa33: After IG he is taking over #twitter 💪🏼 Started with the team work 😂😂😂 #18months old 🤷🏼‍♂️😂 https://t.co/X7QCSWoIW4
1259548386711109600,Sun May 10 18:18:31 +0000 2020,RT @paulocoelho: What you believe, you become  What you fear, you attract
1259295865539264500,Sun May 10 01:35:05 +0000 2020,our #aleksanderwineclub members are our extended family. in vino veritas @aleksanderwine ❤️ #aleksanderwine… https://t.co/y47nGQcoFI
1259292089226899500,Sun May 10 01:20:05 +0000 2020,RT @paulocoelho: We are born to love one another; everything else is an excuse
1258205734770053000,Thu May 07 01:23:18 +0000 2020,RT @pwdan: "Never  let a good crisis go to waste." - Winston Churchill
1258204375186419700,Thu May 07 01:17:54 +0000 2020,versatility 🚜 🤷🏻‍♂️ @aleksanderwine #nekotoodgorevidisve #aleksanderwine #aleksanderwineclub #family… https://t.co/IDcpSuzUXi
1258123012311662600,Wed May 06 19:54:35 +0000 2020,RT @AleksanderWine: 🍇 @ Aleksander Wine by S&amp;G Estate https://t.co/7JKyC597wb
1258122262642753500,Wed May 06 19:51:36 +0000 2020,RT @mcuban: The One Thing in Life We Can Control is Our Effort
1257529260962537500,Tue May 05 04:35:14 +0000 2020,@JonGordon11 @McConaughey bravo! 💯
1257507073522233300,Tue May 05 03:07:04 +0000 2020,RT @SportsCenter: 💜🐍💛  #TheLastDance https://t.co/7L5tzPFzT8
1257506918794268700,Tue May 05 03:06:27 +0000 2020,#TheLastDance is truly special &amp; pure perfection. Just like 🏀 goatS MJ &amp; my grande fratello  @kobebryant were. #nekotoodgorevidisve
1257504821562634200,Tue May 05 02:58:07 +0000 2020,RT @NBA: Behind-the-lens 📸  NBAE Photographer @ADBPhotoInc takes us back to Kobe &amp; Michael in 1998! The Last Dance continues Sunday, May 10…
1257504526526935000,Tue May 05 02:56:57 +0000 2020,RT @blacksarabbath: Bonsoir from me &amp; @SashaVujacic chillin' in Paris 😌🤣 https://t.co/Fftur0F6ek
1257504430544400400,Tue May 05 02:56:34 +0000 2020,RT @chicagobulls: Michael. Kobe. Basketball Royalty.  #TheLastDance https://t.co/mmlK3XlbgW
1257331952325021700,Mon May 04 15:31:12 +0000 2020,RT @Lakers: Forever linked. #TheLastDance https://t.co/lray0Gkwob
1257126183021375500,Mon May 04 01:53:32 +0000 2020,RT @CigarAficMag: Did you know Michael Jordan smoked cigars on his way to games with the @chicagobulls? #TheLastDance continues tonight on…
1257126070408450000,Mon May 04 01:53:06 +0000 2020,RT @NBA: NOW PLAYING.  The Last Dance on ESPN 📺 https://t.co/C6d3vy27xm
1256454644022173700,Sat May 02 05:25:05 +0000 2020,RT @AleksanderWine: Well, another vintage is officially in the bottles. Our 2016 Aleksander Reserve - a blend of all 5 of our estate grown…
1256405414264164400,Sat May 02 02:09:28 +0000 2020,#Repost @aleksanderwine with make_repost ・・・ Well, another vintage is officially in the bottles. Our 2016 Aleksande… https://t.co/gKIA6WwBYm
1256106855341805600,Fri May 01 06:23:06 +0000 2020,RT @ZenEssentials: "Stand up to your obstacles;  do something about them.  You will find that they haven't half the strength  you think the…
1256097679341285400,Fri May 01 05:46:38 +0000 2020,RT @mcuban: Here are 3 important PPP facts to know this morning. 1- there is money still in the system 2- it’s ok to apply with more than 1…
1256045162989367300,Fri May 01 02:17:57 +0000 2020,RT @TheRedScare10: @SBNation First jersey I ever purchased was my boy @SashaVujacic !!!
1255562362893074400,Wed Apr 29 18:19:29 +0000 2020,family vino work @aleksanderwine some pushups in between &amp; #winewednesday country tunes 🎶👌 #aleksanderwine… https://t.co/yvm7MUPBS6
1254615232045072400,Mon Apr 27 03:35:55 +0000 2020,Happy 27th Birthday to my little brother! It’s a Zeus day!  #socialdistancing #andràtuttobene #nekotoodgorevidisve… https://t.co/YfhnZeuiLM
1253904622533529600,Sat Apr 25 04:32:13 +0000 2020,RT @JeanieBuss: Phil distributed a book (during the first long road trip) to each player chosen specifically chosen for him.  Some would en…
1253506630135709700,Fri Apr 24 02:10:44 +0000 2020,“wine is bottled poetry” @aleksanderwine #socialdistancing #andràtuttobene #nekotoodgorevidisve #aleksanderwine… https://t.co/7aGAUGhNEs
1253152171698172000,Thu Apr 23 02:42:14 +0000 2020,RT @AleksanderWine: Every day we are grateful for Mother Nature’s fruitful gifts. Happy Earth Day! 🍇 @ Aleksander Wine by S&amp;G Estate https:…
1253130162473844700,Thu Apr 23 01:14:47 +0000 2020,RT @AleksanderWine: Happy Birthday to our queen, mama Sena! 👑 @ Aleksander Wine by S&amp;G Estate https://t.co/N5YOrJXdJ2
1252797387996831700,Wed Apr 22 03:12:27 +0000 2020,Happy Birthday to the most beautiful person on this planet, it happens to be my mama and my best friend #Repost… https://t.co/PKrtEYi5my
1252039088690978800,Mon Apr 20 00:59:15 +0000 2020,RT @chicagobulls: Aaaaaaaaaaaaand now... https://t.co/EH3JBwKWwp
1252038976845738000,Mon Apr 20 00:58:48 +0000 2020,RT @JeanieBuss: I am missing my team!! Friends, family co-workers! Let’s all watch the new documentary “Last Dance” on ESPN and maybe we wo…
1251908388553846800,Sun Apr 19 16:19:53 +0000 2020,RT @NBA: It all begins TONIGHT.   🏆: #TheLastDance  ⏰: 9:00 PM ET 📺: ESPN https://t.co/LW2MY9nRHh
