id,created_at,text
1260243851043696600,Tue May 12 16:22:02 +0000 2020,When you have no idea How many zeros does 20Lakh Crore consist of??? If Riyaz Naikoo bhi gaya yaar had a face.👇… https://t.co/zbXUf5nJ7F
1260239927075197000,Tue May 12 16:06:27 +0000 2020,J.P.Narayan ji's aatma was laughing loud looking at this tweet of Congress party. #AatmanirbharBharat https://t.co/q9PYpmk98i
1260238718411001900,Tue May 12 16:01:39 +0000 2020,This congress won't tell you the highest rise is seen in the state ruled by Congress party..... Height of self goal https://t.co/Y0mVpRv1YA
1260226158894829600,Tue May 12 15:11:44 +0000 2020,RT @Sunil_Deodhar: Attended the launch of Online Free Tele-Medicine App, #BJP_VIDMED, developed by Drs of @BJP4Andhra for AP people. I appr…
1259800024436879400,Mon May 11 10:58:26 +0000 2020,RT @Sunil_Deodhar: -Over 4000 stranded Indians already brought back to their home.  -23 Flights have operated to brought them back under Va…
1259711796660691000,Mon May 11 05:07:51 +0000 2020,Happy Birthday to senior journalist @chitraaum ji  May God fulfill all your wishes and gives you all the happiness… https://t.co/7neP66Epm4
1259530885457563600,Sun May 10 17:08:58 +0000 2020,RT @Sunil_Deodhar: माँ हमें निःस्वार्थ प्रेम देती है, परिवार की ज़रूरतों को पूरा करने का अथक प्रयास करती है। भारतीय संस्कृति हमें कृतज्ञता…
1259148232417874000,Sat May 09 15:48:27 +0000 2020,Congress breaks its own record of stooping to ever low.... 19000 cases are solely from Maharashtra where your BailG… https://t.co/PHDRKtT3yH
1259106935363653600,Sat May 09 13:04:21 +0000 2020,On mother's day Tomorrow, watch this special session of @CharuPragya with @poonam_mahajan Ji on Instagram.  Looking… https://t.co/cMqHxkat0G
1259101505488994300,Sat May 09 12:42:46 +0000 2020,We pray for your good health and long life.   May God give good sense to false propagandist. https://t.co/j4Ixa6ZfWs
1259101400786563000,Sat May 09 12:42:21 +0000 2020,RT @PawanKalyan: It is sad,such baseless rumours are being spread on Hon.Home Minister Sri @AmitShah ji.
1258671769247875000,Fri May 08 08:15:09 +0000 2020,RT @AerpulaVenkata: Shame on TRS MLA Bhupal.Reddy celebrating his B day with 500 people. It is a gross violation of COVID-19.guidelines iss…
