id,created_at,text
1260444203424927700,Wed May 13 05:38:10 +0000 2020,I don’t know about fellow Guardians, but I’m just tired #Destiny2. I’m not gonna do a single public event for this… https://t.co/Ygy0cZhM4T
1260347515456512000,Tue May 12 23:13:58 +0000 2020,https://t.co/axMuXVguOb
1260344339575664600,Tue May 12 23:01:21 +0000 2020,Happy #InternationalNursesDay! Today we join the #LetsBuildTogether movement and build a ❤️ to show our love and ap… https://t.co/0C0vOlN2Hs
1260319849185595400,Tue May 12 21:24:02 +0000 2020,RT @EW: When you spend time with #FridayNightLights’ Coach Taylor, you’re bound to have some good advice. @ScottPorter has some words of wi…
1260267062057816000,Tue May 12 17:54:16 +0000 2020,@KennethArthuRS @TonyVlachos73 The recency bias strong with that Tony take.
1260266965794295800,Tue May 12 17:53:53 +0000 2020,@TugCoker @KennethArthuRS Odds to be dragged to the Final Four as a lamb sure....but those winning odds? Someone ha… https://t.co/v0ci7ej2v2
1260091362642280400,Tue May 12 06:16:06 +0000 2020,https://t.co/9gPRkYLB3V
1260090688995160000,Tue May 12 06:13:26 +0000 2020,@hoarymarmot1  https://t.co/ycdJQDgFfd
1259683039078043600,Mon May 11 03:13:34 +0000 2020,@BenJMorse @Robbie_LandisCP Kyle is my lantern. And he’s no longer the youngest by far...so that would work for me...
1259682875437269000,Mon May 11 03:12:55 +0000 2020,RT @BenJMorse: Nathan is fine, but @ScottPorter is still my first choice. @Robbie_LandisCP
1259579830347022300,Sun May 10 20:23:28 +0000 2020,You are their light, their laughter, their love. You are their strength, their safety, their soul. You are their mi… https://t.co/9duFLWMfAP
1259180075552870400,Sat May 09 17:54:59 +0000 2020,@Lisidoo This pattern goes up over your head and then around the back of your neck through the mask, so one shoelac… https://t.co/5lGOIOCaJC
1259179196951048200,Sat May 09 17:51:29 +0000 2020,@Lisidoo We used old shoelaces.
1258936482267455500,Sat May 09 01:47:01 +0000 2020,@sjschmidt86 I know. I am incredibly lucky.
1258936310489727000,Sat May 09 01:46:20 +0000 2020,@Twinky_692 I miss that guy...
1258902619457597400,Fri May 08 23:32:28 +0000 2020,Hopefully these masks will keep others safe and allow more masks that qualify as pure PPE for those battling on the… https://t.co/lGV0Ra67mb
1258902491724312600,Fri May 08 23:31:57 +0000 2020,Nintendo vibes for real on this #FreshMaskFriday #FreshKicksFridays #Nintendo #DuckHunt #AirMax90  The wife has sta… https://t.co/u0ZG67QcJp
1258861861795057700,Fri May 08 20:50:31 +0000 2020,@Nyambi @TheGoodWife_CBS @thegoodfight @archiepanjabi Blake (in typical Blake fashion) got that last shot in though… https://t.co/JiWfO3tzST
1258811125019185200,Fri May 08 17:28:54 +0000 2020,RT @TugCoker: Survivor fans: @scottporter joins @KennethArthuRS and me to discuss Season 40. -Is anyone stopping Tony? -Who can come back f…
1258665321835032600,Fri May 08 07:49:32 +0000 2020,@andrearene @Coolboy6612 @AnnaBarlog If you have Mud Daubers, let them be unless they are in a necessary area for y… https://t.co/nbbwakhpZ6
