id,created_at,text
1261037639572078600,Thu May 14 20:56:16 +0000 2020,@YALiberty Repeal FISA vs Americans! It’s meant for foreigners.
1260900201046241300,Thu May 14 11:50:08 +0000 2020,@jsolomonReports Repeal unconstitutional FISA against US citizens!
1260788567950983200,Thu May 14 04:26:33 +0000 2020,Dragon FISA, folks!
1260781116891500500,Thu May 14 03:56:57 +0000 2020,I hope that all those news organizations that have been drawing attention to Russiagate’s victims publicly accused… https://t.co/U1OhxRHHCV
1260632392013922300,Wed May 13 18:05:58 +0000 2020,@DonaldJTrumpJr Hope she has time to attend school. Adults should not use children for political agenda. It’s low.
1260516960825233400,Wed May 13 10:27:17 +0000 2020,@DawsonSField 👍
1260279053963219000,Tue May 12 18:41:55 +0000 2020,Real historic facts in time of real danger. Russia. Russia. Russia. https://t.co/6EoqsfFEys
1260234331882209300,Tue May 12 15:44:13 +0000 2020,Looks like something big is coming in the next few weeks.
1259988046029742000,Mon May 11 23:25:34 +0000 2020,Where are the real signatures? I would like to see proof.
1259987790630174700,Mon May 11 23:24:33 +0000 2020,Besides, who checked if signatures are real. I saw a few names that don’t sound real.
1259987213007405000,Mon May 11 23:22:15 +0000 2020,DOJ has &gt; 100,000 employees at any given time. 2000 FORMER affiliates is super low digits to brag about. Less than 2%. Nobody can fool US.
1259907403077816300,Mon May 11 18:05:07 +0000 2020,https://t.co/hn4vEMheYT
1259904659499745300,Mon May 11 17:54:13 +0000 2020,RT @DickMorrisTweet: Lawsuit Says Seth Rich Leaked DNC Emails...Not Russia - Dick Morris TV: Lunch Alert! https://t.co/eei5ylt96D #SethRich…
1259895078786674700,Mon May 11 17:16:09 +0000 2020,@D3m0A @codyave There is a long story with Cohen. I wish I knew he would backstab people. Should not have trusted..
1259894178407997400,Mon May 11 17:12:34 +0000 2020,@codyave Cohen is very “forgetful” about a lot of things. #too #many #lies
1259893631651131400,Mon May 11 17:10:24 +0000 2020,@duncehatman9089 True
1259715308312580000,Mon May 11 05:21:48 +0000 2020,RT @seanmdav: 35 Key People Involved In The Russia Hoax Who Need To Be Investigated https://t.co/uBymGwMLF9
1259035786642698200,Sat May 09 08:21:37 +0000 2020,RT @FLOTUS: In honor of #VEDay75, @POTUS and I joined some of our nations heros at the World War II Memorial to lay a wreath in commemorati…
1258784165215993900,Fri May 08 15:41:46 +0000 2020,RT @SergeiMillian: https://t.co/4tq259PiZ8
1258616271198961700,Fri May 08 04:34:37 +0000 2020,RT @HansMahncke: You can't blame Rosenstein for the Papadopoulos thing. Papa brought that upon himself.  But yeah the Flynn stuff is comple…
1258474592596828200,Thu May 07 19:11:38 +0000 2020,RT @SergeiMillian: @GoJackFlynn @realDonaldTrump Great news! God bless your family!
1258473087609208800,Thu May 07 19:05:40 +0000 2020,@GoJackFlynn @realDonaldTrump Great news! God bless your family!
1258472645881979000,Thu May 07 19:03:54 +0000 2020,RT @GoJackFlynn: GOD BLESS AMERICA!! LETS GET BACK TO WORK!! @realDonaldTrump
1258472536951738400,Thu May 07 19:03:28 +0000 2020,RT @Jim_Jordan: Flynn case dropped! Justice for the General.   Now it’s time to hold someone accountable.
1258463339392491500,Thu May 07 18:26:55 +0000 2020,@statedeptspox @SecPompeo God bless USA! 🇺🇸
1258463241853964300,Thu May 07 18:26:32 +0000 2020,RT @statedeptspox: Please join me and @SecPompeo today in saying a prayer according to your tradition or taking a moment to meditate. #Nati…
1258462431531225000,Thu May 07 18:23:19 +0000 2020,@ProfMJCleveland ABC helps
1258419392934797300,Thu May 07 15:32:18 +0000 2020,https://t.co/6fU6biH9ff
1258418197381906400,Thu May 07 15:27:33 +0000 2020,RT @FLOTUS: As Americans of all faith turn to prayer, this #NationalDayofPrayer reminds us of the grace of God &amp; the importance of faith, f…
1258318014023438300,Thu May 07 08:49:27 +0000 2020,@SaraCarterDC https://t.co/DKpHb8rjwz
1258317054165352400,Thu May 07 08:45:38 +0000 2020,RT @LeeSmithDC: Good response from @SergeiMillian re bizarre Nigel West allegations. Pre-election Millian was framed as point of "Trump-Rus…
1258315178124488700,Thu May 07 08:38:11 +0000 2020,RT @DevinNunes: The Russia hoax rats are squealing. Rep. Devin Nunes with Sebastian Gorka on AMERICA First - YouTube ⁦@SebGorka⁩  https://t…
1258280569613541400,Thu May 07 06:20:40 +0000 2020,According to a transcript that was just declassified, one of the CHS told Papadopoulos said that all Russians &amp; Isr… https://t.co/ATbLR3jGHo
1258063714739257300,Wed May 06 15:58:57 +0000 2020,RT @realDonaldTrump: The Fake News has reached an all time high!
1258061980126064600,Wed May 06 15:52:04 +0000 2020,RT @ObamaNlGGER: Just shows how incompetent our media is, Sergei Millian has never been hiding, he has had a twitter account since 2012, an…
1258030892112642000,Wed May 06 13:48:32 +0000 2020,RT @declassified_ET: *NEW VIDEO*  New Flaws in Infamous Dossier Discovered  WATCH ▷ https://t.co/XsLtnh2mHN https://t.co/fA8pTB2EeH
1257981617630519300,Wed May 06 10:32:44 +0000 2020,@SaraCarterDC In case you missed: https://t.co/zm1Y40gzOL
1257974247823159300,Wed May 06 10:03:27 +0000 2020,@SaraCarterDC https://t.co/DKpHb8rjwz
1257962505466495000,Wed May 06 09:16:47 +0000 2020,RT @Dust_Off70: @realZiiggii @themarketswork @LeeSmithDC @SergeiMillian Best part is how quickly Nigel’s claims fell apart and how weak the…
1257948190160158700,Wed May 06 08:19:54 +0000 2020,@SaraCarterDC https://t.co/8poVr1rCwK https://t.co/KdAfoKEl2y
1257947560054083600,Wed May 06 08:17:24 +0000 2020,@SaraCarterDC https://t.co/zm1Y40gzOL
1257947387848515600,Wed May 06 08:16:43 +0000 2020,@SaraCarterDC https://t.co/zm1Y40gzOL
1257945909968715800,Wed May 06 08:10:51 +0000 2020,@rexxurection @7venout @LeeSmithDC @themarketswork What is so bizarre about asking you a question, #Rexxurection? W… https://t.co/mjDm6j9GO8
1257945057136717800,Wed May 06 08:07:27 +0000 2020,@SaraCarterDC In case you missed: https://t.co/DKpHb8rjwz
1257944716064313300,Wed May 06 08:06:06 +0000 2020,@SaraCarterDC https://t.co/DKpHb8rjwz
1257944676524572700,Wed May 06 08:05:57 +0000 2020,https://t.co/DKpHb8rjwz
1257933237323804700,Wed May 06 07:20:29 +0000 2020,@7venout @rexxurection @LeeSmithDC @themarketswork Rex is dodging the very reasonable questions. I answered a myria… https://t.co/iHx88Bl8nc
1257922284343435300,Wed May 06 06:36:58 +0000 2020,@rexxurection @LeeSmithDC @themarketswork I’m an investigative reporter and you came across as an interesting chara… https://t.co/M0UNTYHebh
1257891659842453500,Wed May 06 04:35:16 +0000 2020,RT @RevisitedRick: This @sergeimillian tweet has aged rather well. Brian Ross, Matt Lauer, Charlie Rose and Andy Lack all gone.
1257832612019781600,Wed May 06 00:40:38 +0000 2020,🚨Breaking: My answer to reporter Sara Carter regarding British historian Nigel West’s false, baseless allegations. https://t.co/UkgJrPd6gt
1257825453240443000,Wed May 06 00:12:11 +0000 2020,RT @bestgtor22: @LeeSmithDC @SergeiMillian Which the IG even said the Millian mess was just a source claiming he thought someone on the pho…
1257825106207875000,Wed May 06 00:10:49 +0000 2020,@ReginaMourad @rexxurection @LeeSmithDC @themarketswork ‼️
1257824689675735000,Wed May 06 00:09:09 +0000 2020,@ReginaMourad @MagaKarma1 @rexxurection @LeeSmithDC @themarketswork #Rexxurection showed his true colors
1257811099916939300,Tue May 05 23:15:09 +0000 2020,RT @MagaKarma1: @rexxurection @LeeSmithDC @themarketswork @SergeiMillian @SergeiMillian  got ya Rex , LMAO ... The man has been available o…
1257804108037337000,Tue May 05 22:47:22 +0000 2020,In case you missed, foreign agent Christopher Steele and Nigel West are both British “ best buddies” complimenting… https://t.co/5JqugnlWR2
1257802747107303400,Tue May 05 22:41:58 +0000 2020,@rexxurection @LeeSmithDC @themarketswork I don’t understand why ReX? Why hiding? Why change your real name⁉️why ac… https://t.co/2CqYLtlrS3
1257786962167107600,Tue May 05 21:39:14 +0000 2020,RT @themarketswork: @LeeSmithDC @SergeiMillian West's aging of Millian (via Military Service claim) an obvious flag.  Wish that had been as…
1257776151046639600,Tue May 05 20:56:17 +0000 2020,@ReginaMourad @verawishful1 @SaraCarterDC That would be nice if @jsolomonReports could do it.
1257775026008322000,Tue May 05 20:51:49 +0000 2020,RT @Dust_Off70: @themarketswork @LeeSmithDC @SergeiMillian Now the question is WHY is West pushing these false claims and WHO is asking him…
1257774185465688000,Tue May 05 20:48:28 +0000 2020,@ReginaMourad @verawishful1 @SaraCarterDC Regina, they blocked and censored me. They never published my real replie… https://t.co/KGgWNuoG9r
1257773962043555800,Tue May 05 20:47:35 +0000 2020,RT @ReginaMourad: @verawishful1 @SaraCarterDC Really? She could’ve typed Sergei Millian into Twitter the last 3 years. He has been shouting…
1257773839569821700,Tue May 05 20:47:06 +0000 2020,RT @ReginaMourad: @MatthewJshow @SaraCarterDC What stopped her from finding him the last three years? He’s been on Twitter. I’m not a journ…
1257773798356594700,Tue May 05 20:46:56 +0000 2020,RT @bestgtor22: @SaraCarterDC Nigel West needs to read the IG report. It even says there is no real evidence Millian was behind any of the…
1257765051777396700,Tue May 05 20:12:11 +0000 2020,🚨NEW WILD LONDON-based gossips and groundless rumors originating from Nigel West imminently debunked. Why all these… https://t.co/E8Fa2xGWD7
1257749866111000600,Tue May 05 19:11:50 +0000 2020,@ReginaMourad @SaraCarterDC I’m in touch with Sara now. She promised to add my response to her story.
1257749702864523300,Tue May 05 19:11:11 +0000 2020,RT @ReginaMourad: @SergeiMillian @SaraCarterDC Does your mom like Sara too Sergei? She and John have done good work together. You deserve a…
1257739957277524000,Tue May 05 18:32:28 +0000 2020,RT @SergeiMillian: @SaraCarterDC I have already sent my response to @SaraCarterDC about this out of mind deranged man - Nigel West. Sara pr…
1257719814698733600,Tue May 05 17:12:25 +0000 2020,@SaraCarterDC I have already sent my response to @SaraCarterDC about this out of mind deranged man - Nigel West. Sa… https://t.co/M8ynwjcRXc
1257628536078246000,Tue May 05 11:09:43 +0000 2020,https://t.co/yPGHioEU4V https://t.co/hWeCB1huZv
1257404578422800400,Mon May 04 20:19:47 +0000 2020,RT @SergeiMillian: 🚨LATEST REVELATIONS: @DevinNunes @MariaBartiromo @realDonaldTrump                         ———-”Russian” Sergei Millian o…
1257176191338975200,Mon May 04 05:12:15 +0000 2020,RT @SergeiMillian: Steele says Person 1, Source D, Source E = Paul Manafort. #WOW! https://t.co/9u0LulkrAD
1257175906231222300,Mon May 04 05:11:07 +0000 2020,@theamgreatness Hi, guys, please somebody tell ADAM MILL to remove Millian as Primary SS from his stories he publis… https://t.co/oIxnga3MWI
1257043552443523000,Sun May 03 20:25:12 +0000 2020,RT @SidneyPowell1: @JohnWHuber @RealSLokhova Maybe there was another CHS for #FBI who was there but still lied?  #FlynnExonerated  #FlynnWa…
1257042123809063000,Sun May 03 20:19:31 +0000 2020,@Jim_Jordan Repeal unconstitutional FISA against American citizens!
1257041552460910600,Sun May 03 20:17:15 +0000 2020,Here we go... https://t.co/i8w3W73EQD
1257014334888214500,Sun May 03 18:29:06 +0000 2020,@JohnWHuber Steele has also previously testified to FBI handler that PSS met with Person 1(Source D,E, etc.) severa… https://t.co/Oj4dtXDTmN
1256998726117269500,Sun May 03 17:27:04 +0000 2020,RT @PetrSvab: Here's a deep dive into the story of the "Russian" man @DevinNunes wants to talk to--@SergeiMillian. Was he really a "source"…
1256977520861368300,Sun May 03 16:02:49 +0000 2020,RT @JanJekielek: 🔴PREMIERE 9pm ET: https://t.co/hifRY8tlQw  "I think the real bombshell news here is—why was the FBI sitting on this for so…
1256945130453512200,Sun May 03 13:54:06 +0000 2020,RT @ReginaMourad: @Rumbleboffin @SergeiMillian @DevinNunes @ChuckRossDC @sibeledmonds @GenFlynn @SidneyPowell1 @GoJackFlynn Epoch Times doi…
1256721063683207200,Sat May 02 23:03:44 +0000 2020,@KKL_Justice @JanJekielek @JosephJFlynn1 @LeeSmithDC @AmThoughtLeader @GenFlynn Everyone should be concerned as our… https://t.co/maQdy05L2v
1256710538215784400,Sat May 02 22:21:55 +0000 2020,@ReginaMourad @brick295 @CJBdingo25 @DevinNunes @ChuckRossDC Nota Bene
1256709503531339800,Sat May 02 22:17:48 +0000 2020,https://t.co/TJGpWoghcJ
1256707956265095200,Sat May 02 22:11:39 +0000 2020,@ReginaMourad @CJBdingo25 @DevinNunes @ChuckRossDC For those unaware - Chris Blackburn is from UK. He is constantly… https://t.co/AU7lGP7zKW
1256700778187763700,Sat May 02 21:43:08 +0000 2020,RT @SergeiMillian: @DevinNunes @ChuckRossDC Congressman, be aware of the #UNKNOWN STORY of CHUCK #ROSS who slandered @GenFlynn, myself and…
1256690772725792800,Sat May 02 21:03:23 +0000 2020,RT @ReginaMourad: @SergeiMillian @DevinNunes @ChuckRossDC So, Steele under oath is saying Person 1 is possibly Manafort and it wasn't even…
1256682371765715000,Sat May 02 20:30:00 +0000 2020,@DevinNunes @ChuckRossDC In case you missed.. https://t.co/wtsvFKhOhu
1256678722498965500,Sat May 02 20:15:30 +0000 2020,RT @ReginaMourad: @SergeiMillian @DevinNunes @ChuckRossDC @GenFlynn @SidneyPowell1 Chuck, apologize to Millian. Let’s move forward together…
1256675873400520700,Sat May 02 20:04:10 +0000 2020,@DevinNunes @ChuckRossDC ‼️ https://t.co/JdJFtUsHcy
1256672809444614100,Sat May 02 19:52:00 +0000 2020,@DevinNunes @ChuckRossDC @sibeledmonds Everyone should be aware of Sibel Edmonds’ interview to understand what Chuc… https://t.co/1wn7HNRval
1256665887853207600,Sat May 02 19:24:30 +0000 2020,@DevinNunes @ChuckRossDC Congressman, be aware of the #UNKNOWN STORY of CHUCK #ROSS who slandered @GenFlynn, myself… https://t.co/NS7ks4Yex7
1256598227010363400,Sat May 02 14:55:38 +0000 2020,American Thought Leaders interview by Mr Lee Smith. Must watch! https://t.co/fF9pgDQXua
1256328186981281800,Fri May 01 21:02:35 +0000 2020,@ScottMStedman @PetrSvab @DevinNunes Says Scott who has been publicly outed as a Simpson’s stooge.
1256105314811818000,Fri May 01 06:16:59 +0000 2020,@MonsieurAmerica Prayers 🙏
1255947619052015600,Thu Apr 30 19:50:21 +0000 2020,🚨LATEST REVELATIONS: @DevinNunes @MariaBartiromo @realDonaldTrump                         ———-”Russian” Sergei Mill… https://t.co/WU8Kp1vCbD
1255934390498181000,Thu Apr 30 18:57:47 +0000 2020,RT @DevinNunes: #FreeFlynnNOW with ⁦@MariaBartiromo⁩ https://t.co/gOTP43pk7D
1255926600295755800,Thu Apr 30 18:26:50 +0000 2020,@ReginaMourad @OliverBullough @CatherineBelton @shaunwalker7 @yaffaesque How much Steele-Simpson gang paid you to slander US citizens?
1255926179045019600,Thu Apr 30 18:25:09 +0000 2020,Crossfire Dragon, folks!
1255912600413581300,Thu Apr 30 17:31:12 +0000 2020,@HansMahncke @PetrSvab @MonsieurAmerica I’m now taking to Petr to include this key info 👇🏻in the otherwise pretty n… https://t.co/A3YOTnce3n
1255822238357520400,Thu Apr 30 11:32:08 +0000 2020,RT @supersleuthgrl: @carterwpage had a FISA on him, his life scrutinized, branded another traitor, and was forced to live in hotels for awh…
1255732483359940600,Thu Apr 30 05:35:29 +0000 2020,RT @GenFlynn: https://t.co/Q833u4Is8h
1255722257596534800,Thu Apr 30 04:54:51 +0000 2020,Steele says Person 1, Source D, Source E = Paul Manafort. #WOW! https://t.co/9u0LulkrAD
1255586931360125000,Wed Apr 29 19:57:06 +0000 2020,@JackPosobiec @MILTONESPINOZAF Jack，hire Brian Ross. He knows how to destroy people’s lives.
1255585721970237400,Wed Apr 29 19:52:18 +0000 2020,When will the rule of law be restored in America so Americans can feel safe in their own country? #AskAGBarr
1255553436638220300,Wed Apr 29 17:44:01 +0000 2020,https://t.co/sVIiRmoCju
1255553246984364000,Wed Apr 29 17:43:15 +0000 2020,https://t.co/zYIM89KE7b
1255552644913008600,Wed Apr 29 17:40:52 +0000 2020,https://t.co/MPcu9Ysem9
1255551635805347800,Wed Apr 29 17:36:51 +0000 2020,@HansMahncke @BrianRoss Good catch!
1255550964465111000,Wed Apr 29 17:34:11 +0000 2020,“First they came for the Russians, and I did not speak out—    Because I was not a Russian.  Then they came for the… https://t.co/ZdLIRkWLh7
1255521843341078500,Wed Apr 29 15:38:28 +0000 2020,RT @ReginaMourad: @SergeiMillian @justsmileovee @Why45huh @MonsieurAmerica @BrianRoss @DevinNunes @AKA_RealDirty @LeeSmithDC Until someone…
1255520225870692400,Wed Apr 29 15:32:02 +0000 2020,@ReginaMourad @justsmileovee @Why45huh @MonsieurAmerica @BrianRoss @DevinNunes @AKA_RealDirty @LeeSmithDC Unfortuna… https://t.co/JQ1uWv0bep
1255516859207729200,Wed Apr 29 15:18:40 +0000 2020,RT @ReginaMourad: @Why45huh @SergeiMillian @MonsieurAmerica @BrianRoss @DevinNunes @AKA_RealDirty @LeeSmithDC https://t.co/ZwZXTZYZ3U He gr…
1255515748581154800,Wed Apr 29 15:14:15 +0000 2020,@ReginaMourad @Why45huh @MonsieurAmerica @BrianRoss @DevinNunes @AKA_RealDirty @LeeSmithDC True
1255509803524382700,Wed Apr 29 14:50:38 +0000 2020,@Why45huh @ReginaMourad @MonsieurAmerica @BrianRoss @DevinNunes @AKA_RealDirty @LeeSmithDC Just politics as usual.
