id,created_at,text
1256858291189223400,Sun May 03 08:09:02 +0000 2020,We bring you India’s biggest at-home concert - #IforIndia. Click the donate button and make a difference. Sunday, 3… https://t.co/CFPV8TFekr
1256281796917907500,Fri May 01 17:58:15 +0000 2020,These truly are uncertain times that we're living in. We're happy to be part of this Noble initiative. So come join… https://t.co/n4nRSehOmG
1241215248515752000,Sat Mar 21 04:09:10 +0000 2020,RT @anupjalota: Stay Home! Learn Yoga, Learn to Cook, Watch cartoons &amp; Laugh Out Loud, Watch series/movies that's been due, Play that old i…
1237237052359315500,Tue Mar 10 04:41:14 +0000 2020,Wishing you all a very Happy Holi #HappyHoli https://t.co/QCAx9HUMFE
1234748897630703600,Tue Mar 03 07:54:12 +0000 2020,Happy Birthday @Shankar_Live. Rock on shine on!!!  Have a good one today and always https://t.co/QhJMKz5pFb
1222824685647335400,Thu Jan 30 10:11:38 +0000 2020,A very Happy Birthday to our brother @loy_mendonsa, joining us on his special day is Team #Toofan @FarOutAkhtar… https://t.co/vyztJ2omdI
1221316653960573000,Sun Jan 26 06:19:15 +0000 2020,Wishing our fellow citizens a Happy Republic Day! #HappyRepublicDay  @Shankar_Live @loy_mendonsa @EhsaanNoorani https://t.co/DvzaBjhTZC
1217708259085176800,Thu Jan 16 07:20:47 +0000 2020,Panga lena ka. Bahut masti aur kaam bhi karne ka! https://t.co/Vfhvr22mUx @foxstarhindi @Ashwinyiyer @kanganateam… https://t.co/Grov2wFiPK
1217060814667964400,Tue Jan 14 12:28:04 +0000 2020,Pyaar. Kaisa yeh kamaal. #DilNeKaha out now. https://t.co/7eg5hwASoh  @foxstarhindi @Ashwinyiyer @kanganateam… https://t.co/eoKGxr3Lp6
1214879281714565000,Wed Jan 08 11:59:26 +0000 2020,Ab sab ke sapne honge poore with the #Panga anthem. Watch team #Panga in Pune. @foxstarhindi @Ashwinyiyer… https://t.co/QMaZhMS6vj
1214509851923091500,Tue Jan 07 11:31:27 +0000 2020,Apne sapno ke liye zor se bolo Le #Panga  #PangaTitleTrack Out Now https://t.co/LRheem0UDm @foxstarhindi… https://t.co/oSunYRncpr
1214144190512152600,Mon Jan 06 11:18:27 +0000 2020,Jaya ke saath hum bhi lete hai #Panga. Panga title track out tomorrow.    @foxstarhindi @Ashwinyiyer @kanganateam… https://t.co/EnE2z6Rnuo
1213005080011493400,Fri Jan 03 07:52:02 +0000 2020,Team Chappaak at the music launch! @EhsaanNoorani you were missed. https://t.co/wg5nHsHwti
1212606229500969000,Thu Jan 02 05:27:08 +0000 2020,When life gets harder, you just get stronger. Iss saal #Toofan uthega. Releasing on 2.10.2020  @FarOutAkhtar… https://t.co/o7uKD06tC2
1212271321289130000,Wed Jan 01 07:16:20 +0000 2020,Wishing you all a very Happy New Year  #happynewyear2020 #HappyNew2020 #NewYear2020 https://t.co/GhQBBxWO0s
1209720922875351000,Wed Dec 25 06:21:58 +0000 2019,#MerryChristmas to all you wonderful folks!  #merrychristmas🎄 #MerryChristmas2019 #MerryXmas  @Shankar_Live… https://t.co/SGBYJscLsU
1209104215307702300,Mon Dec 23 13:31:23 +0000 2019,Watch #PangaTrailer kyonki jo sapne dekhte hai woh #Panga lete hai. https://t.co/SOQi97ALnz @foxstarhindi… https://t.co/lTJmEURNWE
1209094931354202000,Mon Dec 23 12:54:30 +0000 2019,The stage is where we feel most at home! @Shankar_Live @EhsaanNoorani @loy_mendonsa https://t.co/rqFOQm1pqc
1207209983059775500,Wed Dec 18 08:04:23 +0000 2019,Not every quarrel ends with a frown. Some last forever as beautiful memories in the ❤️ Here’s Malti and Amol’s… https://t.co/WdxokK0ybn
1205444560891076600,Fri Dec 13 11:09:14 +0000 2019,Wishing our dear friend and collaborator, @meghnagulzar a very Happy Birthday! https://t.co/IO3xdL9tw8
1204337176038822000,Tue Dec 10 09:48:52 +0000 2019,Presenting the trailer for @foxstarhindi's #Chhapaak starring @deepikapadukone and directed by our dear friend… https://t.co/lnfwym1j4R
1203991169618731000,Mon Dec 09 10:53:58 +0000 2019,Can't wait for the Chhapaak trailer, Stay Tuned, releasing tomorrow!  @meghnagulzar @deepikapadukone @foxstarhindi… https://t.co/g2ugomX1nM
1203307727302344700,Sat Dec 07 13:38:13 +0000 2019,Blessed 🙏 with this amount of love! Thank you to all of you! https://t.co/qO6SbYq8Ba
1200416421123182600,Fri Nov 29 14:09:12 +0000 2019,With none other than Gulzar Sahab at the Welham Boys School in Dehradun celebrating Founders Day. https://t.co/zuVVxOcwfl
1199315376976343000,Tue Nov 26 13:14:02 +0000 2019,In all the years we've performed this one is going to be super special. At Rashtrapati Bhavan to perform for the Pr… https://t.co/txe435r3gb
1198187328356806700,Sat Nov 23 10:31:34 +0000 2019,Congratulations to our dear friend and a living legend @ZakirHtabla on receiving his doctorate from another legend… https://t.co/5hxRCJTwhz
1197902666849902600,Fri Nov 22 15:40:26 +0000 2019,A fun day at the studio as we record with none other than @MameKhanMusic https://t.co/F9B1DQjRRK
1196773777222361000,Tue Nov 19 12:54:38 +0000 2019,A big shout-out to the @icalagos1 for the amazing arrangements! Had a blast playing for an enthusiastic crowd, can'… https://t.co/17PT5pAOQh
1195750848640561200,Sat Nov 16 17:09:52 +0000 2019,A big shout-out to the Indian Cultural Association in Lagos for organising such a wonderful welcome dinner! https://t.co/xzWuf5DcvI
1194663311478014000,Wed Nov 13 17:08:23 +0000 2019,RT @saplabsindia: It’s now time for the coders to decode the magic of @ShankarEhsanLoy’s soulful music. #SAPTechEd https://t.co/HO6Gf0wMly
1188417677775102000,Sun Oct 27 11:30:28 +0000 2019,RT @tipsofficial: Celebrate #19YearsOfMissionKashmir with @iHrithik @realpreityzinta @duttsanjay @bindasbhidu &amp; @sonalikulkarni! Enjoy @Sha…
1188374279471026200,Sun Oct 27 08:38:01 +0000 2019,Wishing you all a #HappyDiwali filled with laughter and happiness  @Shankar_Live @EhsaanNoorani @loy_mendonsa https://t.co/pQSBHUYXuX
1187392445455061000,Thu Oct 24 15:36:34 +0000 2019,Today was a fun day at work! Collaborated with @VishalDadlani and @OfficialAMITABH https://t.co/MbgHXKq6VP
1182909470030155800,Sat Oct 12 06:42:49 +0000 2019,Wishing our brother @EhsaanNoorani a very Happy birthday! https://t.co/PrTQUcPp1r
