id,created_at,text
1261320134939086800,Fri May 15 15:38:49 +0000 2020,I WANT ANTHEMS. LATE NIGHTS, MY FRIENDS, NEW YORK. FINALLY, WHEN IT’S OVER. WE MIGHT BE EVEN CLOSER  - @charli_xcx https://t.co/mhJf0L8G3c
1260220732707143700,Tue May 12 14:50:11 +0000 2020,This time last year I was crowd surfing at an @idlesband show and I really hope it wasn’t the last
1259490994267046000,Sun May 10 14:30:27 +0000 2020,@TheAcademy Where’s your nomination category for Best Music Supervision?
1254040472517050400,Sat Apr 25 13:32:02 +0000 2020,@Kwynodile Eryka go to bed
1253726091589623800,Fri Apr 24 16:42:47 +0000 2020,Thank gawd a band called Destroy Boys actually rips https://t.co/1myLY6Zqbn
1251014552512233500,Fri Apr 17 05:08:06 +0000 2020,@pitchfork Fiona SNATCHED those bolt cutters
1250960171280588800,Fri Apr 17 01:32:01 +0000 2020,I hope my neighbors are ready to join my Fiona Apple listening party through the walls the minute her new album comes out at midnight
1250867604526334000,Thu Apr 16 19:24:11 +0000 2020,@senari @MosesSumney That was mine too! Such an incredible experience
1249712606841094100,Mon Apr 13 14:54:38 +0000 2020,RT @MrTomGray: Why the music industry HAS to change and why it has to change now. A thread. Stick with it!
1249085843366645800,Sat Apr 11 21:24:06 +0000 2020,Even in a quarantine my Jewish mother is telling me to get on dating apps so I can find a Jewish man lol
1247935852354900000,Wed Apr 08 17:14:27 +0000 2020,Heartbroken that those of us living in the state that’s being hit the hardest by this pandemic in the U.S. didn’t e… https://t.co/jY7iMFXXWC
1247606989024305200,Tue Apr 07 19:27:40 +0000 2020,I love a work zoom call where people’s backgrounds include Carole Baskin and a tiger, the cast from Buffy The Vampi… https://t.co/rSd3PWHM67
1246173221516427300,Fri Apr 03 20:30:23 +0000 2020,I mentioned how ‘Future Nostalgia’ is reminiscent of S Club 7 and that is a very high compliment from me https://t.co/cdovo8SIBt
1245846527576281000,Thu Apr 02 22:52:13 +0000 2020,RIP Adam Schlesinger who wrote one of my favorite songs ever written for TV https://t.co/F8buFuX6bn
1245798166567534600,Thu Apr 02 19:40:03 +0000 2020,@lanikaps I’m happy to take on a couple more clients for PR over at @SubRosaCuration!
1244338648155390000,Sun Mar 29 19:00:27 +0000 2020,PSA: Portrait of a Lady on Fire is on Hulu and you’re not allowed to leave quarantine without having watched it that is the law
1243989846345080800,Sat Mar 28 19:54:26 +0000 2020,Every day in quarantine I struggle with the same question: am I hungry or am I just bored?
1242173972915110000,Mon Mar 23 19:38:48 +0000 2020,Listening to James Blake on IG Live while it's raining outside is actually uplifting??
1241064496426295300,Fri Mar 20 18:10:08 +0000 2020,Today: 100% of the revenue made from @Bandcamp will go directly to musicians. @Spotify, would be great if you waive… https://t.co/0zNi3cY3Pj
1239540974411493400,Mon Mar 16 13:16:12 +0000 2020,Wait so how are states with upcoming primaries supposed to practice social distancing?? Many people aren’t even abl… https://t.co/UKHxXGsFhC
1239346238975246300,Mon Mar 16 00:22:23 +0000 2020,It only takes 5 minutes of watching Bernie debate to make me emotional
1238247204420235300,Thu Mar 12 23:35:13 +0000 2020,NYC Trader Joe’s had exceptionally chaotic energy today but it was nice to see Bowen Yang in the thick of it with t… https://t.co/v9cWZToUdA
1237784559338639400,Wed Mar 11 16:56:50 +0000 2020,Whether you genuinely or ironically like Karaoke go check out the new song by Ginger Root!! https://t.co/F4OdurO5gr
1237448682968158200,Tue Mar 10 18:42:11 +0000 2020,Justin Timberlake is trolling me by getting me to add all his songs from the Trolls soundtrack to my monthly playli… https://t.co/aw2avsfxfC
1237388756614668300,Tue Mar 10 14:44:03 +0000 2020,Mercury Retrograde is over the coronavirus can calm down now
1236803305894039600,Sun Mar 08 23:57:41 +0000 2020,RT @cal_gif: So we lost an hour on international women’s day? Wow even our days aren’t equal
1235740550843830300,Fri Mar 06 01:34:40 +0000 2020,@BernieSanders Omg two young social media managers having a Twitter fight under the accounts of two senior white men you love to see it
1232462873814691800,Wed Feb 26 00:30:21 +0000 2020,Spotify told me I’m too broke to be in the top 1% of anything
1231694457646538800,Sun Feb 23 21:36:57 +0000 2020,RT @camillard: My friend: So we broke up.  Me: *inhales* good never liked him 4 u long term but I was supportive cos I assumed u were just…
1230314281574576000,Thu Feb 20 02:12:37 +0000 2020,RT @gaileyfrey: Great news! I found the cure for my anxiety!! All I need is for everyone I know to tell me definitively that they arent mad…
1229559823441834000,Tue Feb 18 00:14:40 +0000 2020,Me when I try to close all the tabs I’ve left open for weeks https://t.co/Tqw37c5YDq
1228476633155297300,Sat Feb 15 00:30:27 +0000 2020,@MarkRichardson That’s so surprising to hear. I make those types of meticulously curated, form of self-expression,… https://t.co/GOvKJOtv7W
1228399633786863600,Fri Feb 14 19:24:29 +0000 2020,It’s a real dilemma when you follow a writer on Twitter because you want to keep up with their writing but their personality is trash
