id,created_at,text
1259863861500338200,Mon May 11 15:12:06 +0000 2020,Now reading 📖. Congrats @samitbasu . Quite prophetic I must say 🤭🤗 https://t.co/B6EV4606c1
1259840691091525600,Mon May 11 13:40:02 +0000 2020,Mom’s I tell ya are very easily scandalized 😂♥️ https://t.co/cB5nodLmIo
1259531633209643000,Sun May 10 17:11:56 +0000 2020,I have been reading this over and over again. So overwhelmed. @VishalBhardwaj Sir , Thank you for taking us on this… https://t.co/tTOTI8e1gl
1259387086571835400,Sun May 10 07:37:34 +0000 2020,माखन नाहीं खायो सुनकर जो वो खिलकर हँसती है बच्चे ही के साथ तो, माँ भी पैदा होती है   शफ़क़ ( Papa 😊) https://t.co/YarxtP1j8y
1259375100349968400,Sun May 10 06:49:56 +0000 2020,Thank you for the lovely Mother’s Day video @NetflixIndia ♥️ https://t.co/dHFlbhLpFS
1259048387548024800,Sat May 09 09:11:42 +0000 2020,RT @ruthmadievsky: Afghan hounds only come in 2 varieties: starlet with a terrible secret or Bay Area therapist https://t.co/itXzKHPh5f
1258691485588811800,Fri May 08 09:33:30 +0000 2020,RT @DalaiLama: The very purpose of spirituality is self-discipline. Rather than criticizing others, we should evaluate and criticize oursel…
1258310981618241500,Thu May 07 08:21:30 +0000 2020,RT @mitalisaran: Just leaving this here. https://t.co/93zD9xl37s
1258120680542855200,Wed May 06 19:45:19 +0000 2020,Undone on @PrimeVideoIN is a life lesson . Haven’t experienced something like that. Extraordinary #Undone @PrimeVideo
1258041312525217800,Wed May 06 14:29:56 +0000 2020,@anubhavjain6 Thank you
1257176616901333000,Mon May 04 05:13:57 +0000 2020,♥️♥️♥️@iamsrk https://t.co/2H7aK0c38o
1256986295185760300,Sun May 03 16:37:41 +0000 2020,RT @ChaplainAziz: This sheep escaped a farm and spent 6 years in the mountains, during which time he grew 60 pounds of wool. Wolves tried t…
