id,created_at,text
540894264297676800,Fri Dec 05 15:43:36 +0000 2014,@karinevanasse thanks. Will do! :)
540858633483874300,Fri Dec 05 13:22:01 +0000 2014,#Revenge is hugely popular in India. I write for a national newspaper here n wud like to interview u. How do I get in touch @karinevanasse ?
456332670578855940,Wed Apr 16 07:26:01 +0000 2014,Will not be using this account anymore. Follow me @Slangalurean  if you wish to! :)
453391819946999800,Tue Apr 08 04:40:08 +0000 2014,RT @FarOutAkhtar: @YUVSTRONG12 Please don't let the witch-hunters get you down.. you've done more for India than their petty minds allow th…
452845436068327400,Sun Apr 06 16:29:00 +0000 2014,Okay. This is really depressing. #IndvSL
452842294144552960,Sun Apr 06 16:16:30 +0000 2014,Aaaah. I can't watch this anymore! #IndvSL
452797488026890240,Sun Apr 06 13:18:28 +0000 2014,Some Sri Lankan masala fry, please. Bleeeeeed (light) blue! #IndvSL
452505411518611460,Sat Apr 05 17:57:51 +0000 2014,@pitabeta I'm a reporter from Deccan chronicle. Trying to reach you.
452136420522463200,Fri Apr 04 17:31:37 +0000 2014,RT @ABdeVilliers17: Credit to India for playing a good game tonight! I thoroughly enjoyed this tournament, we left it all out there. Proud …
451954824196530200,Fri Apr 04 05:30:01 +0000 2014,RT @ArvindKejriwal: ....I pray to God that some day I will be able to convince u that i am working only for the country and have no selfish…
451211658275209200,Wed Apr 02 04:16:57 +0000 2014,B'luru, kindly show some mercy on your residents and refrain from becoming Chennai-ish. #whysohot
451209772289634300,Wed Apr 02 04:09:27 +0000 2014,@ShrutiKashinath haha it's a private profile. Didn't wanna be stalked cos you know how popular @MishBoyko is :p
450891755886346240,Tue Apr 01 07:05:46 +0000 2014,@anjali_singh91 haha. you're right. it is 'slangalorean' :P
450887354949984260,Tue Apr 01 06:48:17 +0000 2014,Emily's lost her spunk. Bring her back, please! #Revenge
450844040682930200,Tue Apr 01 03:56:10 +0000 2014,@MishBoyko haha. It's alright. Everyone plugs their interviews :p your fans are super duper excited after reading it!
450635040838271000,Mon Mar 31 14:05:40 +0000 2014,@mundane_musings thank you so much :)
450567444487106560,Mon Mar 31 09:37:04 +0000 2014,RT @FuhSePhantom: @MishBoyko (Oleksander in @Queenthefilm) in conversation with @DeccanChronicle. http://t.co/tx3UkoWs0Q
450339815817351200,Sun Mar 30 18:32:33 +0000 2014,@neetishah24 =)
450307062665199600,Sun Mar 30 16:22:24 +0000 2014,@PreetiPnn glad you liked it :)
450207732251885600,Sun Mar 30 09:47:42 +0000 2014,@parita22 thank you! :)
450207359172767740,Sun Mar 30 09:46:13 +0000 2014,@MishBoyko here's the e-paper snapshot! http://t.co/hxHTQojjdP
450183958978781200,Sun Mar 30 08:13:14 +0000 2014,@parita22 Thanks for the contact! Here's the interview. http://t.co/fYGYzU8H8Y
450183707639291900,Sun Mar 30 08:12:14 +0000 2014,All you Oleksandar fans out there, here's the interview I did of @MishBoyko for Deccan Chronicle. http://t.co/fYGYzU8H8Y
449959882993586200,Sat Mar 29 17:22:50 +0000 2014,Can't wait to see you hit those killer shots for RCB!!! @henrygayle
449138171280764900,Thu Mar 27 10:57:39 +0000 2014,#NoCSKNoIPL? I agree. Cos there's nothing as awesome as watching RCB beat CSK.
449079426282573800,Thu Mar 27 07:04:13 +0000 2014,Shane and Leah to leave Grey's Anatomy after season 10. Thank God!
449053660857643000,Thu Mar 27 05:21:50 +0000 2014,White Collar to end? Naaaahiiii. Can't imagine life without that beautiful face on TV. #mattbomermaniac
447681055474982900,Sun Mar 23 10:27:35 +0000 2014,@iamsrk haha. The dimples that millions are crazy about! :D
446918163058266100,Fri Mar 21 07:56:08 +0000 2014,Go Indi-yeaaaaaaah! #INDvsPAK #T20WorldCup
444818349466193900,Sat Mar 15 12:52:13 +0000 2014,@parita22  Thank you, Parita :)
444697108658933760,Sat Mar 15 04:50:27 +0000 2014,@parita22 Thank you so much. Would you happen to have her email id as well?
444371986026754050,Fri Mar 14 07:18:32 +0000 2014,@Divya23 Amit Trivedi is such a genius dude!
444371915000397800,Fri Mar 14 07:18:15 +0000 2014,@parita22 Hello!I I'm a reporter for Deccan Chronicle. Trying to reach Mish Boyko for an interview. Could you help us?
444367212472565760,Fri Mar 14 06:59:34 +0000 2014,Wants to be in UAE for IPL7!
