id,created_at,text
1258095778343587800,Wed May 06 18:06:22 +0000 2020,RT @KelvinCasamayor: @EmsGotIt WARN⚠️NG: This video contains violent images that may be disturbing to some viewers.   Viewer discretion is…
1257730083227340800,Tue May 05 17:53:13 +0000 2020,@skeezas It’s really jammin tho lol
1256307839653445600,Fri May 01 19:41:44 +0000 2020,@Gsamtrip Yea true I I figure chalk it to the game, pay that lil tax and cut everyone else out lol
1256306526425407500,Fri May 01 19:36:31 +0000 2020,@BSoff Agreed
1256266228148076500,Fri May 01 16:56:23 +0000 2020,I wanna say Avon but in the end his emotions is what got him got. Marlo had none. https://t.co/KucXAZ6xIg
1254276624914268200,Sun Apr 26 05:10:25 +0000 2020,Dashboard, big screen, like a sports bar..
1252833539071938600,Wed Apr 22 05:36:06 +0000 2020,RT @JCrossover: Give people their flowers while they can smell them..
1247923464561922000,Wed Apr 08 16:25:13 +0000 2020,RT @nikkiscatt3: A shake from Shake 🙃 thank you @SniperShake and @HipCityVeg https://t.co/skaGigsy9d
1247923381028163600,Wed Apr 08 16:24:53 +0000 2020,This month I’m partnering with one of my favorite plant-based restaurants, HipCityVeg. Donating 500 meals to our he… https://t.co/aWxdxn9HJS
1244790367410667500,Tue Mar 31 00:55:25 +0000 2020,Scared of 733 action https://t.co/OGeeLO8rRw
1244671746130706400,Mon Mar 30 17:04:03 +0000 2020,Moody was so lit and that last one still one of the craziest dunks I’ve seen lol https://t.co/czaeZb5Fuk
1242591238420922400,Tue Mar 24 23:16:52 +0000 2020,RT @feronhunt11: Blessed 🙏🏾 https://t.co/jtUzTLR6AE
1234281027331186700,Mon Mar 02 00:55:03 +0000 2020,From Owasso, Oklahoma. 918 area.
1232440273428308000,Tue Feb 25 23:00:33 +0000 2020,RT @JCrossover: Don't take time for granted..
1228186698288259000,Fri Feb 14 05:18:22 +0000 2020,Aye fam you really different 😭 https://t.co/jkvFOWvTjK
1221607045113241600,Mon Jan 27 01:33:10 +0000 2020,Today just sucks man
1221518981435216000,Sun Jan 26 19:43:14 +0000 2020,Nah no way man
1215820631637401600,Sat Jan 11 02:20:02 +0000 2020,Good days add up.
1204245140543561700,Tue Dec 10 03:43:09 +0000 2019,And I thought I was special smh. Every single snap looks like this 😂 https://t.co/NzQ0elv8FC
1203553114336514000,Sun Dec 08 05:53:18 +0000 2019,RT @OwassoAthletics: BRINGING HOME THE GOLD!!! 🏆  #CHAMPIONS #RamPride https://t.co/gc7N22CIQK
1192899364672422000,Fri Nov 08 20:19:06 +0000 2019,RT @therealjfoster_: Control what you can Control and let God handle the rest.  More Content coming soon. #JF #ThankyouBasketball #SCARS ht…
1190448908914151400,Sat Nov 02 02:01:52 +0000 2019,Keep goin bro! https://t.co/LMwZQ0rPzT
