id,created_at,text
1259958595996844000,Mon May 11 21:28:32 +0000 2020,@JBreezyyNY Hi, Jon. We're here to help. Please send us a DM.
1259844499813130200,Mon May 11 13:55:10 +0000 2020,@CardsBluesNYG We're here to help. Please send us a DM.
1259844425397796900,Mon May 11 13:54:52 +0000 2020,@salnova2k2 We're here to help. Please send us a DM
1258949599034777600,Sat May 09 02:39:09 +0000 2020,@beardosteve Hi, Steve. There are shipping delays due to a high volume of orders and Covid-19 safety protocols at o… https://t.co/43Olg3c49b
1258947906863759400,Sat May 09 02:32:25 +0000 2020,@jx2wo Our call center is closed due to Covid-19 protocols, but we’re here to help. Please send us a DM!
1258770104013160400,Fri May 08 14:45:54 +0000 2020,@Moneyteamprince @BBBTriCounties We are experiencing shipping delays due to COVID-19 protocols. Nothing is more imp… https://t.co/faj6lgwslH
1258769652907413500,Fri May 08 14:44:06 +0000 2020,@Moneyteamprince Good morning - We saw your DM and will be assisting you shortly
1258192124505395200,Thu May 07 00:29:13 +0000 2020,Established in 1985, and just getting started on and off the court. Happy Birthday @CP3! https://t.co/6nVqPQyjg9
1258191412908241000,Thu May 07 00:26:23 +0000 2020,@dallasmavsshop @dallasmavs Future draft pick 🏀🏀
1258037189226705000,Wed May 06 14:13:33 +0000 2020,@jimtaylorjr Hi, Jim. We're here to help. Please send us a DM.
1257880710112850000,Wed May 06 03:51:46 +0000 2020,@Greg16071459 Hi, Greg. We're here to help. Please send us a DM.
1257801878060109800,Tue May 05 22:38:31 +0000 2020,@susgoed We're here to help and sent you a DM.
1257423001169072000,Mon May 04 21:32:59 +0000 2020,@DanMcAu35489010 Hi, Dan - We're here to help. Please send us a DM.
1257416213740863500,Mon May 04 21:06:01 +0000 2020,@eliainfp Hi, Elias - We sent you a DM with an explanation.
1257412916724347000,Mon May 04 20:52:55 +0000 2020,@ilnas82 We're working on getting our dealers up to stock globally. Dates will vary by retailer so there isn't a di… https://t.co/QT3VXXlK8F
1257406712979566600,Mon May 04 20:28:16 +0000 2020,@TheFMadventure We're here to help. Sending you a DM.
1257123466681225200,Mon May 04 01:42:45 +0000 2020,@stepdaddyslim @Yea_Abri The feelings are mutual
1256237680662327300,Fri May 01 15:02:57 +0000 2020,@radicaldude61 https://t.co/DuJXRnhheC
1256229599899537400,Fri May 01 14:30:50 +0000 2020,@robinkim2325 Hi, Robin. We'll have more NBA Official Game balls on https://t.co/zSU9FfMWfx mid-May.
1256219818220552200,Fri May 01 13:51:58 +0000 2020,@SoCalBillsMafia We're here to help.  Send us a DM and we'll get you back balling.
1255859145363853300,Thu Apr 30 13:58:47 +0000 2020,Family Always 🤞 https://t.co/LW9YK4GwZG
1253328425277730800,Thu Apr 23 14:22:36 +0000 2020,@punkermd Hi, Guido. We're here to help. Please send us a DM and we'll work to get you balling.
1253075093095317500,Wed Apr 22 21:35:57 +0000 2020,@dad2mb @FruitOfTheLoom @BerkshireHathEC We're here to help. Please send us a DM.
1253021222503362600,Wed Apr 22 18:01:54 +0000 2020,@SaraLeeDesserts @NostraThomas123 @deesnider What a sweet victory for Sara Lee! Lee vs Dee!
1253007739414106000,Wed Apr 22 17:08:19 +0000 2020,@ssj_kenny @WNBA We do not send emails of restocks unless we have a decent quantity of them. However, we still have… https://t.co/fztjTy30fD
1253002213175300000,Wed Apr 22 16:46:21 +0000 2020,@ssj_kenny @WNBA The Beast 60” will be back in stock in June, potentially a few units in May.
1252965016489377800,Wed Apr 22 14:18:33 +0000 2020,@Bheidg Depends on which hoop. Right now we’re looking at May-June for restocks of the most popular hoops on https://t.co/zSU9FfMWfx
1252295845409624000,Mon Apr 20 17:59:30 +0000 2020,@NostraThomas123 @adamcarolla @deesnider @hwinkler4real @RedHourBen @SaraLeeDesserts https://t.co/dJniEPqk8U
1252291289640468500,Mon Apr 20 17:41:24 +0000 2020,@NostraThomas123 @Reebok @Pringles @PerdueChicken @craftsman @Jeopardy 👋 Hi  What is, “Louisiana”
1252241940931915800,Mon Apr 20 14:25:18 +0000 2020,@ShaunJay Hi, Shaun - We are experiencing shipping delays. DM us your order number and we'll be able to help.
1252054569477169200,Mon Apr 20 02:00:46 +0000 2020,@DonavanJeffries We’re here to help. Send us a DM and we’ll work to get you a replacement part.
1252054224969568300,Mon Apr 20 01:59:23 +0000 2020,@vicovich @NBA We’ll get through this! 🙏🏀
1251673452014157800,Sun Apr 19 00:46:20 +0000 2020,@terrantula23 We’re here to help you get back balling. DM us with the hoop you have and we’ll help with a replacement backboard.
1251290999068012500,Fri Apr 17 23:26:36 +0000 2020,Seize Your Dream #WNBADraft https://t.co/mt1Ao1iRTF
1251228611002216400,Fri Apr 17 19:18:42 +0000 2020,Congratulations @zaytodd! Let’s go to work 🏀🏀🏀 https://t.co/CTdgT4heJn
1251224972875399200,Fri Apr 17 19:04:14 +0000 2020,@DaroJofre @NBA 12/10. would pet.
1251224845423194000,Fri Apr 17 19:03:44 +0000 2020,@TylerSwyryda05 @SASK_Rattlers @CEBLeague @fiddz84 We know somebody who can make them
1251141478241484800,Fri Apr 17 13:32:28 +0000 2020,@westirelandgirl @NBA @DukeMBB @BballIrl Hi, Rebecca - We're here to help. Send us a DM!
1250879390994571300,Thu Apr 16 20:11:01 +0000 2020,Change the game. Congratulations @JalenGreen! https://t.co/d2PH3j9IxI
1250422876840157200,Wed Apr 15 13:57:00 +0000 2020,The Basketball x The Basketball Bible https://t.co/LBuf7m8BjK
1250194585927790600,Tue Apr 14 22:49:51 +0000 2020,@1_Crafty_Mother Thank you, Elsa! 🙏🏀
1250171496766587000,Tue Apr 14 21:18:06 +0000 2020,@chriselise @NBA We’ll get through this!
1250152535198961700,Tue Apr 14 20:02:45 +0000 2020,@Michael44608485 Hi, Michael - Our call center is closed but our customer care department is online and reachable o… https://t.co/ynDYRyUGfA
1250146044089970700,Tue Apr 14 19:36:58 +0000 2020,@trailblazers @Dame_Lillard 8
1249837202303004700,Mon Apr 13 23:09:44 +0000 2020,@Timberwolves 🙏❤️
1249813697910001700,Mon Apr 13 21:36:20 +0000 2020,Sending our love and prayers to @KarlTowns and the Towns family during this difficult time
1249757121622814700,Mon Apr 13 17:51:31 +0000 2020,@txeyegirl @RLpontificates Thanks for rescuing us from the drainage pipe. Now can we get some shots up?
1249446900836728800,Sun Apr 12 21:18:49 +0000 2020,Tonight: basketball is back live from the driveway #NBAHorseChallenge https://t.co/0C5fK7n1tl
1249410343836831700,Sun Apr 12 18:53:33 +0000 2020,@NostraThomas123 @Chevron @HP @RCARecords @SouthwestAir @Delta @Hertz @Citi @Reebok @USPS @FedEx @UPS @RiddellSports @PaniniAmerica 👋
1248628521108463600,Fri Apr 10 15:06:52 +0000 2020,@gemelmcleod20 Miss you too 🙏🏀
1248244931547689000,Thu Apr 09 13:42:37 +0000 2020,@RealDanConnors Hi, Dan. We're here to help. Please submit for a replacement here: https://t.co/cBUTIzBCnA   DM us… https://t.co/sTO973zaEl
1247591883423060000,Tue Apr 07 18:27:38 +0000 2020,@Twitter 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏… https://t.co/RxatwC1C6F
1247544878713770000,Tue Apr 07 15:20:52 +0000 2020,@JammyMike We're here to help. Please send us a DM.
1246541990759747600,Sat Apr 04 20:55:44 +0000 2020,One of the greatest classes in the history of the Basketball Hall of Fame. Welcome to Springfield! #20HoopClass https://t.co/2vkSZBzmtg
1246495168137748500,Sat Apr 04 17:49:41 +0000 2020,@WarriorsBrDub @Fast_BreakNBA 👋👋👋
1246264933731504000,Sat Apr 04 02:34:49 +0000 2020,@Lifetime @Matt_Velazquez @Giannis_An34 @Khris22m They didn’t ask for a picnic table
1246142707296350200,Fri Apr 03 18:29:08 +0000 2020,@penamath BOOMSHAKALAKA
1246142605739647000,Fri Apr 03 18:28:44 +0000 2020,@landingmane_ The feelings are mutual
1245208216113418200,Wed Apr 01 04:35:48 +0000 2020,@126redtailbirds You bet. We're here to help. Please send us a DM and we'll get you the part you need.
1245208092503093200,Wed Apr 01 04:35:18 +0000 2020,@YungPipes We'll get through this! 🙏🏀
1245068845364240400,Tue Mar 31 19:21:59 +0000 2020,@WBCA1981 @MSULadyBears @MSUCoachMox Congrats, Amaka! 🏀🐐
1243182131259617300,Thu Mar 26 14:24:51 +0000 2020,😱😱😱 https://t.co/di9luVwWw7
1243002321052803000,Thu Mar 26 02:30:21 +0000 2020,@BobHogue4 @momoragan @StocktonKings Those are some hall of fame shorts, Bob 🔥🏀
1242926138437120000,Wed Mar 25 21:27:38 +0000 2020,@erinoldfieldokc We’ll take it https://t.co/kiuXYsjZVt
1242278255895425000,Tue Mar 24 02:33:11 +0000 2020,@MattLockmon @SLAMonline 🔥🔥🔥
1242078735827943400,Mon Mar 23 13:20:21 +0000 2020,Making essential masks to help our #healthcareworkers. #InThisTogether https://t.co/R15lQmvI0i
1241890959207563300,Mon Mar 23 00:54:12 +0000 2020,@Chibettor @LosPollosTV The break in is a beautiful thing
1241890812130201600,Mon Mar 23 00:53:37 +0000 2020,@ChoclateyShatnr We are unable to send you a DM. Please send us a message and we can get you back ballin.
1241890616201695200,Mon Mar 23 00:52:50 +0000 2020,@ChoclateyShatnr We got you! Sending you a DM.
1241078525844754400,Fri Mar 20 19:05:53 +0000 2020,Same https://t.co/IQFAu1FmlQ
1238982909245165600,Sun Mar 15 00:18:39 +0000 2020,@katerado712 Future draft pick 🏀🏀
1238607744090996700,Fri Mar 13 23:27:53 +0000 2020,@_arpandixit We miss you too
1238201612650381300,Thu Mar 12 20:34:03 +0000 2020,@GrantSmith1132 Please ensure the basketball is inflated to the proper 8psi at game play to prevent the high bounce.
1238156293870882800,Thu Mar 12 17:33:58 +0000 2020,@PRyanTexas @B1GMBBall All Big Ten and ACC Tournament digital ads were paused within minutes after the tournament cancelation was made.
1238147350994043000,Thu Mar 12 16:58:26 +0000 2020,@mrvincecarter15 Thank you for what you have done for the game of basketball, VC! It was an honor to witness your l… https://t.co/Ji59U7zDhA
1237921519877193700,Thu Mar 12 02:01:04 +0000 2020,@supercrazym2 🤜🏀🤛
1237553018117034000,Wed Mar 11 01:36:46 +0000 2020,RT @Spalding: The #ACCTourney is here 🏀  Get the 2020 ACC Tournament official on-court game ball only on https://t.co/zSU9FfMWfx   🛒: https…
1237482041358385200,Tue Mar 10 20:54:44 +0000 2020,The #ACCTourney is here 🏀  Get the 2020 ACC Tournament official on-court game ball only on https://t.co/zSU9FfMWfx… https://t.co/yoBy4fFMbk
1237072396059885600,Mon Mar 09 17:46:57 +0000 2020,RT @spurs: "I remember being a kid, wishing upon a star. Now being at the highest stage of basketball, it's a blessing."  Born and raised i…
1235650869871378400,Thu Mar 05 19:38:19 +0000 2020,@mgcanmore Hi, Mike. We make basketballs in these sizes per the official rules of the game:  🔘 29.5” is used by men… https://t.co/4OOTKNOno4
1235352635399712800,Wed Mar 04 23:53:14 +0000 2020,@FillyPhan20 We’re here to help! Please check your DM.
1234607303833325600,Mon Mar 02 22:31:33 +0000 2020,@LosPollosTV Excellent candidates for second best
1234603916698030000,Mon Mar 02 22:18:06 +0000 2020,@Ironman3319 @StrungZiven @Wdld49er @CJ_4_2 @segasaurus @mrtnmunoz Excellent candidates for second best
1234497972433494000,Mon Mar 02 15:17:07 +0000 2020,@hankrearden77 We’re here to help! Contact us here and a parts specialist will get you ballin: https://t.co/Y89pe3AM85
