id,created_at,text
1258038828604035000,Wed May 06 14:20:04 +0000 2020,I'm doing 2 #Forr Webinars this month: May 12th - #5G &amp; #Edge Computing and May 19 - #AdaptiveIntelligence. Hope yo… https://t.co/d01iPYopij
1257676449139605500,Tue May 05 14:20:06 +0000 2020,#UnitedHealth Group's Open #Innovation has produced a fantastic #Ventilator alternative to combat COVID-19 complica… https://t.co/pQvLCHx6lz
1257314057675174000,Mon May 04 14:20:05 +0000 2020,How are companies handling the #COVID-19 Pandemic?  How are different industry executives reacting to the uncertain… https://t.co/yi4eXzYBml
1253395923796811800,Thu Apr 23 18:50:49 +0000 2020,If you are looking to be an #innovation market leader. This session will provide you with the top #bestpractices an… https://t.co/TpUu8rxp5J
1252609161403216000,Tue Apr 21 14:44:31 +0000 2020,#USC's robot, #ADAMMS-UV can shield humans from #COVID-19. This great #Tech-DrivenInnovation leverages UV light, a… https://t.co/3iuBpW4q6I
1250443409740845000,Wed Apr 15 15:18:35 +0000 2020,How is your company handling #COVID-19 ? &amp; How are diff industry execs reacting? To start this process please take… https://t.co/jfPzCqtjDd
1249707684691140600,Mon Apr 13 14:35:05 +0000 2020,Come listen to the latest of #Medium's smartest takes on topics that matter. My latest #Forr podcast on how and why… https://t.co/Afj255prXI
1248656747063115800,Fri Apr 10 16:59:02 +0000 2020,Come listen to the latest of #Medium's smartest takes on topics that matter. My latest #Forr podcast on how and why… https://t.co/2UD95ILbKR
1248612243366760400,Fri Apr 10 14:02:11 +0000 2020,Scrambling to realign your firm’s business model in the wake of the #coronavirus? (Who isn’t?) #EnterpriseSpeed hel… https://t.co/mpEQwcuQIH
1248397451200852000,Thu Apr 09 23:48:41 +0000 2020,@sarahnaughtonES thank for sharing this!! ^JS
1248265118942716000,Thu Apr 09 15:02:50 +0000 2020,@chrisvoce @citrix @ReneeFloresFTL Thanks for sharing. I'll pass it along to my network too.  ^JS
1248264984288735200,Thu Apr 09 15:02:18 +0000 2020,As you've heard me say, this is an ideal time to focus your company on Innovations - to help address and overcome… https://t.co/a2zFUePpxv
1248025342402584600,Wed Apr 08 23:10:03 +0000 2020,Later this month I will be giving a presentation during our virtual #Forrester CX Sydney conference. I’ll be presen… https://t.co/3WvWZex4xz
1248022413704650800,Wed Apr 08 22:58:25 +0000 2020,Please read my insights in the #CMO article on the importance of #innovation for your company right now during… https://t.co/omkyqqdSD6
1247887379286769700,Wed Apr 08 14:01:50 +0000 2020,Driving your #DigitalTransformation is critical to extending your market value and #CX gains. But building propriet… https://t.co/5Yheqg0g1C
1247268121750245400,Mon Apr 06 21:01:08 +0000 2020,How is your orgs leadership team responding to COVID-19? Please respond to this via #Forr's just released C-Level P… https://t.co/jvFIXKe9Zn
1246085059515465700,Fri Apr 03 14:40:03 +0000 2020,Next Wednesday morning, come join my next #Forr Webinar and learn which #InnovationPlatform capabilities you should… https://t.co/KVxhof0s6C
1242832712387498000,Wed Mar 25 15:16:24 +0000 2020,My latest #Forr blog: If your company is asking all employees to work from home to overcome the #COVID-19 risks. Th… https://t.co/ismnzEaK3s
1239943967262814200,Tue Mar 17 15:57:33 +0000 2020,#TechInnovations are helping prevent the spread of #COVID-19. What are some examples you should look to leverage? -… https://t.co/e4t1kNjl16
1239593962463264800,Mon Mar 16 16:46:45 +0000 2020,Make #OpenSource consumption and contribution a tech priority and corporate strategy. Doing so will help expand you… https://t.co/Fivjvv5yA6
1235297272063291400,Wed Mar 04 20:13:15 +0000 2020,With #5G and #EdgeComputing now arriving in many markets, there no better time to partner with #Telco and… https://t.co/BIra4XEMmQ
1232714876805664800,Wed Feb 26 17:11:44 +0000 2020,Now that #5G is arriving in markets across the globe, its empowering for more companies to invest in #EdgeComputing… https://t.co/qSnMuM9iOi
1227993312935710700,Thu Feb 13 16:29:55 +0000 2020,@CyrilCoste @MylesSuer @mit_ide @DisruptionMagCA @SkipPrichard @shanebrighton @DellTechUK @craigbrownphd… https://t.co/aZOVyjEIXE
