id,created_at,text
1260949527164448800,Thu May 14 15:06:09 +0000 2020,RT @submergingmkt: As Oil Price Plummets, Call to Nationalize Industry Rises https://t.co/ghAjZjylh2
1260825677789450200,Thu May 14 06:54:01 +0000 2020,RT @mariagallucci: As coronavirus disrupts oil markets, the waters off California's coast have become like a sprawling parking lot filled w…
1260825668624937000,Thu May 14 06:53:59 +0000 2020,@mariagallucci @grist GREAT STORY. I plugged it in @TheRealNews weekly Climate Crisis News Roundup that I do just now.
1260787907356287000,Thu May 14 04:23:56 +0000 2020,RT @CorpWatch: Big Oil worries that Montana judge's cancelation of #TransCanada's permit for Keystone XL pipeline on environmental grounds,…
1260783866257662000,Thu May 14 04:07:52 +0000 2020,RT @SteveAHorn: NEW by me, Shir Hever for @TheRealNews: As #OilPrice Plummets, Call to Nationalize Industry Rises https://t.co/VXfSwyTObT f…
1260734904800694300,Thu May 14 00:53:19 +0000 2020,So....who else is getting like 5-10 DMs a day from people of the opposite gender asking if you want to be their "sw… https://t.co/Ka2cWzihA3
1260733765497716700,Thu May 14 00:48:47 +0000 2020,@MikeLewisATX @aldatweets @ddayen Also always prolific! I've heard from sources at FDL that some speculated that… https://t.co/Cv7bL8eJMF
1260727135745917000,Thu May 14 00:22:26 +0000 2020,RT @trekonomics: It's finally beginning to sink in that the pandemic is not a three months inconvenience but a generational upheaval.
1260724921136640000,Thu May 14 00:13:38 +0000 2020,RT @wiswatchandy: .@wiswatch is hiring an investigative reporter to dig into the coronavirus pandemic, voter suppression and disinformation…
1260705897153613800,Wed May 13 22:58:03 +0000 2020,RT @nytimes: A top WHO official warned against expecting a coronavirus vaccine to provide a quick, complete end to the pandemic. "We have s…
1260493808141242400,Wed May 13 08:55:17 +0000 2020,Thanks for the follows! Early #FF @JacobMargolis @UnKochPGH @sara_rosenblum @JoshSchlossberg @decollins1968… https://t.co/VWTtw5Il6b
1260493260520337400,Wed May 13 08:53:06 +0000 2020,Thanks for the follows! Early #FF @ScienceShaina @JensWeiting @MettaBhavana1 @CarlaEWillis @EpicTomorrows… https://t.co/hPNJNumdoN
1260492107472679000,Wed May 13 08:48:31 +0000 2020,Thanks for the follows! Early #FF @envirolawprof @cejapower @AudieTheDOD @veripix @estee_nj @StandUpToOil… https://t.co/E9RO5QaCiJ
1260491170490339300,Wed May 13 08:44:48 +0000 2020,Thanks for the follows! Early #FF @JessicaMcCarrel @carly_berlin @alexmorso @Fredmgrier @DrKellyHDunning… https://t.co/Xoqw78lpzw
1260490183272796200,Wed May 13 08:40:53 +0000 2020,Thanks for the follows! Early #FF @the_hidebehid @schmangee @GabeFlippelli @its_mccarthy @Alperstein_O @LACityDPW… https://t.co/QXhqcQ6eAU
1260469396985852000,Wed May 13 07:18:17 +0000 2020,RT @ckrausss: Israel, Egypt and their neighbors were on the verge of a natural gas-powered transformation that promised greater economic co…
1260438702028882000,Wed May 13 05:16:19 +0000 2020,RT @hels: Today in therapy we talked about how (for those of us currently healthy and taking isolation seriously) right now we live in an i…
1260435090095693800,Wed May 13 05:01:57 +0000 2020,@schmangee You forgot about Bloomington, which is a cool college city. I agree, though, the state has some bizarre… https://t.co/5vL4K9WhIu
1260394003393986600,Wed May 13 02:18:42 +0000 2020,RT @literElly: editors, I understand you’re busy and everything is hard for everyone and your inboxes are full, but not responding to pitch…
1260393859088932900,Wed May 13 02:18:07 +0000 2020,RT @its_mccarthy: My university communications office: we didn’t include your @jacobinmag piece in our announcement of public scholarship b…
1260392461089693700,Wed May 13 02:12:34 +0000 2020,RT @gabrielledrolet: Any other journalists feel weirdly bad whenever they cut sources from an article?
1260381897634410500,Wed May 13 01:30:35 +0000 2020,RT @DKThomp: Now that's three CDC studies—from a Chinese restaurant, a Korean call center, and an American choir practice—all finding that…
1260381693250138000,Wed May 13 01:29:47 +0000 2020,RT @Isikoff: Exclusive: FBI mistakenly reveals identity of Saudi Embassy official linked to support for 9/11 hijackers-- the same info  Bar…
1260381281646293000,Wed May 13 01:28:08 +0000 2020,RT @Jake_Hanrahan: FBI accidentally reveals name of Saudi official suspected of directing support for 9/11 hijackers. https://t.co/glM985tt…
1260379850788884500,Wed May 13 01:22:27 +0000 2020,RT @GabeFilippelli: Michael Moore’s own fact checker horrified by gross inaccuracies in Moore’s “documentary” speaks volumes about the slop…
1260379430616068000,Wed May 13 01:20:47 +0000 2020,RT @LAWinkley: Businesses/locations that can reopen TODAY in SD County: Offices that aren't able to offer telework options,  malls (for cur…
